strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,gross_return,net_return,exit_reason
baseline_full_liquidity_detail_vol_position,603501,豪威集团,半导体,2024-08-21,2024-09-04,300,92.5727,86.4381,-1840.3799999999976,40.277429999999995,-1880.6574299999977,-0.06626791699928805,-0.06771821606153858,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601398,工商银行,银行,2024-08-22,2024-09-05,11900,6.6716,6.0458,-7447.019999999999,113.50279499999999,-7560.522794999999,-0.09380058756520174,-0.09523023712452784,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601288,农业银行,银行,2024-07-08,2024-09-09,197,4.7234,4.7764,10.440999999999988,1.40359545,9.037404549999987,0.011220730829487222,0.009712315281365106,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601288,农业银行,银行,2024-08-26,2024-09-09,6003,5.2116,4.7764,-2612.5056000000004,44.968473,-2657.4740730000003,-0.08350602502110678,-0.08494339550234095,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601988,中国银行,银行,2023-05-11,2024-09-13,87,5.0632,4.9522,-9.656999999999979,0.65350485,-10.31050484999998,-0.02192289461210297,-0.023406452441143893,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601988,中国银行,银行,2024-08-30,2024-09-13,20313,5.2291,4.9522,-5624.6696999999895,155.10956017499998,-5779.77926017499,-0.05295366315427119,-0.05441394790690549,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601939,建设银行,银行,2024-09-02,2024-09-18,4200,7.9648,7.6227,-1436.8200000000013,49.100625,-1485.9206250000013,-0.04295148654077947,-0.04441927292587388,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,603228,景旺电子,元器件,2024-09-04,2024-09-20,1000,25.9241,24.4588,-1465.2999999999993,37.787175000000005,-1503.0871749999992,-0.056522695098383334,-0.05798030307705954,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002261,拓维信息,软件服务,2024-09-05,2024-09-23,5700,12.45,14.09,9348.000000000004,113.4585,9234.541500000003,0.13172690763052214,0.13012811244979924,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002463,沪电股份,元器件,2024-09-09,2024-09-25,1000,30.5789,35.8532,5274.3,49.82407500000001,5224.475925,0.17248167854304766,0.17085231728414035,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002466,天齐锂业,小金属,2024-09-13,2024-10-08,3600,27.43,38.72,40644.0,178.60500000000002,40465.395,0.4115931461903026,0.4097844513306598,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300502,新易盛,通信设备,2024-09-18,2024-10-09,200,139.7236,209.4448,13944.239999999996,52.37526000000001,13891.864739999995,0.4989937276165228,0.4971194823208103,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600660,福耀玻璃,汽车配件,2024-09-20,2024-10-11,500,54.386,60.9399,3276.9499999999994,43.2472125,3233.7027874999994,0.12050711580186076,0.11891673546500936,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601600,中国铝业,铝,2024-09-23,2024-10-14,11400,7.2902,9.0945,20569.020000000004,140.08918500000001,20428.930815000003,0.24749663932402408,0.24581101684453105,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000063,中兴通讯,通信设备,2024-09-25,2024-10-16,1300,26.1952,30.019,4970.939999999998,54.80884499999999,4916.131154999998,0.1459733080869777,0.14436382810591247,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002352,顺丰控股,仓储物流,2024-10-08,2024-10-22,2700,51.9856,44.5109,-20181.689999999995,195.4054125,-20377.095412499995,-0.14378404789018495,-0.1451762098542673,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300347,泰格医药,医疗保健,2024-10-09,2024-10-23,500,74.0792,68.175,-2952.1000000000013,53.345325,-3005.4453250000015,-0.07970118467802031,-0.08114140878951182,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,302132,中航成飞,电器仪表,2024-10-11,2024-10-25,500,65.466,72.2464,3390.2000000000003,51.64215,3338.55785,0.10357131946353834,0.10199364097394069,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300458,全志科技,半导体,2024-10-14,2024-10-28,1900,54.1998,61.4295,13736.42999999999,164.77175250000002,13571.658247499989,0.13338979110624014,0.13178974876291044,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300337,银邦股份,铝,2024-10-16,2024-10-30,2300,18.5174,20.5292,4627.140000000002,67.355385,4559.784615000002,0.10864376208322989,0.10706227926166746,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300757,罗博特科,专用机械,2024-10-22,2024-11-05,500,210.1441,203.8331,-3155.5000000000036,155.24145000000001,-3310.7414500000036,-0.03003177343546646,-0.03150924960538986,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300184,力源信息,元器件,2024-10-23,2024-11-06,4000,12.2,12.04,-640.0000000000006,72.72000000000001,-712.7200000000006,-0.013114754098360668,-0.014604918032786898,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002312,川发龙蟒,化工原料,2024-10-25,2024-11-08,2900,12.25,16.8666,13388.139999999996,63.32860499999998,13324.811394999995,0.37686530612244884,0.375082657142857,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300053,航宇微,半导体,2024-10-28,2024-11-11,6600,17.53,18.5,6401.999999999993,178.3485,6223.651499999993,0.05533371363377061,0.05379221334854528,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000829,天音控股,其他商业,2024-10-30,2024-11-13,3100,15.4562,15.1659,-899.9300000000007,71.1963825,-971.1263825000008,-0.018782106856795346,-0.02026802027665275,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002384,东山精密,元器件,2024-11-05,2024-11-19,3000,33.5828,27.167,-19247.39999999999,136.68705,-19384.08704999999,-0.1910442250199506,-0.19240094185118564,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600733,北汽蓝谷,汽车整车,2024-11-06,2024-11-20,5600,8.7,8.64,-335.99999999999284,72.82799999999999,-408.8279999999928,-0.006896551724137785,-0.008391379310344681,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002156,通富微电,半导体,2024-11-08,2024-11-22,1400,34.7893,31.6539,-4389.559999999996,69.76536,-4459.325359999996,-0.09012541212384259,-0.09155781806474972,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300033,同花顺,软件服务,2024-11-11,2024-11-25,200,417.1693,402.9999,-2833.879999999999,123.02538000000003,-2956.9053799999992,-0.033965586633532226,-0.035440112443557076,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000625,长安汽车,汽车整车,2024-11-13,2024-11-27,5500,15.5618,14.0005,-8587.149999999996,121.94448750000002,-8709.094487499997,-0.10032901078281428,-0.10175376402472719,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601398,工商银行,银行,2024-11-19,2024-12-03,12400,6.5549,6.5019,-657.1999999999992,121.42824000000003,-778.6282399999993,-0.00808555431814367,-0.009579490152405064,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600418,江淮汽车,汽车整车,2024-11-20,2024-12-04,1200,39.68,34.6,-6095.999999999998,66.852,-6162.851999999998,-0.12802419354838707,-0.12942817540322576,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,301171,易点天下,互联网,2024-11-22,2024-12-06,1000,41.7685,45.6842,3915.699999999994,65.589525,3850.110474999994,0.09374768066844617,0.09217736990794484,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300058,蓝色光标,广告包装,2024-11-25,2024-12-09,5600,14.8502,16.7275,10512.88,132.62634,10380.253659999998,0.12641580584773268,0.12482099399334688,rebalance_unlocked
