strategy,symbol,name,industry,recommendation_count,first_recommendation,last_recommendation,average_rank,completed_trade_count,cumulative_net_pnl,average_net_return,win_rate,best_trade_return,worst_trade_return,max_loss_amount,total_cost
tiered_liquidity_then_bs_v2,600744,华银电力,火力发电,1,2025-07-14,2025-07-14,1.0,1.0,-7709.512499999996,-0.17723017241379302,0.0,-0.17723017241379302,-0.17723017241379302,-7709.512499999996,59.5125
tiered_liquidity_then_bs_v2,600745,闻泰科技,半导体,3,2023-04-06,2024-10-29,3.6666666666666665,,,,,,,,
tiered_liquidity_then_bs_v2,600756,浪潮软件,软件服务,1,2025-11-04,2025-11-04,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600759,洲际油气,石油开采,3,2025-11-17,2026-03-05,1.3333333333333333,2.0,16598.679,0.03799014812901487,0.5,0.2372588495575221,-0.16127855329949237,-1525.0499999999997,141.32100000000003
tiered_liquidity_then_bs_v2,600760,中航沈飞,航空,1,2024-06-05,2024-06-05,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,600761,安徽合力,工程机械,2,2024-05-09,2024-09-11,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600763,通策医疗,医疗保健,1,2023-07-27,2023-07-27,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600765,中航重机,航空,2,2024-05-07,2024-05-09,3.5,,,,,,,,
tiered_liquidity_then_bs_v2,600775,南京熊猫,通信设备,1,2023-11-21,2023-11-21,1.0,,,,,,,,
tiered_liquidity_then_bs_v2,600776,东方通信,通信设备,1,2026-01-14,2026-01-14,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600789,鲁抗医药,化学制药,2,2024-05-10,2024-08-06,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600793,宜宾纸业,造纸,1,2025-05-23,2025-05-23,4.0,,,,,,,,
tiered_liquidity_then_bs_v2,600795,国电电力,火力发电,6,2023-05-12,2026-06-01,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600797,浙大网新,软件服务,2,2025-03-17,2025-03-21,2.5,1.0,-7169.5740000000005,-0.10062560000000001,0.0,-0.10062560000000001,-0.10062560000000001,-7169.5740000000005,101.574
tiered_liquidity_then_bs_v2,600798,宁波海运,水运,1,2025-07-02,2025-07-02,4.0,,,,,,,,
tiered_liquidity_then_bs_v2,600808,马钢股份,普钢,1,2025-01-07,2025-01-07,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,600809,山西汾酒,白酒,4,2023-01-13,2024-03-05,3.25,,,,,,,,
tiered_liquidity_then_bs_v2,600817,宇通重工,专用机械,2,2024-08-16,2024-08-20,1.0,,,,,,,,
tiered_liquidity_then_bs_v2,600821,金开新能,新型电力,1,2026-03-10,2026-03-10,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600835,上海机电,运输设备,1,2025-08-20,2025-08-20,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600839,四川长虹,家用电器,9,2023-03-28,2024-11-14,3.6666666666666665,2.0,-3257.3144675000026,-0.053901726862157905,0.0,-0.008153058542675092,-0.09965039518164072,-2825.4922875,119.62446749999998
tiered_liquidity_then_bs_v2,600843,上工申贝,纺织机械,2,2024-08-02,2024-08-19,3.5,,,,,,,,
tiered_liquidity_then_bs_v2,600853,龙建股份,建筑工程,1,2023-03-20,2023-03-20,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600859,王府井,百货,2,2024-07-17,2024-08-06,2.0,1.0,942.7858500000011,0.03345205122200464,1.0,0.03345205122200464,0.03345205122200464,942.7858500000011,43.01415
tiered_liquidity_then_bs_v2,600862,中航高科,航空,1,2026-02-13,2026-02-13,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600863,内蒙华电,火力发电,4,2023-05-12,2026-06-01,3.25,,,,,,,,
tiered_liquidity_then_bs_v2,600864,哈投股份,证券,1,2024-01-24,2024-01-24,1.0,,,,,,,,
tiered_liquidity_then_bs_v2,600872,中炬高新,食品,2,2023-02-17,2024-04-24,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600875,东方电气,电气设备,4,2024-06-04,2026-04-23,3.5,,,,,,,,
tiered_liquidity_then_bs_v2,600877,电科芯片,半导体,1,2026-01-28,2026-01-28,1.0,1.0,-3133.786499999999,-0.21248891375101703,0.0,-0.21248891375101703,-0.21248891375101703,-3133.786499999999,19.786499999999997
tiered_liquidity_then_bs_v2,600884,杉杉股份,电气设备,2,2025-06-18,2025-09-30,2.5,1.0,173.05000000000035,0.02400804661487241,1.0,0.02400804661487241,0.02400804661487241,173.05000000000035,10.95
tiered_liquidity_then_bs_v2,600885,宏发股份,电气设备,1,2025-10-31,2025-10-31,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600886,国投电力,水力发电,4,2024-05-24,2024-07-03,3.75,1.0,-2540.6896799999986,-0.05259338546531267,0.0,-0.05259338546531267,-0.05259338546531267,-2540.6896799999986,70.60968
tiered_liquidity_then_bs_v2,600887,伊利股份,乳制品,4,2023-05-22,2024-12-31,3.0,1.0,-2816.5728499999923,-0.031086888835321916,0.0,-0.031086888835321916,-0.031086888835321916,-2816.5728499999923,133.89285
tiered_liquidity_then_bs_v2,600895,张江高科,园区开发,7,2023-07-26,2025-09-22,3.2857142857142856,1.0,-5444.077779999999,-0.10974775069715231,0.0,-0.10974775069715231,-0.10974775069715231,-5444.077779999999,70.37778
