strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,route_reason,risk_veto_reason,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_industry_concentration_triggered,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,ashare_route_cache_hit,ashare_weekly_unconfirmed_count,ashare_resolved_strategy
ashare_hybrid_conservative_shadow,2024-06-17,2024-06-14,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-18,2024-06-17,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-19,2024-06-18,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-20,2024-06-19,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-21,2024-06-20,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-24,2024-06-21,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-25,2024-06-24,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-26,2024-06-25,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-27,2024-06-26,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
ashare_hybrid_conservative_shadow,2024-06-28,2024-06-27,1000000.0,0.0,1000000.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,ashare_shadow,ashare_hybrid_conservative_shadow,,,,,,,,,,,0.7,AShareDataCenter,ashare_shadow_fixed_source,,,,,,,,,,,,,,0.0,0.0,,,,,,hybrid_conservative_v1
