asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,model_rank_score
2026-05-08,20260508,600336,600336.SH,澳柯玛,72.26,72.26,0.0,100.0,96.22,89.09,77.4,36.49,7.74,7.85,44.1668,69.35,75.0,57.8,剔除,47.98,回避,V2评分较好；相对强弱靠前；流动性偏弱,8.18,8.18,0.0,0,WATCH,1,-6.239999999999995,28.093200000000003,34.3332,18.289040928381127,24.476029089703257,93.7245,0,0,,,,,,0.2903176289119536,37.66223402383675
2026-05-08,20260508,603881,603881.SH,数据港,48.32,48.32,0.0,0.0,43.85,87.88,64.95,76.96,29.0,5.95,50.5262,57.16,75.0,57.0,剔除,53.92,回避,V2评分较好,40.2,40.2,0.0,0,,1,-11.18,-2.2062000000000026,8.973799999999997,5.92155391880656,43.39988479247382,59.26049999999999,0,0,,,,,,0.29291478182868236,37.60403472800776
2026-05-08,20260508,600058,600058.SH,五矿发展,67.77,67.77,0.0,100.0,93.54,91.61,53.42,16.32,13.36,8.05,38.7238,65.57,88.84,54.56,剔除,40.71,回避,流动性偏弱,11.78,11.28,4.43,0,WATCH,1,-12.730000000000004,29.0462,41.7762,21.41255675563601,26.71499953209807,92.8645,0,0,,,,,,0.30313201515812394,37.587241061068674
2026-05-08,20260508,300601,300601.SZ,康泰生物,65.76,65.76,0.0,100.0,43.85,90.49,36.76,86.74,17.66,7.65,49.0335,59.77,69.9,52.14,剔除,33.98,回避,流动性偏弱,14.53,14.68,-1.02,0,WATCH,1,-10.739999999999997,16.72650000000001,27.466500000000003,13.84155593674353,25.479042368189585,60.17399999999999,0,0,,,,,,0.3127465174978624,37.53425622485037
2026-05-08,20260508,600477,600477.SH,杭萧钢构,44.36,44.36,0.0,0.0,43.85,85.49,25.86,79.64,12.82,6.95,43.9789,52.07,75.0,44.43,剔除,27.19,回避,流动性偏弱,3.11,3.11,0.0,0,,1,-25.14,0.3810999999999964,25.521099999999997,14.625841186179114,18.207833479027645,58.42399999999999,0,0,,,,,,0.34539421038748036,37.50659472712363
2026-05-08,20260508,600588,600588.SH,用友网络,45.68,45.68,0.0,0.0,43.85,94.67,50.48,61.27,24.1,6.95,43.4696,55.83,75.0,52.41,剔除,45.42,回避,优势未形成共振,12.39,12.39,0.0,0,,1,-23.82,2.2104,26.0304,14.432948372387395,34.87933485604334,61.637,0,0,,,,,,0.31102776149652367,37.49494330475666
2026-05-08,20260508,601890,601890.SH,亚星锚链,58.15,58.15,0.0,100.0,43.85,29.12,52.06,97.96,23.17,6.6,52.9364,60.69,89.31,54.44,剔除,46.48,回避,优势未形成共振,10.96,10.48,4.58,0,,1,-7.850000000000001,5.2136,13.0636,6.575988771279952,34.73082492541748,38.694500000000005,0,0,,,,,,0.302287590481952,37.49213133373664
2026-05-08,20260508,003025,003025.SZ,思进智能,48.55,48.55,0.0,0.0,93.83,80.13,52.13,50.31,5.82,6.9,53.8192,62.48,85.28,51.39,剔除,35.74,回避,流动性偏弱,14.44,13.98,3.29,0,,1,-20.450000000000003,-5.269200000000005,15.180799999999998,10.617781134179276,17.418283497520644,89.035,0,0,,,,,,0.31506421189572736,37.47149483270091
2026-05-08,20260508,000905,000905.SZ,厦门港务,39.15,39.15,0.0,0.0,43.85,82.83,24.79,76.51,15.34,6.95,44.0846,51.74,80.81,44.87,剔除,27.89,回避,流动性偏弱,11.51,11.3,1.86,0,,1,-30.35,-4.934600000000003,25.4154,16.28606425915523,19.50073331954468,57.492999999999995,0,0,,,,,,0.34279438318660355,37.45660682306225
2026-05-08,20260508,002167,002167.SZ,东方锆业,57.28,57.28,0.0,100.0,43.85,63.37,67.32,35.77,21.23,7.1,50.7414,64.34,94.69,55.44,剔除,51.11,回避,V2评分较好,13.49,12.69,6.3,0,,1,-13.72,6.538600000000002,20.2586,10.339266285380216,37.80480921787597,50.682,0,0,,,,,,0.29719013138591815,37.43530919701428
