strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,score_liq_breakout_adj,s_breakout,s_liquidity,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300308,中际旭创,,0,s_liquidity,30.0,25.66,25.66,49.09,30.0,34.08,,,,,,,542.6409,526.612,-0.02953868755561928
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,601899,紫金矿业,,0,s_liquidity,29.99,44.82,44.82000000000001,49.09,29.99,54.01,,,,,,,39.49,36.4,-0.07824765763484431
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300502,新易盛,,0,s_liquidity,29.99,24.93,24.93,49.09,29.99,35.35,,,,,,,368.0,384.0,0.04347826086956519
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300750,宁德时代,,0,s_liquidity,29.98,54.83,54.83,49.09,29.98,52.9,,,,,,,378.4837,363.1063,-0.0406289623568995
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,10,5,300058,蓝色光标,,0,s_liquidity,29.98,35.74,35.74,49.09,29.98,42.92,,,,,,,19.39,16.77,-0.13512119649303767
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score_liq_breakout_adj,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score_liq_breakout_adj,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score_liq_breakout_adj,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score_liq_breakout_adj,79.56,79.56,79.56,99.23,22.7,70.82,,,,,,,22.96,29.94,0.3040069686411151
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score,77.01,77.01,77.01,99.34,28.08,63.41,,,,,,,7.1,9.96,0.40281690140845083
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score,76.85,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002378,章源钨业,,0,score,76.12,76.12,76.12,98.24,28.89,70.17,,,,,,,31.92,44.91,0.40695488721804485
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score,79.56,79.56,79.56,99.23,22.7,70.82,,,,,,,22.96,29.94,0.3040069686411151
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score_liq_breakout_adj,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score_liq_breakout_adj,77.01,77.01,77.01,99.34,28.08,63.41,,,,,,,7.1,9.96,0.40281690140845083
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score_liq_breakout_adj,76.85,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq_top_10_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002378,章源钨业,,0,score_liq_breakout_adj,76.12,76.12,76.12,98.24,28.89,70.17,,,,,,,31.92,44.91,0.40695488721804485
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score_liq_breakout_adj,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score_liq_breakout_adj,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score_liq_breakout_adj,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score_liq_breakout_adj,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score_liq_breakout_adj,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score_liq_breakout_adj,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score_liq_breakout_adj,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_30_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,300739,明阳电路,,0,score_liq_breakout_adj,79.56,79.56,79.56,99.23,22.7,70.82,,,,,,,22.96,29.94,0.3040069686411151
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score,77.01,77.01,77.01,99.34,28.08,63.41,,,,,,,7.1,9.96,0.40281690140845083
tiered_liquidity_then_score,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score,76.85,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score_liq_breakout_adj,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score_liq_breakout_adj,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002498,汉缆股份,,0,score_liq_breakout_adj,77.01,77.01,77.01,99.34,28.08,63.41,,,,,,,7.1,9.96,0.40281690140845083
tiered_liquidity_then_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score_liq_breakout_adj,76.85,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
tiered_liquidity_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,10,5,002378,章源钨业,,0,bs_score_v2,70.17,76.12,76.12,98.24,28.89,70.17,,,,,,,31.92,44.91,0.40695488721804485
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,79.71,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,78.8,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,82.1013,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,81.164,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,score,79.61,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,83.6955,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,82.74,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score,80.6925,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688702,盛科通信-U,,0,score,79.72,79.72,79.72,99.86,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,score,86.0868,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,score,85.104,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,score,82.998,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,603533,掌阅科技,,0,score,81.25,81.25,81.25,99.86,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002837,英维克,,1,score,80.8704,74.88,74.88,98.81,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,75.99340000000001,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,74.2115,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,72.99610000000001,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,77.46900000000001,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,75.6525,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,74.41350000000001,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002837,英维克,,1,bs_score_v2,71.8725,74.88,74.88,98.81,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,000738,航发控制,,1,bs_score_v2,79.6824,78.8,78.8,99.08,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,600862,中航高科,,1,bs_score_v2,77.81400000000001,79.71,79.71,98.57,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002008,大族激光,,1,bs_score_v2,76.53960000000001,76.85,76.85,98.77,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,002837,英维克,,1,bs_score_v2,73.926,74.88,74.88,98.81,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,10,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,79.61,99.67,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,002826,易明医药,,0,score,81.57,81.57,81.57,97.49,18.2,73.64,,,,,,,22.43,18.08,-0.19393669193045038
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,300677,英科医疗,,1,bs_score_v2,71.26,77.62,77.62,98.5,23.33,71.26,,,,,TRADE,,48.58,53.81,0.10765747221078636
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,002648,卫星化学,,1,bs_score_v2,70.85,76.24,76.24,98.65,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,688300,联瑞新材,,1,bs_score_v2,68.91,72.76,72.76,99.8,22.83,68.91,,,,,WATCH,,88.01,77.18,-0.12305419838654696
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,300773,拉卡拉,,1,bs_score_v2,67.86,66.07,66.07,96.72,28.31,67.86,,,,,WATCH,,30.0,23.95,-0.20166666666666666
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,002128,电投能源,,1,bs_score_v2,66.63,66.4,66.4,48.23,25.86,66.63,,,,,WATCH,,31.95,29.27,-0.08388106416275432
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,10,5,300308,中际旭创,,0,s_liquidity,30.0,30.25,30.25,48.23,30.0,35.85,,,,,,,540.6386,600.3291,0.11040739599429283
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,10,5,300394,天孚通信,,0,s_liquidity,29.99,53.48,53.48,48.23,29.99,60.46,,,,,,,329.0,298.49,-0.09273556231003033
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,10,5,300502,新易盛,,0,s_liquidity,29.99,35.26,35.26,48.23,29.99,43.16,,,,,,,394.75,460.44,0.16640911969601002
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,10,5,300750,宁德时代,,0,s_liquidity,29.98,49.43,49.43,48.23,29.98,56.96,,,,,,,380.8807,408.294,0.0719734552052651
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,10,5,601899,紫金矿业,,0,s_liquidity,29.98,40.72,40.72,48.23,29.98,46.85,,,,,,,36.98,30.58,-0.17306652244456455
baseline_full_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score_liq_breakout_adj,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
baseline_full_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score_liq_breakout_adj,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
baseline_full_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,002826,易明医药,,0,score_liq_breakout_adj,81.57,81.57,81.57,97.49,18.2,73.64,,,,,,,22.43,18.08,-0.19393669193045038
baseline_full_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score_liq_breakout_adj,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
baseline_full_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score_liq_breakout_adj,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
