trade_date,symbol,shares,market_value,label
2024-01-26,000338,2900,43964.0,B2
2024-01-26,300059,1800,23616.0,B2
2024-01-26,600030,1500,31245.0,B2
2024-01-26,601099,5800,19952.0,B2
2024-01-29,000338,2900,43558.0,B2
2024-01-29,300059,1800,23076.0,B2
2024-01-29,600030,1500,30870.0,B2
2024-01-29,601099,5800,19256.0,B2
2024-01-29,000002,6300,63378.0,B2
2024-01-30,000338,2900,43297.0,B2
2024-01-30,300059,1800,22608.0,B2
2024-01-30,600030,1500,30660.0,B2
2024-01-30,601099,5800,19140.0,B2
2024-01-30,000002,6300,61677.0,B2
2024-01-31,300059,1800,22464.0,B2
2024-01-31,600030,1500,30750.0,B2
2024-01-31,601099,5800,18676.0,B2
2024-01-31,000002,6300,60480.0,B2
2024-01-31,601857,5600,46816.0,B2
2024-02-01,300059,1800,22842.0,B2
2024-02-01,600030,1500,30660.0,B2
2024-02-01,601099,5800,18676.0,B2
2024-02-01,000002,6300,59472.0,B2
2024-02-01,601857,5600,45640.0,B2
2024-02-02,300059,1800,22410.0,B2
2024-02-02,600030,1500,30270.0,B2
2024-02-02,601099,5800,18096.0,B2
2024-02-02,000002,6300,59787.0,B2
2024-02-02,601857,5600,45360.0,B2
2024-02-05,300059,1800,22194.0,B2
2024-02-05,600030,1500,30270.0,B2
2024-02-05,601099,5800,17168.0,B2
2024-02-05,000002,6300,57834.0,B2
2024-02-05,601857,5600,46536.0,B2
2024-02-06,300059,1800,23760.0,B2
2024-02-06,600030,1500,31710.0,B2
2024-02-06,601099,5800,18328.0,B2
2024-02-06,000002,6300,59913.0,B2
2024-02-06,601857,5600,45472.0,B2
2024-02-07,300059,1800,23634.0,B2
2024-02-07,600030,1500,31770.0,B2
2024-02-07,601099,5800,18618.0,B2
2024-02-07,000002,6300,59976.0,B2
2024-02-07,601857,5600,46536.0,B2
2024-02-08,300059,1800,23886.0,B2
2024-02-08,600030,1500,31875.0,B2
2024-02-08,601099,5800,19082.0,B2
2024-02-08,000002,6300,63378.0,B2
2024-02-08,601857,5600,46368.0,B2
2024-02-19,000002,6300,61992.0,B2
2024-02-19,601857,5600,48440.0,B2
2024-02-19,000895,1300,38103.0,B2
2024-02-19,002340,2600,13260.0,B2
2024-02-19,600111,800,14824.0,B2
2024-02-20,601857,5600,48384.0,B2
2024-02-20,000895,1300,38714.0,B2
2024-02-20,002340,2600,13052.0,B2
2024-02-20,600111,800,14672.0,B2
2024-02-20,002463,2400,62520.0,B2
2024-02-21,601857,5600,48776.0,B2
2024-02-21,000895,1300,38727.0,B2
2024-02-21,002340,2600,13052.0,B2
2024-02-21,600111,800,14720.0,B2
2024-02-21,002463,2400,58896.0,B2
2024-02-22,000895,1300,38961.0,B2
2024-02-22,002340,2600,13104.0,B2
2024-02-22,600111,800,14920.0,B2
2024-02-22,002463,2400,59808.0,B2
2024-02-22,600839,11300,54353.0,B2
2024-02-23,000895,1300,38610.0,B2
2024-02-23,002340,2600,13208.0,B2
2024-02-23,600111,800,14864.0,B2
2024-02-23,002463,2400,60768.0,B2
2024-02-23,600839,11300,53901.0,B2
2024-02-26,000895,1300,38272.0,B2
2024-02-26,002340,2600,13910.0,B2
2024-02-26,600111,800,14824.0,B2
2024-02-26,002463,2400,61320.0,B2
2024-02-26,600839,11300,57404.0,B2
2024-02-27,000895,1300,38207.0,B2
2024-02-27,002340,2600,13988.0,B2
2024-02-27,600111,800,14952.0,B2
2024-02-27,002463,2400,65016.0,B2
2024-02-27,600839,11300,60003.0,B2
2024-02-28,000895,1300,38168.0,B2
2024-02-28,002340,2600,13624.0,B2
2024-02-28,600111,800,14760.0,B2
2024-02-28,002463,2400,60720.0,B2
2024-02-28,600839,11300,55935.0,B2
2024-02-29,000895,1300,37986.0,B2
2024-02-29,002340,2600,13936.0,B2
2024-02-29,600111,800,15080.0,B2
2024-02-29,002463,2400,63360.0,B2
2024-02-29,600839,11300,58082.0,B2
2024-03-01,000895,1300,37882.0,B2
2024-03-01,002340,2600,13988.0,B2
2024-03-01,600111,800,15256.0,B2
2024-03-01,002463,2400,65400.0,B2
2024-03-01,600839,11300,59325.0,B2
2024-03-04,002463,2400,68016.0,B2
2024-03-04,600839,11300,65314.0,B2
2024-03-04,002281,600,21792.0,B2
2024-03-04,300045,800,19080.0,B2
2024-03-04,603220,500,18500.0,B2
2024-03-05,600839,11300,63619.0,B2
2024-03-05,002281,600,21282.0,B2
2024-03-05,300045,800,18304.0,B2
2024-03-05,603220,500,17770.0,B2
2024-03-05,000938,2600,64402.0,B2
2024-03-06,600839,11300,62715.0,B2
2024-03-06,002281,600,22740.0,B2
2024-03-06,300045,800,18712.0,B2
2024-03-06,603220,500,17295.0,B2
2024-03-06,000938,2600,63934.0,B2
2024-03-07,002281,600,21252.0,B2
2024-03-07,300045,800,17584.0,B2
2024-03-07,603220,500,16810.0,B2
2024-03-07,000938,2600,65000.0,B2
2024-03-07,002456,7100,64610.0,B2
2024-03-08,002281,600,23376.0,B2
2024-03-08,300045,800,17984.0,B2
2024-03-08,603220,500,18385.0,B2
2024-03-08,000938,2600,64818.0,B2
2024-03-08,002456,7100,66030.0,B2
2024-03-11,002281,600,25716.0,B2
2024-03-11,300045,800,18112.0,B2
2024-03-11,603220,500,18305.0,B2
2024-03-11,000938,2600,64350.0,B2
2024-03-11,002456,7100,69225.0,B2
2024-03-12,002281,600,24396.0,B2
2024-03-12,300045,800,18864.0,B2
2024-03-12,603220,500,18495.0,B2
2024-03-12,000938,2600,62972.0,B2
2024-03-12,002456,7100,68373.0,B2
2024-03-13,002281,600,23604.0,B2
2024-03-13,300045,800,19288.0,B2
2024-03-13,603220,500,18280.0,B2
2024-03-13,000938,2600,61022.0,B2
2024-03-13,002456,7100,67663.0,B2
2024-03-14,002281,600,24252.0,B2
2024-03-14,300045,800,19000.0,B2
2024-03-14,603220,500,17505.0,B2
2024-03-14,000938,2600,59956.0,B2
2024-03-14,002456,7100,68444.0,B2
2024-03-15,002281,600,23946.0,B2
2024-03-15,300045,800,19632.0,B2
2024-03-15,603220,500,18065.0,B2
2024-03-15,000938,2600,60242.0,B2
2024-03-15,002456,7100,69509.0,B2
2024-03-18,000938,2600,62062.0,B2
2024-03-18,002456,7100,74550.0,B2
2024-03-18,601138,1100,27511.0,B2
2024-03-18,601225,2200,53548.0,B2
2024-03-18,601899,4500,71010.0,B2
2024-03-19,002456,7100,73840.0,B2
2024-03-19,601138,1100,28061.0,B2
2024-03-19,601225,2200,54560.0,B2
2024-03-19,601899,4500,69885.0,B2
2024-03-19,603993,7600,58444.0,B2
2024-03-20,002456,7100,74621.0,B2
2024-03-20,601138,1100,27588.0,B2
2024-03-20,601225,2200,55044.0,B2
2024-03-20,601899,4500,69795.0,B2
2024-03-20,603993,7600,57684.0,B2
2024-03-21,601138,1100,27489.0,B2
2024-03-21,601225,2200,55220.0,B2
2024-03-21,601899,4500,70290.0,B2
2024-03-21,603993,7600,58824.0,B2
2024-03-21,300496,1100,67991.0,B2
2024-03-22,601138,1100,26873.0,B2
2024-03-22,601225,2200,55836.0,B2
2024-03-22,601899,4500,69255.0,B2
2024-03-22,603993,7600,56848.0,B2
2024-03-22,300496,1100,63250.0,B2
2024-03-25,601138,1100,26301.0,B2
2024-03-25,601225,2200,57178.0,B2
2024-03-25,601899,4500,70830.0,B2
2024-03-25,603993,7600,59432.0,B2
2024-03-25,300496,1100,60115.0,B2
2024-03-26,601138,1100,26103.0,B2
2024-03-26,601225,2200,55572.0,B2
2024-03-26,601899,4500,69885.0,B2
2024-03-26,603993,7600,59128.0,B2
2024-03-26,300496,1100,59708.0,B2
2024-03-27,601138,1100,24651.0,B2
2024-03-27,601225,2200,55308.0,B2
2024-03-27,601899,4500,70740.0,B2
2024-03-27,603993,7600,59964.0,B2
2024-03-27,300496,1100,55572.0,B2
2024-03-28,601138,1100,25795.0,B2
2024-03-28,601225,2200,55000.0,B2
2024-03-28,601899,4500,72450.0,B2
2024-03-28,603993,7600,62092.0,B2
2024-03-28,300496,1100,56848.0,B2
2024-03-29,601138,1100,25047.0,B2
2024-03-29,601225,2200,55198.0,B2
2024-03-29,601899,4500,75690.0,B2
2024-03-29,603993,7600,63232.0,B2
2024-03-29,300496,1100,56397.0,B2
2024-04-01,603993,7600,62700.0,B2
2024-04-01,300496,1100,58245.0,B2
2024-04-01,000977,800,35224.0,B2
2024-04-01,300975,1100,14773.0,B2
2024-04-01,601166,6400,101312.0,B2
2024-04-02,300496,1100,57134.0,B2
2024-04-02,000977,800,33240.0,B2
2024-04-02,300975,1100,13695.0,B2
2024-04-02,601166,6400,99776.0,B2
2024-04-02,600309,700,59500.0,B2
2024-04-03,300496,1100,55803.0,B2
2024-04-03,000977,800,31480.0,B2
2024-04-03,300975,1100,12430.0,B2
2024-04-03,601166,6400,98624.0,B2
2024-04-03,600309,700,59430.0,B2
2024-04-08,000977,800,31840.0,B2
2024-04-08,300975,1100,12320.0,B2
2024-04-08,601166,6400,99072.0,B2
2024-04-08,600309,700,60900.0,B2
2024-04-08,601857,6000,61620.0,B2
2024-04-09,000977,800,30776.0,B2
2024-04-09,300975,1100,12463.0,B2
2024-04-09,601166,6400,98944.0,B2
2024-04-09,600309,700,60830.0,B2
2024-04-09,601857,6000,60720.0,B2
2024-04-10,000977,800,29680.0,B2
2024-04-10,300975,1100,13123.0,B2
2024-04-10,601166,6400,100608.0,B2
2024-04-10,600309,700,61194.0,B2
2024-04-10,601857,6000,61620.0,B2
2024-04-11,000977,800,30232.0,B2
2024-04-11,300975,1100,11231.0,B2
2024-04-11,601166,6400,100160.0,B2
2024-04-11,600309,700,60760.0,B2
2024-04-11,601857,6000,61380.0,B2
2024-04-12,000977,800,30280.0,B2
2024-04-12,300975,1100,10901.0,B2
2024-04-12,601166,6400,99136.0,B2
2024-04-12,600309,700,60277.0,B2
2024-04-12,601857,6000,61620.0,B2
2024-04-15,000977,800,30200.0,B2
2024-04-15,300975,1100,10373.0,B2
2024-04-15,601166,6400,100928.0,B2
2024-04-15,600309,700,61600.0,B2
2024-04-15,601857,6000,64020.0,B2
2024-04-16,000977,800,29336.0,B2
2024-04-16,300975,1100,9306.0,B2
2024-04-16,601166,6400,101952.0,B2
2024-04-16,600309,700,60900.0,B2
2024-04-16,601857,6000,65400.0,B2
2024-04-17,600309,700,60956.0,B2
2024-04-17,601857,6000,65580.0,B2
2024-04-17,300760,100,27256.0,B2
2024-04-17,600019,7600,54796.0,B2
2024-04-17,601658,9700,47142.0,B2
2024-04-18,601857,6000,63720.0,B2
2024-04-18,300760,100,27220.0,B2
2024-04-18,600019,7600,55404.0,B2
2024-04-18,601658,9700,47627.0,B2
2024-04-18,601668,14100,75858.0,B2
2024-04-19,601857,6000,65520.0,B2
2024-04-19,300760,100,27139.0,B2
2024-04-19,600019,7600,55936.0,B2
2024-04-19,601658,9700,47336.0,B2
2024-04-19,601668,14100,75576.0,B2
2024-04-22,601857,5900,62717.0,B2
2024-04-22,300760,100,27853.0,B2
2024-04-22,600019,7600,55328.0,B2
2024-04-22,601658,9700,46948.0,B2
2024-04-22,601668,14100,75576.0,B2
2024-04-23,300760,100,28450.0,B2
2024-04-23,600019,7600,53428.0,B2
2024-04-23,601658,9700,47045.0,B2
2024-04-23,601668,14100,73602.0,B2
2024-04-23,002415,1900,61940.0,B2
2024-04-24,300760,100,28585.0,B2
2024-04-24,600019,7600,53732.0,B2
2024-04-24,601658,9700,46657.0,B2
2024-04-24,601668,14100,74307.0,B2
2024-04-24,002415,1900,61769.0,B2
2024-04-25,300760,100,28510.0,B2
2024-04-25,600019,7600,54036.0,B2
2024-04-25,601658,9700,46948.0,B2
2024-04-25,601668,14100,74589.0,B2
2024-04-25,002415,1900,62016.0,B2
2024-04-26,300760,100,28880.0,B2
2024-04-26,600019,7600,53884.0,B2
2024-04-26,601658,9700,45978.0,B2
2024-04-26,601668,14100,75435.0,B2
2024-04-26,002415,1900,62453.0,B2
2024-04-29,300760,100,30211.0,B2
2024-04-29,600019,7600,53428.0,B2
2024-04-29,601658,9700,45978.0,B2
2024-04-29,601668,14100,76845.0,B2
2024-04-29,002415,1900,63194.0,B2
2024-04-30,300760,100,30459.0,B2
2024-04-30,600019,7600,52820.0,B2
2024-04-30,601658,9700,46560.0,B2
2024-04-30,601668,14100,75576.0,B2
2024-04-30,002415,1900,62909.0,B2
2024-05-06,601668,14100,76422.0,B2
2024-05-06,002415,1900,64144.0,B2
2024-05-06,600570,900,19089.0,B2
2024-05-06,600887,2000,57600.0,B2
2024-05-06,601919,3900,46878.0,B2
2024-05-07,002415,1900,63897.0,B2
2024-05-07,600570,900,19152.0,B2
2024-05-07,600887,2000,56700.0,B2
2024-05-07,601919,3900,47073.0,B2
2024-05-07,601816,16000,82560.0,B2
2024-05-08,002415,1900,62206.0,B2
2024-05-08,600570,900,18711.0,B2
2024-05-08,600887,2000,56460.0,B2
2024-05-08,601919,3900,47619.0,B2
2024-05-08,601816,16000,82080.0,B2
2024-05-09,002415,1900,62795.0,B2
2024-05-09,600570,900,19125.0,B2
2024-05-09,600887,2000,56440.0,B2
2024-05-09,601919,3900,51987.0,B2
2024-05-09,601816,16000,82400.0,B2
2024-05-10,600570,900,18981.0,B2
2024-05-10,600887,2000,55900.0,B2
2024-05-10,601919,3900,52065.0,B2
2024-05-10,601816,16000,82400.0,B2
2024-05-10,300107,4800,59712.0,B2
2024-05-13,600570,900,18747.0,B2
2024-05-13,600887,2000,56000.0,B2
2024-05-13,601919,3900,54873.0,B2
2024-05-13,601816,16000,83520.0,B2
2024-05-13,300107,4800,61104.0,B2
2024-05-14,600570,900,18837.0,B2
2024-05-14,600887,2000,55720.0,B2
2024-05-14,601919,3900,54444.0,B2
2024-05-14,601816,16000,83840.0,B2
2024-05-14,300107,4800,57840.0,B2
2024-05-15,600570,900,18504.0,B2
2024-05-15,600887,2000,55600.0,B2
2024-05-15,601919,3900,55692.0,B2
2024-05-15,601816,16000,83520.0,B2
2024-05-15,300107,4800,57072.0,B2
2024-05-16,600570,900,18819.0,B2
2024-05-16,600887,2000,55540.0,B2
2024-05-16,601919,3900,54990.0,B2
2024-05-16,601816,16000,83040.0,B2
2024-05-16,300107,4800,62400.0,B2
2024-05-17,600570,900,19134.0,B2
2024-05-17,600887,2000,56220.0,B2
2024-05-17,601919,3900,54834.0,B2
2024-05-17,601816,16000,84000.0,B2
2024-05-17,300107,4800,62400.0,B2
2024-05-20,601816,16000,84000.0,B2
2024-05-20,300107,4800,62256.0,B2
2024-05-20,000002,3600,33048.0,B2
2024-05-20,600066,900,22995.0,B2
2024-05-20,601668,13700,79460.0,B2
2024-05-21,300107,4800,58992.0,B2
2024-05-21,000002,3600,33084.0,B2
2024-05-21,600066,900,23283.0,B2
2024-05-21,601668,13700,79871.0,B2
2024-05-21,603993,9500,79990.0,B2
2024-05-22,300107,4800,58944.0,B2
2024-05-22,000002,3600,33840.0,B2
2024-05-22,600066,900,21933.0,B2
2024-05-22,601668,13700,80693.0,B2
2024-05-22,603993,9500,77995.0,B2
2024-05-23,300107,4800,55392.0,B2
2024-05-23,000002,3600,34416.0,B2
2024-05-23,600066,900,22086.0,B2
2024-05-23,601668,13700,79323.0,B2
2024-05-23,603993,9500,77615.0,B2
2024-05-24,000002,3600,32364.0,B2
2024-05-24,600066,900,22104.0,B2
2024-05-24,601668,13700,78090.0,B2
2024-05-24,603993,9500,77710.0,B2
2024-05-24,300641,1900,60363.0,B2
2024-05-27,000002,3600,31932.0,B2
2024-05-27,600066,900,22653.0,B2
2024-05-27,601668,13700,78775.0,B2
2024-05-27,603993,9500,81130.0,B2
2024-05-27,300641,1900,62358.0,B2
2024-05-28,000002,3600,30672.0,B2
2024-05-28,600066,900,22329.0,B2
2024-05-28,601668,13700,77816.0,B2
2024-05-28,603993,9500,81130.0,B2
2024-05-28,300641,1900,51604.0,B2
2024-05-29,000002,3600,30888.0,B2
2024-05-29,600066,900,22032.0,B2
2024-05-29,601668,13700,78090.0,B2
2024-05-29,603993,9500,83220.0,B2
2024-05-29,300641,1900,48963.0,B2
2024-05-30,000002,3600,29772.0,B2
2024-05-30,600066,900,22086.0,B2
2024-05-30,601668,13700,77405.0,B2
2024-05-30,603993,9500,79230.0,B2
2024-05-30,300641,1900,45638.0,B2
2024-05-31,000002,3600,29700.0,B2
2024-05-31,600066,900,21915.0,B2
2024-05-31,601668,13700,77131.0,B2
2024-05-31,603993,9500,79230.0,B2
2024-05-31,300641,1900,47101.0,B2
2024-06-03,603993,9500,77615.0,B2
2024-06-03,300641,1900,43263.0,B2
2024-06-03,002155,300,5550.0,B2
2024-06-03,601020,500,7635.0,B2
2024-06-03,601985,3500,35105.0,B2
2024-06-04,300641,1900,49134.0,B2
2024-06-04,002155,300,5763.0,B2
2024-06-04,601020,500,7625.0,B2
2024-06-04,601985,3500,35455.0,B2
2024-06-04,600900,2900,79692.0,B2
2024-06-05,300641,1900,49533.0,B2
2024-06-05,002155,300,5595.0,B2
2024-06-05,601020,500,7255.0,B2
2024-06-05,601985,3500,35595.0,B2
2024-06-05,600900,2900,81084.0,B2
2024-06-06,300641,1900,50635.0,B2
2024-06-06,002155,300,5667.0,B2
2024-06-06,601020,500,7500.0,B2
2024-06-06,601985,3500,35525.0,B2
2024-06-06,600900,2900,81287.0,B2
2024-06-07,002155,300,5505.0,B2
2024-06-07,601020,500,7030.0,B2
2024-06-07,601985,3500,36400.0,B2
2024-06-07,600900,2900,82099.0,B2
2024-06-07,300552,1200,44424.0,B2
2024-06-11,002155,300,5349.0,B2
2024-06-11,601020,500,7115.0,B2
2024-06-11,601985,3500,35980.0,B2
2024-06-11,600900,2900,81722.0,B2
2024-06-11,300552,1200,44328.0,B2
2024-06-12,002155,300,5376.0,B2
2024-06-12,601020,500,7295.0,B2
2024-06-12,601985,3500,36190.0,B2
2024-06-12,600900,2900,82302.0,B2
2024-06-12,300552,1200,43440.0,B2
2024-06-13,002155,300,5184.0,B2
2024-06-13,601020,500,6925.0,B2
2024-06-13,601985,3500,36505.0,B2
2024-06-13,600900,2900,83230.0,B2
2024-06-13,300552,1200,42564.0,B2
2024-06-14,002155,300,5184.0,B2
2024-06-14,601020,500,7040.0,B2
2024-06-14,601985,3500,35140.0,B2
2024-06-14,600900,2900,80910.0,B2
2024-06-14,300552,1200,46584.0,B2
2024-06-17,002155,300,5124.0,B2
2024-06-17,601020,500,7085.0,B2
2024-06-17,601985,3500,35105.0,B2
2024-06-17,600900,2900,80881.0,B2
2024-06-17,300552,1200,47340.0,B2
2024-06-18,600900,2900,80620.0,B2
2024-06-18,300552,1200,54036.0,B2
2024-06-18,000021,500,8025.0,B2
2024-06-18,000858,100,13389.0,B2
2024-06-18,600028,3200,19264.0,B2
2024-06-19,300552,1200,52992.0,B2
2024-06-19,000021,500,8065.0,B2
2024-06-19,000858,100,13422.0,B2
2024-06-19,600028,3200,19424.0,B2
2024-06-19,002230,2100,90384.0,B2
2024-06-20,300552,1200,50940.0,B2
2024-06-20,000021,500,7800.0,B2
2024-06-20,000858,100,13220.0,B2
2024-06-20,600028,3200,19744.0,B2
2024-06-20,002230,2100,88410.0,B2
2024-06-21,300552,1200,51288.0,B2
2024-06-21,000021,500,7640.0,B2
2024-06-21,000858,100,13020.0,B2
2024-06-21,600028,3200,19648.0,B2
2024-06-21,002230,2100,89733.0,B2
2024-06-24,000021,500,7400.0,B2
2024-06-24,000858,100,13103.0,B2
2024-06-24,600028,3200,19616.0,B2
2024-06-24,002230,2100,87108.0,B2
2024-06-24,600809,200,43828.0,B2
2024-06-25,000021,500,7145.0,B2
2024-06-25,000858,100,13151.0,B2
2024-06-25,600028,3200,19552.0,B2
