trade_date,signal_date,nav,cash,equity,position_ratio,position_count,in_risk
2026-03-20,2026-03-19,1.00751714,271280.57,503758.57,0.5,5,True
2026-03-23,2026-03-20,1.00114314,271280.57,500571.57,0.5,5,True
2026-03-24,2026-03-23,1.00699739,273449.7,503498.7,0.5,4,True
2026-03-25,2026-03-24,1.00773623,254208.12,503868.12,0.5,5,True
2026-03-26,2026-03-25,1.00738823,254208.12,503694.12,0.5,5,True
2026-03-27,2026-03-26,1.00938823,254208.12,504694.12,0.5,5,True
2026-03-30,2026-03-27,1.00564223,254208.12,502821.12,0.5,5,True
2026-03-31,2026-03-30,1.01175423,254208.12,505877.12,0.5,5,True
2026-04-01,2026-03-31,1.01811623,254208.12,509058.12,0.5,5,True
2026-04-02,2026-04-01,1.01856823,254208.12,509284.12,0.5,5,True
2026-04-03,2026-04-02,1.00834623,254208.12,504173.12,0.5,5,True
2026-04-07,2026-04-03,1.00956023,254208.12,504780.12,0.5,5,True
2026-04-08,2026-04-07,1.01129781,288809.91,505648.91,0.5,5,True
2026-04-09,2026-04-08,1.01210633,257070.16,506053.16,0.5,5,True
2026-04-10,2026-04-09,1.00919924,254705.62,504599.62,0.5,5,True
2026-04-13,2026-04-10,0.99710724,254705.62,498553.62,0.5,5,True
2026-04-14,2026-04-13,1.00205124,254705.62,501025.62,0.5,5,True
2026-04-15,2026-04-14,1.00298924,254705.62,501494.62,0.5,5,True
2026-04-16,2026-04-15,0.98559524,254705.62,492797.62,0.5,5,True
2026-04-17,2026-04-16,0.99683324,254705.62,498416.62,0.5,5,True
2026-04-20,2026-04-17,1.01750324,254705.62,508751.62,0.5,5,True
2026-04-21,2026-04-20,1.00940324,254705.62,504701.62,0.5,5,True
2026-04-22,2026-04-21,1.01668026,298328.13,508340.13,0.5,4,True
2026-04-23,2026-04-22,1.0082601,266152.05,504130.05,0.5,4,True
2026-04-24,2026-04-23,1.00159417,258840.08,500797.08,0.5,5,True
2026-04-27,2026-04-24,1.00489617,258840.08,502448.08,0.5,5,True
2026-04-28,2026-04-27,0.99337017,258840.08,496685.08,0.5,5,True
2026-04-29,2026-04-28,0.99838617,258840.08,499193.08,0.5,5,True
2026-04-30,2026-04-29,0.98780417,258840.08,493902.08,0.5,5,True
2026-05-06,2026-04-30,1.00663217,258840.08,503316.08,0.5,5,True
2026-05-07,2026-05-06,1.03017617,258840.08,515088.08,0.5,5,True
2026-05-08,2026-05-07,1.02820017,258840.08,514100.08,0.5,5,True
2026-05-11,2026-05-08,0.99352559,285295.8,496762.8,0.5,4,True
2026-05-12,2026-05-11,1.00580959,281994.8,502904.8,0.5,5,True
2026-05-13,2026-05-12,1.01869052,268403.26,509345.26,0.5,5,True
2026-05-14,2026-05-13,1.00935652,268403.26,504678.26,0.5,5,True
2026-05-15,2026-05-14,1.00800252,268403.26,504001.26,0.5,5,True
2026-05-18,2026-05-15,1.01847052,268403.26,509235.26,0.5,5,True
2026-05-19,2026-05-18,1.03094252,268403.26,515471.26,0.5,5,True
2026-05-20,2026-05-19,1.01807052,268403.26,509035.26,0.5,5,True
2026-05-21,2026-05-20,1.01400452,268403.26,507002.26,0.5,5,True
2026-05-22,2026-05-21,1.03828852,268403.26,519144.26,0.5,5,True
2026-05-25,2026-05-22,1.06997981,263154.9,534989.9,0.5,5,True
2026-05-26,2026-05-25,1.07407259,279033.29,537036.29,0.5,5,True
2026-05-27,2026-05-26,1.06718181,296552.9,533590.9,0.5,5,True
2026-05-28,2026-05-27,1.06367445,271631.23,531837.23,0.5,5,True
2026-05-29,2026-05-28,1.05905045,271631.23,529525.23,0.5,5,True
2026-06-01,2026-05-29,1.04126445,271631.23,520632.23,0.5,5,True
2026-06-02,2026-06-01,1.05839505,266045.53,529197.53,0.5,5,False
2026-06-03,2026-06-02,1.06795505,266045.53,533977.53,0.5,5,False
2026-06-04,2026-06-03,1.08472905,266045.53,542364.53,0.5,5,False
2026-06-05,2026-06-04,1.06753505,266045.53,533767.53,0.5,5,False
2026-06-08,2026-06-05,1.05087989,312121.94,525439.94,0.5,4,False
2026-06-09,2026-06-08,1.07576332,332059.66,537881.66,0.5,4,False
2026-06-10,2026-06-09,1.07827349,299826.75,539136.75,0.5,4,False
2026-06-11,2026-06-10,1.09978674,275766.37,549893.37,0.5,5,False
2026-06-12,2026-06-11,1.08441942,280493.71,542209.71,0.5,5,False
2026-06-15,2026-06-12,1.11727142,280493.71,558635.71,0.5,5,False
2026-06-16,2026-06-15,1.1448103,286284.15,572405.15,0.5,5,False
2026-06-17,2026-06-16,1.1549143,286284.15,577457.15,0.5,5,False
2026-06-18,2026-06-17,1.1634023,286284.15,581701.15,0.5,5,False
2026-06-22,2026-06-18,1.1965183,286284.15,598259.15,0.5,5,False
2026-06-23,2026-06-22,1.0220263,286284.15,511013.15,0.5,5,False
2026-06-24,2026-06-23,1.04794728,258917.64,523973.64,0.5,6,False
2026-06-25,2026-06-24,1.04785067,328605.33,523925.33,0.5,5,False
2026-06-26,2026-06-25,1.1979463,307780.15,598973.15,0.5,5,False
2026-06-29,2026-06-26,1.21887115,320642.57,609435.57,0.5,5,False
2026-06-30,2026-06-29,1.24383515,320642.57,621917.57,0.5,5,False
