trade_date,signal_date,nav,cash,equity,position_ratio,position_count,in_risk
2025-08-29,2025-08-28,1.06138587,318577.93,530692.93,0.4,5,True
2025-09-01,2025-08-29,1.06501987,318577.93,532509.93,0.4,5,True
2025-09-02,2025-09-01,1.06196787,318577.93,530983.93,0.4,5,True
2025-09-03,2025-09-02,1.05209187,318577.93,526045.93,0.4,5,True
2025-09-04,2025-09-03,1.04160787,318577.93,520803.93,0.4,5,True
2025-09-05,2025-09-04,1.04436387,318577.93,522181.93,0.4,5,True
2025-09-08,2025-09-05,1.05297187,318577.93,526485.93,0.4,5,True
2025-09-09,2025-09-08,1.02030115,336529.58,510150.58,0.4,5,True
2025-09-10,2025-09-09,1.02912263,317425.31,514561.31,0.4,5,True
2025-09-11,2025-09-10,1.05871463,317425.31,529357.31,0.4,5,True
2025-09-12,2025-09-11,1.04664663,317425.31,523323.31,0.4,5,True
2025-09-15,2025-09-12,1.04646063,317425.31,523230.31,0.4,5,True
2025-09-16,2025-09-15,1.04989463,317425.31,524947.31,0.4,5,True
2025-09-17,2025-09-16,1.05080663,317425.31,525403.31,0.4,5,True
2025-09-18,2025-09-17,1.04901063,317425.31,524505.31,0.4,5,True
2025-09-19,2025-09-18,1.05297863,317425.31,526489.31,0.4,5,True
2025-09-22,2025-09-19,1.05132063,317425.31,525660.31,0.4,5,True
2025-09-23,2025-09-22,1.07855274,351146.37,539276.37,0.4,5,True
2025-09-24,2025-09-23,1.07756339,329509.69,538781.69,0.4,5,True
2025-09-25,2025-09-24,1.087664,339389.0,543832.0,0.4,5,True
2025-09-26,2025-09-25,1.074274,339389.0,537137.0,0.4,5,True
2025-09-29,2025-09-26,1.084676,339389.0,542338.0,0.4,5,True
2025-09-30,2025-09-29,1.084398,339389.0,542199.0,0.4,5,True
2025-10-09,2025-09-30,1.084932,339389.0,542466.0,0.4,5,True
2025-10-10,2025-10-09,1.067594,339389.0,533797.0,0.4,5,True
2025-10-13,2025-10-10,1.057894,339389.0,528947.0,0.4,5,True
2025-10-14,2025-10-13,1.045508,339389.0,522754.0,0.4,5,True
2025-10-15,2025-10-14,1.0540704,334366.2,527035.2,0.4,5,True
2025-10-16,2025-10-15,1.04566458,315922.29,522832.29,0.4,5,True
2025-10-17,2025-10-16,1.03328265,315903.32,516641.32,0.4,5,True
2025-10-20,2025-10-17,1.02974665,315903.32,514873.32,0.4,5,True
2025-10-21,2025-10-20,1.03536865,315903.32,517684.32,0.4,5,True
2025-10-22,2025-10-21,1.02663465,315903.32,513317.32,0.4,5,True
2025-10-23,2025-10-22,1.02436265,315903.32,512181.32,0.4,5,True
2025-10-24,2025-10-23,1.03430665,315903.32,517153.32,0.4,5,True
2025-10-27,2025-10-24,1.04381665,315903.32,521908.32,0.4,5,True
2025-10-28,2025-10-27,1.03191865,315903.32,515959.32,0.4,5,True
2025-10-29,2025-10-28,1.03364346,327732.73,516821.73,0.4,5,True
2025-10-30,2025-10-29,1.02994155,315106.77,514970.77,0.4,5,True
2025-10-31,2025-10-30,1.01663226,357401.13,508316.13,0.4,4,True
2025-11-03,2025-10-31,1.0086168,308395.4,504308.4,0.4,5,True
2025-11-04,2025-11-03,0.9969108,308395.4,498455.4,0.4,5,True
2025-11-05,2025-11-04,1.0000668,308395.4,500033.4,0.4,5,True
2025-11-06,2025-11-05,1.0180368,308395.4,509018.4,0.4,5,True
2025-11-07,2025-11-06,1.0236908,308395.4,511845.4,0.4,5,True
2025-11-10,2025-11-07,1.0157348,308395.4,507867.4,0.4,5,True
2025-11-11,2025-11-10,1.0100668,308395.4,505033.4,0.4,5,True
2025-11-12,2025-11-11,1.00280034,308528.17,501400.17,0.4,5,True
2025-11-13,2025-11-12,1.0176934,309132.7,508846.7,0.4,5,True
2025-11-14,2025-11-13,1.0062314,309132.7,503115.7,0.4,5,True
2025-11-17,2025-11-14,1.0136878,307576.9,506843.9,0.4,5,True
2025-11-18,2025-11-17,1.0019738,307576.9,500986.9,0.4,5,True
2025-11-19,2025-11-18,1.0025498,307576.9,501274.9,0.4,5,True
2025-11-20,2025-11-19,0.9918798,307576.9,495939.9,0.4,5,True
2025-11-21,2025-11-20,0.9645318,307576.9,482265.9,0.4,5,True
2025-11-24,2025-11-21,0.9581838,307576.9,479091.9,0.4,5,True
2025-11-25,2025-11-24,0.9697118,307576.9,484855.9,0.4,5,True
2025-11-26,2025-11-25,0.9690235,334390.75,484511.75,0.4,4,True
2025-11-27,2025-11-26,0.96903102,334530.51,484515.51,0.4,4,True
2025-11-28,2025-11-27,0.97143302,334530.51,485716.51,0.4,4,True
2025-12-01,2025-11-28,0.87149246,306132.23,435746.23,0.4,5,True
2025-12-02,2025-12-01,0.86710952,262913.76,433554.76,0.4,6,True
2025-12-03,2025-12-02,0.85694352,262913.76,428471.76,0.4,6,True
2025-12-04,2025-12-03,0.85368352,262913.76,426841.76,0.4,6,True
2025-12-05,2025-12-04,0.85301952,262913.76,426509.76,0.4,6,True
2025-12-08,2025-12-05,0.86433152,262913.76,432165.76,0.4,6,True
2025-12-09,2025-12-08,0.86505952,262913.76,432529.76,0.4,6,True
2025-12-10,2025-12-09,0.85821097,288712.48,429105.48,0.4,5,True
2025-12-11,2025-12-10,0.8507919,288457.95,425395.95,0.4,5,True
2025-12-12,2025-12-11,0.8520339,288457.95,426016.95,0.4,5,True
2025-12-15,2025-12-12,0.94080225,326657.12,470401.12,0.4,4,True
2025-12-16,2025-12-15,0.93756839,286997.2,468784.2,0.4,5,True
2025-12-17,2025-12-16,0.94840239,286997.2,474201.2,0.4,5,True
2025-12-18,2025-12-17,0.94489439,286997.2,472447.2,0.4,5,True
2025-12-19,2025-12-18,0.94717839,286997.2,473589.2,0.4,5,True
2025-12-22,2025-12-19,0.96889239,286997.2,484446.2,0.4,5,True
2025-12-23,2025-12-22,0.97226639,286997.2,486133.2,0.4,5,True
2025-12-24,2025-12-23,0.98497452,293643.26,492487.26,0.4,5,True
2025-12-25,2025-12-24,0.98880149,296954.74,494400.74,0.4,5,True
2025-12-26,2025-12-25,0.99864549,296954.74,499322.74,0.4,5,True
2025-12-29,2025-12-26,1.01355697,302466.48,506778.48,0.4,5,True
2025-12-30,2025-12-29,1.0210989,305259.45,510549.45,0.4,5,True
2025-12-31,2025-12-30,1.0388229,305259.45,519411.45,0.4,5,True
