asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,claude_score,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,bs_score,bs_entry_score,bs_score_label,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,bs_gate_score,bs_gate_pass,bs_gate_label,bs_gate_reason,bs_model_prob,bs_model_expected_mdd,bs_model_risk_score,bs_model_rank_score,bs_model_version,bs_consensus_score,bs_consensus_label,bs_consensus_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_bs_ratio,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_regime,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,expected_mdd,risk_score,model_rank_score
2026-05-08,20260508,603010,603010.SH,万盛股份,72.07,72.07,0.0,100.0,99.2,93.5,87.66,4.74,17.43,9.05,,,,,,,,53.406,,,,,,,74.62,51.94,可交易,60.25,观察,44.74,回避,V2评分较好；相对强弱靠前；流动性偏弱,66.86,0,过滤,流动性低于门槛；买点后涨幅偏高,0.743892,,,55.1474,20260510_183937,32.22,模型分歧,模型高分；V2观察以上；模型与规则分歧,15.0,11.61,29.2,0,WATCH,1,-18.430000000000007,18.66399999999999,37.094,18.547123011399908,39.0885379619141,97.205,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.1384871515662871,0.07726707962925872,100.0,38.37172909397722
2026-05-08,20260508,600536,600536.SH,中国软件,72.14,72.14,0.0,100.0,99.2,94.56,80.43,9.7,23.86,7.6,,,,,,,,47.5154,,,,,,,62.63,81.03,观察,56.19,剔除,44.16,回避,V2评分较好；相对强弱靠前；买点后涨幅偏高,44.37,0,过滤,涨停可买性不足；买点后涨幅偏高,0.365737,,,27.4586,20260510_183937,27.91,回避,交易门禁过滤,43.45,37.59,15.59,1,WATCH,1,-3.859999999999999,24.6246,28.4846,15.4523081464658,43.807074771091486,97.576,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.15888266396419262,-0.0042633376983196025,98.57888743389347,38.36729295293558
2026-05-08,20260508,688017,688017.SH,绿的谐波,74.86,74.86,0.0,100.0,99.2,95.83,93.98,19.78,27.88,7.85,,,,,,,,53.6235,,,,,,,72.42,51.8,可交易,64.37,观察,60.24,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,72.0,0,过滤,买点后涨幅偏高,0.78743,,,59.4311,20260510_183937,55.54,回避,模型高分；研究建议通过；V2观察以上,262.99,203.45,29.27,0,WATCH,1,-3.640000000000001,21.2365,24.8765,13.435517509571412,51.18752191696723,98.0205,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.14258814149751806,-0.02647472599984023,91.17509133338659,38.324052189859074
2026-05-08,20260508,002445,002445.SZ,中南文化,54.52,54.52,0.0,100.0,43.85,70.68,60.84,15.06,24.86,7.4,,,,,,,,55.5486,,,,,,,64.4,88.19,观察,54.13,剔除,43.77,回避,指数20日涨幅偏高,100.0,1,可买,满足流动性、涨幅、风险门禁,0.187416,,,29.3581,20260510_183937,33.08,回避,共振不足,3.95,3.79,4.22,0,,1,-19.479999999999997,-1.0285999999999973,18.4514,10.961923340363224,38.89064669043188,53.2405,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.18506135229806955,-0.02773777792832688,90.75407402389104,38.24929224146783
2026-05-08,20260508,300424,300424.SZ,航新科技,63.64,63.64,0.0,100.0,43.85,87.83,73.19,65.13,16.48,7.6,,,,,,,,47.584,,,,,,,66.94,95.22,可交易,58.41,观察,42.67,回避,V2评分较好；相对强弱靠前；流动性偏弱,90.29,0,观察,流动性低于门槛；买点后涨幅偏高,0.146848,,,22.8023,20260510_183937,28.02,回避,V2观察以上；交易门禁观察,19.07,17.35,9.91,0,WATCH,1,-12.36,16.055999999999997,28.415999999999997,14.248004491857795,34.72997552547367,59.242999999999995,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.16625620904120833,-0.02715942235150806,90.94685921616397,38.219901424897095
2026-05-08,20260508,002843,002843.SZ,泰嘉股份,57.33,57.33,0.0,100.0,43.85,29.12,87.33,78.19,25.86,7.25,,,,,,,,52.0513,,,,,,,68.09,94.4,可交易,61.09,观察,61.62,普通观察,V2与强势流动性共振；相对强弱靠前；指数20日涨幅偏高,96.86,0,观察,买点后涨幅偏高,0.212473,,,28.2001,20260510_183937,43.38,回避,研究建议通过；V2观察以上；交易门禁观察,27.56,25.0,10.24,0,,1,-15.170000000000002,5.278700000000001,20.4487,10.615577432716508,47.52214010332447,38.694500000000005,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.16773980669565822,-0.04234230731172843,85.88589756275718,38.21977303615307
2026-05-08,20260508,601890,601890.SH,亚星锚链,58.15,58.15,0.0,100.0,43.85,29.12,52.06,97.96,23.17,6.6,,,,,,,,52.9364,,,,,,,60.69,89.31,观察,54.44,剔除,42.48,回避,指数20日涨幅偏高,100.0,1,可买,满足流动性、涨幅、风险门禁,0.144204,,,26.4263,20260510_183937,31.05,回避,共振不足,10.96,10.48,4.58,0,,1,-7.850000000000001,5.2136,13.0636,6.575988771279952,34.73082492541748,38.694500000000005,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.18194475579579672,-0.026522629032841416,91.15912365571953,38.20055389610573
2026-05-08,20260508,603706,603706.SH,东方环宇,60.68,60.68,0.0,100.0,87.73,29.12,72.68,59.82,1.83,7.15,,,,,,,,52.1399,,,,,,,68.5,96.25,可交易,52.54,剔除,32.71,回避,相对强弱靠前；流动性偏弱；指数20日涨幅偏高,62.9,0,过滤,流动性低于门槛；买点后涨幅偏高,0.157572,,,11.792,20260510_183937,14.74,回避,交易门禁过滤,22.25,20.32,9.5,0,WATCH,1,-10.82,8.540100000000002,19.360100000000003,9.702398157328595,11.532753357286367,67.2165,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.17357896574155343,-0.007497857152393081,97.50071428253564,38.17484508687355
2026-05-08,20260508,603477,603477.SH,巨星农牧,49.88,49.88,0.0,100.0,43.85,29.12,38.28,22.97,22.3,6.15,,,,,,,,43.4968,,,,,,,51.84,71.0,等待,43.54,剔除,34.56,回避,指数20日涨幅偏高,100.0,1,可买,满足流动性、涨幅、风险门禁,0.221372,,,28.5581,20260510_183937,28.01,回避,共振不足,18.66,18.81,-0.8,0,,1,-11.619999999999996,6.383200000000002,18.0032,9.127658082991497,29.21718672288624,38.694500000000005,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.21796997274312732,-0.016747780678021296,94.41740644065956,38.12580933068657
2026-05-08,20260508,000039,000039.SZ,中集集团,47.4,47.4,0.0,100.0,43.85,29.12,70.2,2.75,25.55,7.7,,,,,,,,52.4867,,,,,,,64.51,84.56,观察,51.98,剔除,46.8,回避,相对强弱靠前；指数20日涨幅偏高,100.0,1,可买,满足流动性、涨幅、风险门禁,0.240485,,,32.4279,20260510_183937,35.87,回避,共振不足,12.81,12.43,3.06,0,,1,-29.6,-5.0867,24.5133,15.826856888319089,42.35103304525168,38.694500000000005,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.1971308894329159,-0.03427617649654374,88.57460783448542,38.10904454114777
