strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-16,000938,紫光股份,BUY,38.59,0,1900,1900,1900,0.0,0.14835500506337929,0.14835500506337929,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-16,000725,京东方Ａ,BUY,6.05,0,8600,8600,8600,0.0,0.10462622581720016,0.10462622581720016,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-16,600584,长电科技,BUY,83.21,0,600,600,600,0.0,0.10757160258964162,0.10757160258964162,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-16,000938,紫光股份,BUY,38.59,0,1000,1000,1000,0.0,0.07991962721721535,0.07991962721721535,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-16,002156,通富微电,BUY,75.95,0,500,500,500,0.0,0.08476873169348718,0.08476873169348718,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-16,002384,东山精密,BUY,268.8,0,100,100,100,0.0,0.06554765475409953,0.06554765475409953,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-16,300759,康龙化成,BUY,38.6,0,1400,1400,1400,0.0,0.10979761124016095,0.10979761124016095,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-16,600900,长江电力,BUY,28.24,0,6300,6300,6300,0.0,0.35996637509503704,0.35996637509503704,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-16,000938,紫光股份,BUY,38.59,0,2200,2200,2200,0.0,0.1742418200089405,0.1742418200089405,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-16,002156,通富微电,BUY,75.95,0,800,800,800,0.0,0.12343426620977344,0.12343426620977344,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-16,002384,东山精密,BUY,268.8,0,200,200,200,0.0,0.15164407990373277,0.15164407990373277,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-16,300759,康龙化成,BUY,38.6,0,1300,1300,1300,0.0,0.10204278955349833,0.10204278955349833,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-16,600900,长江电力,BUY,28.24,0,2600,2600,2600,0.0,0.148637044324055,0.148637044324055,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-07-16,000711,ST京蓝,BUY,4.56,0,16000,16000,16000,0.0,0.14677992585681598,0.14677992585681598,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-16,001270,*ST铖昌,BUY,122.16,0,500,500,500,0.0,0.14504413700607596,0.14504413700607596,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-16,002647,*ST仁东,BUY,9.96,0,6700,6700,6700,0.0,0.13360456345732907,0.13360456345732907,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-16,301176,逸豪新材,BUY,58.2,0,1100,1100,1100,0.0,0.13322342914866123,0.13322342914866123,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-16,600228,*ST返利,BUY,6.55,0,10700,10700,10700,0.0,0.14134794453111765,0.14134794453111765,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-16,000725,京东方Ａ,BUY,6.05,0,9700,9700,9700,0.0,0.11833118293055742,0.11833118293055742,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
