signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,route_reason,risk_veto_reason,dual_intersection_count,dual_union_count
2026-03-09,2026-03-10,adaptive_market_style,2,002261,拓维信息,软件服务,92.4350350716682,0.037309506052792915,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,,,,,,
2026-03-09,2026-03-10,adaptive_market_style,3,000933,神火股份,铝,92.4048551387618,0.051470994108007394,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,,,,,,
2026-03-09,2026-03-10,adaptive_market_style,4,601868,中国能建,建筑工程,92.1678438548338,0.06365867867537478,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,,,,,,
2026-03-09,2026-03-10,adaptive_market_style,5,601872,招商轮船,水运,91.99727965843245,0.023489435676531747,0.0,1,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0,index_neutral,normal,,,,,,
2026-03-10,2026-03-11,adaptive_market_style,1,001309,德明利,半导体,95.67908475196778,0.03986077922840817,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-10,2026-03-11,adaptive_market_style,2,601872,招商轮船,水运,93.126392092257,0.024105598832306487,0.0,1,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-10,2026-03-11,adaptive_market_style,3,002261,拓维信息,软件服务,92.71537982793339,0.03697559386319192,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-10,2026-03-11,adaptive_market_style,4,300475,香农芯创,元器件,92.62741350906096,0.0368140325526247,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-10,2026-03-11,adaptive_market_style,5,601868,中国能建,建筑工程,92.56589419732748,0.05765390757408385,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-11,2026-03-12,adaptive_market_style,1,001309,德明利,半导体,96.47261617270398,0.03988580453508926,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-11,2026-03-12,adaptive_market_style,2,601669,中国电建,建筑工程,93.11604098060738,0.07632231858436037,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-11,2026-03-12,adaptive_market_style,3,601179,中国西电,电气设备,92.65686059275521,0.037599576706299286,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-11,2026-03-12,adaptive_market_style,4,002281,光迅科技,通信设备,92.6331284302964,0.04387249222819273,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-11,2026-03-12,adaptive_market_style,5,002261,拓维信息,软件服务,92.19319429198683,0.036491717838527206,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-12,2026-03-13,adaptive_market_style,1,601669,中国电建,建筑工程,93.78248079034027,0.07520990683037379,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-12,2026-03-13,adaptive_market_style,2,002281,光迅科技,通信设备,92.94142700329309,0.04199464181806501,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
