strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,ashare_resolved_strategy,route_reason,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,risk_veto_reason,dual_intersection_count,dual_union_count
adaptive_market_style,2026-04-24,2026-04-23,242644.46362749994,220558.0,463202.46362749994,0.9264049272549999,5,0.47615895276707604,5,223168.0,5,0,465812.46362749994,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.2804888651312119,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,0.5397068018478984,0.0,index_strong,normal,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-04-27,2026-04-24,242644.46362749994,218386.0,461030.46362749994,0.9220609272549999,5,0.4736910404611569,5,220665.0,5,0,463309.46362749994,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.186488565114603,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,0.5307689885957475,1.0,index_strong,normal,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-04-28,2026-04-27,242644.46362749994,216494.0,459138.46362749994,0.9182769272549999,5,0.4715222468828969,5,216004.0,5,0,458648.46362749994,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1439864146061272,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,0.749720563099009,1.0,index_strong,normal,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-04-29,2026-04-28,242644.46362749994,227138.0,469782.46362749994,0.9395649272549998,5,0.4834961233889359,5,215580.0,5,0,458224.46362749994,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1050084589928288,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,1.0243116466803466,1.0,index_strong,normal,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-04-30,2026-04-29,147813.49837749993,317900.0,465713.4983774999,0.9314269967549998,5,0.6826085159814614,4,196761.0,5,2,470692.46362749994,5.0,0.7,4.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1157371643608842,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,1.1594056949564413,1.0,index_strong,normal,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-06,2026-04-30,147938.10862749993,335342.0,483280.1086274999,0.9665602172549997,5,0.6938874454244778,3,235806.0,5,4,470673.4983774999,5.0,0.7,3.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.161785594675291,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,1.4802804680083077,1.0,index_strong,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-07,2026-05-06,107394.47212749996,370082.0,477476.4721275,0.954952944255,5,0.7750790281896391,3,218198.0,5,4,483058.1086274999,5.0,0.8,3.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.3281717420843155,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,1.8194118325154278,1.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
adaptive_market_style,2026-05-08,2026-05-07,107394.47212749996,364096.0,471490.4721275,0.942980944255,5,0.7722234520606421,5,364236.0,5,0,471630.4721275,5.0,0.8,5.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.2571045587254766,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,2.0192528441100506,0.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
adaptive_market_style,2026-05-11,2026-05-08,107394.47212749996,377601.0,484995.4721275,0.969990944255,5,0.7785660314386045,5,367046.0,5,0,474440.4721275,5.0,0.8,4.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.1866552239964943,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,2.2427835649489616,0.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
adaptive_market_style,2026-05-12,2026-05-11,107394.47212749996,382906.0,490300.4721275,0.980600944255,5,0.7809619238963885,5,375612.0,5,0,483006.4721275,5.0,0.8,5.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.3445560281752933,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,2.4748601838313915,0.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
