fold_id,trade_date,phase,strategy_return,benchmark_return,model_config_sha,parameter_selected_at,market_beta,size,volatility,liquidity,industry,momentum,value
WF000,2023-06-15,TEST,-0.002072995035444447,0.015909489003394173,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0001530009898844,-0.0053515659632736,-0.0002430193617543,-0.0097126373595545,0.0353075871147884,-0.0132807690450324,-0.0040359087254003
WF000,2023-06-16,TEST,0.0031787235828373284,0.009642477656623738,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0061423904175357,-0.0047296283421266,-0.0107272612401892,-0.0111013231681166,0.0319811639432959,0.0043890119560907,-0.011447580191071
WF000,2023-06-19,TEST,0.001150966715355306,-0.008185751953322828,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0009573675845567,-0.0033472901515876,-0.0146938245148443,-0.0132111170666174,0.0412116147582105,0.0130070127274425,-0.0080364031439657
WF000,2023-06-20,TEST,-0.0044146286970930815,-0.001696864468267334,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0041537360803488,-0.0071093246099609,-0.0089423736010646,-0.0102332538219118,0.0315330697453126,0.0076690529459616,-0.0123799775243034
WF000,2023-06-21,TEST,0.00021362552985815242,-0.015341932675763337,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0077282390737799,0.0114945170414209,0.0198627657605091,0.0217630972395188,0.0383871121338787,-0.0194208208780638,0.0187652204417559
WF000,2023-06-26,TEST,-0.00497470712875514,-0.014062024744904478,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0135979163597948,-0.0025677661192581,0.0058207144118205,0.0080039585671367,0.0405256393081797,-0.0135581352320983,0.0098033855924484
WF000,2023-06-27,TEST,0.008660084021046677,0.009380597075525188,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0036643148344657,0.0199124131664915,0.0002061946281149,0.0164013200717197,0.0372294572478644,-0.0154907257998818,0.0108031778017729
WF000,2023-06-28,TEST,0.005980289600170607,-0.0012052742206628553,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0113321847400895,-0.0017348054385626,0.0076990101026245,0.0051174032623738,0.0328058769056927,-0.0013979783930152,0.0083664072531093
WF000,2023-06-29,TEST,-0.0008227207418575189,-0.0049351979115426214,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0108401433556569,0.0187874361854698,-0.0017127707495359,0.0107045615113126,0.0405192754144272,-0.0001575933006613,-0.0087136094862023
WF000,2023-06-30,TEST,0.011398479828166774,0.005392193069357676,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,0.0040176734869406,0.0002617718303588,-0.0066687699955819,-0.0040748922908913,0.0328348416679519,-0.0017106944613042,-0.0036859455534714
WF000,2023-07-03,TEST,-0.002403011525929144,0.013124558237822548,ff9f015044cbc354df618965bae154f3967f3ef11c913d3084d42e20e07d9e32,2023-05-17,-0.0034854585705137,0.0026918389362929,0.0093719309324215,0.004274240804264,0.0397776041703174,-0.0084780024732684,0.0096238571998195
