trade_date,history_dates,history_start,history_end,weight_score,weight_s_liquidity,weight_liquidity_detail_score,weight_score_liq_breakout_adj,weight_s_rs,weight_s_breakout,raw_score,raw_s_liquidity,raw_liquidity_detail_score,raw_score_liq_breakout_adj,raw_s_rs,raw_s_breakout,method,raw_ic_score,raw_ic_s_liquidity,raw_ic_liquidity_detail_score,raw_ic_score_liq_breakout_adj,raw_ic_s_rs,raw_ic_s_breakout
2024-10-09,20,2024-08-12,2024-09-06,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,20,2024-08-13,2024-09-09,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-11,20,2024-08-14,2024-09-10,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,20,2024-08-15,2024-09-11,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,20,2024-08-16,2024-09-12,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.004324387522230709,0.0,0.0,0.0,0.0
2024-10-16,20,2024-08-19,2024-09-13,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.01900849718242757,0.0,0.0,0.0,0.0
2024-10-17,20,2024-08-20,2024-09-18,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.03221897501493999,0.0,0.0,0.0,0.0
2024-10-18,20,2024-08-21,2024-09-19,0.0,0.8908037438174324,0.10919625618256762,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.0496807647890083,0.006089953659151059,0.0,0.0,0.0
2024-10-21,20,2024-08-22,2024-09-20,0.0,0.7770413453276105,0.22295865467238957,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.06647497209164198,0.01907385036337847,0.0,0.0,0.0
2024-10-22,20,2024-08-23,2024-09-23,0.0,0.7240634779305918,0.2759365220694082,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.0827089010331062,0.03151989734447834,0.0,0.0,0.0
2024-10-23,20,2024-08-26,2024-09-24,0.0,0.6917229733986555,0.30827702660134465,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.10004581292206893,0.04458696171386946,0.0,0.0,0.0
2024-10-24,20,2024-08-27,2024-09-25,0.0,0.678491972720782,0.321508027279218,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.11019019569917451,0.05221437226838314,0.0,0.0,0.0
2024-10-25,20,2024-08-28,2024-09-26,0.0,0.680323140295994,0.3196768597040059,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.11577240474351795,0.054400264516486704,0.0,0.0,0.0
2024-10-28,20,2024-08-29,2024-09-27,0.0,0.6919402452269189,0.30805975477308123,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.1138679121069259,0.05069530399793213,0.0,0.0,0.0
