sample_split,event_date,event_date_key,event_uid,symbol,ts_code,name,event_seq_for_symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20
train,2026-02-25,20260225,20260225_600268_01,600268,600268.SH,国电南自,1,当天出现买点,当天无卖点,4,2,1,0,2026-02-25 15:58:08,28.87,28.87,0.0,0.0,47.27,20.41,27.93,18.74,24.79,6.35,54.2283,50.99,75.0,13.42,13.42,0.0,0,,1,0.032042,0.032042,0.0,0.0,0.0,,0.050671,0.050671,0.0,1.0,0.0,,0.038003,0.050671,0.0,1.0,0.0,,0.288376,0.288376,0.0,1.0,1.0,7.0,0.064083,0.288376,0.0,1.0,1.0,7.0
train,2026-02-25,20260225,20260225_600340_01,600340,600340.SH,华夏幸福,1,当天出现买点,当天无卖点,1,1,1,0,2026-02-25 16:00:28,44.07,44.07,0.0,0.0,47.27,82.47,87.16,47.66,21.16,6.5,37.1255,58.33,75.0,1.75,1.75,0.0,0,,1,-0.045714,0.0,-0.045714,0.0,0.0,,-0.074286,0.0,-0.074286,0.0,0.0,,-0.114286,0.0,-0.12,0.0,0.0,,-0.102857,0.0,-0.12,0.0,0.0,,-0.16,0.0,-0.188571,0.0,0.0,
train,2026-02-25,20260225,20260225_600497_01,600497,600497.SH,驰宏锌锗,1,当天出现买点,当天无卖点,2,1,1,0,2026-02-25 15:58:38,44.99,44.99,0.0,0.0,47.27,95.92,84.91,50.44,28.65,5.85,64.8509,63.11,75.0,10.0,10.0,0.0,0,,1,0.028,0.028,0.0,0.0,0.0,,0.122,0.122,0.0,1.0,1.0,2.0,0.023,0.122,0.0,1.0,1.0,2.0,-0.003,0.122,-0.031,1.0,1.0,2.0,-0.205,0.122,-0.246,1.0,1.0,2.0
train,2026-02-25,20260225,20260225_600518_04,600518,600518.SH,康美药业,4,当天出现买点,当天无卖点,4,4,1,0,2026-02-25 15:58:43,42.25,42.25,0.0,0.0,47.27,85.11,44.32,14.32,21.25,6.15,41.3249,51.63,75.0,1.93,1.93,0.0,0,,1,-0.010363,0.0,-0.010363,0.0,0.0,,-0.015544,0.0,-0.015544,0.0,0.0,,-0.036269,0.0,-0.036269,0.0,0.0,,-0.031088,0.0,-0.036269,0.0,0.0,,-0.082902,0.0,-0.119171,0.0,0.0,
train,2026-02-25,20260225,20260225_600675_02,600675,600675.SH,中华企业,2,当天出现买点,当天无卖点,3,2,1,0,2026-02-25 16:01:59,52.25,52.25,0.0,100.0,47.27,96.74,37.29,39.18,16.92,6.45,58.3906,57.24,75.0,2.99,2.99,0.0,0,,1,-0.036789,0.0,-0.036789,0.0,0.0,,-0.056856,0.0,-0.056856,0.0,0.0,,-0.09699,0.0,-0.09699,0.0,0.0,,-0.076923,0.0,-0.09699,0.0,0.0,,-0.107023,0.0,-0.147157,0.0,0.0,
train,2026-02-25,20260225,20260225_601608_01,601608,601608.SH,中信重工,1,当天出现买点,当天无卖点,3,3,1,0,2026-02-25 16:02:39,49.25,49.25,0.0,0.0,47.27,86.89,82.25,64.85,25.68,6.3,52.1768,61.53,75.0,7.91,7.91,0.0,0,,1,0.00885,0.00885,0.0,0.0,0.0,,-0.012642,0.00885,-0.012642,0.0,0.0,,-0.08976,0.00885,-0.08976,0.0,0.0,,-0.08976,0.00885,-0.109987,0.0,0.0,,-0.21871,0.00885,-0.25158,0.0,0.0,
train,2026-02-25,20260225,20260225_603030_02,603030,603030.SH,全筑股份,2,当天出现买点,当天无卖点,3,2,1,0,2026-02-25 16:01:34,42.11,42.11,0.0,0.0,47.27,79.49,51.32,32.42,8.46,6.45,33.8703,51.7,75.0,2.93,2.93,0.0,0,,1,-0.030717,0.0,-0.030717,0.0,0.0,,-0.068259,0.0,-0.068259,0.0,0.0,,-0.112628,0.0,-0.112628,0.0,0.0,,-0.088737,0.0,-0.112628,0.0,0.0,,-0.139932,0.0,-0.208191,0.0,0.0,
train,2026-02-25,20260225,20260225_603055_02,603055,603055.SH,台华新材,2,当天出现买点,当天无卖点,4,5,1,0,2026-02-25 16:01:08,65.54,65.54,0.0,100.0,98.72,99.61,69.19,0.48,5.18,7.7,61.7465,71.18,75.0,9.88,9.88,0.0,0,WATCH,1,0.009109,0.009109,0.0,0.0,0.0,,-0.022267,0.009109,-0.022267,0.0,0.0,,-0.051619,0.009109,-0.051619,0.0,0.0,,0.003036,0.009109,-0.051619,0.0,0.0,,-0.007085,0.065789,-0.08502,1.0,0.0,
train,2026-02-25,20260225,20260225_603168_02,603168,603168.SH,莎普爱思,2,当天出现买点,当天无卖点,3,4,1,0,2026-02-25 16:02:43,29.53,29.53,0.0,0.0,47.27,20.41,38.81,11.94,2.99,6.85,39.9103,50.64,75.0,7.56,7.56,0.0,0,,1,-0.011905,0.0,-0.011905,0.0,0.0,,-0.055556,0.0,-0.055556,0.0,0.0,,-0.089947,0.0,-0.089947,0.0,0.0,,-0.046296,0.0,-0.089947,0.0,0.0,,-0.109788,0.031746,-0.167989,0.0,0.0,
train,2026-02-25,20260225,20260225_603260_01,603260,603260.SH,合盛硅业,1,当天出现买点,当天无卖点,1,2,1,0,2026-02-25 15:59:17,37.16,37.16,0.0,0.0,47.27,97.89,31.78,37.51,24.67,6.05,45.4328,49.71,75.0,52.57,52.57,0.0,0,,1,-0.02606,0.0,-0.02606,0.0,0.0,,-0.035762,0.0,-0.035762,0.0,0.0,,-0.083127,0.0,-0.083127,0.0,0.0,,-0.071714,0.0,-0.090356,0.0,0.0,,-0.193837,0.0,-0.19631,0.0,0.0,
