event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20
20260123_601108_01,2026-01-23,601108,601108.SH,0.0,0.042999,0.020948,0.017641,0.042999,0.026461,-0.019846,-0.020948,-0.006615,-0.00441,-0.022051,-0.002205,-0.017641,-0.014333,-0.024256,-0.045204,-0.044101,-0.034179,-0.047409,-0.041896,-0.056229
20260123_603030_01,2026-01-23,603030,603030.SH,0.0,0.023026,-0.009868,-0.039474,-0.046053,-0.055921,-0.085526,-0.078947,-0.072368,-0.055921,-0.046053,-0.039474,-0.046053,-0.046053,-0.059211,-0.075658,-0.052632,-0.036184,-0.065789,-0.065789,-0.101974
20260123_603717_01,2026-01-23,603717,603717.SH,0.0,-0.013977,-0.027954,-0.038119,-0.036849,-0.005083,-0.024142,-0.029225,-0.006353,-0.007624,-0.012706,0.011436,0.007624,0.002541,-0.026684,-0.015248,0.001271,-0.007624,-0.006353,0.003812,-0.050826
20260123_605117_01,2026-01-23,605117,605117.SH,0.0,0.061116,0.065861,0.022368,-0.024401,-0.051401,-0.059986,-0.001356,0.020673,-0.022368,-0.01638,0.052192,0.075689,0.091279,0.092408,0.068685,0.042363,0.112291,0.110822,0.180524,0.298577
20260126_300024_01,2026-01-26,300024,300024.SZ,0.0,-0.021921,-0.056367,-0.0762,-0.092902,-0.11691,-0.09238,-0.097077,-0.106994,-0.101775,-0.081942,-0.078288,-0.083507,-0.08142,-0.071503,-0.064718,-0.06785,-0.083507,-0.086639,-0.113257,-0.158142
20260126_600153_01,2026-01-26,600153,600153.SH,0.0,-0.003212,0.002152,0.034303,0.022515,-0.008565,0.003222,0.038586,0.039657,0.020364,0.034303,0.037515,-0.005962,-0.007012,-0.025906,-0.017509,0.016081,0.007684,0.01923,0.02028,0.009783
20260126_600518_01,2026-01-26,600518,600518.SH,0.0,-0.015306,-0.020408,-0.020408,-0.030612,-0.035714,-0.035714,-0.02551,-0.030612,-0.020408,-0.020408,-0.015306,-0.020408,-0.030612,-0.035714,-0.02551,-0.015306,-0.02551,-0.015306,-0.030612,-0.040816
20260126_689009_01,2026-01-26,689009,689009.SH,0.0,0.004122,-0.017921,-0.024194,-0.072401,-0.102867,-0.101971,-0.100717,-0.058423,-0.045699,-0.047312,-0.047133,-0.039785,-0.051792,-0.063262,-0.055914,-0.056452,-0.086201,-0.087814,-0.12043,-0.150717
20260127_300628_01,2026-01-27,300628,300628.SZ,0.0,0.00976,0.016882,0.012134,-0.022158,0.016355,-0.008177,-0.030071,-0.03904,-0.030071,-0.030335,-0.026642,-0.023213,-0.047217,-0.028225,-0.029807,-0.008177,-0.008705,-0.047481,-0.080717,-0.090214
20260128_000568_01,2026-01-28,000568,000568.SZ,0.0,0.099965,0.058762,0.068395,0.071022,0.106051,0.098695,0.075663,0.062177,0.035029,0.03284,0.012523,0.01804,-0.0148,-0.011122,-0.027936,-0.032315,-0.052719,-0.058587,-0.09239,-0.08985
20260128_000858_01,2026-01-28,000858,000858.SZ,0.0,0.1,0.042701,0.065442,0.065343,0.077656,0.081331,0.062562,0.066137,0.057597,0.053029,0.038928,0.053227,0.04429,0.044389,0.031579,0.033267,0.025025,0.018371,0.003178,0.007448
20260128_002035_01,2026-01-28,002035,002035.SZ,0.0,0.020929,0.014497,-0.001616,-0.001616,-0.011376,-0.006623,-0.01296,-0.00187,-0.005038,-0.009791,-0.019297,-0.02405,-0.009791,-0.006623,-0.00187,0.004468,-0.006623,-0.022466,-0.044647,-0.041478
20260128_002629_01,2026-01-28,002629,002629.SZ,0.0,0.060703,-0.017572,-0.030351,-0.031949,-0.027157,-0.033546,0.003195,-0.00639,0.0,0.043131,-0.011182,0.0,0.065495,0.063898,0.035144,0.070288,0.177316,0.295527,0.166134,0.107029
20260128_300315_01,2026-01-28,300315,300315.SZ,0.0,0.037288,0.025424,-0.025424,0.033898,0.00678,-0.005085,-0.013559,0.040678,0.101695,0.069492,0.061017,0.025424,-0.013559,-0.011864,-0.020339,-0.015254,-0.069492,-0.122034,-0.130508,-0.115254
20260128_600622_02,2026-01-28,600622,600622.SH,0.0,0.024138,-0.010345,-0.024138,-0.010345,0.013793,0.017241,0.006897,0.031034,0.024138,0.02069,-0.003448,-0.017241,-0.006897,0.031034,-0.003448,-0.003448,-0.02069,-0.037931,-0.044828,-0.037931
20260128_600702_01,2026-01-28,600702,600702.SH,0.0,0.100037,0.04105,0.062315,0.062315,0.078957,0.098558,0.058617,0.058802,0.029956,0.022929,0.002589,-0.01054,-0.017197,-0.006657,-0.021635,-0.018121,-0.056398,-0.049371,-0.084874,-0.085429
20260128_600757_01,2026-01-28,600757,600757.SH,0.0,0.018868,0.021088,0.00111,0.009989,0.017758,0.022198,0.008879,0.025527,0.053274,0.029967,0.017758,0.012209,0.012209,0.022198,0.016648,0.017758,0.007769,-0.00222,-0.024417,-0.023307
20260128_601990_01,2026-01-28,601990,601990.SH,0.0,0.002481,-0.013648,-0.028536,-0.023573,-0.01737,-0.014888,-0.019851,-0.013648,-0.01737,-0.01861,-0.023573,-0.031017,-0.027295,-0.01861,-0.023573,-0.021092,-0.037221,-0.050868,-0.066998,-0.064516
20260129_000029_01,2026-01-29,000029,000029.SZ,0.0,0.005007,0.017751,0.04051,0.039599,0.050523,0.005917,0.017751,-0.012289,0.056441,0.050979,0.055075,0.048703,0.071461,0.055985,0.056441,0.037779,-0.005462,-0.038689,-0.035048,-0.008648
20260129_000735_01,2026-01-29,000735,000735.SZ,0.0,0.03936,-0.01845,-0.03075,-0.03198,-0.03813,-0.04797,-0.03198,-0.04797,-0.04674,-0.065191,-0.060271,-0.054121,-0.04059,-0.050431,-0.03567,-0.055351,-0.067651,-0.065191,-0.077491,-0.04551
20260129_000799_01,2026-01-29,000799,000799.SZ,0.0,-0.000528,0.034301,0.01759,0.051891,0.030079,-0.008267,-0.007916,-0.041161,-0.051187,-0.067898,-0.082674,-0.090765,-0.083377,-0.097801,-0.099208,-0.140369,-0.133157,-0.183993,-0.183817,-0.171504
20260129_002654_01,2026-01-29,002654,002654.SZ,0.0,0.03634,-0.067489,-0.077872,-0.095393,-0.097988,-0.107722,-0.091499,-0.086957,-0.092797,-0.094095,-0.067489,-0.009085,0.007138,-0.004543,-0.009085,-0.04867,-0.131733,-0.127839,-0.090201,-0.04218
20260129_300458_01,2026-01-29,300458,300458.SZ,0.0,0.033669,-0.037486,-0.019305,-0.048486,-0.071157,-0.071606,-0.057463,-0.056791,-0.062851,-0.051852,-0.058137,-0.043771,-0.041077,-0.036588,-0.042874,-0.088889,-0.143435,-0.144781,-0.140292,-0.122111
20260129_300833_01,2026-01-29,300833,300833.SZ,0.0,0.019333,-0.005333,0.030444,0.007111,-0.001111,0.004222,0.016,0.007778,0.026222,0.009333,-0.064889,-0.068889,-0.060222,-0.048222,-0.054889,-0.093778,-0.087333,-0.127556,-0.11,-0.188
