asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected
2026-05-08,20260508,002943,002943.SZ,宇晶股份,66.09,66.09,0.0,100.0,95.43,29.12,98.38,31.14,26.9,8.55,44.5287,64.22,40.0,74.5,51.26,45.34,0,WATCH,1
2026-05-08,20260508,300145,300145.SZ,南方泵业,45.3,45.3,0.0,0.0,43.85,58.43,78.77,77.19,23.18,6.95,60.6722,64.22,74.0,5.05,5.06,-0.2,0,,1
2026-05-08,20260508,300084,300084.SZ,海默科技,59.62,59.62,0.0,100.0,43.85,66.51,75.23,64.21,16.7,7.25,45.6842,64.17,85.8,12.13,10.67,13.68,0,,1
2026-05-08,20260508,002756,002756.SZ,永兴材料,50.92,50.92,0.0,100.0,43.85,29.12,59.51,11.42,28.31,7.4,59.2747,63.85,80.75,79.65,78.21,1.84,0,,1
2026-05-08,20260508,300346,300346.SZ,南大光电,55.31,55.31,0.0,100.0,43.85,61.02,76.81,16.25,28.87,6.75,51.7863,63.84,86.35,54.12,47.7,13.46,0,,1
2026-05-08,20260508,600712,600712.SH,南宁百货,64.49,64.49,0.0,100.0,91.54,83.33,46.97,22.6,4.6,7.65,41.9283,63.79,90.59,6.52,6.21,4.99,0,WATCH,1
2026-05-08,20260508,002475,002475.SZ,立讯精密,55.34,55.34,0.0,100.0,43.85,65.92,95.78,64.58,29.98,8.6,59.0542,63.42,40.0,71.29,52.27,36.39,0,,1
2026-05-08,20260508,002545,002545.SZ,东方铁塔,50.61,50.61,0.0,100.0,43.85,29.12,66.86,28.87,24.27,6.8,55.3613,63.37,93.17,25.08,22.65,10.73,0,,1
2026-05-08,20260508,600027,600027.SH,华电国际,53.12,53.12,0.0,100.0,43.85,29.12,66.93,52.61,24.19,6.6,54.6291,63.31,96.5,5.13,4.8,6.88,0,,1
2026-05-08,20260508,600157,600157.SH,永泰能源,66.74,66.74,0.0,100.0,88.93,95.17,36.72,27.71,27.39,7.2,51.0455,63.08,87.5,1.82,1.75,4.0,0,WATCH,1
2026-05-08,20260508,603888,603888.SH,新华网,58.93,58.93,0.0,100.0,43.85,67.37,50.15,46.68,17.11,7.7,54.0283,63.03,78.66,20.83,20.59,1.17,0,,1
2026-05-08,20260508,002396,002396.SZ,星网锐捷,43.03,43.03,0.0,0.0,43.85,95.94,57.47,59.31,24.81,7.75,60.0455,63.03,75.0,28.92,28.92,0.0,0,,1
2026-05-08,20260508,002458,002458.SZ,益生股份,49.6,49.6,0.0,100.0,43.85,29.12,81.56,12.6,17.97,7.55,46.7344,63.02,68.16,11.55,9.52,21.32,0,,1
2026-05-08,20260508,688400,688400.SH,凌云光,51.97,51.97,0.0,100.0,43.85,29.12,97.45,10.83,27.04,7.05,52.5797,62.98,40.76,66.55,49.43,34.63,0,,1
2026-05-08,20260508,002049,002049.SZ,紫光国微,53.96,53.96,0.0,100.0,43.85,29.12,76.07,44.01,28.39,6.1,53.9708,62.97,94.78,77.36,70.27,10.09,0,,1
2026-05-08,20260508,603048,603048.SH,浙江黎明,46.11,46.11,0.0,100.0,43.85,29.12,61.31,18.36,6.02,7.9,51.6189,62.96,80.47,23.82,23.41,1.75,0,,1
2026-05-08,20260508,002043,002043.SZ,兔宝宝,46.08,46.08,0.0,100.0,43.85,29.12,54.91,14.84,14.89,8.0,51.3519,62.88,86.97,15.45,14.88,3.83,0,,1
2026-05-08,20260508,300469,300469.SZ,信息发展,56.38,56.38,0.0,100.0,43.85,61.09,70.12,39.74,23.98,8.25,34.2024,62.87,84.0,61.39,59.67,2.88,0,,1
2026-05-08,20260508,300747,300747.SZ,锐科激光,55.76,55.76,0.0,100.0,43.85,29.12,86.27,56.89,26.71,6.75,52.948,62.65,56.64,37.67,29.68,26.92,0,,1
2026-05-08,20260508,300491,300491.SZ,通合科技,53.49,53.49,0.0,100.0,43.85,29.12,78.35,56.9,18.39,6.45,47.5798,62.65,94.41,27.35,25.75,6.21,0,,1
2026-05-08,20260508,600536,600536.SH,中国软件,72.14,72.14,0.0,100.0,99.2,94.56,80.43,9.7,23.86,7.6,47.5154,62.63,81.03,43.45,37.59,15.59,1,WATCH,1
2026-05-08,20260508,603667,603667.SH,五洲新春,54.78,54.78,0.0,0.0,98.26,94.29,77.62,37.02,27.92,8.6,49.8342,62.53,75.0,78.17,78.17,0.0,1,,1
2026-05-08,20260508,002559,002559.SZ,亚威股份,54.22,54.22,0.0,100.0,43.85,29.12,72.35,42.32,18.54,6.55,53.136,62.5,83.88,10.88,10.58,2.84,0,,1
2026-05-08,20260508,003025,003025.SZ,思进智能,48.55,48.55,0.0,0.0,93.83,80.13,52.13,50.31,5.82,6.9,53.8192,62.48,85.28,14.44,13.98,3.29,0,,1
2026-05-08,20260508,300322,300322.SZ,硕贝德,50.13,50.13,0.0,100.0,43.85,29.12,92.03,77.6,27.46,6.5,49.416,62.21,68.39,32.0,26.4,21.21,0,,1
2026-05-08,20260508,600558,600558.SH,大西洋,53.16,53.16,0.0,100.0,43.85,29.12,55.23,91.68,10.48,7.4,50.9001,62.15,87.75,5.87,5.64,4.08,0,,1
2026-05-08,20260508,603893,603893.SH,瑞芯微,63.09,63.09,0.0,100.0,43.85,29.12,79.65,95.76,28.14,5.55,50.2989,62.03,92.05,178.3,160.37,11.18,0,WATCH,1
2026-05-08,20260508,002677,002677.SZ,浙江美大,67.18,67.18,0.0,100.0,92.62,93.89,43.11,35.46,6.54,7.05,42.3799,61.68,87.62,8.25,7.93,4.04,0,WATCH,1
2026-05-08,20260508,601665,601665.SH,齐鲁银行,53.39,53.39,0.0,100.0,43.85,29.12,51.34,38.47,21.8,7.0,51.1672,61.67,99.78,6.28,5.81,8.09,0,,1
2026-05-08,20260508,002291,002291.SZ,遥望科技,58.72,58.72,0.0,100.0,90.84,29.12,55.31,31.58,17.51,6.95,41.2742,61.54,87.22,6.91,6.65,3.91,0,,1
2026-05-08,20260508,002795,002795.SZ,永和智控,55.37,55.37,0.0,100.0,43.85,29.12,84.65,60.48,19.02,7.25,41.4188,61.52,62.24,9.7,7.81,24.2,0,,1
