strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-17,002171,楚江新材,BUY,15.0,0,6600,6600,6600,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-17,300394,天孚通信,BUY,329.33,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-17,002080,中材科技,BUY,82.41,0,900,900,900,0.0,0.2183313021686581,0.2183313021686581,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-17,300285,国瓷材料,BUY,78.5,0,700,700,700,0.0,0.1660621027750441,0.1660621027750441,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-17,301217,铜冠铜箔,BUY,181.69,0,300,300,300,0.0,0.20334999326636835,0.20334999326636835,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-17,301526,国际复材,BUY,40.23,0,1400,1400,1400,0.0,0.16785386284801607,0.16785386284801607,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-17,600378,昊华科技,BUY,63.8,0,1300,1300,1300,0.0,0.24440273894191344,0.24440273894191344,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-17,002080,中材科技,BUY,82.41,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-17,300285,国瓷材料,BUY,78.5,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-17,301217,铜冠铜箔,BUY,181.69,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-17,301526,国际复材,BUY,40.23,0,1700,1700,1700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-17,600378,昊华科技,BUY,63.8,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-17,002171,楚江新材,BUY,15.0,0,6600,6600,6600,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-17,300401,花园生物,BUY,17.25,0,5700,5700,5700,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-17,300880,迦南智能,BUY,25.49,0,3900,3900,3900,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-17,600500,中化国际,BUY,9.2,0,10800,10800,10800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-17,688582,芯动联科,BUY,60.76,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-17,002080,中材科技,BUY,82.41,0,1300,1300,1300,0.0,0.21833130216865812,0.21833130216865812,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-17,300285,国瓷材料,BUY,78.5,0,1000,1000,1000,0.0,0.1660621027750441,0.1660621027750441,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-17,301217,铜冠铜箔,BUY,181.69,0,500,500,500,0.0,0.20334999326636832,0.20334999326636832,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-17,301526,国际复材,BUY,40.23,0,2000,2000,2000,0.0,0.16785386284801607,0.16785386284801607,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
