strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
tiered_liquidity_then_liquidity_detail,train,0.0,20,2026-02-13,2026-03-23,5.0,0.15,-0.4864359508888185,-0.4864359508888185,-0.5681338012743886,-0.5103346091685073,0.3,-0.030549311354019854,-0.024919263813773393,0.11222786620566713,-0.15569378492336852,62.218399999999995,29.3299,1.0,1.0
baseline_b_score_v2,train,0.0,20,2026-02-13,2026-03-23,5.0,5.0,-0.5201839661428793,-0.5201839661428793,-0.603581244986138,-0.6169878318861979,0.35,-0.033793287578234014,-0.04110821001315772,0.09686422412015445,-0.1483155643871351,72.2365,24.4005,1.0,1.0
liq_top_30_then_dynamic_factor,train,0.0,20,2026-02-13,2026-03-23,4.95,0.35,-0.5685588855832497,-0.5685588855832497,-0.6532622500577967,-0.6007513798256926,0.35,-0.039448554200090094,-0.04896381280867092,0.0642369257243347,-0.13255857520576486,74.27172500000002,28.635174999999993,1.0,1.0
liq20_bs_score_v2_b_bonus_3pct,train,0.0,20,2026-02-13,2026-03-23,4.95,1.7,-0.5764924952580357,-0.5764924952580357,-0.661276756471451,-0.6596625531260698,0.25,-0.03981841715422216,-0.05834167689427662,0.128800253860832,-0.1151371167788349,77.692925,27.237575000000003,1.0,1.0
tiered_liquidity_then_bs_v2,train,0.0,20,2026-02-13,2026-03-23,4.95,1.35,-0.5769311596643608,-0.5769311596643608,-0.6617187626425935,-0.6547530154318838,0.3,-0.039801580081794886,-0.05694625623626638,0.12000565217034717,-0.11991379349515577,76.877,27.988624999999995,1.0,1.0
liq_top_10_then_dynamic_factor,train,0.0,20,2026-02-13,2026-03-23,4.95,0.35,-0.6017740631390318,-0.6017740631390318,-0.6865536451030094,-0.6314881672223176,0.3,-0.04327169176752611,-0.054260862494351025,0.0642369257243347,-0.13255857520576486,74.11102500000001,29.149475000000002,1.0,1.0
baseline_full_dynamic_factor,train,0.0,20,2026-02-13,2026-03-23,4.95,0.4,-0.6023392239952786,-0.6023392239952786,-0.687114042539269,-0.6320111579260157,0.25,-0.04356699045213934,-0.04982337242293494,0.0642369257243347,-0.13255857520576486,75.061325,27.682475,1.0,1.0
liq20_bs_score_v2_b_bonus_5pct,train,0.0,20,2026-02-13,2026-03-23,5.0,2.25,-0.6111978068366868,-0.6111978068366868,-0.6958707649467615,-0.6934722588605213,0.25,-0.0434474371365256,-0.05834167689427662,0.09538973358777421,-0.1612840732655775,77.2021,27.2719,1.0,1.0
tiered_liquidity_then_dynamic_factor,train,0.0,20,2026-02-13,2026-03-23,4.95,0.4,-0.6160122783772657,-0.6160122783772657,-0.7006082385752121,-0.6446639810185861,0.3,-0.04484826519409954,-0.054260862494351025,0.0642369257243347,-0.14963381587990746,74.075125,29.131075,1.0,1.0
liq_top_20_then_dynamic_factor,train,0.0,20,2026-02-13,2026-03-23,4.95,0.35,-0.6202946032426296,-0.6202946032426296,-0.7048091239064078,-0.6486267750975556,0.35,-0.04473425647019304,-0.04896381280867092,0.0642369257243347,-0.2032650101760524,74.14582500000002,28.880074999999998,1.0,1.0
baseline_full_dynamic_factor_industry_cap2,train,0.0,20,2026-02-13,2026-03-23,1.95,0.25,-0.6289345093555218,-0.6289345093555218,-0.7132471692565074,-0.614797692764246,0.4,-0.04424535797173603,-0.05230979732126517,0.11152517234256909,-0.18311379065761468,76.33175,28.3205,1.0,1.0
liq20_score_b_bonus_5pct,train,0.0,20,2026-02-13,2026-03-23,5.0,2.0,-0.6362450924164323,-0.6362450924164323,-0.7203472043699756,-0.664984041290848,0.2,-0.046836348201316026,-0.052075596608349206,0.08672626295376287,-0.2032650101760524,79.19120000000001,27.4106,1.0,1.0
liq20_bs_score_v2_b_bonus_8pct,train,0.0,20,2026-02-13,2026-03-23,5.0,2.95,-0.6595202891426841,-0.6595202891426841,-0.7427028597663138,-0.7319300638246702,0.2,-0.04989622937096992,-0.058671094088468864,0.09686422412015445,-0.1683827699791328,76.05959999999999,27.2072,1.0,1.0
liq_top_10_then_liq_breakout_adj,train,0.0,20,2026-02-13,2026-03-23,4.95,0.9,-0.6644496481686125,-0.6644496481686125,-0.7473875795532159,-0.7269817763896177,0.15,-0.04949524881728195,-0.06417287916559766,0.22904012557873535,-0.17062041808808684,78.46615,28.622750000000003,1.0,1.0
liq_top_10_then_score,train,0.0,20,2026-02-13,2026-03-23,4.95,0.9,-0.6644496481686125,-0.6644496481686125,-0.7473875795532159,-0.7269817763896177,0.15,-0.04949524881728195,-0.06417287916559766,0.22904012557873535,-0.17062041808808684,78.46615,28.622750000000003,1.0,1.0
liq20_score_b_bonus_8pct,train,0.0,20,2026-02-13,2026-03-23,5.0,2.7,-0.6666241342405297,-0.6666241342405297,-0.7494484826222161,-0.6797244406117519,0.2,-0.05103303839025476,-0.05885620158707844,0.0738492710191212,-0.2032650101760524,78.51680000000002,27.444000000000006,1.0,1.0
liq20_bs_score_v2_b_bonus_0pct,train,0.0,20,2026-02-13,2026-03-23,4.95,0.75,-0.6861082554924323,-0.6861082554924323,-0.7677569822370593,-0.7071693880550827,0.15,-0.05440923857487273,-0.06671550710437235,0.08831090266723776,-0.12632601550751632,78.139625,27.233575000000002,1.0,1.0
liq_top_20_then_bs_v2,train,0.0,20,2026-02-13,2026-03-23,4.95,0.75,-0.6861082554924323,-0.6861082554924323,-0.7677569822370593,-0.7071693880550827,0.15,-0.05440923857487273,-0.06671550710437235,0.08831090266723776,-0.12632601550751632,78.139625,27.233575000000002,1.0,1.0
tiered_liquidity_then_liq_breakout_adj,train,0.0,20,2026-02-13,2026-03-23,4.95,1.4,-0.7004653239960532,-0.7004653239960532,-0.7810608871830282,-0.7323124242539023,0.15,-0.05585029186314523,-0.0734993464501931,0.11897115571794867,-0.17062041808808684,78.722025,28.009499999999996,1.0,1.0
tiered_liquidity_then_score,train,0.0,20,2026-02-13,2026-03-23,4.95,1.4,-0.7004653239960532,-0.7004653239960532,-0.7810608871830282,-0.7323124242539023,0.15,-0.05585029186314523,-0.0734993464501931,0.11897115571794867,-0.17062041808808684,78.722025,28.009499999999996,1.0,1.0
liq20_score_b_bonus_3pct,train,0.0,20,2026-02-13,2026-03-23,5.0,1.4,-0.7151615757290507,-0.7151615757290507,-0.7945083383430053,-0.7116811514360106,0.2,-0.05797239367315536,-0.0623659982045162,0.08672626295376287,-0.2032650101760524,79.5474,27.413400000000003,1.0,1.0
liq20_score_b_bonus_0pct,train,0.0,20,2026-02-13,2026-03-23,5.0,0.6,-0.7219730880786068,-0.7219730880786068,-0.8006806724460196,-0.6978840972615135,0.25,-0.05954811979840903,-0.07130923574856794,0.07492879459933248,-0.2032650101760524,79.70810000000002,27.3182,1.0,1.0
liq_top_20_then_liq_breakout_adj,train,0.0,20,2026-02-13,2026-03-23,5.0,0.6,-0.7219730880786068,-0.7219730880786068,-0.8006806724460196,-0.6978840972615135,0.25,-0.05954811979840903,-0.07130923574856794,0.07492879459933248,-0.2032650101760524,79.70810000000002,27.3182,1.0,1.0
liq_top_20_then_score,train,0.0,20,2026-02-13,2026-03-23,5.0,0.6,-0.7219730880786068,-0.7219730880786068,-0.8006806724460196,-0.6978840972615135,0.25,-0.05954811979840903,-0.07130923574856794,0.07492879459933248,-0.2032650101760524,79.70810000000002,27.3182,1.0,1.0
tiered_liquidity_then_score_industry_cap2,train,0.0,20,2026-02-13,2026-03-23,2.0,0.55,-0.7780444846587858,-0.7780444846587858,-0.8499295841673941,-0.7863727117862486,0.25,-0.06849475397259168,-0.07374385622673466,0.09768617262318363,-0.22138451930208047,80.15200000000002,28.3675,1.0,1.0
