trade_date,production_nav,production_return,shadow_nav,shadow_return,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label,execution_hard_block,execution_slippage_warning,execution_hard_block_reasons,execution_warning_reasons,execution_v22_severity,is_uplift_event,incremental_gap,blocked_share_open_gap,blocked_share_large_slippage,blocked_share_hard_block,sim_original_return,sim_hard_block_fallback_return,sim_open_gap_downweight_return,sim_large_slippage_downweight_return,production_nav_index,shadow_nav_index,sim_original_nav_index,sim_hard_block_fallback_nav_index,sim_open_gap_downweight_nav_index,sim_large_slippage_downweight_nav_index
2026-01-14,1.094322310575,0.04254696220868648,1.2905496050800012,0.07238749691688717,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|300058|300442|300624|688111,002230|300058|300442|300624|688111,,002230,,300136,313370.0,148192.0,-165178.0,0.0425469622086864,0.0723874969168871,0.0298405347082006,0.0088466645701041,0.0,0.0,0.0,-0.0064160519900417,2.503480347825257e-06,pass,unknown_pending_forward_return,False,False,,,pass,False,0.029840534708200694,0.0,0.0,0.0,0.07238749691688717,0.07238749691688717,0.07238749691688717,0.07238749691688717,1.310583934341546,1.4407254857464193,1.4407254857464193,1.4407254857464193,1.4407254857464193,1.4407254857464193
2026-01-15,1.061710772075,-0.029800670410223606,1.219017605080001,-0.055427547859011495,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|002465|300442|600089|688111,002230|002465|300442|600089|688111,,600089,,600362,138359.0,0.0,-138359.0,-0.0298006704102236,-0.0554275478590114,-0.0256268774487878,0.0432548741269676,0.0,0.0,0.2,-0.0432548741269676,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,False,-0.025626877448787888,0.0,0.0,0.0,-0.055427547859011495,-0.055427547859011495,-0.055427547859011495,-0.055427547859011495,1.2715276544692995,1.360869604933512,1.360869604933512,1.360869604933512,1.360869604933512,1.360869604933512
2026-01-16,1.030765717575,-0.029146407207983116,1.127405696080001,-0.07515224441240764,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|300442|600089|603881|688111,002230|300442|600089|603881|688111,600089.0,603881,,,76703.0,246606.0,169903.0,-0.0291464072079831,-0.0751522444124076,-0.0460058372044245,0.0370813492652551,0.0,0.0,0.0,-0.0060529182368241,1.0991393902884195e-06,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,False,-0.04600583720442453,1.0,1.0,1.0,-0.07515224441240764,-0.07515224441240764,-0.07515224441240764,-0.07515224441240764,1.2344671916759256,1.2585971997701322,1.2585971997701322,1.2585971997701322,1.2585971997701322,1.2585971997701322
2026-01-19,1.028813717575,-0.0018937377977531478,1.129553630080001,0.0019052005923585469,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|002475|300442|600089|688525,002230|002475|300442|600089|688525,688525.0,,600362.0,,0.0,80044.0,80044.0,-0.0018937377977531,0.0019052005923585,0.0037989383901116,0.0121967801268975,0.0,0.0,0.0,-0.0115564284900997,1.509675359286918e-06,pass,unknown_pending_forward_return,False,False,,,pass,False,0.0037989383901116947,0.0,0.0,0.0,0.0019052005923585469,0.0019052005923585469,0.0019052005923585469,0.0019052005923585469,1.2321294344949627,1.260995079900675,1.260995079900675,1.260995079900675,1.260995079900675,1.260995079900675
2026-01-20,1.027535027575,-0.0012428780625263203,1.1334408700800012,0.0034413948098459546,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,000338|000938|002156|600089|688525,000338|000938|002156|600089|688525,338.0,688525,,,116460.0,165840.0,49380.0,-0.0012428780625263,0.0034413948098459,0.0046842728723722,0.0108259449183808,0.0,0.0,0.0,-0.0016548949449425,4.81760677374677e-06,pass,unknown_pending_forward_return,False,False,,,pass,False,0.004684272872372275,0.0,0.0,0.0,0.0034413948098459546,0.0034413948098459546,0.0034413948098459546,0.0034413948098459546,1.230598047850636,1.2653346618238865,1.2653346618238865,1.2653346618238865,1.2653346618238865,1.2653346618238865
2026-01-21,1.017375027575,-0.009887740784835009,1.1321008700800013,-0.0011822407638303334,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000338|002156|300427|600089|688525,000338|002156|300427|600089|688525,,,,,0.0,0.0,0.0,-0.009887740784835,-0.0011822407638303,0.0087055000210046,0.0198299485261529,0.0,0.0,0.0,-0.0116539029564736,0.0,pass,unknown_pending_forward_return,False,False,,,pass,False,0.008705500021004675,0.0,0.0,0.0,-0.0011822407638303334,-0.0011822407638303334,-0.0011822407638303334,-0.0011822407638303334,1.2184302133431648,1.263838731606791,1.263838731606791,1.263838731606791,1.263838731606791,1.263838731606791
2026-01-22,1.020599027575,0.003168939587287589,1.1359368700800012,0.003388390647318218,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002156|600089|600489|600988|688525,002156|600089|600489|600988|688525,,,,,0.0,0.0,0.0,0.0031689395872875,0.0033883906473182,0.0002194510600306,0.0310168651794038,0.0,0.0,0.0,0.0002553008436524,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,False,0.00021945106003062875,0.0,0.0,0.0,0.003388390647318218,0.003388390647318218,0.003388390647318218,0.003388390647318218,1.2222913450805752,1.268121110944686,1.268121110944686,1.268121110944686,1.268121110944686,1.268121110944686
2026-01-23,1.021013027575,0.0004056441254736143,1.1474868700800012,0.010167818568285858,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002156|002716|600036|688008|688525,002156|002716|600036|688008|688525,,,,,0.0,0.0,0.0,0.0004056441254736,0.0101678185682858,0.0097621744428122,0.023789046768201,0.0,0.0,0.0,0.0028776198984656,0.0,pass,unknown_pending_forward_return,False,False,,,pass,False,0.009762174442812244,0.0,0.0,0.0,0.010167818568285858,0.010167818568285858,0.010167818568285858,0.010167818568285858,1.2227871603843243,1.2810151363233846,1.2810151363233846,1.2810151363233846,1.2810151363233846,1.2810151363233846
2026-01-26,1.028839027575,0.0076649364784182605,1.1651068700800011,0.01535529552401016,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000338|002156|002716|600089|600988,000338|002156|002716|600089|600988,,,,,0.0,0.0,0.0,0.0076649364784182,0.0153552955240101,0.0076903590455918,0.0282152664535671,0.0,0.0,0.0,0.026085341000958,0.0,pass,unknown_pending_forward_return,False,False,,,pass,False,0.007690359045591899,0.0,0.0,0.0,0.01535529552401016,0.01535529552401016,0.01535529552401016,0.01535529552401016,1.2321597462952956,1.3006855023123602,1.3006855023123602,1.3006855023123602,1.3006855023123602,1.3006855023123602
2026-01-27,1.026723027575,-0.0020566871427762923,1.1527573810800011,-0.010599447413053187,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000338|600036|600489|600547|600988,000338|600036|600489|600547|600988,600988.0,,600410.0,,0.0,86326.0,86326.0,-0.0020566871427762,-0.0105994474130531,-0.0085427602702768,0.0216442587888989,0.0,0.0,0.0,-0.0212234276473945,4.81623849633061e-07,pass,unknown_pending_forward_return,False,False,,,pass,False,-0.008542760270276895,0.0,1.0,0.0,-0.010599447413053187,-0.010599447413053187,-0.010599447413053187,-0.010599447413053187,1.2296255791872435,1.2868989547296796,1.2868989547296796,1.2868989547296796,1.2868989547296796,1.2868989547296796
2026-01-28,1.047415512575,0.0201539114680942,1.1807652210800013,0.024296387479002757,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000657|600489|600547|600988|601899,000657|600489|600547|600988|601899,,601899,,002230,405010.0,281440.0,-123570.0,0.0201539114680942,0.0242963874790027,0.0041424760109085,0.021691957223186,0.0,0.0,0.0,0.0177307767914173,4.260044410593114e-06,pass,unknown_pending_forward_return,False,False,,,pass,False,0.004142476010908558,0.0,0.0,0.0,0.024296387479002757,0.024296387479002757,0.024296387479002757,0.024296387479002757,1.2544073442490873,1.3181659503801155,1.3181659503801155,1.3181659503801155,1.3181659503801155,1.3181659503801155
2026-01-29,1.057418208575,0.009549883384301738,1.1991972210800013,0.01561021587605782,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000630|000657|600489|600547|601899,000630|000657|600489|600547|601899,,600547,,600089,155536.0,0.0,-155536.0,0.0095498833843017,0.0156102158760578,0.006060332491756,0.0473390067150478,0.0,0.0,0.0,0.0473390067150478,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return,False,True,,large_slippage_proxy,warning,False,0.006060332491756082,0.0,0.0,0.0,0.01561021587605782,0.01561021587605782,0.01561021587605782,0.01561021587605782,1.2663867881030777,1.338742805426018,1.338742805426018,1.338742805426018,1.338742805426018,1.338742805426018
2026-01-30,1.0059457685750002,-0.048677467044344835,1.1601074540800012,-0.03259661239441147,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000630|600489|600547|601899|603993,000630|600489|600547|601899|603993,600547.0,603993,600089.0,603881,90960.0,225178.0,134218.0,-0.0486774670443448,-0.0325966123944114,0.0160808546499333,0.0637321577166269,0.0,0.0,0.2,-0.0637321577166269,5.409921030894876e-06,degraded_large_slippage_proxy,unknown_pending_forward_return,True,False,open_gap_proxy,,hard_block,False,0.016080854649933363,1.0,1.0,1.0,-0.03259661239441147,-0.03259661239441147,-0.03259661239441147,-0.03259661239441147,1.2047422869597963,1.2951043251017391,1.2951043251017391,1.2951043251017391,1.2951043251017391,1.2951043251017391
2026-02-02,0.938839768575,-0.06670936157429341,1.0929696715800012,-0.05787203785639161,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000630|000737|300394|601899|603993,000630|000737|300394|601899|603993,601899.0,,688525.0,,0.0,83855.0,83855.0,-0.0667093615742934,-0.0578720378563916,0.0088373237179018,0.0774379520023552,0.0,0.0,0.6,-0.0752643014770564,3.651328486426742e-07,degraded_large_slippage_proxy,unknown_pending_forward_return,True,False,open_gap_proxy|limit_down_sell_ratio,,hard_block,False,0.008837323717901802,1.0,1.0,1.0,-0.05787203785639161,-0.05787203785639161,-0.05787203785639161,-0.05787203785639161,1.1243746981351541,1.2201539985714747,1.2201539985714747,1.2201539985714747,1.2201539985714747,1.2201539985714747
