rule,n,coverage,hit20,lift,max_ret20,mdd20,avg_v2
v2>=55 & rs_liq>=40,127,0.15468940316686966,0.41732283464566927,1.3331597169030913,0.12426300787401574,-0.12013189763779529,60.29118110236221
v2>=58 & rs_liq>=45 & gain<=5,60,0.0730816077953715,0.4166666666666667,1.3310635538261997,0.12768933333333332,-0.11413870000000001,62.80700000000001
v2>=58 & rs_liq>=45 & gain<=8,60,0.0730816077953715,0.4166666666666667,1.3310635538261997,0.12768933333333332,-0.11413870000000001,62.80700000000001
v2>=58 & rs_liq>=45 & gain<=12,60,0.0730816077953715,0.4166666666666667,1.3310635538261997,0.12768933333333332,-0.11413870000000001,62.80700000000001
v2>=58 & rs_liq>=45,60,0.0730816077953715,0.4166666666666667,1.3310635538261997,0.12768933333333332,-0.11413870000000001,62.80700000000001
bs_score_v2>=62,41,0.049939098660170524,0.4146341463414634,1.324570560880706,0.11067182926829268,-0.10298500000000001,65.09048780487805
bs_score_v2>=60,64,0.0779537149817296,0.40625,1.2977869649805447,0.10983821875000001,-0.1208424375,63.62796875
v2>=50 & rs_liq>=50 & gain<=5,35,0.04263093788063337,0.4,1.2778210116731519,0.1258431142857143,-0.11187525714285715,61.787142857142875
v2>=50 & rs_liq>=50 & gain<=8,35,0.04263093788063337,0.4,1.2778210116731519,0.1258431142857143,-0.11187525714285715,61.787142857142875
v2>=50 & rs_liq>=50 & gain<=12,35,0.04263093788063337,0.4,1.2778210116731519,0.1258431142857143,-0.11187525714285715,61.787142857142875
v2>=50 & rs_liq>=50,35,0.04263093788063337,0.4,1.2778210116731519,0.1258431142857143,-0.11187525714285715,61.787142857142875
s_rs>=80,159,0.19366626065773446,0.39622641509433965,1.265766096468688,0.11018101257861636,-0.11268241509433963,56.70679245283019
s_rs>=70,282,0.34348355663824603,0.3900709219858156,1.246102050390485,0.10900941489361703,-0.10076667021276596,54.718617021276586
rs_liquidity_combo>=50,36,0.0438489646772229,0.3888888888888889,1.2423259835711198,0.12234747222222223,-0.11574211111111112,61.27527777777779
bs_score_v2>=52,265,0.3227771010962241,0.3886792452830189,1.2416562660597608,0.11117875849056603,-0.10104640754716981,57.51698113207547
bs_score_v2>=50,335,0.40803897685749085,0.3880597014925373,1.2396771008769383,0.1112196985074627,-0.09821003880597015,56.14979104477612
bs_score_v2>=55,176,0.2143727161997564,0.38636363636363635,1.2342589317297488,0.1102016306818182,-0.11495374431818182,59.46920454545455
v2>=58 & rs_liq>=50 & gain<=5,26,0.031668696711327646,0.38461538461538464,1.228674049685723,0.12968326923076925,-0.10342046153846153,63.951538461538455
v2>=58 & rs_liq>=50 & gain<=8,26,0.031668696711327646,0.38461538461538464,1.228674049685723,0.12968326923076925,-0.10342046153846153,63.951538461538455
v2>=58 & rs_liq>=50 & gain<=12,26,0.031668696711327646,0.38461538461538464,1.228674049685723,0.12968326923076925,-0.10342046153846153,63.951538461538455
v2>=58 & rs_liq>=50,26,0.031668696711327646,0.38461538461538464,1.228674049685723,0.12968326923076925,-0.10342046153846153,63.951538461538455
v2>=52 & rs_liq>=50 & gain<=5,34,0.04141291108404385,0.38235294117647056,1.2214465552758067,0.12609147058823528,-0.11233382352941178,62.08176470588236
v2>=52 & rs_liq>=50 & gain<=8,34,0.04141291108404385,0.38235294117647056,1.2214465552758067,0.12609147058823528,-0.11233382352941178,62.08176470588236
v2>=52 & rs_liq>=50 & gain<=12,34,0.04141291108404385,0.38235294117647056,1.2214465552758067,0.12609147058823528,-0.11233382352941178,62.08176470588236
v2>=52 & rs_liq>=50,34,0.04141291108404385,0.38235294117647056,1.2214465552758067,0.12609147058823528,-0.11233382352941178,62.08176470588236
s_rs>=60,398,0.48477466504263095,0.3793969849246231,1.2120035977553134,0.10633807788944724,-0.09868386180904523,53.351306532663315
v2>=55 & rs_liq>=50 & gain<=5,32,0.0389768574908648,0.375,1.1979571984435797,0.1263638125,-0.11001040625,62.6584375
v2>=55 & rs_liq>=50 & gain<=8,32,0.0389768574908648,0.375,1.1979571984435797,0.1263638125,-0.11001040625,62.6584375
v2>=55 & rs_liq>=50 & gain<=12,32,0.0389768574908648,0.375,1.1979571984435797,0.1263638125,-0.11001040625,62.6584375
v2>=55 & rs_liq>=50,32,0.0389768574908648,0.375,1.1979571984435797,0.1263638125,-0.11001040625,62.6584375
bs_score>=58,357,0.4348355663824604,0.3557422969187675,1.1364374543591755,0.10379486274509804,-0.09820876190476192,54.80851540616246
s_breakout>=50,40,0.048721071863580996,0.35,1.1180933852140076,0.107410275,-0.103979,56.461749999999995
s_breakout>=60,40,0.048721071863580996,0.35,1.1180933852140076,0.107410275,-0.103979,56.461749999999995
s_breakout>=70,40,0.048721071863580996,0.35,1.1180933852140076,0.107410275,-0.103979,56.461749999999995
s_breakout>=80,40,0.048721071863580996,0.35,1.1180933852140076,0.107410275,-0.103979,56.461749999999995
breakout_volume_combo>=70,40,0.048721071863580996,0.35,1.1180933852140076,0.107410275,-0.103979,56.461749999999995
bs_score>=65,110,0.13398294762484775,0.34545454545454546,1.10357269189954,0.10697599999999999,-0.11025482727272728,59.48127272727273
bs_score_v2>=45,543,0.6613885505481121,0.3425414364640884,1.09426661220629,0.10043378268876611,-0.09550921546961326,52.81570902394107
bs_score>=50,647,0.7880633373934226,0.3415765069551777,1.0911840942031164,0.0978663601236476,-0.09076554714064915,50.795919629057195
s_rs>=50,520,0.633373934226553,0.3384615384615385,1.081233163723436,0.0982026076923077,-0.09718482884615386,51.924826923076914
bs_score>=55,473,0.5761266747868453,0.3382663847780127,1.0806097350301493,0.1015459090909091,-0.09385301268498943,52.93167019027484
bs_score>=60,268,0.3264311814859927,0.3358208955223881,1.0727974911435043,0.09562382835820896,-0.10211888805970148,56.012761194029856
bs_score>=45,741,0.902557856272838,0.3292847503373819,1.0519174320116365,0.09492262078272604,-0.09181751282051283,49.6455330634278
s_breakout>=45,789,0.9610231425091352,0.320659062103929,1.0243622178495164,0.09268328643852977,-0.09541632826362483,48.67210392902409
breakout_volume_combo>=65,140,0.1705237515225335,0.3142857142857143,1.0040022234574764,0.09089529999999998,-0.10838530000000002,52.37571428571429
price_change_ratio<=0,821,1.0,0.31303288672350793,1.0,0.09124226674786846,-0.09491944457978076,48.545140073081605
price_change_ratio<=5,821,1.0,0.31303288672350793,1.0,0.09124226674786846,-0.09491944457978076,48.545140073081605
price_change_ratio<=8,821,1.0,0.31303288672350793,1.0,0.09124226674786846,-0.09491944457978076,48.545140073081605
price_change_ratio<=12,821,1.0,0.31303288672350793,1.0,0.09124226674786846,-0.09491944457978076,48.545140073081605
breakout_volume_combo>=55,502,0.6114494518879415,0.31274900398406374,0.9990931216767173,0.0893828326693227,-0.1034950577689243,50.8096812749004
breakout_volume_combo>=45,587,0.7149817295980512,0.31175468483816016,0.9959167169343559,0.09106619931856899,-0.10025081942078365,50.207853492333896
breakout_volume_combo>=60,376,0.4579780755176614,0.30851063829787234,0.9855534398542926,0.08799888829787234,-0.10182652659574469,51.42117021276596
breakout_volume_combo>=50,550,0.6699147381242387,0.30727272727272725,0.9815988680580119,0.0906298909090909,-0.10247256727272727,50.44063636363636
