event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20,rel_ret_d21,rel_ret_d22,rel_ret_d23,rel_ret_d24,rel_ret_d25,rel_ret_d26,rel_ret_d27,rel_ret_d28,rel_ret_d29,rel_ret_d30,rel_ret_d31,rel_ret_d32,rel_ret_d33,rel_ret_d34,rel_ret_d35,rel_ret_d36,rel_ret_d37,rel_ret_d38,rel_ret_d39,rel_ret_d40,rel_ret_d41,rel_ret_d42,rel_ret_d43,rel_ret_d44,rel_ret_d45,rel_ret_d46,rel_ret_d47,rel_ret_d48,rel_ret_d49,rel_ret_d50,rel_ret_d51,rel_ret_d52,rel_ret_d53,rel_ret_d54,rel_ret_d55,rel_ret_d56,rel_ret_d57,rel_ret_d58,rel_ret_d59,rel_ret_d60
20260123_300529_02,2026-01-23,300529,300529.SZ,0.0,0.01015,0.000483,-0.013533,-0.0174,-0.032866,-0.036249,-0.009667,-0.0029,-0.00145,-0.0087,-0.00725,-0.016916,-0.016916,-0.031416,-0.043499,-0.043016,-0.034316,-0.043016,-0.040599,-0.064766,-0.081199,-0.095698,-0.091832,-0.082649,-0.095698,-0.082649,-0.087482,-0.088932,-0.089899,-0.086032,-0.078299,-0.086032,-0.099565,-0.117931,-0.152247,-0.142581,-0.143548,-0.155631,-0.143548,-0.139198,-0.143064,-0.132431,-0.139681,-0.163364,-0.163364,-0.137748,-0.159497,-0.150314,-0.156114,-0.152731,-0.143064,-0.143548,-0.151764,-0.150314,-0.096182,-0.112131,-0.101015,-0.101982,-0.122281,-0.070565
20260123_300601_01,2026-01-23,300601,300601.SZ,0.0,0.075141,0.041327,0.010645,-0.006888,-0.02129,-0.045085,-0.031309,-0.018159,-0.023168,-0.025047,-0.030056,-0.036944,-0.043832,-0.055729,-0.070131,-0.064496,-0.051972,-0.061365,-0.057608,-0.095805,-0.133375,-0.134627,-0.134627,-0.118347,-0.120225,-0.11459,-0.120225,-0.117095,-0.117721,-0.10958,-0.10645,-0.108328,-0.112711,-0.117095,-0.175329,-0.144646,-0.148403,-0.157796,-0.128366,-0.120225,-0.128992,-0.099562,-0.108954,-0.135254,-0.125235,-0.105197,-0.128992,-0.112085,-0.12273,-0.110833,-0.105823,-0.108328,-0.118973,-0.127113,-0.132749,-0.080776,-0.10645,-0.120852,-0.119599,-0.113338
20260123_300741_03,2026-01-23,300741,300741.SZ,0.0,-0.006342,-0.021141,0.014799,0.010046,0.020086,-0.020081,-0.015327,-0.007925,-0.013739,0.013744,0.016387,0.012689,0.005814,-0.006342,-0.00211,0.004231,-0.015855,-0.029593,-0.022196,-0.051268,-0.09355,-0.109932,-0.10359,-0.090379,-0.087208,-0.073992,-0.076107,-0.072409,-0.065006,-0.062896,-0.076635,-0.071881,-0.096193,-0.119978,-0.193442,-0.1871,-0.175472,-0.181819,-0.158562,-0.150104,-0.16226,-0.148516,-0.156446,-0.135305,-0.124732,-0.112576,-0.107822,-0.124204,-0.140064,-0.136888,-0.061836,-0.090379,-0.084565,-0.081922,-0.109405,-0.104651,-0.106761,-0.102535,-0.113103,-0.116258
20260123_300769_03,2026-01-23,300769,300769.SZ,0.0,-0.022576,-0.051172,-0.059127,-0.076758,-0.109869,-0.15502,-0.13481,-0.122124,-0.147495,-0.114599,-0.109869,-0.125134,-0.115459,-0.116964,-0.121049,-0.113094,-0.078478,-0.096323,-0.091808,-0.089228,-0.109439,-0.112879,-0.104709,-0.090303,-0.092023,-0.083423,-0.052892,-0.033971,-0.004085,-0.006665,-0.035691,-0.040851,-0.061922,-0.036121,-0.042141,-0.028166,-0.031391,-0.027521,0.022146,-0.00301,-0.057192,-0.056547,-0.102774,-0.138465,-0.119114,-0.072243,-0.087293,-0.033971,-0.013115,0.015051,-0.010535,0.030316,0.030101,0.029671,0.046227,0.067297,0.072028,0.083853,0.125349,0.14169
20260123_600185_04,2026-01-23,600185,600185.SH,0.0,0.014205,0.00142,0.002841,-0.018466,-0.045455,-0.053977,-0.046875,0.005682,0.036932,0.069602,0.176136,0.132102,0.098011,0.065341,0.051136,0.019886,0.017045,-0.004261,0.002841,-0.045455,-0.066761,-0.079545,-0.059659,-0.044034,-0.072443,-0.059659,-0.06392,-0.073864,-0.082386,-0.069602,-0.071023,-0.075284,-0.105114,-0.117898,-0.173295,-0.174716,-0.15767,-0.171875,-0.15483,-0.173295,-0.193182,-0.183239,-0.197443,-0.210227,-0.198864,-0.174716,-0.193182,-0.180398,-0.194602,-0.181818,-0.1875,-0.166193,-0.150568,-0.159091,-0.15767,-0.166193,-0.167614,-0.159091,-0.139205,-0.170455
20260123_600212_02,2026-01-23,600212,600212.SH,0.0,-0.042353,-0.050588,-0.063529,-0.077647,-0.074118,-0.094118,-0.078824,-0.084706,-0.091765,-0.091765,-0.088235,-0.083529,-0.08,-0.094118,-0.104706,-0.084706,-0.085882,-0.092941,-0.094118,-0.112941,-0.147059,-0.143529,-0.122353,-0.091765,-0.097647,-0.088235,-0.092941,-0.092941,-0.108235,-0.087059,-0.108235,-0.102353,-0.12,-0.122353,-0.171765,-0.127059,-0.122353,-0.090588,-0.122353,-0.135294,-0.155294,-0.142353,-0.163529,-0.187059,-0.18,-0.152941,-0.16,-0.116471,-0.082353,-0.075294,-0.074118,-0.044706,-0.065882,-0.082353,-0.087059,-0.076471,-0.089412,-0.096471,-0.103529,-0.125882
20260123_600523_01,2026-01-23,600523,600523.SH,0.0,-0.045426,-0.029247,-0.05476,-0.071562,-0.087119,-0.102054,-0.078407,-0.039826,-0.046049,-0.060983,-0.056005,-0.031736,-0.041693,-0.046671,-0.04107,-0.029869,-0.032981,-0.01369,-0.004356,-0.01369,-0.071562,-0.069073,-0.069073,-0.052894,-0.077785,-0.051649,-0.064717,-0.080896,-0.09023,-0.075918,-0.091475,-0.066584,-0.10392,-0.128189,-0.18046,-0.159303,-0.13939,-0.149347,-0.137523,-0.136279,-0.141879,-0.135034,-0.143124,-0.15308,-0.154325,-0.126945,-0.134412,-0.128189,-0.123833,-0.118233,-0.116366,-0.121966,-0.119477,-0.112632,-0.118233,-0.125078,-0.135657,-0.148724,-0.135034,-0.158681
20260123_600622_02,2026-01-23,600622,600622.SH,0.0,-0.02381,-0.030612,-0.013605,0.010204,-0.02381,-0.037415,-0.02381,0.0,0.003401,-0.006803,0.017007,0.010204,0.006803,-0.017007,-0.030612,-0.020408,0.017007,-0.017007,-0.017007,-0.034014,-0.05102,-0.057823,-0.05102,-0.040816,-0.05102,-0.044218,-0.044218,-0.047619,-0.047619,-0.044218,-0.030612,-0.057823,-0.091837,-0.102041,-0.156463,-0.136054,-0.122449,-0.132653,-0.12585,-0.12585,-0.129252,-0.129252,-0.146259,-0.156463,-0.14966,-0.12585,-0.139456,-0.12585,-0.098639,-0.081633,-0.112245,-0.112245,-0.112245,-0.122449,-0.12585,-0.12585,-0.139456,-0.139456,-0.129252,-0.132653
20260123_600748_02,2026-01-23,600748,600748.SH,0.0,-0.030695,-0.077544,-0.080775,-0.074313,-0.100162,-0.134087,-0.113086,-0.101777,-0.095315,-0.105008,-0.103393,-0.116317,-0.119548,-0.130856,-0.108239,-0.153473,-0.135703,-0.161551,-0.155089,-0.171244,-0.201939,-0.210016,-0.193861,-0.182553,-0.195477,-0.182553,-0.19063,-0.185784,-0.187399,-0.180937,-0.177706,-0.180937,-0.201939,-0.216478,-0.256866,-0.224556,-0.214863,-0.211632,-0.132472,-0.156704,-0.17609,-0.17609,-0.211632,-0.242326,-0.232633,-0.187399,-0.19063,-0.166397,-0.169628,-0.147011,-0.12601,-0.130856,-0.132472,-0.121163,-0.119548,-0.124394,-0.114701,-0.122779,-0.127625,-0.124394
20260123_600829_03,2026-01-23,600829,600829.SH,0.0,0.017442,0.078904,0.025748,-0.022425,-0.068106,-0.077243,-0.062292,-0.056478,-0.055648,-0.04402,-0.049003,-0.076412,-0.083056,-0.10299,-0.112126,-0.087209,-0.08804,-0.093854,-0.089701,-0.128738,-0.143688,-0.154485,-0.139535,-0.122093,-0.137874,-0.128738,-0.142027,-0.157807,-0.157807,-0.150332,-0.163621,-0.150332,-0.172757,-0.189369,-0.222591,-0.189369,-0.178571,-0.190199,-0.167774,-0.150332,-0.153654,-0.142027,-0.061462,-0.078073,-0.030731,-0.087209,-0.133721,-0.127076,-0.181063,-0.186877,-0.144518,-0.171927,-0.181894,-0.17608,-0.185216,-0.193522,-0.196844,-0.201827,-0.193522,-0.199336
