trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2024-09-11,000333,SKIPPED_BUY,100.0,61.66,False,,,0.071359,0.183912,0.21651
2024-09-11,000538,SKIPPED_BUY,1000.0,52.37,False,,,-0.041245,0.078289,0.08058
2024-09-12,600900,SKIPPED_BUY,1800.0,27.86,False,,,0.012204,0.078607,0.003589
2024-09-18,300502,SKIPPED_BUY,200.0,99.57,False,,,0.051019,0.491413,0.359044
2024-09-26,000063,SKIPPED_BUY,1700.0,26.3,False,,,0.203422,0.119772,0.151331
2024-09-27,000001,SKIPPED_BUY,4600.0,11.42,False,,,0.02627,0.054291,0.000876
2024-09-30,002236,SKIPPED_BUY,2700.0,17.22,False,,,-0.045296,-0.019164,-0.054007
2024-10-09,300347,SKIPPED_BUY,800.0,67.83,False,,,-0.115288,-0.008698,-0.014448
2024-10-17,300757,SKIPPED_BUY,400.0,158.89,False,,,0.2649,0.302159,0.323557
2024-10-18,300337,SKIPPED_BUY,3800.0,17.61,False,,,-0.053947,-0.101647,0.051107
2024-10-21,300563,SKIPPED_BUY,600.0,60.3,False,,,-0.078441,-0.133997,-0.226036
2024-10-23,300184,SKIPPED_BUY,5000.0,11.94,False,,,0.126466,-0.01005,-0.044389
2024-10-31,000988,SKIPPED_BUY,1900.0,39.38,False,,,-0.004825,-0.006856,-0.105383
2024-11-01,002384,SKIPPED_BUY,2300.0,31.5,False,,,-0.026984,-0.044444,-0.186032
2024-11-04,002607,SKIPPED_BUY,12300.0,3.19,False,,,0.15047,-0.015674,0.07837
2024-11-06,002156,SKIPPED_BUY,1700.0,34.73,False,,,-0.023611,-0.093291,-0.111431
2024-11-14,300058,SKIPPED_BUY,5700.0,9.23,False,,,0.163597,0.126761,0.249187
2024-11-15,002230,SKIPPED_BUY,1300.0,53.07,False,,,-0.078199,-0.033164,-0.03957
2024-11-18,002241,SKIPPED_BUY,1700.0,24.58,False,,,-0.045972,0.061839,0.060212
2024-11-20,600418,SKIPPED_BUY,1200.0,40.3,False,,,-0.134243,-0.13871,-0.057072
2024-11-28,300364,SKIPPED_BUY,2700.0,29.92,False,,,0.008356,0.028409,-0.137701
2024-11-29,002131,SKIPPED_BUY,17600.0,3.67,False,,,0.550409,0.119891,-0.081744
