degraded_trade_date,symbol,strategy,production_strategy,candidate_rank,is_recovery_event,is_shadow_incremental_day,is_common_execution_risk,is_shadow_incremental_symbol,position_diff,theory_gap,monitor_execution_feasibility,candidate_degraded_reasons,candidate_hard_block_reasons,candidate_warning_reasons,execution_hard_block,execution_slippage_warning,execution_v22_severity,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact
2026-01-12,002465,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,True,True,False,False,0.1499999999999999,0.0237448032301719,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0470000000000001,0.0,0.0,0.0,0.0470000000000001,0.0
2026-01-12,300058,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,True,True,False,False,0.1499999999999999,0.0237448032301719,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0465657741559952,0.0,0.0,0.0,0.0465657741559952,0.0
2026-01-12,300136,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,True,True,False,False,0.1499999999999999,0.0237448032301719,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0457751164337989,0.0,0.0,0.0,0.0457751164337989,0.0
2026-01-12,002230,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,True,True,False,False,0.1499999999999999,0.0237448032301719,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0341726618705036,0.0,0.0,0.0,0.0341726618705036,0.0
2026-01-12,002025,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,True,True,False,False,0.1499999999999999,0.0237448032301719,degraded_large_slippage_proxy,,,,False,False,pass,0.0145985401459853,0.0,0.0,0.0,0.0145985401459853,0.0
2026-01-15,300442,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,-0.0256268774487878,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.061845441516922,0.0,0.0,0.0,-0.061845441516922,0.0
2026-01-15,600089,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,-0.0256268774487878,degraded_large_slippage_proxy,,,,False,False,pass,0.0234811777860602,0.0,0.0,0.0,-0.0234811777860602,0.0
2026-01-15,002465,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,-0.0256268774487878,degraded_large_slippage_proxy,large_slippage_proxy|limit_down_sell_ratio|open_gap_proxy,open_gap_proxy|limit_down_sell_ratio,,True,False,hard_block,0.0999248685199098,0.0,0.0,1.0,-0.0999248685199098,0.0
2026-01-15,002230,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,-0.0256268774487878,degraded_large_slippage_proxy,,,,False,False,pass,0.0156449553001277,0.0,0.0,0.0,-0.0156449553001277,0.0
2026-01-15,688111,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,False,False,True,False,0.0,-0.0256268774487878,degraded_large_slippage_proxy,,,,False,False,pass,0.0153779275118187,0.0,0.0,0.0,-0.0153779275118187,0.0
2026-01-16,300442,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,-0.0460058372044245,degraded_large_slippage_proxy,,,,False,False,pass,0.0230778723929409,0.0,0.0,0.0,-0.0230778723929409,0.0
2026-01-16,600089,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,-0.0460058372044245,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0775710775710776,0.0,0.0,0.0,0.0775710775710776,5.495696951442098e-06
2026-01-16,603881,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,-0.0460058372044245,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0463593504452594,0.0,0.0,0.0,-0.0463593504452594,0.0
2026-01-16,688111,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,-0.0460058372044245,degraded_large_slippage_proxy,,,,False,False,pass,0.0092140319715807,0.0,0.0,0.0,-0.0092140319715807,0.0
2026-01-16,002230,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,False,False,True,False,0.0,-0.0460058372044245,degraded_large_slippage_proxy,,,,False,False,pass,0.0291844139454172,0.0,0.0,0.0,-0.0291844139454172,0.0
2026-01-22,688525,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,0.0002194510600306,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0453876864887581,0.0,0.0,0.0,0.0453876864887581,0.0
2026-01-22,600988,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,0.0002194510600306,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0401146131805157,0.0,0.0,0.0,-0.0401146131805157,0.0
2026-01-22,600089,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,0.0002194510600306,degraded_large_slippage_proxy,,,,False,False,pass,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,600489,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,0.0002194510600306,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0367892976588628,0.0,0.0,0.0,-0.0367892976588628,0.0
2026-01-22,002156,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,False,False,True,False,0.0,0.0002194510600306,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0327927285688827,0.0,0.0,0.0,0.0327927285688827,0.0
2026-01-29,600547,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,0.006060332491756,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0727455581629232,0.0,0.0,0.0,0.0727455581629232,0.0
2026-01-29,600489,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,0.006060332491756,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0604614160700078,0.0,0.0,0.0,0.0604614160700078,0.0
2026-01-29,601899,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,0.006060332491756,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0352245862884161,0.0,0.0,0.0,0.0352245862884161,0.0
2026-01-29,000657,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,0.006060332491756,degraded_large_slippage_proxy,,,,False,False,pass,0.0,0.0,0.0,0.0,0.0,0.0
