month,strategy,monthly_return,max_drawdown,avg_position,calmar,return_per_exposure,worst_20d_return,trade_count,shadow_fail_ratio,champion_score,is_production_candidate
2024-05,baseline_full_liquidity_detail_vol_position,-0.08474884823632856,-0.08860905106614037,0.6958299133752603,-0.9564355696921927,-0.1217953505695631,-0.08474884823632833,20,,-1.1629797684980843,False
2024-05,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.08360131673015592,-0.08699737737189794,0.6948995875426138,-0.9609636434530149,-0.12030704612416995,-0.0836013167301558,20,,-1.1648720063073408,False
2024-05,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.08360131673015592,-0.08699737737189794,0.6948995875426138,-0.9609636434530149,-0.12030704612416995,-0.0836013167301558,20,,-1.1648720063073408,False
2024-06,baseline_full_liquidity_detail_vol_position,0.02317698361294207,-0.02719973116514829,0.6843168493274924,0.8521034076483569,0.033868789926361,0.023176983612941626,20,,0.90914918118766,True
2024-06,baseline_full_liquidity_detail_vol_position_pattern_rerank,0.010859871314654379,-0.031927961941267236,0.6853385894230813,0.34013669067357155,0.015845994202363867,0.010859871314654157,20,,0.3668425561905898,False
2024-06,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,0.010859871314654379,-0.031927961941267236,0.6853385894230813,0.34013669067357155,0.015845994202363867,0.010859871314654157,20,,0.3668425561905898,False
2024-06,baseline_full_liquidity_detail,0.008234289563475938,-0.03174119241079287,0.6872838163000536,0.2594196669396722,0.011980915843187875,0.008234289563475938,20,,0.27963487234633605,False
2024-06,production_governed_vol_position,0.007021867931778614,-0.03537639349293997,0.571126504444845,0.19849021447536647,0.012294768106768422,0.007021867931778392,20,,0.2178068505139135,False
2024-06,production_governed_vol_position_pattern_guard,0.007021867931778614,-0.03537639349293997,0.571126504444845,0.19849021447536647,0.012294768106768422,0.007021867931778392,20,,0.2178068505139135,False
2024-06,baseline_full_liquidity,0.0004651574481961962,-0.025342854436949502,0.47176299931809346,0.018354579960732583,0.0009859981576947636,0.00046515744819597415,16,,0.019805735566623545,False
2024-06,production_governed_adaptive,-0.009661337254387892,-0.03887203028259323,0.5067935699574787,-0.2485421312998464,-0.0190636539749281,-0.00966133725438778,22,,-0.2772671225291624,False
2024-06,production_governed_adaptive_pattern_guard,-0.009661337254387892,-0.03887203028259323,0.5067935699574787,-0.2485421312998464,-0.0190636539749281,-0.00966133725438778,22,,-0.2772671225291624,False
2024-06,adaptive_market_style,-0.008716345628286049,-0.029816763906524324,0.2719671615818786,-0.29233037011031204,-0.03204925762944325,-0.00871634562828616,17,,-0.33309597336804136,False
2024-06,tiered_liquidity_then_bs_v2,-0.026231184346048875,-0.07337133148871111,0.6922602013393869,-0.35751272075640056,-0.0378920878237644,-0.026231184346048764,20,,-0.42163599292621384,False
2024-07,tiered_liquidity_then_bs_v2,0.08517858240981546,-0.023426161294049064,0.6959334690047005,3.636045246194618,0.1223947204775693,0.041378820497616875,30,,3.843618549082003,True
2024-07,baseline_full_liquidity_detail,0.0028961645362088895,-0.044695714017574995,0.6946931913715961,0.06479736591902473,0.0041689836206552245,-0.0020384833803930302,28,,0.07186251407588884,False
2024-07,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.0019357558665042962,-0.04839771559347805,0.695116201620148,-0.039996843709812484,-0.002784794631447975,-0.007315387699431519,28,,-0.04471739420776476,False
2024-07,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.0019357558665042962,-0.04839771559347805,0.695116201620148,-0.039996843709812484,-0.002784794631447975,-0.007315387699431519,28,,-0.04471739420776476,False
2024-07,baseline_full_liquidity_detail_vol_position,-0.006641323769709828,-0.04344660841233927,0.6946985682910481,-0.1528617310396,-0.009560007854985828,-0.01195710449492604,28,,-0.16906306266429566,False
2024-07,adaptive_market_style,-0.016091624705935614,-0.03481526309220784,0.366462913216535,-0.4622002902381385,-0.04391064996098915,-0.02262182034829341,23,,-0.5222025649050633,False
2024-07,production_governed_adaptive,-0.024352079916143077,-0.05308652658573765,0.409808930237745,-0.4587243031772503,-0.059423009405909125,-0.040781283432725024,23,,-0.5424993924993026,False
2024-07,production_governed_adaptive_pattern_guard,-0.024352079916143077,-0.05308652658573765,0.409808930237745,-0.4587243031772503,-0.059423009405909125,-0.040781283432725024,23,,-0.5424993924993026,False
2024-07,baseline_full_liquidity,-0.06070668311266203,-0.10053555862682573,0.5183776149618984,-0.603832951662376,-0.11710899807493437,-0.08112547330664155,21,,-0.7816486328499724,False
2024-07,production_governed_vol_position,-0.03753179701544551,-0.04608938355269465,0.44282070311707833,-0.8143262964785561,-0.08475619308504281,-0.031108449880195344,30,,-0.9366142865790444,False
2024-07,production_governed_vol_position_pattern_guard,-0.03753179701544551,-0.04608938355269465,0.44282070311707833,-0.8143262964785561,-0.08475619308504281,-0.031108449880195344,30,,-0.9366142865790444,False
2024-08,tiered_liquidity_then_bs_v2,-0.06598247695165982,-0.10262000635530844,0.6952417462849149,-0.6429786870525428,-0.09490580406634522,-0.08509187292182241,20,,-0.8038669680705478,True
