strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-02,000970,中科三环,BUY,16.1,0,800,800,800,0.0,0.028610537421307404,0.028610537421307404,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.09871515906235526,0.09871515906235526,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-02,000725,京东方Ａ,BUY,9.1,0,7000,7000,7000,0.0,0.128797611335053,0.128797611335053,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-02,600487,亨通光电,BUY,93.84,0,500,500,500,0.0,0.09537726169941163,0.09537726169941163,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-02,600378,昊华科技,BUY,82.17,0,900,900,900,0.0,0.15523282458131427,0.15523282458131427,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-02,688012,中微公司,BUY,408.9,0,200,200,200,0.0,0.19141485966595778,0.19141485966595778,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-02,688037,芯源微,BUY,360.0,0,200,200,200,0.0,0.1475697312831868,0.1475697312831868,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-02,688120,华海清科,BUY,281.0,0,100,100,100,0.0,0.06394587638007838,0.06394587638007838,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.14183670808946267,0.14183670808946267,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-02,600378,昊华科技,BUY,82.17,0,2700,2700,2700,0.0,0.4474515346652671,0.4474515346652671,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.08599838570830906,0.08599838570830906,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-07-02,000592,平潭发展,BUY,7.76,0,8800,8800,8800,0.0,0.1370337457999516,0.1370337457999516,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-02,000608,*ST阳光,BUY,6.06,0,12700,12700,12700,0.0,0.1548333611819712,0.1548333611819712,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-02,000711,ST京蓝,BUY,5.01,0,12900,12900,12900,0.0,0.12992211721092858,0.12992211721092858,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-02,002647,*ST仁东,BUY,10.57,0,6100,6100,6100,0.0,0.13104766575580826,0.13104766575580826,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-02,603007,*ST花王,BUY,5.88,0,12500,12500,12500,0.0,0.14716311005134033,0.14716311005134033,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-02,600378,昊华科技,BUY,82.17,0,600,600,600,0.0,0.10309846421789448,0.10309846421789448,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.10083078514487373,0.10083078514487373,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-02,688037,芯源微,BUY,360.0,0,100,100,100,0.0,0.10033269739412644,0.10033269739412644,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-02,688120,华海清科,BUY,281.0,0,100,100,100,0.0,0.0889971973619971,0.0889971973619971,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.09674085588110816,0.09674085588110816,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-02,600378,昊华科技,BUY,82.17,0,600,600,600,0.0,0.10309846421789448,0.10309846421789448,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.10083078514487373,0.10083078514487373,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-02,688037,芯源微,BUY,360.0,0,100,100,100,0.0,0.10033269739412644,0.10033269739412644,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-02,688120,华海清科,BUY,281.0,0,100,100,100,0.0,0.0889971973619971,0.0889971973619971,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.09674085588110816,0.09674085588110816,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-02,000011,深物业A,BUY,6.5,0,10700,10700,10700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-02,000029,深深房Ａ,BUY,21.71,0,3200,3200,3200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-02,000032,深桑达Ａ,BUY,21.9,0,3100,3100,3100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-02,000065,北方国际,BUY,9.8,0,7100,7100,7100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-02,000070,特发信息,BUY,17.9,0,3900,3900,3900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-02,000011,深物业A,BUY,6.5,0,10700,10700,10700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-02,000029,深深房Ａ,BUY,21.71,0,3200,3200,3200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-02,000032,深桑达Ａ,BUY,21.9,0,3100,3100,3100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-02,000065,北方国际,BUY,9.8,0,7100,7100,7100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-02,000070,特发信息,BUY,17.9,0,3900,3900,3900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
