signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason
2026-03-16,2026-03-17,adaptive_market_style,3,300394,天孚通信,通信设备,29.99,0.2,0.09562793296535836,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-16,2026-03-17,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.09562793296535836,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-16,2026-03-17,adaptive_market_style,5,000988,华工科技,专用机械,29.98,0.2,0.09562793296535836,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-17,2026-03-18,adaptive_market_style,1,300308,中际旭创,通信设备,30.0,0.2,0.11427133578698254,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-17,2026-03-18,adaptive_market_style,2,300502,新易盛,通信设备,29.99,0.2,0.11427133578698254,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-17,2026-03-18,adaptive_market_style,3,300394,天孚通信,通信设备,29.99,0.2,0.11427133578698254,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-17,2026-03-18,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-17,2026-03-18,adaptive_market_style,5,000988,华工科技,专用机械,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-18,2026-03-19,adaptive_market_style,1,300502,新易盛,通信设备,30.0,0.2,0.11508747662218063,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-18,2026-03-19,adaptive_market_style,2,300308,中际旭创,通信设备,29.99,0.2,0.11508747662218063,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-18,2026-03-19,adaptive_market_style,3,300394,天孚通信,通信设备,29.99,0.2,0.11508747662218063,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-18,2026-03-19,adaptive_market_style,4,300750,宁德时代,电气设备,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-18,2026-03-19,adaptive_market_style,5,000988,华工科技,专用机械,29.98,0.2,0.0,1,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
2026-03-19,2026-03-20,adaptive_market_style,1,300502,新易盛,通信设备,30.0,0.2,0.11395473889552726,0,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,fallback_data_or_history_cap_50pct,fallback,baseline_full_liquidity,0.5,fallback_insufficient_completed_history
