split,factor,horizon,mean_ic,ic_std,ic_ir,positive_ic_ratio,n_days
oos1_2023,liquidity,40,0.15479548565248044,0.19817352974318334,0.7811108065395147,0.8305785123966942,242
oos1_2023,market_beta,5,-0.005775366053985632,0.1527772938200339,-0.03780251573763836,0.5,242
oos1_2023,market_beta,10,-0.002258513961074449,0.15659774561807702,-0.014422391281306767,0.45041322314049587,242
oos1_2023,market_beta,20,0.0019799181830528188,0.1479942699872791,0.01337834352115797,0.45454545454545453,242
oos1_2023,market_beta,40,-0.0206360299661492,0.15591659555701665,-0.1323530050949764,0.4297520661157025,242
oos1_2023,momentum,5,-0.030667430713824387,0.12470428965103417,-0.24592121730248806,0.36363636363636365,242
oos1_2023,momentum,10,-0.03465801458364474,0.13140219541598072,-0.2637552171326183,0.38016528925619836,242
oos1_2023,momentum,20,-0.02591465918429786,0.14038219348881784,-0.18460075697821388,0.45041322314049587,242
oos1_2023,momentum,40,-0.03473760765201172,0.12080900550916658,-0.28754154134126986,0.36363636363636365,242
oos1_2023,score,5,0.06527655188352588,0.1523544314809734,0.4284519409708004,0.6900826446280992,242
oos1_2023,score,10,0.08932122724530116,0.15500671892231382,0.5762410033984857,0.7520661157024794,242
oos1_2023,score,20,0.11365577448109476,0.1600199822585027,0.7102598867777067,0.7768595041322314,242
oos1_2023,score,40,0.1317247617418479,0.18482824008593235,0.712687420929859,0.8223140495867769,242
oos1_2023,size,5,0.05345986154195689,0.17104226787794052,0.3125535120950747,0.5867768595041323,242
oos1_2023,size,10,0.0782864162143579,0.17763582112045256,0.44071300327017315,0.6033057851239669,242
oos1_2023,size,20,0.10417097649972414,0.1926475770464627,0.5407333852665076,0.6735537190082644,242
oos1_2023,size,40,0.10195966724228077,0.24588680035431243,0.41466100293045915,0.7768595041322314,242
oos1_2023,value,5,0.005626453511221726,0.1289995260581541,0.04361607893571076,0.5247933884297521,242
oos1_2023,value,10,0.004824742320836154,0.13003895475720736,0.037102284694954024,0.5330578512396694,242
oos1_2023,value,20,0.006496239761358265,0.11975395405570699,0.054246557556975133,0.4628099173553719,242
oos1_2023,value,40,0.028754178802774005,0.10170906847283592,0.28271007919469404,0.6694214876033058,242
oos1_2023,volatility,5,0.06311710889998173,0.1338598204450778,0.4715164616994123,0.6363636363636364,242
oos1_2023,volatility,10,0.08193216483218291,0.14325569186011292,0.571929560133558,0.7107438016528925,242
oos1_2023,volatility,20,0.1094942922303091,0.1521012066282908,0.7198778672275383,0.7520661157024794,242
oos1_2023,volatility,40,0.14917125591380717,0.1210517288966483,1.2322934771230472,0.8553719008264463,242
crisis_2024,liquidity,5,0.003624174773640985,0.2068739432793126,0.01751875908677283,0.5495867768595041,242
crisis_2024,liquidity,10,0.013839959113205657,0.22170217665166184,0.06242590542965657,0.6074380165289256,242
crisis_2024,liquidity,20,0.01712321201631909,0.24328538876804023,0.07038323223202347,0.6239669421487604,242
