trade_date,listed_symbols,market_coverage,industry_coverage,adjustment_coverage,financial_coverage,universe_status_coverage
2020-03-02,3589,1.0,1.0,1.0,1.0,1.0
2020-03-03,3589,1.0,1.0,1.0,1.0,1.0
2020-03-04,3586,1.0,1.0,1.0,1.0,1.0
2020-03-05,3587,1.0,1.0,1.0,1.0,1.0
2020-03-06,3586,1.0,1.0,1.0,1.0,1.0
2020-03-09,3585,1.0,1.0,1.0,1.0,1.0
2020-03-10,3586,1.0,1.0,1.0,1.0,1.0
2020-03-11,3585,1.0,1.0,1.0,1.0,1.0
2020-03-12,3586,1.0,1.0,1.0,1.0,1.0
2020-03-13,3587,1.0,1.0,1.0,1.0,1.0
2020-03-16,3586,1.0,1.0,1.0,1.0,1.0
2020-03-17,3586,1.0,1.0,1.0,1.0,1.0
2020-03-18,3587,1.0,1.0,1.0,1.0,1.0
2020-03-19,3591,1.0,1.0,1.0,1.0,1.0
2020-03-20,3593,1.0,1.0,1.0,1.0,1.0
2020-03-23,3594,1.0,1.0,1.0,1.0,1.0
2020-03-24,3593,1.0,1.0,1.0,1.0,1.0
2020-03-25,3591,1.0,1.0,1.0,1.0,1.0
2020-03-26,3594,1.0,1.0,1.0,1.0,1.0
2020-03-27,3597,1.0,1.0,1.0,1.0,1.0
2020-03-30,3596,1.0,1.0,1.0,1.0,1.0
2020-03-31,3596,1.0,1.0,1.0,1.0,1.0
2020-04-01,3598,1.0,1.0,1.0,1.0,1.0
2020-04-02,3598,1.0,1.0,1.0,1.0,1.0
2020-04-03,3599,1.0,1.0,1.0,1.0,1.0
2020-04-07,3596,1.0,1.0,1.0,1.0,1.0
2020-04-08,3596,1.0,1.0,1.0,1.0,1.0
2020-04-09,3598,1.0,1.0,1.0,1.0,1.0
2020-04-10,3599,1.0,1.0,1.0,1.0,1.0
2020-04-13,3598,1.0,1.0,1.0,1.0,1.0
2020-04-14,3600,1.0,1.0,1.0,1.0,1.0
2020-04-15,3598,1.0,1.0,1.0,1.0,1.0
2020-04-16,3604,1.0,1.0,1.0,1.0,1.0
2020-04-17,3607,1.0,1.0,1.0,1.0,1.0
2020-04-20,3605,1.0,1.0,1.0,1.0,1.0
2020-04-21,3606,1.0,1.0,1.0,1.0,1.0
2020-04-22,3610,1.0,1.0,1.0,1.0,1.0
2020-04-23,3612,1.0,1.0,1.0,1.0,1.0
2020-04-24,3612,1.0,1.0,1.0,1.0,1.0
2020-04-27,3611,1.0,1.0,1.0,1.0,1.0
2020-04-28,3608,1.0,1.0,1.0,1.0,1.0
2020-04-29,3602,1.0,1.0,1.0,1.0,1.0
2020-04-30,3593,1.0,1.0,1.0,1.0,1.0
2020-05-06,3614,1.0,1.0,1.0,1.0,1.0
2020-05-07,3617,1.0,1.0,1.0,1.0,1.0
2020-05-08,3619,1.0,1.0,1.0,1.0,1.0
2020-05-11,3620,1.0,1.0,1.0,1.0,1.0
2020-05-12,3622,1.0,1.0,1.0,1.0,1.0
2020-05-13,3623,1.0,1.0,1.0,1.0,1.0
2020-05-14,3624,1.0,1.0,1.0,1.0,1.0
2020-05-15,3625,1.0,1.0,1.0,1.0,1.0
2020-05-18,3624,1.0,1.0,1.0,1.0,1.0
2020-05-19,3623,1.0,1.0,1.0,1.0,1.0
2020-05-20,3625,1.0,1.0,1.0,1.0,1.0
2020-05-21,3626,1.0,1.0,1.0,1.0,1.0
2020-05-22,3629,1.0,1.0,1.0,1.0,1.0
2020-05-25,3630,1.0,1.0,1.0,1.0,1.0
2020-05-26,3630,1.0,1.0,1.0,1.0,1.0
2020-05-27,3625,1.0,1.0,1.0,1.0,1.0
2020-05-28,3630,1.0,1.0,1.0,1.0,1.0
2020-05-29,3630,1.0,1.0,1.0,1.0,1.0
2020-06-01,3628,1.0,1.0,1.0,1.0,1.0
2020-06-02,3633,1.0,1.0,1.0,1.0,1.0
2020-06-03,3635,1.0,1.0,1.0,1.0,1.0
2020-06-04,3635,1.0,1.0,1.0,1.0,1.0
2020-06-05,3635,1.0,1.0,1.0,1.0,1.0
2020-06-08,3638,1.0,1.0,1.0,1.0,1.0
2020-06-09,3643,1.0,1.0,1.0,1.0,1.0
2020-06-10,3643,1.0,1.0,1.0,1.0,1.0
2020-06-11,3642,1.0,1.0,1.0,1.0,1.0
2020-06-12,3643,1.0,1.0,1.0,1.0,1.0
2020-06-15,3647,1.0,1.0,1.0,1.0,1.0
2020-06-16,3651,1.0,1.0,1.0,1.0,1.0
2020-06-17,3650,1.0,1.0,1.0,1.0,1.0
2020-06-18,3651,1.0,1.0,1.0,1.0,1.0
2020-06-19,3654,1.0,1.0,1.0,1.0,1.0
2020-06-22,3654,1.0,1.0,1.0,1.0,1.0
2020-06-23,3655,1.0,1.0,1.0,1.0,1.0
2020-06-24,3658,1.0,1.0,1.0,1.0,1.0
2020-06-29,3657,1.0,1.0,1.0,1.0,1.0
2020-06-30,3655,1.0,1.0,1.0,1.0,1.0
2020-07-01,3662,1.0,1.0,1.0,1.0,1.0
2020-07-02,3664,1.0,1.0,1.0,1.0,1.0
2020-07-03,3666,1.0,1.0,1.0,1.0,1.0
2020-07-06,3666,1.0,1.0,1.0,1.0,1.0
2020-07-07,3664,1.0,1.0,1.0,1.0,1.0
2020-07-08,3669,1.0,1.0,1.0,1.0,1.0
2020-07-09,3671,1.0,1.0,1.0,1.0,1.0
2020-07-10,3672,1.0,1.0,1.0,1.0,1.0
2020-07-13,3674,1.0,1.0,1.0,1.0,1.0
2020-07-14,3676,1.0,1.0,1.0,1.0,1.0
2020-07-15,3676,1.0,1.0,1.0,1.0,1.0
2020-07-16,3678,1.0,1.0,1.0,1.0,1.0
2020-07-17,3682,1.0,1.0,1.0,1.0,1.0
2020-07-20,3683,1.0,1.0,1.0,1.0,1.0
2020-07-21,3687,1.0,1.0,1.0,1.0,1.0
2020-07-22,3694,1.0,1.0,1.0,1.0,1.0
2020-07-23,3696,1.0,1.0,1.0,1.0,1.0
2020-07-24,3698,1.0,1.0,1.0,1.0,1.0
2020-07-27,3699,1.0,1.0,1.0,1.0,1.0
2020-07-28,3698,1.0,1.0,1.0,1.0,1.0
2020-07-29,3701,1.0,1.0,1.0,1.0,1.0
2020-07-30,3704,1.0,1.0,1.0,1.0,1.0
2020-07-31,3709,1.0,1.0,1.0,1.0,1.0
2020-08-03,3711,1.0,1.0,1.0,1.0,1.0
2020-08-04,3711,1.0,1.0,1.0,1.0,1.0
2020-08-05,3713,1.0,1.0,1.0,1.0,1.0
2020-08-06,3716,1.0,1.0,1.0,1.0,1.0
2020-08-07,3716,1.0,1.0,1.0,1.0,1.0
2020-08-10,3722,1.0,1.0,1.0,1.0,1.0
2020-08-11,3722,1.0,1.0,1.0,1.0,1.0
2020-08-12,3726,1.0,1.0,1.0,1.0,1.0
2020-08-13,3727,1.0,1.0,1.0,1.0,1.0
2020-08-14,3728,1.0,1.0,1.0,1.0,1.0
2020-08-17,3732,1.0,1.0,1.0,1.0,1.0
2020-08-18,3736,1.0,1.0,1.0,1.0,1.0
2020-08-19,3737,1.0,1.0,1.0,1.0,1.0
2020-08-20,3740,1.0,1.0,1.0,1.0,1.0
2020-08-21,3742,1.0,1.0,1.0,1.0,1.0
2020-08-24,3759,1.0,1.0,1.0,1.0,1.0
2020-08-25,3763,1.0,1.0,1.0,1.0,1.0
2020-08-26,3764,1.0,1.0,1.0,1.0,1.0
2020-08-27,3764,1.0,1.0,1.0,1.0,1.0
2020-08-28,3768,1.0,1.0,1.0,1.0,1.0
2020-08-31,3770,1.0,1.0,1.0,1.0,1.0
2020-09-01,3773,1.0,1.0,1.0,1.0,1.0
2020-09-02,3777,1.0,1.0,1.0,1.0,1.0
2020-09-03,3781,1.0,1.0,1.0,1.0,1.0
2020-09-04,3778,1.0,1.0,1.0,1.0,1.0
2020-09-07,3779,1.0,1.0,1.0,1.0,1.0
2020-09-08,3783,1.0,1.0,1.0,1.0,1.0
2020-09-09,3779,1.0,1.0,1.0,1.0,1.0
2020-09-10,3785,1.0,1.0,1.0,1.0,1.0
2020-09-11,3788,1.0,1.0,1.0,1.0,1.0
2020-09-14,3785,1.0,1.0,1.0,1.0,1.0
2020-09-15,3790,1.0,1.0,1.0,1.0,1.0
2020-09-16,3795,1.0,1.0,1.0,1.0,1.0
2020-09-17,3800,1.0,1.0,1.0,1.0,1.0
2020-09-18,3807,1.0,1.0,1.0,1.0,1.0
2020-09-21,3808,1.0,1.0,1.0,1.0,1.0
2020-09-22,3815,1.0,1.0,1.0,1.0,1.0
2020-09-23,3815,1.0,1.0,1.0,1.0,1.0
2020-09-24,3819,1.0,1.0,1.0,1.0,1.0
2020-09-25,3825,1.0,1.0,1.0,1.0,1.0
2020-09-28,3828,1.0,1.0,1.0,1.0,1.0
2020-09-29,3834,1.0,1.0,1.0,1.0,1.0
2020-09-30,3837,1.0,1.0,1.0,1.0,1.0
2020-10-09,3840,1.0,1.0,1.0,1.0,1.0
2020-10-12,3839,1.0,1.0,1.0,1.0,1.0
2020-10-13,3844,1.0,1.0,1.0,1.0,1.0
2020-10-14,3843,1.0,1.0,1.0,1.0,1.0
2020-10-15,3844,1.0,1.0,1.0,1.0,1.0
2020-10-16,3846,1.0,1.0,1.0,1.0,1.0
2020-10-19,3849,1.0,1.0,1.0,1.0,1.0
2020-10-20,3850,1.0,1.0,1.0,1.0,1.0
2020-10-21,3850,1.0,1.0,1.0,1.0,1.0
2020-10-22,3854,1.0,1.0,1.0,1.0,1.0
2020-10-23,3856,1.0,1.0,1.0,1.0,1.0
2020-10-26,3857,1.0,1.0,1.0,1.0,1.0
2020-10-27,3858,1.0,1.0,1.0,1.0,1.0
2020-10-28,3858,1.0,1.0,1.0,1.0,1.0
2020-10-29,3863,1.0,1.0,1.0,1.0,1.0
2020-10-30,3865,1.0,1.0,1.0,1.0,1.0
2020-11-02,3864,1.0,1.0,1.0,1.0,1.0
2020-11-03,3865,1.0,1.0,1.0,1.0,1.0
2020-11-04,3865,1.0,1.0,1.0,1.0,1.0
2020-11-05,3868,1.0,1.0,1.0,1.0,1.0
2020-11-06,3869,1.0,1.0,1.0,1.0,1.0
2020-11-09,3875,1.0,1.0,1.0,1.0,1.0
2020-11-10,3877,1.0,1.0,1.0,1.0,1.0
2020-11-11,3879,1.0,1.0,1.0,1.0,1.0
2020-11-12,3882,1.0,1.0,1.0,1.0,1.0
2020-11-13,3879,1.0,1.0,1.0,1.0,1.0
2020-11-16,3880,1.0,1.0,1.0,1.0,1.0
2020-11-17,3882,1.0,1.0,1.0,1.0,1.0
2020-11-18,3886,1.0,1.0,1.0,1.0,1.0
2020-11-19,3885,1.0,1.0,1.0,1.0,1.0
2020-11-20,3885,1.0,1.0,1.0,1.0,1.0
2020-11-23,3886,1.0,1.0,1.0,1.0,1.0
2020-11-24,3885,1.0,1.0,1.0,1.0,1.0
2020-11-25,3885,1.0,1.0,1.0,1.0,1.0
2020-11-26,3890,1.0,1.0,1.0,1.0,1.0
2020-11-27,3890,1.0,1.0,1.0,1.0,1.0
2020-11-30,3889,1.0,1.0,1.0,1.0,1.0
2020-12-01,3891,1.0,1.0,1.0,1.0,1.0
2020-12-02,3891,1.0,1.0,1.0,1.0,1.0
2020-12-03,3894,1.0,1.0,1.0,1.0,1.0
2020-12-04,3895,1.0,1.0,1.0,1.0,1.0
2020-12-07,3896,1.0,1.0,1.0,1.0,1.0
2020-12-08,3900,1.0,1.0,1.0,1.0,1.0
2020-12-09,3900,1.0,1.0,1.0,1.0,1.0
2020-12-10,3901,1.0,1.0,1.0,1.0,1.0
2020-12-11,3904,1.0,1.0,1.0,1.0,1.0
2020-12-14,3907,1.0,1.0,1.0,1.0,1.0
2020-12-15,3910,1.0,1.0,1.0,1.0,1.0
2020-12-16,3914,1.0,1.0,1.0,1.0,1.0
2020-12-17,3914,1.0,1.0,1.0,1.0,1.0
2020-12-18,3918,1.0,1.0,1.0,1.0,1.0
2020-12-21,3920,1.0,1.0,1.0,1.0,1.0
2020-12-22,3920,1.0,1.0,1.0,1.0,1.0
2020-12-23,3924,1.0,1.0,1.0,1.0,1.0
2020-12-24,3926,1.0,1.0,1.0,1.0,1.0
2020-12-25,3929,1.0,1.0,1.0,1.0,1.0
2020-12-28,3932,1.0,1.0,1.0,1.0,1.0
2020-12-29,3938,1.0,1.0,1.0,1.0,1.0
2020-12-30,3940,1.0,1.0,1.0,1.0,1.0
2020-12-31,3942,1.0,1.0,1.0,1.0,1.0
2021-01-04,3945,1.0,1.0,1.0,1.0,1.0
2021-01-05,3946,1.0,1.0,1.0,1.0,1.0
2021-01-06,3948,1.0,1.0,1.0,1.0,1.0
2021-01-07,3952,1.0,1.0,1.0,1.0,1.0
2021-01-08,3953,1.0,1.0,1.0,1.0,1.0
2021-01-11,3950,1.0,1.0,1.0,1.0,1.0
2021-01-12,3950,1.0,1.0,1.0,1.0,1.0
2021-01-13,3952,1.0,1.0,1.0,1.0,1.0
2021-01-14,3951,1.0,1.0,1.0,1.0,1.0
2021-01-15,3949,1.0,1.0,1.0,1.0,1.0
2021-01-18,3952,1.0,1.0,1.0,1.0,1.0
2021-01-19,3956,1.0,1.0,1.0,1.0,1.0
2021-01-20,3956,1.0,1.0,1.0,1.0,1.0
2021-01-21,3958,1.0,1.0,1.0,1.0,1.0
2021-01-22,3963,1.0,1.0,1.0,1.0,1.0
2021-01-25,3963,1.0,1.0,1.0,1.0,1.0
2021-01-26,3964,1.0,1.0,1.0,1.0,1.0
2021-01-27,3968,1.0,1.0,1.0,1.0,1.0
2021-01-28,3973,1.0,1.0,1.0,1.0,1.0
2021-01-29,3976,1.0,1.0,1.0,1.0,1.0
2021-02-01,3979,1.0,1.0,1.0,1.0,1.0
2021-02-02,3979,1.0,1.0,1.0,1.0,1.0
2021-02-03,3980,1.0,1.0,1.0,1.0,1.0
2021-02-04,3981,1.0,1.0,1.0,1.0,1.0
2021-02-05,3981,1.0,1.0,1.0,1.0,1.0
2021-02-08,3983,1.0,1.0,1.0,1.0,1.0
2021-02-09,3990,1.0,1.0,1.0,1.0,1.0
2021-02-10,3998,1.0,1.0,1.0,1.0,1.0
2021-02-18,3993,1.0,1.0,1.0,1.0,1.0
2021-02-19,3997,1.0,1.0,1.0,1.0,1.0
2021-02-22,3997,1.0,1.0,1.0,1.0,1.0
2021-02-23,3999,1.0,1.0,1.0,1.0,1.0
2021-02-24,4001,1.0,1.0,1.0,1.0,1.0
2021-02-25,4004,1.0,1.0,1.0,1.0,1.0
2021-02-26,4005,1.0,1.0,1.0,1.0,1.0
2021-03-01,4006,1.0,1.0,1.0,1.0,1.0
2021-03-02,4007,1.0,1.0,1.0,1.0,1.0
2021-03-03,4008,1.0,1.0,1.0,1.0,1.0
2021-03-04,4008,1.0,1.0,1.0,1.0,1.0
2021-03-05,4009,1.0,1.0,1.0,1.0,1.0
2021-03-08,4011,1.0,1.0,1.0,1.0,1.0
2021-03-09,4012,1.0,1.0,1.0,1.0,1.0
2021-03-10,4013,1.0,1.0,1.0,1.0,1.0
2021-03-11,4014,1.0,1.0,1.0,1.0,1.0
2021-03-12,4014,1.0,1.0,1.0,1.0,1.0
2021-03-15,4014,1.0,1.0,1.0,1.0,1.0
2021-03-16,4016,1.0,1.0,1.0,1.0,1.0
2021-03-17,4017,1.0,1.0,1.0,1.0,1.0
2021-03-18,4019,1.0,1.0,1.0,1.0,1.0
2021-03-19,4018,1.0,1.0,1.0,1.0,1.0
2021-03-22,4026,1.0,1.0,1.0,1.0,1.0
2021-03-23,4028,1.0,1.0,1.0,1.0,1.0
2021-03-24,4029,1.0,1.0,1.0,1.0,1.0
2021-03-25,4032,1.0,1.0,1.0,1.0,1.0
2021-03-26,4035,1.0,1.0,1.0,1.0,1.0
2021-03-29,4039,1.0,1.0,1.0,1.0,1.0
2021-03-30,4042,1.0,1.0,1.0,1.0,1.0
2021-03-31,4041,1.0,1.0,1.0,1.0,1.0
2021-04-01,4046,1.0,1.0,1.0,1.0,1.0
2021-04-02,4047,1.0,1.0,1.0,1.0,1.0
2021-04-06,4053,1.0,1.0,1.0,1.0,1.0
2021-04-07,4052,1.0,1.0,1.0,1.0,1.0
2021-04-08,4053,1.0,1.0,1.0,1.0,1.0
2021-04-09,4057,1.0,1.0,1.0,1.0,1.0
2021-04-12,4062,1.0,1.0,1.0,1.0,1.0
2021-04-13,4065,1.0,1.0,1.0,1.0,1.0
2021-04-14,4066,1.0,1.0,1.0,1.0,1.0
2021-04-15,4066,1.0,1.0,1.0,1.0,1.0
2021-04-16,4069,1.0,1.0,1.0,1.0,1.0
2021-04-19,4073,1.0,1.0,1.0,1.0,1.0
2021-04-20,4077,1.0,1.0,1.0,1.0,1.0
2021-04-21,4084,1.0,1.0,1.0,1.0,1.0
2021-04-22,4085,1.0,1.0,1.0,1.0,1.0
2021-04-23,4078,1.0,1.0,1.0,1.0,1.0
2021-04-26,4084,1.0,1.0,1.0,1.0,1.0
2021-04-27,4075,1.0,1.0,1.0,1.0,1.0
2021-04-28,4088,1.0,1.0,1.0,1.0,1.0
2021-04-29,4079,1.0,1.0,1.0,1.0,1.0
2021-04-30,4081,1.0,1.0,1.0,1.0,1.0
2021-05-06,4096,1.0,1.0,1.0,1.0,1.0
2021-05-07,4095,1.0,1.0,1.0,1.0,1.0
2021-05-10,4096,1.0,1.0,1.0,1.0,1.0
2021-05-11,4100,1.0,1.0,1.0,1.0,1.0
2021-05-12,4106,1.0,1.0,1.0,1.0,1.0
2021-05-13,4115,1.0,1.0,1.0,1.0,1.0
2021-05-14,4111,1.0,1.0,1.0,1.0,1.0
2021-05-17,4113,1.0,1.0,1.0,1.0,1.0
2021-05-18,4112,1.0,1.0,1.0,1.0,1.0
2021-05-19,4113,1.0,1.0,1.0,1.0,1.0
2021-05-20,4124,1.0,1.0,1.0,1.0,1.0
2021-05-21,4125,1.0,1.0,1.0,1.0,1.0
2021-05-24,4125,1.0,1.0,1.0,1.0,1.0
2021-05-25,4129,1.0,1.0,1.0,1.0,1.0
2021-05-26,4133,1.0,1.0,1.0,1.0,1.0
2021-05-27,4135,1.0,1.0,1.0,1.0,1.0
2021-05-28,4139,1.0,1.0,1.0,1.0,1.0
2021-05-31,4141,1.0,1.0,1.0,1.0,1.0
2021-06-01,4143,1.0,1.0,1.0,1.0,1.0
2021-06-02,4143,1.0,1.0,1.0,1.0,1.0
2021-06-03,4146,1.0,1.0,1.0,1.0,1.0
2021-06-04,4147,1.0,1.0,1.0,1.0,1.0
2021-06-07,4147,1.0,1.0,1.0,1.0,1.0
2021-06-08,4150,1.0,1.0,1.0,1.0,1.0
2021-06-09,4151,1.0,1.0,1.0,1.0,1.0
2021-06-10,4151,1.0,1.0,1.0,1.0,1.0
2021-06-11,4156,1.0,1.0,1.0,1.0,1.0
2021-06-15,4154,1.0,1.0,1.0,1.0,1.0
2021-06-16,4155,1.0,1.0,1.0,1.0,1.0
2021-06-17,4161,1.0,1.0,1.0,1.0,1.0
2021-06-18,4162,1.0,1.0,1.0,1.0,1.0
2021-06-21,4159,1.0,1.0,1.0,1.0,1.0
2021-06-22,4166,1.0,1.0,1.0,1.0,1.0
2021-06-23,4167,1.0,1.0,1.0,1.0,1.0
2021-06-24,4170,1.0,1.0,1.0,1.0,1.0
2021-06-25,4175,1.0,1.0,1.0,1.0,1.0
2021-06-28,4179,1.0,1.0,1.0,1.0,1.0
2021-06-29,4183,1.0,1.0,1.0,1.0,1.0
2021-06-30,4186,1.0,1.0,1.0,1.0,1.0
2021-07-01,4188,1.0,1.0,1.0,1.0,1.0
2021-07-02,4188,1.0,1.0,1.0,1.0,1.0
2021-07-05,4190,1.0,1.0,1.0,1.0,1.0
2021-07-06,4195,1.0,1.0,1.0,1.0,1.0
2021-07-07,4199,1.0,1.0,1.0,1.0,1.0
2021-07-08,4203,1.0,1.0,1.0,1.0,1.0
2021-07-09,4205,1.0,1.0,1.0,1.0,1.0
2021-07-12,4205,1.0,1.0,1.0,1.0,1.0
2021-07-13,4207,1.0,1.0,1.0,1.0,1.0
2021-07-14,4204,1.0,1.0,1.0,1.0,1.0
2021-07-15,4207,1.0,1.0,1.0,1.0,1.0
2021-07-16,4211,1.0,1.0,1.0,1.0,1.0
2021-07-19,4209,1.0,1.0,1.0,1.0,1.0
2021-07-20,4213,1.0,1.0,1.0,1.0,1.0
2021-07-21,4213,1.0,1.0,1.0,1.0,1.0
2021-07-22,4218,1.0,1.0,1.0,1.0,1.0
2021-07-23,4221,1.0,1.0,1.0,1.0,1.0
2021-07-26,4225,1.0,1.0,1.0,1.0,1.0
2021-07-27,4226,1.0,1.0,1.0,1.0,1.0
2021-07-28,4230,1.0,1.0,1.0,1.0,1.0
2021-07-29,4232,1.0,1.0,1.0,1.0,1.0
2021-07-30,4235,1.0,1.0,1.0,1.0,1.0
2021-08-02,4236,1.0,1.0,1.0,1.0,1.0
2021-08-03,4237,1.0,1.0,1.0,1.0,1.0
2021-08-04,4243,1.0,1.0,1.0,1.0,1.0
2021-08-05,4247,1.0,1.0,1.0,1.0,1.0
2021-08-06,4249,1.0,1.0,1.0,1.0,1.0
2021-08-09,4249,1.0,1.0,1.0,1.0,1.0
2021-08-10,4252,1.0,1.0,1.0,1.0,1.0
2021-08-11,4253,1.0,1.0,1.0,1.0,1.0
2021-08-12,4257,1.0,1.0,1.0,1.0,1.0
2021-08-13,4261,1.0,1.0,1.0,1.0,1.0
2021-08-16,4264,1.0,1.0,1.0,1.0,1.0
2021-08-17,4266,1.0,1.0,1.0,1.0,1.0
2021-08-18,4266,1.0,1.0,1.0,1.0,1.0
2021-08-19,4269,1.0,1.0,1.0,1.0,1.0
2021-08-20,4272,1.0,1.0,1.0,1.0,1.0
2021-08-23,4272,1.0,1.0,1.0,1.0,1.0
2021-08-24,4276,1.0,1.0,1.0,1.0,1.0
2021-08-25,4275,1.0,1.0,1.0,1.0,1.0
2021-08-26,4278,1.0,1.0,1.0,1.0,1.0
2021-08-27,4278,1.0,1.0,1.0,1.0,1.0
2021-08-30,4280,1.0,1.0,1.0,1.0,1.0
2021-08-31,4279,1.0,1.0,1.0,1.0,1.0
2021-09-01,4280,1.0,1.0,1.0,1.0,1.0
2021-09-02,4279,1.0,1.0,1.0,1.0,1.0
2021-09-03,4279,1.0,1.0,1.0,1.0,1.0
2021-09-06,4281,1.0,1.0,1.0,1.0,1.0
2021-09-07,4285,1.0,1.0,1.0,1.0,1.0
2021-09-08,4287,1.0,1.0,1.0,1.0,1.0
2021-09-09,4292,1.0,1.0,1.0,1.0,1.0
2021-09-10,4293,1.0,1.0,1.0,1.0,1.0
2021-09-13,4299,1.0,1.0,1.0,1.0,1.0
2021-09-14,4303,1.0,1.0,1.0,1.0,1.0
2021-09-15,4302,1.0,1.0,1.0,1.0,1.0
2021-09-16,4303,1.0,1.0,1.0,1.0,1.0
2021-09-17,4304,1.0,1.0,1.0,1.0,1.0
2021-09-22,4301,1.0,1.0,1.0,1.0,1.0
2021-09-23,4301,1.0,1.0,1.0,1.0,1.0
2021-09-24,4302,1.0,1.0,1.0,1.0,1.0
2021-09-27,4300,1.0,1.0,1.0,1.0,1.0
2021-09-28,4304,1.0,1.0,1.0,1.0,1.0
2021-09-29,4309,1.0,1.0,1.0,1.0,1.0
2021-09-30,4311,1.0,1.0,1.0,1.0,1.0
2021-10-08,4313,1.0,1.0,1.0,1.0,1.0
2021-10-11,4316,1.0,1.0,1.0,1.0,1.0
2021-10-12,4318,1.0,1.0,1.0,1.0,1.0
2021-10-13,4318,1.0,1.0,1.0,1.0,1.0
2021-10-14,4319,1.0,1.0,1.0,1.0,1.0
2021-10-15,4321,1.0,1.0,1.0,1.0,1.0
2021-10-18,4326,1.0,1.0,1.0,1.0,1.0
2021-10-19,4328,1.0,1.0,1.0,1.0,1.0
2021-10-20,4330,1.0,1.0,1.0,1.0,1.0
2021-10-21,4334,1.0,1.0,1.0,1.0,1.0
2021-10-22,4335,1.0,1.0,1.0,1.0,1.0
2021-10-25,4335,1.0,1.0,1.0,1.0,1.0
2021-10-26,4338,1.0,1.0,1.0,1.0,1.0
2021-10-27,4344,1.0,1.0,1.0,1.0,1.0
2021-10-28,4350,1.0,1.0,1.0,1.0,1.0
2021-10-29,4351,1.0,1.0,1.0,1.0,1.0
2021-11-01,4352,1.0,1.0,1.0,1.0,1.0
2021-11-02,4355,1.0,1.0,1.0,1.0,1.0
2021-11-03,4355,1.0,1.0,1.0,1.0,1.0
2021-11-04,4356,1.0,1.0,1.0,1.0,1.0
2021-11-05,4356,1.0,1.0,1.0,1.0,1.0
2021-11-08,4357,1.0,1.0,1.0,1.0,1.0
2021-11-09,4354,1.0,1.0,1.0,1.0,1.0
2021-11-10,4357,1.0,1.0,1.0,1.0,1.0
2021-11-11,4356,1.0,1.0,1.0,1.0,1.0
2021-11-12,4360,1.0,1.0,1.0,1.0,1.0
2021-11-15,4362,1.0,1.0,1.0,1.0,1.0
2021-11-16,4365,1.0,1.0,1.0,1.0,1.0
2021-11-17,4368,1.0,1.0,1.0,1.0,1.0
2021-11-18,4372,1.0,1.0,1.0,1.0,1.0
2021-11-19,4374,1.0,1.0,1.0,1.0,1.0
2021-11-22,4377,1.0,1.0,1.0,1.0,1.0
2021-11-23,4378,1.0,1.0,1.0,1.0,1.0
2021-11-24,4377,1.0,1.0,1.0,1.0,1.0
2021-11-25,4378,1.0,1.0,1.0,1.0,1.0
2021-11-26,4379,1.0,1.0,1.0,1.0,1.0
2021-11-29,4380,1.0,1.0,1.0,1.0,1.0
2021-11-30,4381,1.0,1.0,1.0,1.0,1.0
