strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
baseline_full_liquidity_detail_vol_position,2026-02-03,688525,佰维存储,半导体,SELL,174.6047,500,87302.35,65.4767625,284934.8259275,rebalance_unlocked,,,,,,,0.30271152910315213,0.30000000000000004,0.30000000000000004,0.0027115291031520883,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-03,603993,洛阳钼业,小金属,BUY,23.109,4000,92436.0,69.327,192429.49892749998,rebalance_unlocked,4000.0,23.109,4000.0,23.109,,-28.59364940163006,0.30271152910315213,0.30000000000000004,0.30000000000000004,0.0027115291031520883,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-04,000338,潍柴动力,汽车配件,SELL,24.43,4900,119707.0,89.78025,312046.7186775,rebalance_unlocked,,,,,,,0.31284238856356705,0.30000000000000004,0.30000000000000004,0.012842388563567009,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-04,002156,通富微电,半导体,SELL,49.8566,1700,84756.22,63.567165,396739.3715125,rebalance_unlocked,,,,,,,0.31284238856356705,0.30000000000000004,0.30000000000000004,0.012842388563567009,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-04,300394,天孚通信,通信设备,BUY,381.4611,200,76292.22,57.219165000000004,320389.9323475,rebalance_unlocked,200.0,381.4611,200.0,381.4611,,-45.20290177467856,0.31284238856356705,0.30000000000000004,0.30000000000000004,0.012842388563567009,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-04,300502,新易盛,通信设备,BUY,574.7462,200,114949.24,86.21193000000001,205354.4804175,rebalance_unlocked,200.0,574.7462,200.0,574.7462,,-86.32635786410547,0.31284238856356705,0.30000000000000004,0.30000000000000004,0.012842388563567009,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-13,600489,中金黄金,黄金,SELL,29.99,3000,89970.0,67.4775,295257.0029175,rebalance_unlocked,,,,,,,0.30590186759473975,0.30000000000000004,0.30000000000000004,0.005901867594739707,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-13,300395,菲利华,玻璃,BUY,99.42,1000,99420.0,74.565,195762.43791749998,rebalance_unlocked,1000.0,99.42,1000.0,99.42,,-60.55894135705786,0.30590186759473975,0.30000000000000004,0.30000000000000004,0.005901867594739707,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-24,601899,紫金矿业,铜,SELL,39.49,1600,63184.0,47.388,258899.04991749997,rebalance_unlocked,,,,,,,0.29998532149219886,0.30000000000000004,0.30000000000000004,0.0,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-24,300766,每日互动,互联网,BUY,46.44,1400,65016.0,48.762,193834.28791749995,rebalance_unlocked,1400.0,46.44,1400.0,46.44,,-0.8947195797852359,0.29998532149219886,0.30000000000000004,0.30000000000000004,0.0,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-25,603993,洛阳钼业,小金属,SELL,23.3321,4000,93328.40000000001,69.9963,287092.6916175,rebalance_unlocked,,,,,,,0.30072968804735756,0.30000000000000004,0.30000000000000004,0.0007296880473575129,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-25,600410,华胜天成,软件服务,BUY,24.01,3800,91238.0,68.4285,195786.2631175,rebalance_unlocked,3800.0,24.01,3800.0,24.01,,-8.783366225563471,0.30072968804735756,0.30000000000000004,0.30000000000000004,0.0007296880473575129,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-26,300394,天孚通信,通信设备,SELL,482.4183,200,96483.66,72.362745,292197.5603725,rebalance_unlocked,,,,,,,0.3164267946839045,0.30000000000000004,0.30000000000000004,0.016426794683904455,0.0,0,0.0,0,0,0,,0,0
