strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-12,002119,康强电子,BUY,31.96,0,2100,2100,2100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-12,600869,远东股份,BUY,32.43,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-12,688146,中船特气,BUY,302.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-12,000725,京东方Ａ,BUY,5.57,0,8900,8900,8900,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-12,300394,天孚通信,BUY,200.3382,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-12,603986,兆易创新,BUY,481.47,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-12,000657,中钨高新,BUY,79.0,0,900,900,900,0.0,0.22371360011344812,0.22371360011344812,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-12,002466,天齐锂业,BUY,62.5,0,2200,2200,2200,0.0,0.4016742860466461,0.4016742860466461,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-12,600869,远东股份,BUY,32.43,0,2100,2100,2100,0.0,0.20177786214079932,0.20177786214079932,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-12,688146,中船特气,BUY,302.0,0,100,100,100,0.0,0.11002615727886705,0.11002615727886705,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-12,000657,中钨高新,BUY,79.0,0,1500,1500,1500,0.0,0.3416712997982694,0.3416712997982694,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-12,002466,天齐锂业,BUY,62.5,0,400,400,400,0.0,0.08613791707850267,0.08613791707850267,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-12,600869,远东股份,BUY,32.43,0,3600,3600,3600,0.0,0.3416712997982694,0.3416712997982694,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-12,002636,金安国纪,BUY,89.88,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-12,002718,友邦吊顶,BUY,101.48,0,600,600,600,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-12,002971,和远气体,BUY,58.03,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-12,600900,长江电力,BUY,28.28,0,2400,2400,2400,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-12,688082,盛美上海,BUY,304.66,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-12,000725,京东方Ａ,BUY,5.57,0,12500,12500,12500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-12,300394,天孚通信,BUY,200.3382,0,300,300,300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-12,300502,新易盛,BUY,506.46,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-12,603986,兆易创新,BUY,481.47,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-12,000725,京东方Ａ,BUY,5.57,0,12500,12500,12500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-12,300394,天孚通信,BUY,200.3382,0,300,300,300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-12,300502,新易盛,BUY,506.46,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-12,603986,兆易创新,BUY,481.47,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-12,002654,万润科技,BUY,16.19,0,4300,4300,4300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-12,002965,祥鑫科技,BUY,39.58,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-12,600176,中国巨石,BUY,41.61,0,1600,1600,1600,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-12,600206,有研新材,BUY,32.99,0,2100,2100,2100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-12,600392,盛和资源,BUY,25.8,0,2700,2700,2700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-12,002654,万润科技,BUY,16.19,0,4300,4300,4300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-12,002965,祥鑫科技,BUY,39.58,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-12,600176,中国巨石,BUY,41.61,0,1600,1600,1600,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-12,600206,有研新材,BUY,32.99,0,2100,2100,2100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-12,600392,盛和资源,BUY,25.8,0,2700,2700,2700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-12,002965,祥鑫科技,BUY,39.58,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-12,300502,新易盛,BUY,506.46,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-12,600176,中国巨石,BUY,41.61,0,1600,1600,1600,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-12,603986,兆易创新,BUY,481.47,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
