strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio
adaptive_market_style,2026-03-17,2026-03-16,279911.082595,195768.33000000002,475679.412595,0.95135882519,5,0.4115551878354674,1,57067.399999999994,5,4,485728.49786750006,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9674341082448032,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-18,2026-03-17,335320.9839775,148686.45,484007.4339775,0.968014867955,4,0.30719869068563105,2,75473.68,5,1,480155.25259499997,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9206168461736984,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-19,2026-03-18,335320.9839775,151514.06,486835.0439775,0.973670087955,4,0.31122258324321145,2,74796.32,5,0,483375.3039775,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.8540632456297291,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-20,2026-03-19,335320.9839775,155676.66999999998,490997.6539775,0.981995307955,4,0.31706194263635706,2,78070.25,5,0,493691.2339775,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.8792104215421718,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-23,2026-03-20,335320.9839775,150724.4,486045.3839775,0.972090767955,4,0.310103551990481,2,75777.45999999999,5,0,486717.44397749996,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9489858193694849,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-24,2026-03-23,335320.9839775,150592.56,485913.5439775,0.971827087955,4,0.30991636653571675,2,75197.12,5,0,486267.1039775,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9996041703596412,index_weak,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-25,2026-03-24,317153.45372750005,172870.85,490024.3037275,0.980048607455,4,0.3527801553617075,2,74014.3,5,2,489656.2839775,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.8580006594166897,index_weak,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-26,2026-03-25,317153.45372750005,167986.2,485139.65372750006,0.9702793074550001,4,0.3462635938111891,3,121379.62,5,0,485435.07372750004,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9029406973698946,index_weak,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-27,2026-03-26,317153.45372750005,168866.65,486020.10372750007,0.9720402074550002,4,0.3474478703759125,3,121999.88,5,0,483782.33372750005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.8158846535100447,index_weak,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-30,2026-03-27,258540.34684250006,225978.33,484518.67684250005,0.9690373536850001,5,0.46639756277848826,3,124024.67,5,1,485698.12372750003,5,0.5,0,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index,0.7875732925572346,index_weak,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-03-31,2026-03-30,247952.41184250006,228720.28000000003,476672.6918425001,0.9533453836850002,5,0.4798266901255016,2,103829.52,5,1,480622.5368425001,5,0.5,0,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.8342235648479958,index_weak,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-01,2026-03-31,247952.41184250006,229756.39999999997,477708.8118425,0.955417623685,5,0.4809549129182703,2,101439.89,5,0,479804.8418425,5,0.5,0,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.8903237246045043,index_weak,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-02,2026-04-01,250842.85134000008,219630.82,470473.6713400001,0.9409473426800002,5,0.46682914130869196,2,98803.12,5,6,475116.2018425,5,0.5,2,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.9060278258237635,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-03,2026-04-02,250842.85134000008,218021.72,468864.5713400001,0.9377291426800002,5,0.4649993480567338,5,220574.95,5,0,471417.8013400001,5,0.5,4,balanced,baseline_full_liquidity_detail_market_gate,hold_min_state_3_days,0.8417290826818438,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,hold_min_state_3_days,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-07,2026-04-03,250842.85134000008,221944.26,472787.11134000006,0.9455742226800001,5,0.4694380508194333,5,218717.90000000002,5,0,469560.7513400001,5,0.5,5,balanced,baseline_full_liquidity_detail_market_gate,hold_min_state_3_days,0.7656986440619561,index_weak,balanced,baseline_full_liquidity_detail_market_gate,hold_min_state_3_days,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-08,2026-04-07,250842.85134000008,233778.37,484621.22134000005,0.9692424426800001,5,0.4823940011409158,5,229010.28,5,0,479853.1313400001,5,0.5,3,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.7632317291568522,index_neutral,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-09,2026-04-08,288416.6498400001,198085.95,486502.5998400001,0.9730051996800002,4,0.40716318898428516,4,193627.65000000002,5,1,482072.5013400001,5,0.5,3,defensive,baseline_full_liquidity,hold_min_state_3_days,1.1511125888664717,index_neutral,defensive,baseline_full_liquidity,hold_min_state_3_days,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-10,2026-04-09,288416.6498400001,206455.87,494872.5198400001,0.9897450396800002,4,0.41719000696735065,4,201282.78,5,0,489699.4298400001,5,0.5,3,defensive,baseline_full_liquidity,hold_min_state_3_days,1.0177512229341976,index_neutral,defensive,baseline_full_liquidity,hold_min_state_3_days,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-13,2026-04-10,288416.6498400001,208480.27000000002,496896.9198400001,0.9937938396800002,4,0.41956442408041145,4,206582.36,5,0,494999.0098400001,5,0.5,3,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,1.1111686380592476,index_neutral,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-14,2026-04-13,259659.23932250004,240053.0,499712.23932250007,0.9994244786450002,5,0.48038247037026566,3,135483.0,5,3,498988.3398400001,5,0.5,3,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.0344491761236385,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-15,2026-04-14,259659.23932250004,241566.0,501225.23932250007,1.0024504786450001,5,0.48195098939255687,5,243030.0,5,0,502689.23932250007,5,0.5,5,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1446710783507479,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-16,2026-04-15,259659.23932250004,243660.0,503319.23932250007,1.0066384786450002,5,0.48410627085899194,5,240538.0,5,0,500197.23932250007,5,0.5,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1546284544018286,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-17,2026-04-16,257212.42157250008,251386.0,508598.4215725001,1.0171968431450003,5,0.4942720805596626,2,104190.0,5,6,502609.23932250007,5,0.5,2,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1114514834431017,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-20,2026-04-17,257212.42157250008,255819.0,513031.4215725001,1.026062843145,5,0.49864197248559444,5,253591.0,5,0,510803.4215725001,5,0.5,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1488427457999435,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-21,2026-04-20,257212.42157250008,248152.0,505364.4215725001,1.010728843145,5,0.49103575441232333,5,254595.0,5,0,511807.4215725001,5,0.7,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.2121759978259166,index_strong,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7
adaptive_market_style,2026-04-22,2026-04-21,257212.42157250008,259385.0,516597.4215725001,1.0331948431450002,5,0.5021027770724122,5,246530.0,5,0,503742.4215725001,5,0.5,5,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,1.1290871316080386,index_strong,defensive,baseline_full_liquidity,defensive_attack_weak_with_market_or_industry_risk,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-23,2026-04-22,257212.42157250008,261250.0,518462.4215725001,1.0369248431450002,5,0.5038938004564091,5,263833.0,5,0,521045.4215725001,5,0.5,5,defensive,baseline_full_liquidity,hold_min_state_3_days,1.1865769957331407,index_strong,defensive,baseline_full_liquidity,hold_min_state_3_days,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-24,2026-04-23,257212.42157250008,267619.0,524831.4215725001,1.0496628431450004,5,0.5099142105443303,5,261785.0,5,0,518997.4215725001,5,0.5,5,defensive,baseline_full_liquidity,hold_min_state_3_days,1.2804888651312119,index_strong,defensive,baseline_full_liquidity,hold_min_state_3_days,0.5,0.5,attack_completed_history_drawdown_cap_70pct,0.5
adaptive_market_style,2026-04-27,2026-04-24,257212.42157250008,276110.0,533322.4215725001,1.0666448431450002,5,0.5177168422544287,5,273229.0,5,0,530441.4215725001,5,0.7,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.186488565114603,index_strong,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7
adaptive_market_style,2026-04-28,2026-04-27,167965.68057250004,356124.0,524089.68057250004,1.048179361145,5,0.6795096587495878,3,145837.0,5,4,531049.4215725001,5,0.7,3,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1439864146061272,index_strong,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7
adaptive_market_style,2026-04-29,2026-04-28,167965.68057250004,368242.0,536207.6805725,1.072415361145,5,0.686752564989062,5,351722.0,5,0,519687.68057250004,5,0.7,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1050084589928288,index_strong,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7
adaptive_market_style,2026-04-30,2026-04-29,167965.68057250004,383736.0,551701.6805725,1.103403361145,5,0.695549811633341,5,376565.0,5,0,544530.6805725,5,0.7,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.1157371643608842,index_strong,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.7,0.7,attack_completed_history_drawdown_cap_70pct,0.7
adaptive_market_style,2026-05-06,2026-04-30,10852.294322500049,562469.0,573321.2943225,1.146642588645,5,0.981071182197542,2,234204.0,5,6,568053.6805725,5,1.0,2,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.161785594675291,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-07,2026-05-06,10852.294322500049,572707.0,583559.2943225,1.167118588645,5,0.981403270536374,5,573691.0,5,0,584543.2943225,5,1.0,5,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.3281717420843155,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-08,2026-05-07,10852.294322500049,558901.0,569753.2943225,1.139506588645,5,0.9809526431340698,5,562388.0,5,0,573240.2943225,5,1.0,5,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.2571045587254766,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-11,2026-05-08,10852.294322500049,568711.0,579563.2943225,1.159126588645,5,0.9812750489397605,5,566974.0,5,0,577826.2943225,5,1.0,5,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.1866552239964943,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-12,2026-05-11,10852.294322500049,561967.0,572819.2943225,1.145638588645,5,0.9810545936038424,5,568914.0,5,0,579766.2943225,5,1.0,5,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.3445560281752933,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
