trade_date,nav,position_ratio,equity,cash
2024-05-14,0.946711,0.4,473355.74,294195.74
2024-05-15,0.947951,0.4,473975.74,294195.74
2024-05-16,0.945759,0.4,472879.74,294195.74
2024-05-17,0.948827,0.4,474413.74,294195.74
2024-05-20,0.953456,0.4,476728.04,298915.04
2024-05-21,0.94973,0.4,474865.12,297562.12
2024-05-22,0.94677,0.4,473385.12,297562.12
2024-05-23,0.948124,0.4,474062.12,297562.12
2024-05-24,0.971059,0.4,485529.4,295498.4
2024-05-27,0.979871,0.4,489935.4,295498.4
2024-05-28,0.946837,0.4,473418.4,295498.4
2024-05-29,0.942381,0.4,471190.4,295498.4
2024-05-30,0.926059,0.4,463029.4,295498.4
2024-05-31,0.929655,0.4,464827.4,295498.4
2024-06-03,0.917501,0.4,458750.33,286063.33
2024-06-04,0.932729,0.4,466364.5,287916.5
2024-06-05,0.935457,0.4,467728.5,287916.5
2024-06-06,0.938117,0.4,469058.5,287916.5
2024-06-07,0.938284,0.4,469142.21,293071.21
2024-06-11,0.938028,0.4,469014.21,293071.21
2024-06-12,0.936378,0.4,468189.21,293071.21
2024-06-13,0.936346,0.4,468173.21,293071.21
2024-06-14,0.942626,0.4,471313.21,293071.21
2024-06-17,0.94599,0.4,472995.21,293071.21
2024-06-18,0.962219,0.4,481109.59,296983.59
2024-06-19,0.965558,0.4,482779.24,295957.24
2024-06-20,0.95661,0.4,478305.24,295957.24
2024-06-21,0.959154,0.4,479577.24,295957.24
2024-06-24,0.949611,0.4,474805.48,299439.48
2024-06-25,0.948417,0.4,474208.48,299439.48
2024-06-26,0.957463,0.4,478731.48,299439.48
2024-06-27,0.952997,0.4,476498.48,299439.48
2024-06-28,0.950841,0.4,475420.48,299439.48
2024-07-01,0.949799,0.4,474899.48,299439.48
2024-07-02,0.955591,0.4,477795.57,289804.57
2024-07-03,0.938761,0.4,469380.37,290095.37
2024-07-04,0.936017,0.4,468008.37,290095.37
2024-07-05,0.932411,0.4,466205.37,290095.37
2024-07-08,0.932455,0.4,466227.29,285861.29
2024-07-09,0.935905,0.4,467952.29,285861.29
2024-07-10,0.932797,0.4,466398.29,285861.29
2024-07-11,0.931717,0.4,465858.29,285861.29
2024-07-12,0.937315,0.4,468657.29,285861.29
2024-07-15,0.943019,0.4,471509.29,285861.29
2024-07-16,0.939473,0.4,469736.32,298407.32
2024-07-17,0.95104,0.4,475520.18,288805.18
2024-07-18,0.94879,0.4,474395.18,288805.18
2024-07-19,0.934362,0.4,467181.18,288805.18
2024-07-22,0.918618,0.4,459308.77,289046.77
2024-07-23,0.905456,0.4,452727.77,289046.77
2024-07-24,0.896462,0.4,448230.77,289046.77
2024-07-25,0.8969,0.4,448449.77,289046.77
2024-07-26,0.901276,0.4,450637.77,289046.77
2024-07-29,0.899954,0.4,449976.77,289046.77
2024-07-30,0.894904,0.4,447451.91,281168.91
2024-07-31,0.890695,0.4,445347.28,293726.28
2024-08-01,0.892743,0.4,446371.28,293726.28
2024-08-02,0.888345,0.4,444172.28,293726.28
2024-08-05,0.91065,0.4,455325.14,278047.14
2024-08-06,0.90161,0.4,450805.14,278047.14
2024-08-07,0.897692,0.4,448846.14,278047.14
2024-08-08,0.891732,0.4,445866.14,278047.14
2024-08-09,0.892412,0.4,446206.14,278047.14
2024-08-12,0.888214,0.4,444107.14,278047.14
2024-08-13,0.892681,0.4,446340.54,271194.54
2024-08-14,0.885759,0.4,442879.41,270814.41
2024-08-15,0.876505,0.4,438252.41,270814.41
2024-08-16,0.861401,0.4,430700.41,270814.41
2024-08-19,0.873023,0.4,436511.47,264403.47
2024-08-20,0.873141,0.4,436570.47,264403.47
2024-08-21,0.871451,0.4,435725.47,264403.47
2024-08-22,0.868549,0.4,434274.47,264403.47
2024-08-23,0.862657,0.4,431328.47,264403.47
2024-08-26,0.864111,0.4,432055.47,264403.47
2024-08-27,0.859691,0.4,429845.38,289640.38
2024-08-28,0.851473,0.4,425736.67,263685.67
2024-08-29,0.844633,0.4,422316.67,263685.67
2024-08-30,0.843533,0.4,421766.67,263685.67
2024-09-02,0.841571,0.4,420785.61,258329.61
2024-09-03,0.833963,0.4,416981.61,258329.61
2024-09-04,0.830641,0.4,415320.61,258329.61
2024-09-05,0.826091,0.4,413045.61,258329.61
2024-09-06,0.825307,0.4,412653.61,258329.61
2024-09-09,0.821165,0.4,410582.61,258329.61
2024-09-10,0.825725,0.4,412862.61,258329.61
2024-09-11,0.82513,0.4,412565.03,259961.03
2024-09-12,0.82342,0.4,411709.8,253436.8
2024-09-13,0.821928,0.4,410964.12,253200.12
2024-09-18,0.772369,0.4,386184.47,265995.47
2024-09-19,0.772879,0.4,386439.47,265995.47
2024-09-20,0.769335,0.4,384667.47,265995.47
2024-09-23,0.769867,0.4,384933.47,265995.47
2024-09-24,0.785791,0.4,392895.47,265995.47
2024-09-25,0.788291,0.4,394145.47,265995.47
2024-09-26,0.797047,0.4,398523.47,265995.47
2024-09-27,0.80867,0.4,404334.99,265314.99
2024-09-30,0.836684,0.4,418341.99,265314.99
2024-10-08,0.8673,0.4,433650.08,290762.08
2024-10-09,0.911798,0.4,455898.9,289875.9
2024-10-10,0.916818,0.4,458408.9,289875.9
2024-10-11,0.909678,0.4,454838.9,289875.9
2024-10-14,0.918992,0.4,459495.9,289875.9
2024-10-15,0.910952,0.4,455475.9,289875.9
2024-10-16,0.91012,0.4,455059.9,289875.9
2024-10-17,0.9078,0.4,453899.9,289875.9
2024-10-18,0.925549,0.4,462774.64,281248.64
2024-10-21,0.944213,0.4,472106.64,281248.64
2024-10-22,0.938395,0.4,469197.52,299894.52
2024-10-23,0.937246,0.4,468622.94,284547.94
2024-10-24,0.939002,0.4,469500.94,284547.94
2024-10-25,0.940836,0.4,470417.94,284547.94
2024-10-28,0.955648,0.4,477823.94,284547.94
2024-10-29,0.963378,0.4,481688.94,284547.94
2024-10-30,0.980382,0.4,490190.94,284547.94
2024-10-31,0.985732,0.4,492865.94,284547.94
2024-11-01,0.95659,0.4,478295.22,297687.22
2024-11-04,0.960074,0.6,480037.22,297687.22
2024-11-05,0.987722,0.6,493861.22,297687.22
2024-11-06,1.033492,0.6,516745.78,202649.78
2024-11-07,1.028516,0.6,514257.78,202649.78
2024-11-08,1.025126,0.6,512562.78,202649.78
2024-11-11,1.06129,0.6,530644.78,202649.78
2024-11-12,1.04384,0.6,521919.78,202649.78
2024-11-13,1.022218,0.6,511108.78,202649.78
2024-11-14,1.008126,0.6,504062.78,202649.78
2024-11-15,0.977861,0.6,488930.57,202300.57
2024-11-18,0.950749,0.6,475374.57,202300.57
2024-11-19,0.963771,0.4,481885.57,202300.57
2024-11-20,0.951679,0.4,475839.36,292250.36
2024-11-21,0.952391,0.4,476195.36,292250.36
2024-11-22,0.944443,0.4,472221.36,292250.36
2024-11-25,0.942415,0.4,471207.36,292250.36
2024-11-26,0.941227,0.4,470613.36,292250.36
2024-11-27,0.946703,0.4,473351.36,292250.36
2024-11-28,0.945145,0.4,472572.36,292250.36
2024-11-29,0.949576,0.4,474788.1,291894.1
2024-12-02,0.955422,0.4,477711.1,291894.1
2024-12-03,0.956248,0.4,478124.1,291894.1
2024-12-04,0.97191,0.4,485955.18,295601.18
2024-12-05,0.979664,0.4,489832.18,295601.18
2024-12-06,0.977826,0.4,488913.18,295601.18
2024-12-09,0.966728,0.4,483364.18,295601.18
2024-12-10,0.962688,0.4,481344.18,295601.18
2024-12-11,0.96,0.4,480000.18,295601.18
2024-12-12,0.964296,0.4,482148.18,295601.18
2024-12-13,0.94041,0.4,470204.81,289680.81
2024-12-16,0.931558,0.4,465778.81,289680.81
2024-12-17,0.92152,0.4,460759.81,289680.81
2024-12-18,0.907006,0.4,453503.05,282660.05
2024-12-19,0.912806,0.4,456403.05,282660.05
2024-12-20,0.916014,0.4,458007.05,282660.05
2024-12-23,0.915756,0.4,457878.05,282660.05
2024-12-24,0.918304,0.4,459152.05,282660.05
2024-12-25,0.916922,0.4,458461.05,282660.05
2024-12-26,0.923176,0.4,461588.05,282660.05
2024-12-27,0.920529,0.4,460264.34,288919.34
2024-12-30,0.922971,0.4,461485.34,288919.34
2024-12-31,0.913267,0.4,456633.34,288919.34
2025-01-02,0.90395,0.4,451974.8,280955.8
2025-01-03,0.896368,0.4,448183.8,280955.8
2025-01-06,0.898962,0.4,449480.8,280955.8
2025-01-07,0.90416,0.4,452079.8,280955.8
2025-01-08,0.904532,0.4,452265.8,280955.8
2025-01-09,0.904796,0.4,452397.8,280955.8
2025-01-10,0.90527,0.4,452634.8,280955.8
2025-01-13,0.899529,0.4,449764.4,312940.4
2025-01-14,0.909017,0.4,454508.4,312940.4
2025-01-15,0.912633,0.4,456316.53,277094.53
2025-01-16,0.913905,0.4,456952.55,356842.55
2025-01-17,0.916655,0.4,458327.55,356842.55
2025-01-20,0.924863,0.4,462431.55,356842.55
2025-01-21,0.927293,0.4,463646.55,356842.55
2025-01-22,0.920998,0.4,460498.86,279864.86
2025-01-23,0.903132,0.4,451565.86,279864.86
2025-01-24,0.915528,0.4,457763.86,279864.86
2025-01-27,0.900512,0.4,450255.78,280373.78
2025-02-05,0.898052,0.4,449025.78,280373.78
2025-02-06,0.909291,0.4,454645.54,273100.54
2025-02-07,0.90573,0.4,452865.19,272997.19
2025-02-10,0.916564,0.4,458282.19,272997.19
2025-02-11,0.901288,0.4,450644.19,272997.19
2025-02-12,0.904416,0.4,452208.19,272997.19
2025-02-13,0.904912,0.4,452455.76,275393.76
2025-02-14,0.936188,0.4,468093.76,275393.76
2025-02-17,0.920956,0.4,460477.76,275393.76
2025-02-18,0.904123,0.4,452061.68,281936.68
2025-02-19,0.920215,0.4,460107.68,281936.68
2025-02-20,0.910759,0.4,455379.28,290004.28
2025-02-21,0.930389,0.4,465194.69,278574.69
2025-02-24,0.926941,0.4,463470.69,278574.69
2025-02-25,0.913205,0.4,456602.69,278574.69
2025-02-26,0.916609,0.4,458304.69,278574.69
2025-02-27,0.925697,0.4,462848.67,281562.67
2025-02-28,0.902707,0.4,451353.67,281562.67
2025-03-03,0.889733,0.4,444866.67,281562.67
2025-03-04,0.898378,0.4,449189.01,270061.01
2025-03-05,0.900482,0.4,450241.01,270061.01
2025-03-06,0.881309,0.4,440654.69,272692.69
2025-03-07,0.87485,0.4,437424.87,272178.87
2025-03-10,0.878126,0.4,439062.87,272178.87
2025-03-11,0.877762,0.4,438880.87,272178.87
2025-03-12,0.874132,0.4,437065.87,272178.87
2025-03-13,0.829819,0.4,414909.62,270065.62
2025-03-14,0.833419,0.4,416709.62,270065.62
2025-03-17,0.842225,0.4,421112.62,270065.62
2025-03-18,0.849742,0.4,424870.98,270749.98
2025-03-19,0.847062,0.4,423530.98,270749.98
2025-03-20,0.86932,0.4,434659.87,274175.87
