strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_cap_skipped
baseline_full_dynamic_factor_industry_cap2,2026-01-27,2026-01-26,12.899769999901764,624667.0,624679.8997699999,1.2493597995399999,5,0.9999793497917819,4.0,397362.0,5.0,2.0,617052.13227,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-01-28,2026-01-27,12.899769999901764,657114.0,657126.8997699999,1.3142537995399999,5,0.9999803694385294,5.0,635694.0,5.0,0.0,635706.8997699999,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-29,2026-01-28,12.899769999901764,655663.0,655675.8997699999,1.3113517995399997,5,0.9999803259964192,5.0,684090.0,5.0,0.0,684102.8997699999,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-30,2026-01-29,12.899769999901764,620271.0,620283.8997699999,1.2405677995399997,5,0.9999792034421582,5.0,624327.0,5.0,0.0,624339.8997699999,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-02-02,2026-01-30,12.899769999901764,580513.0,580525.8997699999,1.1610517995399998,5,0.9999777791653999,5.0,587723.0,5.0,0.0,587735.8997699999,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-02-03,2026-02-02,12.899769999901764,595825.0,595837.8997699999,1.1916757995399998,5,0.9999783502022868,5.0,564990.0,5.0,0.0,565002.8997699999,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-02-04,2026-02-03,23893.73526999986,545073.0,568966.7352699998,1.1379334705399997,5,0.958005040033384,1.0,200900.0,5.0,8.0,596583.8997699999,5.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-02-05,2026-02-04,1734.4402699998464,561405.0,563139.4402699999,1.12627888054,5,0.9969200518628774,4.0,345720.0,5.0,2.0,558213.7352699998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-02-06,2026-02-05,1734.4402699998464,577033.0,578767.4402699999,1.1575348805399999,5,0.9970032172694602,5.0,546104.0,5.0,0.0,547838.4402699999,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-02-09,2026-02-06,1734.4402699998464,587470.0,589204.4402699999,1.1784088805399997,5,0.9970563014270478,5.0,607143.0,5.0,0.0,608877.4402699999,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-02-10,2026-02-09,1734.4402699998464,562914.0,564648.4402699999,1.1292968805399999,5,0.9969282828990539,5.0,583380.0,5.0,0.0,585114.4402699999,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-02-11,2026-02-10,1734.4402699998464,570413.0,572147.4402699999,1.1442948805399997,5,0.9969685431622636,5.0,567592.0,5.0,0.0,569326.4402699999,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-02-12,2026-02-11,1734.4402699998464,591852.0,593586.4402699999,1.18717288054,5,0.9970780325284874,5.0,570856.0,5.0,0.0,572590.4402699999,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-02-13,2026-02-12,49734.130519999846,528155.0,577889.1305199999,1.1557782610399998,5,0.9139382834986916,1.0,210660.0,5.0,7.0,587085.4402699999,5.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-02-24,2026-02-13,2455.4755199998326,571749.0,574204.4755199999,1.1484089510399997,5,0.9957236914293011,3.0,244022.0,5.0,4.0,592128.1305199999,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-02-25,2026-02-24,2455.4755199998326,576223.0,578678.4755199999,1.1573569510399997,5,0.9957567533200654,5.0,575680.0,5.0,0.0,578135.4755199999,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-02-26,2026-02-25,2455.4755199998326,605823.0,608278.4755199999,1.2165569510399998,5,0.9959632378609143,5.0,592923.0,5.0,0.0,595378.4755199999,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-02-27,2026-02-26,2455.4755199998326,659252.0,661707.4755199999,1.3234149510399997,5,0.99628918274186,5.0,610292.0,5.0,0.0,612747.4755199999,5.0,3.0
