trade_date,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label
2026-01-20,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,000338|000938|002156|600089|688525,000338|000938|002156|600089|688525,000338,688525,,,116460.0,165840.0,49380.0,-0.0012428780625263203,0.0034413948098459546,0.004684272872372275,0.01082594491838082,0.0,0.0,0.0,-0.0016548949449425795,4.81760677374677e-06,pass,unknown_pending_forward_return
2026-01-21,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000338|002156|300427|600089|688525,000338|002156|300427|600089|688525,,,,,0.0,0.0,0.0,-0.009887740784835009,-0.0011822407638303334,0.008705500021004675,0.01982994852615294,0.0,0.0,0.0,-0.011653902956473661,0.0,pass,unknown_pending_forward_return
2026-01-22,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002156|600089|600489|600988|688525,002156|600089|600489|600988|688525,,,,,0.0,0.0,0.0,0.003168939587287589,0.003388390647318218,0.00021945106003062875,0.031016865179403864,0.0,0.0,0.0,0.00025530084365245895,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-23,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002156|002716|600036|688008|688525,002156|002716|600036|688008|688525,,,,,0.0,0.0,0.0,0.0004056441254736143,0.010167818568285858,0.009762174442812244,0.023789046768201,0.0,0.0,0.0,0.002877619898465639,0.0,pass,unknown_pending_forward_return
2026-01-26,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000338|002156|002716|600089|600988,000338|002156|002716|600089|600988,,,,,0.0,0.0,0.0,0.0076649364784182605,0.01535529552401016,0.007690359045591899,0.02821526645356718,0.0,0.0,0.0,0.026085341000958016,0.0,pass,unknown_pending_forward_return
2026-01-27,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000338|600036|600489|600547|600988,000338|600036|600489|600547|600988,600988,,600410,,0.0,86326.0,86326.0,-0.0020566871427762923,-0.010599447413053187,-0.008542760270276895,0.021644258788898942,0.0,0.0,0.0,-0.02122342764739454,4.81623849633061e-07,pass,unknown_pending_forward_return
2026-01-28,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000657|600489|600547|600988|601899,000657|600489|600547|600988|601899,,601899,,002230,405010.0,281440.0,-123570.0,0.0201539114680942,0.024296387479002757,0.004142476010908558,0.021691957223186002,0.0,0.0,0.0,0.017730776791417362,4.260044410593114e-06,pass,unknown_pending_forward_return
2026-01-29,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000630|000657|600489|600547|601899,000630|000657|600489|600547|601899,,600547,,600089,155536.0,0.0,-155536.0,0.009549883384301738,0.01561021587605782,0.006060332491756082,0.04733900671504786,0.0,0.0,0.0,0.04733900671504786,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-30,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000630|600489|600547|601899|603993,000630|600489|600547|601899|603993,600547,603993,600089,603881,90960.0,225178.0,134218.0,-0.048677467044344835,-0.03259661239441147,0.016080854649933363,0.06373215771662691,0.0,0.0,0.2,-0.06373215771662691,5.409921030894876e-06,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-02-02,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000630|000737|300394|601899|603993,000630|000737|300394|601899|603993,601899,,688525,,0.0,83855.0,83855.0,-0.06670936157429341,-0.05787203785639161,0.008837323717901802,0.07743795200235526,0.0,0.0,0.6,-0.07526430147705641,3.651328486426742e-07,degraded_large_slippage_proxy,unknown_pending_forward_return
