strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-09,002384,东山精密,BUY,261.32,0,200,200,200,0.0,0.13213037162661584,0.13213037162661584,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-09,000725,京东方Ａ,BUY,8.15,0,6500,6500,6500,0.0,0.10598126935011036,0.10598126935011036,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-09,002384,东山精密,BUY,261.32,0,100,100,100,0.0,0.09854441301754856,0.09854441301754856,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-09,002371,北方华创,BUY,878.43,0,100,100,100,0.0,0.20485442891679218,0.20485442891679218,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-09,002384,东山精密,BUY,261.32,0,200,200,200,0.0,0.13135255602151807,0.13135255602151807,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-09,688120,华海清科,BUY,344.0,0,100,100,100,0.0,0.10834913580952628,0.10834913580952628,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-09,688347,华虹公司,BUY,400.5,0,100,100,100,0.0,0.13983227403825724,0.13983227403825724,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-09,002384,东山精密,BUY,261.32,0,100,100,100,0.0,0.10422346929262599,0.10422346929262599,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-09,688120,华海清科,BUY,344.0,0,300,300,300,0.0,0.23172912439591034,0.23172912439591034,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-09,688347,华虹公司,BUY,400.5,0,200,200,200,0.0,0.23693568686284083,0.23693568686284083,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-07-09,000608,*ST阳光,BUY,6.04,0,11400,11400,11400,0.0,0.13836121880877744,0.13836121880877744,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-09,300052,ST中青宝,BUY,11.29,0,5900,5900,5900,0.0,0.1335082131661442,0.1335082131661442,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-09,300093,*ST金刚,BUY,22.88,0,3200,3200,3200,0.0,0.14686535423197492,0.14686535423197492,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-09,300343,ST联创,BUY,5.74,0,12200,12200,12200,0.0,0.14043311347962384,0.14043311347962384,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-09,600228,*ST返利,BUY,7.04,0,10000,10000,10000,0.0,0.1408321003134796,0.1408321003134796,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-09,000001,平安银行,BUY,10.49,0,1200,1200,1200,0.0,0.02622299259207339,0.02622299259207339,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-09,000011,深物业A,BUY,6.27,0,2300,2300,2300,0.0,0.028961946706897473,0.028961946706897473,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-09,000725,京东方Ａ,BUY,8.15,0,3600,3600,3600,0.0,0.0596004203079356,0.0596004203079356,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-09,002384,东山精密,BUY,261.32,0,100,100,100,0.0,0.05541817408736837,0.05541817408736837,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-09,000001,平安银行,BUY,10.49,0,1200,1200,1200,0.0,0.02622299259207339,0.02622299259207339,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-09,000011,深物业A,BUY,6.27,0,2300,2300,2300,0.0,0.028961946706897473,0.028961946706897473,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-09,000725,京东方Ａ,BUY,8.15,0,3600,3600,3600,0.0,0.0596004203079356,0.0596004203079356,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-09,002384,东山精密,BUY,261.32,0,100,100,100,0.0,0.05541817408736837,0.05541817408736837,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-09,000001,平安银行,BUY,10.49,0,6600,6600,6600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-09,000002,万科Ａ,BUY,2.98,0,23400,23400,23400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-09,300041,回天新材,BUY,16.88,0,4100,4100,4100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-09,688138,清溢光电,BUY,47.96,0,1400,1400,1400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-09,688328,深科达,BUY,102.02,0,600,600,600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-09,000001,平安银行,BUY,10.49,0,6600,6600,6600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-09,000002,万科Ａ,BUY,2.98,0,23400,23400,23400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-09,000011,深物业A,BUY,6.27,0,11100,11100,11100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-09,000016,深康佳Ａ,BUY,2.47,0,28300,28300,28300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-09,000019,深粮控股,BUY,5.81,0,12000,12000,12000,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-07-09,300671,富满微,BUY,96.8,0,1800,1800,1800,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-07-09,600641,先导基电,BUY,43.24,0,4000,4000,4000,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-07-09,000725,京东方Ａ,BUY,8.15,0,8500,8500,8500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-07-09,002384,东山精密,BUY,261.32,0,200,200,200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-07-09,300502,新易盛,BUY,545.5,0,100,100,100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-07-09,603986,兆易创新,BUY,663.49,0,100,100,100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
