strategy,signal_date,execution_date,rank,symbol,name,industry,rank_score,planned_shares,planned_price,filled_shares,filled_price,exit_date,exit_price,gross_return,net_return,net_pnl,entry_cost,round_trip_cost,plan_reject_reason,trade_reject_reason,execution_tradable,locked,skipped_by_position_cap,risk_decision,risk_governor_reasons,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_mode,causality_pass,exit_reason
dual_system_adaptive_route,2024-08-26,2024-08-27,3,601127,赛力斯,汽车整车,29.99,600,79.497,600.0,79.57649699999999,2024-09-10,77.7840381,-0.022524978700683266,-0.024008084966657753,-1146.2875807949913,35.80942365,70.812240795,,,,0,0,,,0.0098014670438282,0.0,0.0,0.0,-0.0098014670438282,1.528731137793959e-05,,,rebalance_unlocked
dual_system_adaptive_route,2024-08-26,2024-08-27,4,600686,金龙汽车,汽车整车,29.98,3300,14.3306,3300.0,14.3449306,2024-09-10,11.8782099,-0.1719576600809766,-0.17332869183591587,-8205.080582737499,35.503703235,64.9022727375,,,,0,0,,,0.0035046241568736,0.0,0.0,0.0,-0.0035046241568736,3.023665603553041e-05,,,rebalance_unlocked
dual_system_adaptive_route,2024-08-26,2024-08-27,5,601138,工业富联,通信设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.005962913586232,0.0,0.0,0.0,-0.005962913586232,0.0,,,
dual_system_adaptive_route,2024-08-27,2024-08-28,1,600611,大众交通,公共交通,30.0,7800,9.3463,,,,,,,,,,,,,0,0,,,0.0211248428990364,0.0,0.0,0.0,-0.0211248428990364,1.7478320566258523e-05,,,
dual_system_adaptive_route,2024-08-27,2024-08-28,2,600519,贵州茅台,白酒,29.99,0,1478.7203,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0,0.0,0.0,1.6664836182967674e-05,,,
dual_system_adaptive_route,2024-08-27,2024-08-28,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0074114747708117,0.0,0.0,0.0,-0.0074114747708117,0.0,,,
dual_system_adaptive_route,2024-08-27,2024-08-28,4,300308,中际旭创,通信设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.0022078735790542,0.0,0.0,0.0,-0.0022078735790542,0.0,,,
dual_system_adaptive_route,2024-08-27,2024-08-28,5,600686,金龙汽车,汽车整车,29.98,0,,,,,,,,,,,,,,1,0,,,0.0109668674480468,0.0,0.0,0.0,-0.0109668674480468,0.0,,,
dual_system_adaptive_route,2024-08-28,2024-08-29,1,600611,大众交通,公共交通,30.0,7600,9.7798,,,,,,,,,,,,,0,0,,,0.0051371779091177,0.0,0.0,0.0,-0.0051371779091177,2.0599984828741893e-05,,,
dual_system_adaptive_route,2024-08-28,2024-08-29,2,600519,贵州茅台,白酒,29.99,0,1453.3706,,,,,,,,,,,,,0,0,,,0.0064794789838541,0.0,0.0,0.0,-0.0064794789838541,1.935536061796181e-05,,,
dual_system_adaptive_route,2024-08-28,2024-08-29,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0098085865241293,0.0,0.0,0.0,-0.0098085865241293,0.0,,,
