strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,avg_gross_exposure,pit_status,risk_note,market_gate,position_mode,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
baseline_full_liquidity_industry_penalty_0p50pt,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.7594477362355865,2.7594477362355865,12.027343180917297,-0.020124835861159096,0.9230769230769231,0.10918850548179211,0.11782091004905922,0.20184154292707496,-0.020124835861159228,49.232,29.979076923076924,0.20000000000000004,1.0
baseline_full_liquidity_industry_penalty_1pt,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.7594477362355865,2.7594477362355865,12.027343180917297,-0.020124835861159096,0.9230769230769231,0.10918850548179211,0.11782091004905922,0.20184154292707496,-0.020124835861159228,49.232,29.979076923076924,0.20000000000000004,1.0
baseline_full_liquidity_industry_penalty_2pt,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.7594477362355865,2.7594477362355865,12.027343180917297,-0.020124835861159096,0.9230769230769231,0.10918850548179211,0.11782091004905922,0.20184154292707496,-0.020124835861159228,49.232,29.979076923076924,0.20000000000000004,1.0
baseline_full_liquidity_industry_cap2,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.540626501897877,2.540626501897877,10.597668364913577,-0.02312131596160094,0.9230769230769231,0.10409841221479224,0.09092106118945809,0.20015173492313557,-0.02312131596160085,52.127076923076906,29.987384615384613,0.4000000000000001,1.0
liq_top_10_then_liq_breakout_adj,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6153846153846154,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.4035022296578394,2.4035022296578394,9.742816778234943,-0.00951083461143487,0.7692307692307693,0.10227018040376921,0.10906495996900005,0.25755882965795635,-0.00951083461143476,78.95476923076923,28.714,0.3230769230769231,1.0
liq_top_10_then_score,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6153846153846154,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.4035022296578394,2.4035022296578394,9.742816778234943,-0.00951083461143487,0.7692307692307693,0.10227018040376921,0.10906495996900005,0.25755882965795635,-0.00951083461143476,78.95476923076923,28.714,0.3230769230769231,1.0
liq_top_10_then_score_industry_cap2,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6153846153846154,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.4035022296578394,2.4035022296578394,9.742816778234943,-0.00951083461143487,0.7692307692307693,0.10227018040376921,0.10906495996900005,0.25755882965795635,-0.00951083461143476,78.95476923076923,28.714,0.3230769230769231,1.0
baseline_full_liquidity,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.2482924454555033,2.2482924454555033,8.81349657244239,-0.036529195169290096,0.8461538461538461,0.0972675232400197,0.09042106416511828,0.20015173492313557,-0.02829898816217382,52.58169230769231,29.988,0.46153846153846145,1.0
baseline_full_liquidity_detail,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.221483550080311,2.221483550080311,8.65710284473332,-0.01648992846069053,0.8461538461538461,0.09659250122063782,0.10953230168801967,0.271588107865079,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
liq_top_10_then_liquidity_detail,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.221483550080311,2.221483550080311,8.65710284473332,-0.01648992846069053,0.8461538461538461,0.09659250122063782,0.10953230168801967,0.271588107865079,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
liq_top_20_then_liquidity_detail,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.221483550080311,2.221483550080311,8.65710284473332,-0.01648992846069053,0.8461538461538461,0.09659250122063782,0.10953230168801967,0.271588107865079,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
liq_top_30_then_liquidity_detail,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.221483550080311,2.221483550080311,8.65710284473332,-0.01648992846069053,0.8461538461538461,0.09659250122063782,0.10953230168801967,0.271588107865079,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
tiered_liquidity_then_liquidity_detail,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.221483550080311,2.221483550080311,8.65710284473332,-0.01648992846069053,0.8461538461538461,0.09659250122063782,0.10953230168801967,0.271588107865079,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
liq_top_10_then_score_industry_penalty_10pt,test,0.0,13,2026-03-26,2026-04-23,5.0,0.46153846153846156,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.025197383844118,2.025197383844118,7.549143132343765,-0.00951083461143476,0.8461538461538461,0.09055658333037694,0.09173127115432049,0.1951928809772737,-0.00951083461143476,78.78738461538461,28.628,0.20000000000000004,1.0
liq_top_10_then_score_industry_penalty_5pt,test,0.0,13,2026-03-26,2026-04-23,5.0,0.46153846153846156,1.0,trusted,uses_signal_date_or_prior_data,0,equal,2.025197383844118,2.025197383844118,7.549143132343765,-0.00951083461143476,0.8461538461538461,0.09055658333037694,0.09173127115432049,0.1951928809772737,-0.00951083461143476,78.78738461538461,28.628,0.20000000000000004,1.0
baseline_full_liquidity_detail_market_gate,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,0.9384615384615385,trusted,uses_signal_date_or_prior_data,1,equal,2.0007196125407827,2.0007196125407827,7.415561840119471,-0.01648992846069053,0.8461538461538461,0.09068745432084574,0.07657089799838679,0.271588107865079,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
tiered_liquidity_then_score_industry_penalty_5pt,test,0.0,13,2026-03-26,2026-04-23,5.0,0.7692307692307693,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.5842599580189596,1.5842599580189596,5.299380787833991,-0.06721850186123868,0.8461538461538461,0.07770238968085888,0.09173127115432049,0.16165708774583837,-0.06721850186123865,78.91538461538462,28.21769230769231,0.20000000000000004,1.0
baseline_full_dynamic_factor_industry_cap2,test,0.0,13,2026-03-26,2026-04-23,5.0,0.07692307692307693,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.55762652102021,1.55762652102021,5.174141577958098,-0.03749382513520205,0.7692307692307693,0.07858148308780609,0.061281442663953564,0.2798623395208021,-0.03749382513520198,72.2736923076923,25.88646153846154,0.30769230769230765,1.0
tiered_liquidity_then_liq_breakout_adj,test,0.0,13,2026-03-26,2026-04-23,5.0,1.0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.5541901485336003,1.5541901485336003,5.158071314940524,-0.06721850186123868,0.7692307692307693,0.07866081247984663,0.06832376373537956,0.25755882965795635,-0.06721850186123865,79.17492307692308,28.092461538461542,0.3384615384615385,1.0
tiered_liquidity_then_score,test,0.0,13,2026-03-26,2026-04-23,5.0,1.0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.5541901485336003,1.5541901485336003,5.158071314940524,-0.06721850186123868,0.7692307692307693,0.07866081247984663,0.06832376373537956,0.25755882965795635,-0.06721850186123865,79.17492307692308,28.092461538461542,0.3384615384615385,1.0
tiered_liquidity_then_score_industry_cap2,test,0.0,13,2026-03-26,2026-04-23,5.0,1.0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.5541901485336003,1.5541901485336003,5.158071314940524,-0.06721850186123868,0.7692307692307693,0.07866081247984663,0.06832376373537956,0.25755882965795635,-0.06721850186123865,79.17492307692308,28.092461538461542,0.3384615384615385,1.0
baseline_full_liquidity_detail_hist_mdd_position,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6923076923076923,0.8388613302057796,trusted,uses_signal_date_or_prior_data,0,hist_mdd_20,1.5009179439599736,1.5009179439599736,4.911537623571985,-0.01648992846069053,0.8461538461538461,0.07492694927330071,0.06447546390368465,0.22349331394501082,-0.016489928460690507,57.90938461538462,29.373076923076926,0.5076923076923077,1.0
baseline_full_liq_breakout_adj_50p_50d,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.4600452637601307,1.4600452637601307,4.725694330091401,-0.047181913148585775,0.8461538461538461,0.07419620546087076,0.0694852122658665,0.2350542210309317,-0.047181913148585754,81.34738461538463,24.423846153846153,0.276923076923077,1.0
tiered_liquidity_then_bs_v2,test,0.0,13,2026-03-26,2026-04-23,5.0,1.0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.4178553409415993,1.4178553409415993,4.536877508096297,-0.010948511290325924,0.7692307692307693,0.07264472805591568,0.06843853172368444,0.22080893547731653,-0.010948511290325947,77.85600000000001,28.421538461538464,0.2923076923076923,1.0
