strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,000636,风华高科,BUY,63.5,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,300620,光库科技,BUY,319.26,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,300750,宁德时代,BUY,408.2,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,600183,生益科技,BUY,143.96,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,300620,光库科技,BUY,319.26,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,300750,宁德时代,BUY,408.2,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,600183,生益科技,BUY,143.96,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,300620,光库科技,BUY,319.26,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,300750,宁德时代,BUY,408.2,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,600183,生益科技,BUY,143.96,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-04,300394,天孚通信,BUY,480.45,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-04,688008,澜起科技,BUY,259.67,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,400,400,400,0.0,0.16422196234503905,0.16422196234503905,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,300620,光库科技,BUY,319.26,0,100,100,100,0.0,0.13311243182475374,0.13311243182475374,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,300750,宁德时代,BUY,408.2,0,300,300,300,0.0,0.3925482517974463,0.3925482517974463,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,600183,生益科技,BUY,143.96,0,400,400,400,0.0,0.17773734636599423,0.17773734636599423,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.13238000766676675,0.13238000766676675,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,600,600,600,0.0,0.2654217280853206,0.2654217280853206,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-04,300620,光库科技,BUY,319.26,0,100,100,100,0.0,0.12565034784892987,0.12565034784892987,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-04,600183,生益科技,BUY,143.96,0,600,600,600,0.0,0.2654217280853206,0.2654217280853206,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-04,688630,芯碁微装,BUY,408.0,0,200,200,200,0.0,0.2654217280853206,0.2654217280853206,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-04,003033,征和工业,BUY,67.3,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,2026-06-04,600222,太龙药业,BUY,8.7,0,9100,9100,9100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,2026-06-04,600985,淮北矿业,BUY,16.58,0,4800,4800,4800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,2026-06-04,603011,合锻智能,BUY,32.26,0,2400,2400,2400,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,2026-06-04,603319,美湖股份,BUY,43.94,0,1800,1800,1800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,300394,天孚通信,BUY,480.45,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,300502,新易盛,BUY,775.94,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,603986,兆易创新,BUY,529.31,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-04,688008,澜起科技,BUY,259.67,0,300,300,300,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,300394,天孚通信,BUY,480.45,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,300502,新易盛,BUY,775.94,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,603986,兆易创新,BUY,529.31,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-04,688008,澜起科技,BUY,259.67,0,300,300,300,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.8
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,300716,ST泉为,BUY,17.05,0,7800,7800,7800,0.0,0.3333333333333333,0.3333333333333333,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.8
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,300720,海川智能,BUY,76.63,0,1700,1700,1700,0.0,0.3333333333333333,0.3333333333333333,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.8
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-04,603725,天安新材,BUY,11.67,0,11400,11400,11400,0.0,0.3333333333333333,0.3333333333333333,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.8
