strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,hard_stop_loss_count
baseline_full_dynamic_factor_industry_cap2,2026-01-30,2026-01-29,354.8464775000757,600624.0,600978.8464775,1.201957692955,5,0.9994095524666469,5.0,603877.0,5.0,0.0,604231.8464775,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-02,2026-01-30,354.8464775000757,572138.0,572492.8464775,1.1449856929550002,5,0.9993801730804439,5.0,587325.0,5.0,0.0,587679.8464775,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-03,2026-02-02,17809.12897750015,567475.0,585284.1289775001,1.1705682579550003,5,0.9695718231611492,1.0,123984.0,5.0,8.0,570538.8464775,5.0,1.0,1.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-04,2026-02-03,17809.12897750015,571342.0,589151.1289775001,1.1783022579550002,5,0.9697715440036435,5.0,560434.0,5.0,0.0,578243.1289775001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-05,2026-02-04,17809.12897750015,543665.0,561474.1289775001,1.1229482579550003,5,0.9682814789526771,5.0,538146.0,5.0,0.0,555955.1289775001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-06,2026-02-05,1612.5464775001456,582950.0,584562.5464775001,1.1691250929550003,5,0.9972414474939986,4.0,425999.0,5.0,1.0,546770.8489775001,5.0,1.0,4.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-02-09,2026-02-06,1612.5464775001456,608203.0,609815.5464775001,1.2196310929550003,5,0.9973556815879576,5.0,595616.0,5.0,0.0,597228.5464775001,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-10,2026-02-09,1612.5464775001456,641078.0,642690.5464775001,1.2853810929550002,5,0.9974909441466997,5.0,615784.0,5.0,0.0,617396.5464775001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-11,2026-02-10,1612.5464775001456,639871.0,641483.5464775001,1.2829670929550003,5,0.9974862231676013,5.0,636747.0,5.0,0.0,638359.5464775001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-12,2026-02-11,1612.5464775001456,628320.0,629932.5464775001,1.2598650929550002,5,0.9974401283335537,5.0,612918.0,5.0,0.0,614530.5464775001,5.0,1.0,4.0,
