trade_date,ts_code,strategy,target_weight,exec_date,forward_ret_d1,forward_ret_d2,forward_ret_d3,forward_ret_d4,forward_ret_d5,forward_ret_1w,forward_max_ret
20260602,002436,production_governed_vol_position,0.2,20260603,-0.059296007559650366,-0.0344909047956532,-0.10465390975667377,-0.12591542641152842,-0.09874793290810302,-0.09874793290810302,-0.0344909047956532
20260602,002484,production_governed_vol_position,0.2,20260603,0.03755034352049269,0.14131722340677566,0.06609808102345416,-0.009476427386875153,0.08955223880597019,0.08955223880597019,0.14131722340677566
20260602,300285,production_governed_vol_position,0.2,20260603,0.018356348939036593,0.07780397440215547,0.09767598518019538,-0.029808016167059637,0.11822162344223641,0.11822162344223641,0.11822162344223641
20260602,300502,production_governed_vol_position,0.2,20260603,0.02927631773465933,0.020973672104678265,-0.015789528519923213,-0.04605262725631232,0.03385523313534211,0.03385523313534211,0.03385523313534211
20260602,601991,production_governed_vol_position,0.2,20260603,0.09375,0.05889423076923084,-0.04687500000000011,-0.12620192307692313,-0.07331730769230771,-0.07331730769230771,0.09375
20260602,603773,production_governed_vol_position,0.2,20260603,-0.00983333333333336,0.020000000000000018,0.10333333333333328,0.13749999999999996,0.25125,0.25125,0.25125
20260603,002897,production_governed_vol_position,0.2,20260604,0.083380281690141,0.0304225352112677,-0.07256338028169007,-0.03932394366197178,-0.0445070422535212,-0.0445070422535212,0.083380281690141
20260603,300179,production_governed_vol_position,0.2,20260604,0.037978644032443,-0.0404054585275454,-0.0909092732392558,-0.09495062134473609,-0.14949578416192666,-0.14949578416192666,0.037978644032443
20260603,300285,production_governed_vol_position,0.2,20260604,0.07436629175759601,0.0941749202618769,-0.03290246768507643,0.1146550276985061,0.026187678361591527,0.026187678361591527,0.1146550276985061
20260603,300394,production_governed_vol_position,0.2,20260604,0.0032155408476872704,-0.04574968959072134,-0.11233845428611966,-0.07306183483858941,-0.1416341814553106,-0.1416341814553106,0.0032155408476872704
20260603,300433,production_governed_vol_position,0.2,20260604,-0.008857597092891245,0.03588462411991822,-0.031569384510561016,0.01703384056325241,-0.043606631841926036,-0.043606631841926036,0.03588462411991822
20260603,601208,production_governed_vol_position,0.2,20260604,0.0748422001803426,0.02362488728584311,-0.02254283137962132,0.07520288548241649,0.12443642921550935,0.12443642921550935,0.12443642921550935
20260603,603678,production_governed_vol_position,0.2,20260604,0.029669955008348126,0.003390305764794155,-0.09698058858767,-0.05014083788985335,-0.10335334378465189,-0.10335334378465189,0.029669955008348126
20260604,000636,production_governed_vol_position,0.2,20260605,-0.005833333333333357,-0.07450000000000001,0.018000000000000016,-0.003166666666666651,0.07166666666666655,0.07166666666666655,0.07166666666666655
20260604,300285,production_governed_vol_position,0.2,20260605,0.049428433424569373,-0.07245210111093225,0.06907100305908886,-0.015778457575269633,0.004669135404926639,0.004669135404926639,0.06907100305908886
20260604,300408,production_governed_vol_position,0.2,20260605,-0.008602941176470535,-0.09617647058823531,0.03691176470588253,-0.02941176470588236,-0.032132352941176556,-0.032132352941176556,0.03691176470588253
20260604,600487,production_governed_vol_position,0.2,20260605,0.0012499999999999734,-0.005520833333333308,0.09395833333333337,0.11333333333333329,0.06666666666666665,0.06666666666666665,0.11333333333333329
20260604,688146,production_governed_vol_position,0.2,20260605,0.009213782268095105,0.10122242346215105,0.09528356645645597,0.2751089968795688,0.5275108560455626,0.5275108560455626,0.5275108560455626
20260605,000725,production_governed_vol_position,0.2,20260608,-0.02931865106675846,0.006178787183604761,-0.06945017970482537,-0.1003135275674849,-0.1404297621778695,-0.1404297621778695,0.006178787183604761
20260605,600869,production_governed_vol_position,0.2,20260608,0.007339449541284404,0.08697247706422018,0.1577981651376148,0.08256880733944949,0.19009174311926613,0.19009174311926613,0.19009174311926613
20260605,603773,production_governed_vol_position,0.2,20260608,0.05194204685573367,0.15713625154130706,0.19420468557336634,0.07475339087546251,0.0003082614056721944,0.0003082614056721944,0.19420468557336634
20260605,605358,production_governed_vol_position,0.2,20260608,0.027147166216859864,0.12986188283854583,0.16685188125099226,0.12986188283854583,0.04937291633592622,0.04937291633592622,0.16685188125099226
20260605,688146,production_governed_vol_position,0.2,20260608,0.09168793118516261,0.08580049338874662,0.26406897751196046,0.5142855165049869,0.30735903765831574,0.30735903765831574,0.5142855165049869
20260608,600522,production_governed_vol_position,0.2,20260609,0.07817138333663154,-0.006530773797743916,-0.024935681773204044,-0.03819513160498711,0.01622798337621223,0.01622798337621223,0.07817138333663154
20260608,603773,production_governed_vol_position,0.2,20260609,0.09598540145985401,0.13109489051094902,0.017956204379562024,-0.052554744525547314,0.0021897810218978186,0.0021897810218978186,0.13109489051094902
20260608,688017,production_governed_vol_position,0.2,20260609,0.017360774818401925,0.026634382566586012,-0.11138014527845042,-0.15012106537530268,-0.09777239709443097,-0.09777239709443097,0.026634382566586012
20260608,688146,production_governed_vol_position,0.2,20260609,0.015465377494076504,0.18218612833892256,0.4161943405021169,0.22267197959421492,0.2886638483549777,0.2886638483549777,0.4161943405021169
20260608,688322,production_governed_vol_position,0.2,20260609,0.09117647058823541,-0.010955882352941204,-0.0845588235294118,-0.09573529411764703,-0.06029411764705883,-0.06029411764705883,0.09117647058823541
20260612,000657,production_governed_vol_position,0.22371360011344815,20260615,0.07549504950495067,0.14480198019801982,0.10804455445544559,0.218811881188119,0.34071782178217824,0.34071782178217824,0.34071782178217824
20260612,002466,production_governed_vol_position,0.4016742860466461,20260615,0.01158914113351317,0.015875535799333207,0.016669312589300045,-0.01285918399746,0.03143356088267968,0.03143356088267968,0.03143356088267968
20260612,600869,production_governed_vol_position,0.20177786214079932,20260615,0.05215711526078559,0.09465550547327761,0.07083065035415315,0.05795235028976187,0.1638763683193818,0.1638763683193818,0.1638763683193818
20260612,688146,production_governed_vol_position,0.11002615727886705,20260615,0.026774220483605227,0.041935607627375804,0.09516101317062486,0.17350193934091096,0.2572912673724228,0.2572912673724228,0.2572912673724228
20260615,002240,production_governed_vol_position,0.19940115263610705,20260616,-0.03384798099762476,-0.04394299287410941,-0.09461599366587492,-0.07007125890736354,,,-0.03384798099762476
20260615,002460,production_governed_vol_position,0.27999652594936975,20260616,0.013331442348603062,0.011487732236562076,-0.016309743298822954,0.021840873634945357,,,0.021840873634945357
