center,half_width,strength,spearman_r,q5_ret,q1_ret,q_spread,monotonic,mean_score,std_score
50,25,0.25,-0.03710943615838263,-0.023873514327728728,-0.020987859920987867,-0.002885654406740861,0,40.104798901839935,9.554166791021178
60,30,0.2,-0.03721552513857204,-0.023916605098091577,-0.02095518563684895,-0.0029614194612426273,0,42.093945028630685,8.949236420452989
50,20,0.15,-0.03745496535257849,-0.024005263631935326,-0.020960206323058134,-0.0030450573088771915,0,39.94814941989766,9.683080340282855
55,30,0.25,-0.037459527951287735,-0.024005263631935326,-0.020975772388691496,-0.00302949124324383,0,40.91586005558404,9.46279510582089
60,35,0.25,-0.03781950563434691,-0.024005263631935326,-0.020855141534857263,-0.0031501220970780626,0,41.726962347988454,9.168628242434986
45,20,0.2,-0.03785223589130356,-0.024005263631935326,-0.020862995638489562,-0.003142267993445764,0,38.82309077247035,9.569709417010536
45,25,0.3,-0.03808492398745488,-0.024005263631935326,-0.020810844180881447,-0.0031944194510538787,0,38.77410342920208,9.656100899400764
50,30,0.3,-0.03823716576082589,-0.024005263631935326,-0.020786006203342953,-0.003219257428592373,0,39.68706694999386,9.916037816970237
55,20,0.1,-0.038254361943815485,-0.024005263631935326,-0.020793248652234225,-0.0032120149797011006,0,40.58411476910199,9.69237898717281
55,35,0.3,-0.0384222765302584,-0.024005263631935326,-0.020766218345294466,-0.0032390452866408598,0,40.52318196138079,9.736538934600524
50,25,0.2,-0.03853808895576227,-0.024005263631935326,-0.020740564874794,-0.0032646987571413252,0,39.603520559624656,9.995150628280417
55,25,0.15,-0.0385926624000747,-0.024005263631935326,-0.020738937064269308,-0.0032663265676660183,0,40.46468646596844,9.779494805085138
45,25,0.25,-0.03921883537540266,-0.024005263631935326,-0.020598596840672685,-0.0034066667912626414,0,38.57815405612899,10.029517440337235
55,30,0.2,-0.03923697117289848,-0.024005263631935326,-0.02061266874657745,-0.003392594885357876,0,40.252369482619926,9.939922490420996
50,30,0.25,-0.03951943274401974,-0.024005263631935326,-0.020520338230541064,-0.0034849254013942614,0,39.338956990122135,10.259459432742581
45,20,0.15,-0.03954816372518631,-0.024005263631935326,-0.020508255571336658,-0.003497008060598668,0,38.516919877043634,10.154822558143774
60,30,0.15,-0.039598997122309,-0.024005263631935326,-0.02050572571327966,-0.003499537918655666,0,40.97006056916388,9.666043610603609
60,35,0.2,-0.03971995257414283,-0.024005263631935326,-0.020441855442442074,-0.0035634081894932515,0,40.901251316543465,9.714024216614053
55,35,0.25,-0.03976143275028075,-0.024005263631935326,-0.020401355958787882,-0.003603907673147444,0,40.03571949961124,10.110651998039135
60,25,0.1,-0.039827864848380655,-0.024005263631935326,-0.020383571073425893,-0.0036216925585094324,0,40.83519443402787,9.760491610064701
50,20,0.1,-0.03996522155949674,-0.024005263631935326,-0.02036044872183295,-0.003644814910102375,0,39.16490201018627,10.444199159882851
45,30,0.3,-0.0399682870413634,-0.024005263631935326,-0.020358220771774002,-0.0036470428601613238,0,38.414862911901395,10.37214031538151
50,35,0.3,-0.040022573561304564,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.132932728157236,10.479023286449216
45,25,0.2,-0.040061492806133185,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.38220468305588,10.443830541595272
50,25,0.15,-0.0400714295808169,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.102242217409355,10.51270865314487
50,30,0.2,-0.040169688128845187,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.99084703025041,10.637028526260217
45,30,0.25,-0.04018942216428069,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.27878695837841,10.677385532628366
55,30,0.15,-0.040191304301822856,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.58887890965582,10.48370854658758
55,35,0.2,-0.04019753895188486,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.548257037841694,10.518942966584023
50,35,0.25,-0.04019858525198886,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.87717847192495,10.767117777419823
55,25,0.1,-0.04020156130506387,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.50926004090013,10.552966198362954
45,20,0.1,-0.040208815500911724,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.21074898161692,10.836226772373228
60,20,0.05,-0.0402093831265081,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,40.12714722456378,10.282072999976105
45,35,0.3,-0.040210974634371385,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.19825221037501,10.865831631559647
60,35,0.15,-0.04021219296479621,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,40.07554028509847,10.321671587390147
45,25,0.15,-0.04021264607610576,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.18625530998278,10.89437531325209
60,25,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.21680081239567,11.008574421822654
60,35,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.24982925365347,10.981241162951244
60,30,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.72229165023028,11.425705122831253
55,35,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.57333211430259,11.423102357802742
60,35,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.42411822220848,11.683943077738675
45,20,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.9045780861902,11.596961099820858
50,20,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.38165460047488,11.3695404898393
45,35,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.69838136069874,12.146576983512045
45,35,0.15,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.89832970056925,11.613205772128875
45,35,0.2,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.9983038705045,11.356581406022277
45,30,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.87055909780946,11.685726676546656
55,35,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.085869652533034,11.912325403154288
50,25,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.099685532978775,11.735598830536189
45,30,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.734483144286465,12.048403973123719
50,30,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.94651715063521,11.940811397425149
50,30,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.29462711050695,11.48083665752925
45,25,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.99030593690968,11.376848040619329
50,35,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.854161446995775,12.066587981255381
50,35,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.10991570322807,11.72204739436286
50,35,0.15,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.365669959460355,11.389866472953143
45,25,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.79435656383659,11.887361776340455
55,25,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.553833615831806,11.442235759988097
55,30,0.05,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.261897763727596,11.733109990892762
45,35,0.1,-0.04021664591265309,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,37.79835553063399,11.87668635187155
45,30,0.15,-0.0402166757031718,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.00663505133244,11.335520209980547
55,30,0.1,-0.040216689005500905,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.925388336691704,11.084347005457605
55,35,0.15,-0.04021917265654841,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.06079457607214,10.957591996026137
55,20,0.05,-0.0402206284024081,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.09126097993274,10.92935492491968
45,30,0.2,-0.04022120881689279,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.14271100485543,10.998975848475766
50,25,0.1,-0.04022207406187544,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.60096387519407,11.09613106007358
50,30,0.15,-0.04022269514161727,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.64273707037867,11.045243774436692
45,35,0.25,-0.040222730905174454,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.09827804043975,11.107288484510635
50,35,0.2,-0.040222864166566945,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,38.62142421569264,11.071157797512225
60,30,0.1,-0.040223275438931,-0.024005263631935326,-0.020434502912463594,-0.0035707607194717314,0,39.84617610969708,10.500080988433735
