trade_date,ts_code,strategy,target_weight,stock_name,industry,rank_no,rank_score,bs_score_v2,is_bs_candidate,exec_date,forward_ret_d1,forward_ret_d2,forward_ret_d3,forward_ret_d4,forward_ret_d5,forward_ret_1w,observation_status,forward_max_ret
20260623,002008,production_governed_vol_position,0.09999999999999999,大族激光,专用机械,1,94.71629342632055,57.33,1,20260624,0.11336210049001694,0.11753090031448865,0.10634096394353842,,,,observing,0.11753090031448865
20260623,600392,production_governed_vol_position,0.09999999999999999,盛和资源,小金属,2,94.42265271858453,59.96,0,20260624,0.020012911555842505,0.03938024531956108,-0.02775984506132989,,,,observing,0.03938024531956108
20260623,300285,production_governed_vol_position,0.09999999999999999,国瓷材料,陶瓷,3,94.39528606483275,53.01,0,20260624,0.0024043715846995273,0.07540983606557394,0.12360655737704929,,,,observing,0.12360655737704929
20260623,300857,production_governed_vol_position,0.09999999999999999,协创数据,IT设备,4,94.20975590856257,61.62,0,20260624,0.11537704918032787,0.12124590163934434,0.09006557377049185,,,,observing,0.12124590163934434
20260623,603986,production_governed_vol_position,0.09999999999999999,兆易创新,半导体,5,93.54052176159111,65.77,0,20260624,0.09998439937597503,0.20937597503900163,0.20124804992199685,,,,observing,0.20937597503900163
20260624,002008,production_governed_vol_position,0.09999999999999999,大族激光,专用机械,1,95.28212971926428,69.93,0,20260625,-0.006178861788617818,-0.01613008130081295,,,,,observing,-0.006178861788617818
20260624,603986,production_governed_vol_position,0.09999999999999999,兆易创新,半导体,2,95.18995805098419,55.65,0,20260625,0.047581081081081056,0.04054054054054057,,,,,observing,0.047581081081081056
20260624,300857,production_governed_vol_position,0.09999999999999999,协创数据,IT设备,3,94.98704098096161,68.88,0,20260625,-0.00320624927130686,-0.03092573160778811,,,,,observing,-0.00320624927130686
20260624,300285,production_governed_vol_position,0.09999999999999999,国瓷材料,陶瓷,4,94.4192449177154,55.6,0,20260625,0.05240641711229954,0.09957219251336902,,,,,observing,0.09957219251336902
20260624,300373,production_governed_vol_position,0.09999999999999999,扬杰科技,半导体,5,94.17921910293643,63.21,0,20260625,0.0410512762251003,0.028251155040521114,,,,,observing,0.0410512762251003
20260625,000021,production_governed_vol_position,0.09999999999999999,深科技,元器件,1,95.05516172767771,61.94,0,20260626,0.009622641509433816,,,,,,observing,0.009622641509433816
20260625,300285,production_governed_vol_position,0.09999999999999999,国瓷材料,陶瓷,2,94.95927174123571,55.86,0,20260626,0.08221052631578951,,,,,,observing,0.08221052631578951
20260625,688110,production_governed_vol_position,0.09999999999999999,东芯股份,半导体,3,94.78928529924464,65.46,0,20260626,0.06512745974955281,,,,,,observing,0.06512745974955281
20260625,688521,production_governed_vol_position,0.09999999999999999,芯原股份,半导体,4,94.74989734650396,67.96,0,20260626,0.018150965122269103,,,,,,observing,0.018150965122269103
20260625,603986,production_governed_vol_position,0.09999999999999999,兆易创新,半导体,5,94.5450629478985,61.16,0,20260626,0.02257636122177953,,,,,,observing,0.02257636122177953
20260626,000021,production_governed_vol_position,0.09999999999999999,深科技,元器件,1,96.26150271107669,57.13,0,20260629,,,,,,,observing,
20260626,688110,production_governed_vol_position,0.09999999999999999,东芯股份,半导体,2,96.20698683191326,66.95,0,20260629,,,,,,,observing,
20260626,002008,production_governed_vol_position,0.09999999999999999,大族激光,专用机械,3,95.1390265943713,65.13,0,20260629,,,,,,,observing,
20260626,001309,production_governed_vol_position,0.09999999999999999,德明利,半导体,4,94.98225148463725,66.69,0,20260629,,,,,,,observing,
20260626,603986,production_governed_vol_position,0.09999999999999999,兆易创新,半导体,5,94.59065582235993,64.42,0,20260629,,,,,,,observing,
