signal_date,trade_date,risk_state,opp_structure,total_position,budgets,health_scores
2025-12-04,2025-12-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-12-05,2025-12-08,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-08,2025-12-09,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-09,2025-12-10,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-10,2025-12-11,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-11,2025-12-12,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.30250000000000005, ""attack"": 0.08249999999999999, ""balanced"": 0.055, ""defensive"": 0.11}","{""core"": 51.775925925925925, ""attack"": 51.775925925925925, ""balanced"": 51.775925925925925, ""defensive"": 51.775925925925925}"
2025-12-12,2025-12-15,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-15,2025-12-16,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-16,2025-12-17,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-17,2025-12-18,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-18,2025-12-19,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.68518518518518, ""attack"": 51.68518518518518, ""balanced"": 51.68518518518518, ""defensive"": 51.68518518518518}"
2025-12-19,2025-12-22,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-22,2025-12-23,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-23,2025-12-24,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-24,2025-12-25,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-25,2025-12-26,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-26,2025-12-29,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-29,2025-12-30,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2025-12-30,2025-12-31,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11, ""attack"": 0.0, ""balanced"": 0.08249999999999999, ""defensive"": 0.35750000000000004}","{""core"": 52.471428571428575, ""attack"": 52.471428571428575, ""balanced"": 52.471428571428575, ""defensive"": 52.471428571428575}"
2025-12-31,2026-01-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11476827438090696, ""attack"": 0.0, ""balanced"": 0.0817723954963962, ""defensive"": 0.3534593301226969}","{""core"": 52.64285714285714, ""attack"": 52.64285714285714, ""balanced"": 52.64285714285714, ""defensive"": 52.385714285714286}"
2026-01-05,2026-01-06,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.85714285714286, ""attack"": 51.85714285714286, ""balanced"": 51.85714285714286, ""defensive"": 51.85714285714286}"
2026-01-06,2026-01-07,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-07,2026-01-08,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-08,2026-01-09,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-09,2026-01-12,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-12,2026-01-13,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-13,2026-01-14,RISK_ON,NO_EDGE,0.7,"{""core"": 0.14557839285188465, ""attack"": 0.0, ""balanced"": 0.10372460490696778, ""defensive"": 0.4506970022411475}","{""core"": 52.591379310344834, ""attack"": 52.87068965517241, ""balanced"": 52.591379310344834, ""defensive"": 52.87068965517241}"
2026-01-14,2026-01-15,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-15,2026-01-16,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.01724137931035, ""attack"": 52.01724137931035, ""balanced"": 52.01724137931035, ""defensive"": 52.01724137931035}"
2026-01-16,2026-01-19,RISK_ON,NO_EDGE,0.7,"{""core"": 0.1453650280223331, ""attack"": 0.0, ""balanced"": 0.10422398235563506, ""defensive"": 0.4504109896220318}","{""core"": 52.87068965517241, ""attack"": 52.87068965517241, ""balanced"": 52.87068965517241, ""defensive"": 52.591379310344834}"
2026-01-19,2026-01-20,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11328804626747138, ""attack"": 0.0, ""balanced"": 0.08170275883016782, ""defensive"": 0.3550091949023608}","{""core"": 52.591379310344834, ""attack"": 52.87068965517241, ""balanced"": 52.591379310344834, ""defensive"": 52.87068965517241}"
