signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2025-06-27,2025-06-30,adaptive_style_switch,5,688498,源杰科技,半导体,79.05,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-30,2025-07-01,adaptive_style_switch,1,002263,大东南,塑料,82.17,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-30,2025-07-01,adaptive_style_switch,2,001236,弘业期货,多元金融,81.52,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-30,2025-07-01,adaptive_style_switch,3,688183,生益电子,元器件,78.64,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-30,2025-07-01,adaptive_style_switch,4,688503,聚和材料,电气设备,78.63,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-30,2025-07-01,adaptive_style_switch,5,688365,光云科技,软件服务,77.88,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-07-01,2025-07-02,adaptive_style_switch,1,688256,寒武纪-U,半导体,94.48900608003194,0.2,0.2,0,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-01,2025-07-02,adaptive_style_switch,2,600967,内蒙一机,运输设备,94.2194659405672,0.2,0.2,0,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-01,2025-07-02,adaptive_style_switch,3,600150,中国船舶,船舶,94.18694316408877,0.2,0.2,0,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-01,2025-07-02,adaptive_style_switch,4,300409,道氏技术,电气设备,92.95712000485801,0.2,0.2,0,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-01,2025-07-02,adaptive_style_switch,5,002402,和而泰,元器件,92.14092007089889,0.2,0.2,0,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
