strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,s_liquidity,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,score,79.61,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,score,78.8,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,688702,盛科通信-U,,0,score,79.72,79.72,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,79.71,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,score,79.61,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_30_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,300739,明阳电路,,0,score,79.56,79.56,22.7,70.82,,,,,,,22.96,29.94,0.3040069686411151
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq_top_20_then_bs_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688702,盛科通信-U,,0,score,79.72,79.72,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,79.71,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,score,79.61,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,score,78.8,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,82.1013,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,score,81.164,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688702,盛科通信-U,,0,score,79.72,79.72,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,score,79.61,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,83.6955,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,score,82.74,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,score,80.6925,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688702,盛科通信-U,,0,score,79.72,79.72,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,86.0868,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,score,85.104,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,score,82.998,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002837,英维克,,1,score,80.8704,74.88,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,bs_score_v2,75.99340000000001,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,bs_score_v2,74.2115,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,bs_score_v2,72.99610000000001,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,bs_score_v2,77.46900000000001,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,bs_score_v2,75.6525,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,bs_score_v2,74.41350000000001,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002837,英维克,,1,bs_score_v2,71.8725,74.88,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,bs_score_v2,79.6824,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,bs_score_v2,77.81400000000001,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,bs_score_v2,76.53960000000001,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,002837,英维克,,1,bs_score_v2,73.926,74.88,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,bs_score_v2,73.05,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
baseline_full_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,688309,恒誉环保,,0,score,77.89,77.89,7.81,66.08,,,,,,,37.01,56.51,0.5268846257768172
baseline_full_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,77.71,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
baseline_full_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,605289,罗曼股份,,0,score,77.53,77.53,22.92,61.59,,,,,,,100.24,132.72,0.3240223463687151
baseline_full_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,77.23,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,bs_score_v2,72.71,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,bs_score_v2,72.04,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,603005,晶方科技,,1,bs_score_v2,70.45,74.52,28.19,70.45,,,,,WATCH,,34.2,31.67,-0.07397660818713458
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,000039,中集集团,,1,bs_score_v2,69.49,73.33,26.47,69.49,,,,,WATCH,,11.99,13.31,0.11009174311926606
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,000688,国城矿业,,1,bs_score_v2,69.33,76.29,26.34,69.33,,,,,TRADE,,34.2184,35.1112,0.026091225773267945
baseline_full_liquidity,2026-02-24,2026-02-25,2026-03-10,10,1,5,300308,中际旭创,,0,s_liquidity,30.0,34.32,30.0,42.29,,,,,,,550.6504,547.6468,-0.005454640548703815
baseline_full_liquidity,2026-02-24,2026-02-25,2026-03-10,10,1,5,601899,紫金矿业,,0,s_liquidity,29.99,40.07,29.99,52.47,,,,,,,39.4,37.13,-0.057614213197969444
baseline_full_liquidity,2026-02-24,2026-02-25,2026-03-10,10,1,5,300502,新易盛,,0,s_liquidity,29.99,35.44,29.99,43.5,,,,,,,370.0,397.33,0.07386486486486477
baseline_full_liquidity,2026-02-24,2026-02-25,2026-03-10,10,1,5,300750,宁德时代,,0,s_liquidity,29.98,58.56,29.98,53.88,,,,,,,369.3934,382.2011,0.03467224915225886
baseline_full_liquidity,2026-02-24,2026-02-25,2026-03-10,10,1,5,300058,蓝色光标,,0,s_liquidity,29.98,34.75,29.98,42.55,,,,,,,18.35,16.9,-0.07901907356948246
liq_top_10_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,77.71,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq_top_10_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,77.23,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq_top_10_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002009,天奇股份,,0,score,76.98,76.98,29.13,69.92,,,,,,,34.44,28.53,-0.17160278745644586
liq_top_10_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002497,雅化集团,,0,score,76.03,76.03,27.6,65.78,,,,,,,28.24,24.77,-0.12287535410764872
liq_top_10_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,000338,潍柴动力,,0,score,74.73,74.73,29.46,70.68,,,,,,,29.39,27.82,-0.05341953045253489
liq_top_20_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq_top_20_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,77.71,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq_top_20_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,77.23,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq_top_20_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002009,天奇股份,,0,score,76.98,76.98,29.13,69.92,,,,,,,34.44,28.53,-0.17160278745644586
liq_top_20_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002169,智光电气,,0,score,76.71,76.71,25.59,69.37,,,,,,,15.55,16.18,0.04051446945337611
liq_top_30_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq_top_30_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,77.71,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq_top_30_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,605289,罗曼股份,,0,score,77.53,77.53,22.92,61.59,,,,,,,100.24,132.72,0.3240223463687151
liq_top_30_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,77.23,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq_top_30_then_score,2026-02-24,2026-02-25,2026-03-10,10,1,5,603163,圣晖集成,,0,score,77.08,77.08,23.83,70.28,,,,,,,131.99,110.75,-0.16092128191529664
liq_top_20_then_bs_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,bs_score_v2,72.71,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq_top_20_then_bs_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,bs_score_v2,72.04,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq_top_20_then_bs_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,bs_score_v2,71.83,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq_top_20_then_bs_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,603331,百达精工,,0,bs_score_v2,70.78,76.3,24.06,70.78,,,,,,,19.99,17.28,-0.1355677838919459
liq_top_20_then_bs_v2,2026-02-24,2026-02-25,2026-03-10,10,1,5,600938,中国海油,,0,bs_score_v2,70.77,74.45,28.81,70.77,,,,,,,37.3,40.98,0.09865951742627344
liq20_score_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq20_score_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,77.71,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq20_score_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,77.23,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq20_score_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002009,天奇股份,,0,score,76.98,76.98,29.13,69.92,,,,,,,34.44,28.53,-0.17160278745644586
liq20_score_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002169,智光电气,,0,score,76.71,76.71,25.59,69.37,,,,,,,15.55,16.18,0.04051446945337611
liq20_score_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq20_score_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,80.04129999999999,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq20_score_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,79.54690000000001,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq20_score_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,000688,国城矿业,,1,score,78.57870000000001,76.29,26.34,69.33,,,,,TRADE,,34.2184,35.1112,0.026091225773267945
liq20_score_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002009,天奇股份,,0,score,76.98,76.98,29.13,69.92,,,,,,,34.44,28.53,-0.17160278745644586
liq20_score_b_bonus_5pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,81.5955,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq20_score_b_bonus_5pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,81.09150000000001,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq20_score_b_bonus_5pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq20_score_b_bonus_5pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,000688,国城矿业,,1,score,80.10450000000002,76.29,26.34,69.33,,,,,TRADE,,34.2184,35.1112,0.026091225773267945
liq20_score_b_bonus_5pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,603005,晶方科技,,1,score,78.246,74.52,28.19,70.45,,,,,WATCH,,34.2,31.67,-0.07397660818713458
liq20_score_b_bonus_8pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,score,83.9268,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq20_score_b_bonus_8pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,score,83.40840000000001,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq20_score_b_bonus_8pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,000688,国城矿业,,1,score,82.39320000000001,76.29,26.34,69.33,,,,,TRADE,,34.2184,35.1112,0.026091225773267945
liq20_score_b_bonus_8pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,603005,晶方科技,,1,score,80.4816,74.52,28.19,70.45,,,,,WATCH,,34.2,31.67,-0.07397660818713458
liq20_score_b_bonus_8pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,score,80.18,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq20_bs_score_v2_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,bs_score_v2,72.71,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq20_bs_score_v2_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,bs_score_v2,72.04,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq20_bs_score_v2_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,bs_score_v2,71.83,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq20_bs_score_v2_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,603331,百达精工,,0,bs_score_v2,70.78,76.3,24.06,70.78,,,,,,,19.99,17.28,-0.1355677838919459
liq20_bs_score_v2_b_bonus_0pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,600938,中国海油,,0,bs_score_v2,70.77,74.45,28.81,70.77,,,,,,,37.3,40.98,0.09865951742627344
liq20_bs_score_v2_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,002008,大族激光,,1,bs_score_v2,74.8913,77.23,28.59,72.71,,,,,TRADE,,58.6,73.01,0.24590443686006824
liq20_bs_score_v2_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,300008,天海防务,,1,bs_score_v2,74.20120000000001,77.71,28.08,72.04,,,,,TRADE,,9.51,9.02,-0.051524710830704534
liq20_bs_score_v2_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,603005,晶方科技,,1,bs_score_v2,72.5635,74.52,28.19,70.45,,,,,WATCH,,34.2,31.67,-0.07397660818713458
liq20_bs_score_v2_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,688702,盛科通信-U,,0,bs_score_v2,71.83,80.18,26.96,71.83,,,,,,,200.62,206.9,0.03130296082145345
liq20_bs_score_v2_b_bonus_3pct,2026-02-24,2026-02-25,2026-03-10,10,1,5,000039,中集集团,,1,bs_score_v2,71.57469999999999,73.33,26.47,69.49,,,,,WATCH,,11.99,13.31,0.11009174311926606
