strategy,signal_date,desired_role,active_role,selected_strategy,reason,switch_blocked,current_role_days_before,market_amount_ratio_20,index_bucket,market_bs_ratio,market_avg_score,market_liquidity_bucket,avg_vol_20,data_cutoff_date,completed_history_rule,attack_short_count,attack_short_avg_ret,industry_concentration_high,attack_drawdown_expanded,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,median_hist_mdd_20,top_industry,top_industry_weight,industry_count,attack_count,attack_avg_ret,attack_win_rate,attack_max_drawdown,balanced_count,balanced_avg_ret,balanced_win_rate,balanced_max_drawdown,robust_count,robust_avg_ret,robust_win_rate,robust_max_drawdown,defensive_count,defensive_avg_ret,defensive_win_rate,defensive_max_drawdown,fallback_count,fallback_avg_ret,fallback_win_rate,fallback_max_drawdown,current_role_days_after,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,target_position_ratio,style_reason
adaptive_market_style,2023-01-20,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,12,1.041512037452604,index_strong,0.0,47.77758635126649,normal_liquidity,0.021149239704810058,2023-01-20,exit_date < signal_date,2,-0.020654685644808032,0,0,15.003146326146117,50.01047339757017,50.01047339757017,49.98953317981997,50.01047339757017,-0.008797164216807984,,,0,2,-0.020654685644808032,0.0,-0.02385853661269577,2,0.03698864991228219,1.0,0.0,2,0.0534238839229735,1.0,0.0,2,0.08464495572273338,1.0,0.0,2,0.08464495572273338,1.0,0.0,13,0.5,0.5,fallback_data_or_history_cap_50pct,fallback,0.5,fallback_insufficient_completed_history
adaptive_market_style,2023-01-30,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,13,1.4313729119192797,index_strong,0.0,49.28910804020101,high_liquidity,0.0212544103292006,2023-01-30,exit_date < signal_date,3,-0.012167444777483752,0,0,15.003128140703518,50.01047778709137,50.01047778709137,49.989530988274716,50.01047778709137,-0.002172533702771595,,,0,3,-0.012167444777483752,0.3333333333333333,-0.02385853661269577,3,0.049657200265445955,1.0,0.0,3,0.060608087552242756,1.0,0.0,3,0.07259335529362389,1.0,0.0,3,0.07259335529362389,1.0,0.0,14,0.5,0.5,fallback_data_or_history_cap_50pct,fallback,0.5,fallback_insufficient_completed_history
adaptive_market_style,2023-01-31,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,14,1.186510457647276,index_strong,0.0,49.05860942408377,normal_liquidity,0.020896988805934564,2023-01-31,exit_date < signal_date,4,-0.006256344698551016,0,0,15.00313717277487,50.010482180293494,50.0104821802935,49.989528795811516,50.0104821802935,-0.006533322494920224,,,0,4,-0.006256344698551016,0.5,-0.02385853661269577,4,0.05346928567014693,1.0,0.0,4,0.06042417708054024,1.0,0.0,4,0.06020085768338038,1.0,0.0,4,0.06020085768338038,1.0,0.0,15,0.5,0.5,fallback_data_or_history_cap_50pct,fallback,0.5,fallback_insufficient_completed_history
adaptive_market_style,2023-02-01,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,15,1.2968787244159046,index_strong,0.0,49.809403391249745,high_liquidity,0.0209612797740576,2023-02-01,exit_date < signal_date,5,-0.013284873907540901,0,0,15.003129579233828,50.010479983232024,50.01047998323203,49.98953317981997,50.010479983232024,0.0,,,0,5,-0.013284873907540901,0.4,-0.048980760221361774,5,0.05717818069408622,1.0,0.0,5,0.062031195953615156,1.0,0.0,5,0.05601051801183536,1.0,0.0,5,0.05601051801183536,1.0,0.0,16,0.5,0.5,fallback_data_or_history_cap_50pct,fallback,0.5,fallback_insufficient_completed_history
adaptive_market_style,2023-02-02,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,16,1.2920001078566594,index_strong,0.0,50.20039966520193,high_liquidity,0.020594911291621432,2023-02-02,exit_date < signal_date,6,-0.021387738555295386,0,0,15.00312826951245,50.01047559187094,50.01047559187094,49.98953756015903,50.01047559187094,-0.006109979633401319,,,0,6,-0.021387738555295386,0.3333333333333333,-0.10785081196948643,6,0.05902253567549049,1.0,0.0,6,0.06345210655565721,1.0,0.0,6,0.05706564695666522,1.0,0.0,6,0.05706564695666522,1.0,0.0,17,0.5,0.5,fallback_data_or_history_cap_50pct,fallback,0.5,fallback_insufficient_completed_history
adaptive_market_style,2023-02-03,fallback,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0,17,1.1336752581364224,index_strong,0.0,50.18932621887424,normal_liquidity,0.020387402076895995,2023-02-03,exit_date < signal_date,7,-0.017805194924970062,0,0,15.003145009416196,50.01047559187094,50.01047559187094,49.98953756015903,50.010475591870936,-0.01160642321284644,,,0,7,-0.017805194924970062,0.42857142857142855,-0.10785081196948643,7,0.04684288595143739,0.8571428571428571,-0.026235012392881174,7,0.05686644440522704,1.0,0.0,7,0.05789780329023032,1.0,0.0,7,0.05789780329023032,1.0,0.0,18,0.5,0.5,fallback_data_or_history_cap_50pct,fallback,0.5,fallback_insufficient_completed_history
adaptive_market_style,2023-02-06,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,18,1.0654333270789373,index_strong,0.0,50.24870083682008,normal_liquidity,0.02046812153699468,2023-02-06,exit_date < signal_date,8,-0.018055886791658187,1,0,15.003144351464435,50.01047339757017,50.01047339757017,49.98953974895397,50.01047339757017,-0.016839957667873384,,,0,8,-0.018055886791658187,0.375,-0.12229806708541813,8,0.039635553272417315,0.75,-0.0367670358698291,8,0.051274072525883445,1.0,0.0,8,0.05495671557941867,1.0,0.0,8,0.05495671557941867,1.0,0.0,1,0.5,0.5,attack_recent_completed_samples_negative_cap_50pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-07,fallback,defensive,baseline_full_liquidity,hold_min_state_3_days,1,1,1.02492920148374,index_strong,0.0,50.223435800920115,normal_liquidity,0.019744496945631566,2023-02-07,exit_date < signal_date,9,-0.02411737493621935,0,0,15.003143036386449,50.01046682018003,50.01046682018003,49.98954412379757,50.01046901172529,-0.012327644756843004,,,0,9,-0.02411737493621935,0.3333333333333333,-0.18602737257032476,9,0.036467636841562574,0.7777777777777778,-0.0367670358698291,9,0.04725798903343723,1.0,0.0,9,0.044980393384615236,0.8888888888888888,-0.03483018417381234,9,0.044980393384615236,0.8888888888888888,-0.03483018417381234,2,0.5,0.5,attack_recent_completed_samples_negative_cap_50pct,defensive,0.5,hold_min_state_3_days
adaptive_market_style,2023-02-08,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,2,0.9759524135933426,index_strong,0.0,50.0160547773364,normal_liquidity,0.019750287499909897,2023-02-08,exit_date < signal_date,10,-0.026624034848372495,0,1,15.003131925569729,50.01046462955211,50.01046462955211,49.98954630984738,50.01046901172529,-0.02162058589966298,,,0,10,-0.026624034848372495,0.3,-0.22606178116154518,10,0.03188757307149908,0.7,-0.0367670358698291,10,0.04293675759269321,1.0,0.0,10,0.03930499356222743,0.8,-0.04619371218813395,10,0.03930499356222743,0.8,-0.04619371218813395,3,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-09,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,3,1.0907297243843062,index_strong,0.0,49.8867210031348,normal_liquidity,0.019911595850926278,2023-02-09,exit_date < signal_date,10,-0.030190578888492352,0,1,15.003124346917453,50.01046462955211,50.01046462955211,49.98955067920585,50.01046462955211,-0.00990099009900991,,,0,11,-0.02903242032380399,0.2727272727272727,-0.267170496486838,11,0.029496262909207968,0.7272727272727273,-0.0367670358698291,11,0.0402813642567752,1.0,0.0,11,0.03377692915471941,0.7272727272727273,-0.06670409069048788,11,0.03377692915471941,0.7272727272727273,-0.06670409069048788,4,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-10,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,4,1.0771779244702233,index_neutral,0.0,49.498234433765155,normal_liquidity,0.019724316847336734,2023-02-10,exit_date < signal_date,10,-0.024604984455143294,0,1,15.003138320100291,50.01046243984097,50.01046243984097,49.98955286251567,50.01046462955211,-0.013925868734636415,,,0,12,-0.023946601320087423,0.3333333333333333,-0.267170496486838,12,0.028836364611473195,0.75,-0.0367670358698291,12,0.038951139555257155,1.0,0.0,12,0.028899372486371772,0.6666666666666666,-0.08980666511328117,12,0.028899372486371772,0.6666666666666666,-0.08980666511328117,5,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-13,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,5,1.1713816626113875,index_neutral,0.0,49.66068310006266,normal_liquidity,0.019844986132496963,2023-02-13,exit_date < signal_date,10,-0.030480480062221888,0,1,15.003137664508044,50.0104580631667,50.0104580631667,49.98955504491331,50.01046025104603,-0.00878818269900905,,,0,13,-0.02625439499651309,0.3076923076923077,-0.28452148442485925,13,0.024854869001850292,0.6923076923076923,-0.0367670358698291,13,0.034365554917443177,0.9230769230769231,-0.020661460736324577,13,0.021605540574167623,0.6153846153846154,-0.1498070123933165,13,0.021605540574167623,0.6153846153846154,-0.1498070123933165,6,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-14,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,6,1.079483608795071,index_neutral,0.0,49.6104657477026,normal_liquidity,0.019829711745653556,2023-02-14,exit_date < signal_date,10,-0.031778831211315584,1,1,15.003128654970762,50.01045587620242,50.01045587620243,49.989557226399334,50.0104580631667,-0.012235169420017622,,,0,14,-0.024486692207668564,0.2857142857142857,-0.2855993928415206,14,0.021159450959853658,0.6428571428571429,-0.057573255080496155,14,0.03037794421708928,0.8571428571428571,-0.04167904012060508,14,0.017959483868596696,0.5714285714285714,-0.1748360591126057,14,0.017959483868596696,0.5714285714285714,-0.1748360591126057,7,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-15,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,7,1.0943255659176425,index_neutral,0.0,49.95131133848403,normal_liquidity,0.01956532619991691,2023-02-15,exit_date < signal_date,10,-0.03156921731254793,0,1,15.003128001670493,50.01045369015262,50.01045369015262,49.989559406974315,50.01045369015262,-0.013958977922643778,,,0,15,-0.02547443617754559,0.26666666666666666,-0.3136773739989409,15,0.020447894599198973,0.6666666666666666,-0.057573255080496155,15,0.028370571706732885,0.8666666666666667,-0.04167904012060508,15,0.01539018088440239,0.5333333333333333,-0.19181798326386357,15,0.01539018088440239,0.5333333333333333,-0.19181798326386357,8,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-16,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,8,1.3534439261731528,index_neutral,0.0,48.9441310244106,high_liquidity,0.0207691209773803,2023-02-16,exit_date < signal_date,10,-0.028867886820842348,1,1,15.003127477571457,50.010451505016725,50.010451505016725,49.98956812017526,50.010451505016725,-0.041312406879529584,,,0,16,-0.02606283122126224,0.25,-0.33762231723668423,16,0.019828868296001202,0.6875,-0.057573255080496155,16,0.02619599873411266,0.8125,-0.047579380503689817,16,0.011480493157671467,0.5,-0.22993574482753998,16,0.011480493157671467,0.5,-0.22993574482753998,9,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-17,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,9,1.02542409290484,index_neutral,0.0,45.91746349603672,normal_liquidity,0.020935239243324806,2023-02-17,exit_date < signal_date,10,-0.026114322184040844,0,1,15.003116395494368,50.010451505016725,50.010451505016725,49.98957029620359,50.010451505016725,-0.047045435444196926,,,0,17,-0.02269291684207053,0.29411764705882354,-0.33762231723668423,17,0.02003511514319452,0.7058823529411765,-0.057573255080496155,17,0.025017229524679923,0.8235294117647058,-0.047579380503689817,17,0.009166288610079702,0.47058823529411764,-0.25139049283645065,17,0.009166288610079702,0.47058823529411764,-0.25139049283645065,10,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-20,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,10,1.0647195650083474,index_neutral,0.0,46.179384904086746,normal_liquidity,0.021003633211142566,2023-02-20,exit_date < signal_date,10,-0.030707750197176052,1,1,15.003138031693078,50.01044932079415,50.01044932079415,49.98957464553795,50.01044932079415,-0.03537725096877142,,,0,18,-0.02508469979472367,0.2777777777777778,-0.3618469472525714,18,0.01677874707556402,0.6666666666666666,-0.057573255080496155,18,0.022142329119246764,0.7777777777777778,-0.06733128519236076,18,0.007218351519469749,0.4444444444444444,-0.2707769180945081,18,0.007218351519469749,0.4444444444444444,-0.2707769180945081,11,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-21,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,11,1.0211105205672448,index_neutral,0.0,45.62040658882402,normal_liquidity,0.020866807904619568,2023-02-21,exit_date < signal_date,10,-0.016914627158704794,1,1,15.003138031693078,50.01044713748433,50.01044713748433,49.98957464553795,50.010451505016725,-0.032569646783112416,,,0,19,-0.020326455053316952,0.3157894736842105,-0.3618469472525714,19,0.014126973255635097,0.631578947368421,-0.08500467792896105,19,0.020175041510616467,0.7368421052631579,-0.08154155205623115,19,0.006499231093995718,0.42105263157894735,-0.275476714598785,19,0.006499231093995718,0.42105263157894735,-0.275476714598785,12,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-22,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,12,0.8592162220985191,index_neutral,0.0,44.432084636230975,normal_liquidity,0.020864681403426746,2023-02-22,exit_date < signal_date,10,-0.008836197513215585,0,1,15.00311444652908,50.01044277360067,50.010442773600666,49.98957681884511,50.01044713748433,-0.03175484320436828,,,0,20,-0.017730116180794044,0.35,-0.3618469472525714,20,0.01665836304223476,0.65,-0.08500467792896105,20,0.023449137402880564,0.75,-0.08154155205623115,20,0.005941875165368821,0.4,-0.2788442173049136,20,0.005941875165368821,0.4,-0.2788442173049136,13,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-23,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,13,0.8796116371670961,index_neutral,0.0,44.588056713928275,normal_liquidity,0.020844612943843065,2023-02-23,exit_date < signal_date,10,-0.0050551031316062485,0,1,15.003115095913262,50.010442773600666,50.010442773600666,49.98957464553795,50.01044495508669,-0.03594165638936575,,,0,20,-0.017622841010049302,0.35,-0.35675942732116517,20,0.022213352218047648,0.65,-0.08500467792896094,20,0.029860315245948055,0.75,-0.08154155205623126,20,0.0002299118440693921,0.35,-0.2872116448750941,20,0.0002299118440693921,0.35,-0.2872116448750941,14,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-24,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,14,0.7928148270959657,index_neutral,0.0,44.190483837330554,low_liquidity,0.02078743603402554,2023-02-24,exit_date < signal_date,10,-0.010427207874688158,0,1,15.003126173096977,50.01044495508669,50.01044495508669,49.989572471324294,50.01044495508669,-0.039076376554174064,,,0,20,-0.01751609616491573,0.35,-0.35675942732116517,20,0.019949749687815287,0.65,-0.08500467792896083,20,0.027099525400654235,0.75,-0.08154155205623115,20,-0.004754438783992623,0.3,-0.3107575859069266,20,-0.004754438783992623,0.3,-0.3107575859069266,15,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-27,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,15,0.8372479882180465,index_neutral,0.0,42.43101147028155,normal_liquidity,0.02052080785613322,2023-02-27,exit_date < signal_date,10,-0.0038835949369777413,0,1,15.003126173096977,50.01044495508669,50.01044495508669,49.989572471324294,50.01044713748433,-0.048248749106504674,,,0,20,-0.017182037499599817,0.35,-0.3567594273211653,20,0.0177213758304616,0.65,-0.08500467792896127,20,0.02528525736275202,0.75,-0.08154155205623126,20,-0.00924922250992474,0.25,-0.3392960265258764,20,-0.00924922250992474,0.25,-0.3392960265258764,16,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-02-28,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,16,0.846382448562678,index_neutral,0.0,43.33250364811341,normal_liquidity,0.02042632341617675,2023-02-28,exit_date < signal_date,10,0.0026019843920248656,0,1,15.003133208255159,50.010440593025685,50.01044059302568,49.98957681884511,50.010440593025685,-0.039908847548371984,,,0,20,-0.014588423409645359,0.35,-0.32897987122114714,20,0.01316182653444122,0.6,-0.08500467792896094,20,0.021263875678486262,0.7,-0.08154155205623104,20,-0.014025083703929134,0.2,-0.3871930072377777,20,-0.014025083703929134,0.2,-0.3871930072377777,17,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-03-01,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,17,1.03408883975751,index_neutral,0.0,44.085842883934156,normal_liquidity,0.020129065722649643,2023-03-01,exit_date < signal_date,10,0.00033797809944018374,0,1,15.00311314857262,50.01043405676127,50.01043405676127,49.98958116274224,50.010440593025685,-0.0312963635924719,,,0,20,-0.015615619606553874,0.35,-0.2873312094301117,20,0.012329554709065212,0.6,-0.08500467792896094,20,0.020577925415410675,0.7,-0.08154155205623126,20,-0.018368603660517336,0.15,-0.41637563599496763,20,-0.018368603660517336,0.15,-0.41637563599496763,18,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
adaptive_market_style,2023-03-02,defensive,defensive,baseline_full_liquidity,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration,0,18,1.0546739219236057,index_neutral,0.0,43.594076234117885,normal_liquidity,0.02007052479763076,2023-03-02,exit_date < signal_date,10,0.004089030254550768,0,1,15.003116017496357,50.010427528675706,50.010427528675706,49.9895855030202,50.01042970379641,-0.035393630091673844,,,0,20,-0.01238942828314579,0.4,-0.2873312094301118,20,0.010005485804805536,0.6,-0.0768633651939431,20,0.018707972454334008,0.7,-0.08154155205623137,20,-0.022891037044931332,0.1,-0.4327797854411751,20,-0.022891037044931332,0.1,-0.4327797854411751,19,0.5,0.5,attack_completed_history_drawdown_cap_70pct,defensive,0.5,defensive_low_liquidity_weak_index_attack_failed_drawdown_or_industry_concentration
