order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,strategy_label,scenario
11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,176.0,195.3347,100,19533.47,1933.47,14.650103,0.0,0.0,14.650103,-19548.12,488099.54,468551.42,0,100,0.0,17600.0,488099.54,486151.42,True,0.4,B2,c0.00075_s0.0
12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,14.45,15.0621,1200,18074.52,734.52,13.55589,0.0,0.0,13.55589,-18088.08,468551.42,450463.34,0,1200,17600.0,34940.0,486151.42,485403.34,True,0.4,B2,c0.00075_s0.0
13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,19.45,21.2841,1700,36182.97,3117.97,27.137228,0.0,0.0,27.137228,-36210.11,450463.34,414253.23,0,1700,34940.0,68005.0,485403.34,482258.23,True,0.4,B2,c0.00075_s0.0
14,2023-12-14,9,2023-12-13,601398,BUY,TARGET_REBALANCE,4.79,5.4725,11800,64575.5,8053.5,48.431625,0.0,0.0,48.431625,-64623.93,414253.23,349629.3,0,11800,68005.0,124527.0,482258.23,474156.3,True,0.4,B2,c0.00075_s0.0
15,2023-12-19,1,2023-12-18,300750,BUY,TARGET_REBALANCE,146.31,156.5485,300,46964.55,3071.55,35.223412,0.0,0.0,35.223412,-46999.77,349629.3,302629.53,0,300,123308.0,167201.0,472937.3,469830.53,True,0.4,B2,c0.00075_s0.0
16,2023-12-28,1,2023-12-27,000568,SELL,HOLD_EXPIRY,171.0,189.7854,100,18978.54,1878.54,14.233905,0.0,0.0,14.233905,18964.31,302629.53,321593.83,100,0,168279.0,151179.0,470908.53,472772.83,True,0.4,B2,c0.00075_s0.0
17,2023-12-28,2,2023-12-27,002558,SELL,HOLD_EXPIRY,10.82,11.2783,1200,13533.96,549.96,10.15047,0.0,0.0,10.15047,13523.81,321593.83,335117.64,1200,0,151179.0,138195.0,472772.83,473312.64,True,0.4,B2,c0.00075_s0.0
18,2023-12-28,3,2023-12-27,601398,SELL,HOLD_EXPIRY,4.83,5.5182,11800,65114.76,8120.76,48.83607,0.0,0.0,48.83607,65065.92,335117.64,400183.57,11800,0,138195.0,81201.0,473312.64,481384.57,True,0.4,B2,c0.00075_s0.0
19,2023-12-28,4,2023-12-27,002786,BUY,TARGET_REBALANCE,17.71,17.71,700,12397.0,0.0,9.29775,0.0,0.0,9.29775,-12406.3,400183.57,387777.27,0,700,81201.0,93598.0,481384.57,481375.27,True,0.4,B2,c0.00075_s0.0
20,2023-12-28,5,2023-12-27,002855,BUY,TARGET_REBALANCE,38.6,38.6,400,15440.0,0.0,11.58,0.0,0.0,11.58,-15451.58,387777.27,372325.69,0,400,93598.0,109038.0,481375.27,481363.69,True,0.4,B2,c0.00075_s0.0
21,2023-12-28,6,2023-12-27,300735,BUY,TARGET_REBALANCE,22.45,23.1901,2100,48699.21,1554.21,36.524408,0.0,0.0,36.524408,-48735.73,372325.69,323589.96,0,2100,109038.0,156183.0,481363.69,479772.96,True,0.4,B2,c0.00075_s0.0
22,2023-12-28,7,2023-12-27,600938,BUY,TARGET_REBALANCE,20.55,22.4879,1200,26985.48,2325.48,20.23911,0.0,0.0,20.23911,-27005.72,323589.96,296584.24,1700,2900,156183.0,180843.0,479772.96,477427.24,True,0.4,B2,c0.00075_s0.0
23,2023-12-29,1,2023-12-28,600938,SELL,HOLD_EXPIRY,20.5,22.4331,2900,65055.99,5605.99,48.791992,0.0,0.0,48.791992,65007.2,296584.24,361591.43,2900,0,182875.0,123425.0,479459.24,485016.43,True,0.4,B2,c0.00075_s0.0
24,2023-12-29,2,2023-12-28,600941,BUY,TARGET_REBALANCE,97.26,108.4756,600,65085.36,6729.36,48.81402,0.0,0.0,48.81402,-65134.17,361591.43,296457.26,0,600,123425.0,181781.0,485016.43,478238.26,True,0.4,B2,c0.00075_s0.0
25,2024-01-03,1,2024-01-02,300750,SELL,HOLD_EXPIRY,156.1,167.0236,300,50107.08,3277.08,37.58031,0.0,0.0,37.58031,50069.5,296457.26,346526.76,300,0,177502.0,130672.0,473959.26,477198.76,True,0.4,B2,c0.00075_s0.0
26,2024-01-03,2,2024-01-02,002241,BUY,TARGET_REBALANCE,20.75,21.4145,2500,53536.25,1661.25,40.152188,0.0,0.0,40.152188,-53576.4,346526.76,292950.36,0,2500,130672.0,182547.0,477198.76,475497.36,True,0.4,B2,c0.00075_s0.0
27,2024-01-12,1,2024-01-11,002786,SELL,HOLD_EXPIRY,16.3,16.3,700,11410.0,0.0,8.5575,0.0,0.0,8.5575,11401.44,292950.36,304351.8,700,0,171827.0,160417.0,464777.36,464768.8,True,0.4,B2,c0.00075_s0.0
28,2024-01-12,2,2024-01-11,002855,SELL,HOLD_EXPIRY,33.85,33.85,400,13540.0,0.0,10.155,0.0,0.0,10.155,13529.84,304351.8,317881.65,400,0,160417.0,146877.0,464768.8,464758.65,True,0.4,B2,c0.00075_s0.0
29,2024-01-12,3,2024-01-11,300735,SELL,HOLD_EXPIRY,20.17,20.8349,2100,43753.29,1396.29,32.814968,0.0,0.0,32.814968,43720.48,317881.65,361602.12,2100,0,146877.0,104520.0,464758.65,466122.12,True,0.4,B2,c0.00075_s0.0
30,2024-01-12,4,2024-01-11,002415,BUY,TARGET_REBALANCE,30.73,33.4914,500,16745.7,1380.7,12.559275,0.0,0.0,12.559275,-16758.26,361602.12,344843.86,0,500,104520.0,119885.0,466122.12,464728.86,True,0.4,B2,c0.00075_s0.0
31,2024-01-12,5,2024-01-11,601398,BUY,TARGET_REBALANCE,4.77,5.4497,6300,34333.11,4282.11,25.749833,0.0,0.0,25.749833,-34358.86,344843.86,310485.0,0,6300,119885.0,149936.0,464728.86,460421.0,True,0.4,B2,c0.00075_s0.0
32,2024-01-12,6,2024-01-11,601857,BUY,TARGET_REBALANCE,7.26,8.0641,3100,24998.71,2492.71,18.749032,0.0,0.0,18.749032,-25017.46,310485.0,285467.54,0,3100,149936.0,172442.0,460421.0,457909.54,True,0.4,B2,c0.00075_s0.0
33,2024-01-15,1,2024-01-12,600941,SELL,HOLD_EXPIRY,95.19,106.1669,600,63700.14,6586.14,47.775105,0.0,0.0,47.775105,63652.36,285467.54,349119.91,600,0,170430.0,113316.0,455897.54,462435.91,True,0.4,B2,c0.00075_s0.0
34,2024-01-15,2,2024-01-12,000158,BUY,TARGET_REBALANCE,9.23,9.25,7100,65675.0,142.0,49.25625,0.0,0.0,49.25625,-65724.26,349119.91,283395.65,0,7100,113316.0,178849.0,462435.91,462244.65,True,0.4,B2,c0.00075_s0.0
35,2024-01-17,1,2024-01-16,002241,SELL,HOLD_EXPIRY,18.89,19.4949,2500,48737.25,1512.25,36.552937,0.0,0.0,36.552937,48700.7,283395.65,332096.35,2500,0,180979.0,133754.0,464374.65,465850.35,True,0.4,B2,c0.00075_s0.0
36,2024-01-17,2,2024-01-16,000338,BUY,TARGET_REBALANCE,14.92,16.3714,2900,47477.06,4209.06,35.607795,0.0,0.0,35.607795,-47512.67,332096.35,284583.68,0,2900,133754.0,177022.0,465850.35,461605.68,True,0.4,B2,c0.00075_s0.0
37,2024-01-26,1,2024-01-25,002415,SELL,HOLD_EXPIRY,32.08,34.9627,500,17481.35,1441.35,13.111012,0.0,0.0,13.111012,17468.24,284583.68,302051.92,500,0,181910.0,165870.0,466493.68,467921.92,True,0.4,B2,c0.00075_s0.0
38,2024-01-26,2,2024-01-25,601398,SELL,HOLD_EXPIRY,5.01,5.7239,6300,36060.57,4497.57,27.045427,0.0,0.0,27.045427,36033.52,302051.92,338085.44,6300,0,165870.0,134307.0,467921.92,472392.44,True,0.4,B2,c0.00075_s0.0
39,2024-01-26,3,2024-01-25,601857,SELL,HOLD_EXPIRY,8.05,8.9416,3100,27718.96,2763.96,20.78922,0.0,0.0,20.78922,27698.17,338085.44,365783.61,3100,0,134307.0,109352.0,472392.44,475135.61,True,0.4,B2,c0.00075_s0.0
40,2024-01-26,4,2024-01-25,300059,BUY,TARGET_REBALANCE,13.25,13.3985,1800,24117.3,267.3,18.087975,0.0,0.0,18.087975,-24135.39,365783.61,341648.23,0,1800,109352.0,133202.0,475135.61,474850.23,True,0.4,B2,c0.00075_s0.0
41,2024-01-26,5,2024-01-25,600030,BUY,TARGET_REBALANCE,20.4,21.8385,1500,32757.75,2157.75,24.568313,0.0,0.0,24.568313,-32782.32,341648.23,308865.91,0,1500,133202.0,163802.0,474850.23,472667.91,True,0.4,B2,c0.00075_s0.0
42,2024-01-26,6,2024-01-25,601099,BUY,TARGET_REBALANCE,3.45,3.45,5800,20010.0,0.0,15.0075,0.0,0.0,15.0075,-20025.01,308865.91,288840.9,0,5800,163802.0,183812.0,472667.91,472652.9,True,0.4,B2,c0.00075_s0.0
43,2024-01-29,1,2024-01-26,000158,SELL,HOLD_EXPIRY,9.09,9.1097,7100,64678.87,139.87,48.509153,0.0,0.0,48.509153,64630.36,288840.9,353471.26,7100,0,183035.0,118496.0,471875.9,471967.26,True,0.4,B2,c0.00075_s0.0
44,2024-01-29,2,2024-01-26,000002,BUY,TARGET_REBALANCE,10.41,10.41,6300,65583.0,0.0,49.18725,0.0,0.0,49.18725,-65632.19,353471.26,287839.07,0,6300,118496.0,184079.0,471967.26,471918.07,True,0.4,B2,c0.00075_s0.0
45,2024-01-31,1,2024-01-30,000338,SELL,HOLD_EXPIRY,14.91,16.3604,2900,47445.16,4206.16,35.58387,0.0,0.0,35.58387,47409.58,287839.07,335248.65,2900,0,176875.0,133636.0,464714.07,468884.65,True,0.4,B2,c0.00075_s0.0
46,2024-01-31,2,2024-01-30,601857,BUY,TARGET_REBALANCE,8.34,9.2637,5600,51876.72,5172.72,38.90754,0.0,0.0,38.90754,-51915.63,335248.65,283333.02,0,5600,133636.0,180340.0,468884.65,463673.02,True,0.4,B2,c0.00075_s0.0
47,2024-02-19,1,2024-02-08,300059,SELL,HOLD_EXPIRY,13.35,13.4996,1800,24299.28,269.28,18.22446,0.0,0.0,18.22446,24281.06,283333.02,307614.08,1800,0,184727.0,160697.0,468060.02,468311.08,True,0.4,B2,c0.00075_s0.0
48,2024-02-19,2,2024-02-08,600030,SELL,HOLD_EXPIRY,21.12,22.6092,1500,33913.8,2233.8,25.43535,0.0,0.0,25.43535,33888.36,307614.08,341502.44,1500,0,160697.0,129017.0,468311.08,470519.44,True,0.4,B2,c0.00075_s0.0
49,2024-02-19,3,2024-02-08,601099,SELL,HOLD_EXPIRY,3.29,3.29,5800,19082.0,0.0,14.3115,0.0,0.0,14.3115,19067.69,341502.44,360570.13,5800,0,129017.0,109935.0,470519.44,470505.13,True,0.4,B2,c0.00075_s0.0
50,2024-02-19,4,2024-02-08,000895,BUY,TARGET_REBALANCE,28.34,32.4796,1300,42223.48,5381.48,31.66761,0.0,0.0,31.66761,-42255.15,360570.13,318314.98,0,1300,109935.0,146777.0,470505.13,465091.98,True,0.4,B2,c0.00075_s0.0
51,2024-02-19,5,2024-02-08,002340,BUY,TARGET_REBALANCE,5.18,5.3046,2600,13791.96,323.96,10.34397,0.0,0.0,10.34397,-13802.3,318314.98,304512.68,0,2600,146777.0,160245.0,465091.98,464757.68,True,0.4,B2,c0.00075_s0.0
52,2024-02-19,6,2024-02-08,600111,BUY,TARGET_REBALANCE,18.34,18.4888,800,14791.04,119.04,11.09328,0.0,0.0,11.09328,-14802.13,304512.68,289710.55,0,800,160245.0,174917.0,464757.68,464627.55,True,0.4,B2,c0.00075_s0.0
53,2024-02-20,1,2024-02-19,000002,SELL,HOLD_EXPIRY,9.9,9.9,6300,62370.0,0.0,46.7775,0.0,0.0,46.7775,62323.22,289710.55,352033.77,6300,0,176186.0,113816.0,465896.55,465849.77,True,0.4,B2,c0.00075_s0.0
54,2024-02-20,2,2024-02-19,002463,BUY,TARGET_REBALANCE,26.39,27.3644,2400,65674.56,2338.56,49.25592,0.0,0.0,49.25592,-65723.82,352033.77,286309.95,0,2400,113816.0,177152.0,465849.77,463461.95,True,0.4,B2,c0.00075_s0.0
55,2024-02-22,1,2024-02-21,601857,SELL,HOLD_EXPIRY,8.63,9.5858,5600,53680.48,5352.48,40.26036,0.0,0.0,40.26036,53640.22,286309.95,339950.17,5600,0,175224.0,126896.0,461533.95,466846.17,True,0.4,B2,c0.00075_s0.0
56,2024-02-22,2,2024-02-21,600839,BUY,TARGET_REBALANCE,4.75,4.8196,11300,54461.48,786.48,40.84611,0.0,0.0,40.84611,-54502.33,339950.17,285447.85,0,11300,126896.0,180571.0,466846.17,466018.85,True,0.4,B2,c0.00075_s0.0
57,2024-03-04,1,2024-03-01,000895,SELL,HOLD_EXPIRY,29.01,33.2475,1300,43221.75,5508.75,32.416313,0.0,0.0,32.416313,43189.33,285447.85,328637.18,1300,0,193780.0,156067.0,479227.85,484704.18,True,0.4,B2,c0.00075_s0.0
58,2024-03-04,2,2024-03-01,002340,SELL,HOLD_EXPIRY,5.42,5.5504,2600,14431.04,339.04,10.82328,0.0,0.0,10.82328,14420.22,328637.18,343057.4,2600,0,156067.0,141975.0,484704.18,485032.4,True,0.4,B2,c0.00075_s0.0
59,2024-03-04,3,2024-03-01,600111,SELL,HOLD_EXPIRY,19.1,19.2549,800,15403.92,123.92,11.55294,0.0,0.0,11.55294,15392.37,343057.4,358449.76,800,0,141975.0,126695.0,485032.4,485144.76,True,0.4,B2,c0.00075_s0.0
60,2024-03-04,4,2024-03-01,002281,BUY,TARGET_REBALANCE,34.45,34.8717,600,20923.02,253.02,15.692265,0.0,0.0,15.692265,-20938.71,358449.76,337511.05,0,600,126695.0,147365.0,485144.76,484876.05,True,0.4,B2,c0.00075_s0.0
61,2024-03-04,5,2024-03-01,300045,BUY,TARGET_REBALANCE,22.97,22.97,800,18376.0,0.0,13.782,0.0,0.0,13.782,-18389.78,337511.05,319121.27,0,800,147365.0,165741.0,484876.05,484862.27,True,0.4,B2,c0.00075_s0.0
62,2024-03-04,6,2024-03-01,603220,BUY,TARGET_REBALANCE,34.8,45.7577,500,22878.85,5478.85,17.159137,0.0,0.0,17.159137,-22896.01,319121.27,296225.26,0,500,165741.0,183141.0,484862.27,479366.26,True,0.4,B2,c0.00075_s0.0
63,2024-03-05,1,2024-03-04,002463,SELL,HOLD_EXPIRY,27.75,28.7746,2400,69059.04,2459.04,51.79428,0.0,0.0,51.79428,69007.25,296225.26,365232.51,2400,0,190125.0,123525.0,486350.26,488757.51,True,0.4,B2,c0.00075_s0.0
64,2024-03-05,2,2024-03-04,000938,BUY,TARGET_REBALANCE,24.89,25.1671,2600,65434.46,720.46,49.075845,0.0,0.0,49.075845,-65483.54,365232.51,299748.97,0,2600,123525.0,188239.0,488757.51,487987.97,True,0.4,B2,c0.00075_s0.0
65,2024-03-07,1,2024-03-06,600839,SELL,HOLD_EXPIRY,5.55,5.6313,11300,63633.69,918.69,47.725268,0.0,0.0,47.725268,63585.96,299748.97,363334.94,11300,0,184793.0,122078.0,484541.97,485412.94,True,0.4,B2,c0.00075_s0.0
66,2024-03-07,2,2024-03-06,002456,BUY,TARGET_REBALANCE,9.6,9.6,7100,68160.0,0.0,51.12,0.0,0.0,51.12,-68211.12,363334.94,295123.82,0,7100,122078.0,190238.0,485412.94,485361.82,True,0.4,B2,c0.00075_s0.0
67,2024-03-18,1,2024-03-15,002281,SELL,HOLD_EXPIRY,39.8,40.2872,600,24172.32,292.32,18.12924,0.0,0.0,18.12924,24154.19,295123.82,319278.01,600,0,192442.0,168562.0,487565.82,487840.01,False,0.6,B2,c0.00075_s0.0
68,2024-03-18,2,2024-03-15,300045,SELL,HOLD_EXPIRY,24.91,24.91,800,19928.0,0.0,14.946,0.0,0.0,14.946,19913.05,319278.01,339191.06,800,0,168562.0,148634.0,487840.01,487825.06,False,0.6,B2,c0.00075_s0.0
69,2024-03-18,3,2024-03-15,603220,SELL,HOLD_EXPIRY,36.46,47.9404,500,23970.2,5740.2,17.97765,0.0,0.0,17.97765,23952.22,339191.06,363143.28,500,0,148634.0,130404.0,487825.06,493547.28,False,0.6,B2,c0.00075_s0.0
70,2024-03-18,4,2024-03-15,601138,BUY,TARGET_REBALANCE,23.45,24.7117,1100,27182.87,1387.87,20.387152,0.0,0.0,20.387152,-27203.26,363143.28,335940.03,0,1100,130404.0,156199.0,493547.28,492139.03,False,0.6,B2,c0.00075_s0.0
71,2024-03-18,5,2024-03-15,601225,BUY,TARGET_REBALANCE,24.53,27.5986,2200,60716.92,6750.92,45.53769,0.0,0.0,45.53769,-60762.46,335940.03,275177.57,0,2200,156199.0,210165.0,492139.03,485342.57,False,0.6,B2,c0.00075_s0.0
72,2024-03-18,6,2024-03-15,601899,BUY,TARGET_REBALANCE,15.97,16.6277,4500,74824.65,2959.65,56.118488,0.0,0.0,56.118488,-74880.77,275177.57,200296.8,0,4500,210165.0,282030.0,485342.57,482326.8,False,0.6,B2,c0.00075_s0.0
73,2024-03-19,1,2024-03-18,000938,SELL,HOLD_EXPIRY,23.6,23.8627,2600,62043.02,683.02,46.532265,0.0,0.0,46.532265,61996.49,200296.8,262293.29,2600,0,286806.0,225446.0,487102.8,487739.29,False,0.6,B2,c0.00075_s0.0
74,2024-03-19,2,2024-03-18,603993,BUY,TARGET_REBALANCE,7.75,8.2467,7600,62674.92,3774.92,47.00619,0.0,0.0,47.00619,-62721.93,262293.29,199571.36,0,7600,225446.0,284346.0,487739.29,483917.36,False,0.6,B2,c0.00075_s0.0
75,2024-03-21,1,2024-03-20,002456,SELL,HOLD_EXPIRY,10.41,10.41,7100,73911.0,0.0,55.43325,0.0,0.0,55.43325,73855.57,199571.36,273426.93,7100,0,287026.0,213115.0,486597.36,486541.93,False,0.6,B2,c0.00075_s0.0
76,2024-03-21,2,2024-03-20,300496,BUY,TARGET_REBALANCE,64.0,64.7924,1100,71271.64,871.64,53.45373,0.0,0.0,53.45373,-71325.09,273426.93,202101.83,0,1100,213115.0,283515.0,486541.93,485616.83,False,0.6,B2,c0.00075_s0.0
77,2024-04-01,1,2024-03-29,601138,SELL,HOLD_EXPIRY,22.9,24.1321,1100,26545.31,1355.31,19.908983,0.0,0.0,19.908983,26525.4,202101.83,228627.23,1100,0,277755.0,252565.0,479856.83,481192.23,False,0.6,B2,c0.00075_s0.0
78,2024-04-01,2,2024-03-29,601225,SELL,HOLD_EXPIRY,24.7,27.7899,2200,61137.78,6797.78,45.853335,0.0,0.0,45.853335,61091.93,228627.23,289719.16,2200,0,252565.0,198225.0,481192.23,487944.16,False,0.6,B2,c0.00075_s0.0
79,2024-04-01,3,2024-03-29,601899,SELL,HOLD_EXPIRY,17.24,17.95,4500,80775.0,3195.0,60.58125,0.0,0.0,60.58125,80714.42,289719.16,370433.58,4500,0,198225.0,120645.0,487944.16,491078.58,False,0.6,B2,c0.00075_s0.0
80,2024-04-01,4,2024-03-29,000977,BUY,TARGET_REBALANCE,42.38,42.679,800,34143.2,239.2,25.6074,0.0,0.0,25.6074,-34168.81,370433.58,336264.77,0,800,120645.0,154549.0,491078.58,490813.77,False,0.6,B2,c0.00075_s0.0
81,2024-04-01,5,2024-03-29,300975,BUY,TARGET_REBALANCE,14.11,14.1603,1100,15576.33,55.33,11.682248,0.0,0.0,11.682248,-15588.01,336264.77,320676.76,0,1100,154549.0,170070.0,490813.77,490746.76,False,0.6,B2,c0.00075_s0.0
82,2024-04-01,6,2024-03-29,601166,BUY,TARGET_REBALANCE,15.8,18.6145,6400,119132.8,18012.8,89.3496,0.0,0.0,89.3496,-119222.15,320676.76,201454.61,0,6400,170070.0,271190.0,490746.76,472644.61,False,0.6,B2,c0.00075_s0.0
83,2024-04-02,1,2024-04-01,603993,SELL,HOLD_EXPIRY,8.22,8.7469,7600,66476.44,4004.44,49.85733,0.0,0.0,49.85733,66426.58,201454.61,267881.19,7600,0,271208.0,208736.0,472662.61,476617.19,False,0.6,B2,c0.00075_s0.0
84,2024-04-02,2,2024-04-01,600309,BUY,TARGET_REBALANCE,84.5,89.345,700,62541.5,3391.5,46.906125,0.0,0.0,46.906125,-62588.41,267881.19,205292.79,0,700,208736.0,267886.0,476617.19,473178.79,False,0.6,B2,c0.00075_s0.0
85,2024-04-08,1,2024-04-03,300496,SELL,HOLD_EXPIRY,50.71,51.3378,1100,56471.58,690.58,42.353685,0.0,0.0,42.353685,56429.23,205292.79,261722.01,1100,0,257599.0,201818.0,462891.79,463540.01,False,0.6,B2,c0.00075_s0.0
86,2024-04-08,2,2024-04-03,601857,BUY,TARGET_REBALANCE,10.05,11.1631,6000,66978.6,6678.6,50.23395,0.0,0.0,50.23395,-67028.83,261722.01,194693.18,0,6000,201818.0,262118.0,463540.01,456811.18,False,0.6,B2,c0.00075_s0.0
87,2024-04-17,1,2024-04-16,000977,SELL,HOLD_EXPIRY,37.2,37.4625,800,29970.0,210.0,22.4775,0.0,0.0,22.4775,29947.52,194693.18,224640.7,800,0,266574.0,236814.0,461267.18,461454.7,False,0.6,B2,c0.00075_s0.0
88,2024-04-17,2,2024-04-16,300975,SELL,HOLD_EXPIRY,8.75,8.7812,1100,9659.32,34.32,7.24449,0.0,0.0,7.24449,9652.08,224640.7,234292.78,1100,0,236814.0,227189.0,461454.7,461481.78,False,0.6,B2,c0.00075_s0.0
89,2024-04-17,3,2024-04-16,601166,SELL,HOLD_EXPIRY,15.91,18.7441,6400,119962.24,18138.24,89.97168,0.0,0.0,89.97168,119872.27,234292.78,354165.05,6400,0,227189.0,125365.0,461481.78,479530.05,False,0.6,B2,c0.00075_s0.0
90,2024-04-17,4,2024-04-16,300760,BUY,TARGET_REBALANCE,265.76,282.0832,100,28208.32,1632.32,21.15624,0.0,0.0,21.15624,-28229.48,354165.05,325935.57,0,100,125365.0,151941.0,479530.05,477876.57,False,0.6,B2,c0.00075_s0.0
91,2024-04-17,5,2024-04-16,600019,BUY,TARGET_REBALANCE,6.97,7.5527,7600,57400.52,4428.52,43.05039,0.0,0.0,43.05039,-57443.57,325935.57,268492.0,0,7600,151941.0,204913.0,477876.57,473405.0,False,0.6,B2,c0.00075_s0.0
92,2024-04-17,6,2024-04-16,601658,BUY,TARGET_REBALANCE,4.76,5.3798,9700,52184.06,6012.06,39.138045,0.0,0.0,39.138045,-52223.2,268492.0,216268.8,0,9700,204913.0,251085.0,473405.0,467353.8,False,0.6,B2,c0.00075_s0.0
93,2024-04-18,1,2024-04-17,600309,SELL,HOLD_EXPIRY,86.87,91.8509,700,64295.63,3486.63,48.221722,0.0,0.0,48.221722,64247.41,216268.8,280516.21,700,0,254147.0,193338.0,470415.8,473854.21,False,0.6,B2,c0.00075_s0.0
94,2024-04-18,2,2024-04-17,601668,BUY,TARGET_REBALANCE,5.34,5.8785,14100,82886.85,7592.85,62.165137,0.0,0.0,62.165137,-82949.02,280516.21,197567.19,0,14100,193338.0,268632.0,473854.21,466199.19,False,0.6,B2,c0.00075_s0.0
95,2024-04-22,1,2024-04-19,601857,SELL,HOLD_EXPIRY,10.8,11.9961,100,1199.61,119.61,0.899708,0.0,0.0,0.899708,1198.71,197567.19,198765.91,6000,5900,271420.0,270340.0,468987.19,469105.91,False,0.6,B2,c0.00075_s0.0
96,2024-04-23,1,2024-04-22,601857,SELL,HOLD_EXPIRY,10.54,11.7073,5900,69073.07,6887.07,51.804803,0.0,0.0,51.804803,69021.27,198765.91,267787.17,5900,0,267929.0,205743.0,466694.91,473530.17,False,0.6,B2,c0.00075_s0.0
97,2024-04-23,2,2024-04-22,002415,BUY,TARGET_REBALANCE,32.9,35.8564,1900,68127.16,5617.16,51.09537,0.0,0.0,51.09537,-68178.26,267787.17,199608.91,0,1900,205743.0,268253.0,473530.17,467861.91,False,0.6,B2,c0.00075_s0.0
98,2024-05-06,1,2024-04-30,300760,SELL,HOLD_EXPIRY,306.0,324.7948,100,32479.48,1879.48,24.35961,0.0,0.0,24.35961,32455.12,199608.91,232064.04,100,0,270871.0,240271.0,470479.91,472335.04,False,0.6,B2,c0.00075_s0.0
99,2024-05-06,2,2024-04-30,600019,SELL,HOLD_EXPIRY,7.01,7.596,7600,57729.6,4453.6,43.2972,0.0,0.0,43.2972,57686.3,232064.04,289750.34,7600,0,240271.0,186995.0,472335.04,476745.34,False,0.6,B2,c0.00075_s0.0
100,2024-05-06,3,2024-04-30,601658,SELL,HOLD_EXPIRY,4.85,5.4815,9700,53170.55,6125.55,39.877913,0.0,0.0,39.877913,53130.67,289750.34,342881.01,9700,0,186995.0,139950.0,476745.34,482831.01,False,0.6,B2,c0.00075_s0.0
