strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2023-07-10,2023-03-30,67241.96962050004,405880.0,473121.96962050005,0.9462439392410001,10,0.8578760363327957,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,473121.96962050005,0.0,252,1.0
vls_mom_contrarian_v1_frozen,2023-07-11,2023-03-30,67241.96962050004,403837.0,471078.96962050005,0.9421579392410001,10,0.8572596656677967,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,471078.96962050005,0.0,254,1.0
vls_mom_contrarian_v1_frozen,2023-07-12,2023-03-30,67241.96962050004,402607.0,469848.96962050005,0.9396979392410001,10,0.8568859910987742,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,469848.96962050005,0.0,256,1.0
vls_mom_contrarian_v1_frozen,2023-07-13,2023-03-30,67241.96962050004,401127.0,468368.96962050005,0.9367379392410001,10,0.8564337648692153,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,468368.96962050005,0.0,258,1.0
vls_mom_contrarian_v1_frozen,2023-07-14,2023-03-30,67241.96962050004,400891.0,468132.96962050005,0.9362659392410001,10,0.8563613887844497,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,468132.96962050005,0.0,260,1.0
vls_mom_contrarian_v1_frozen,2023-07-17,2023-03-30,67241.96962050004,395984.0,463225.96962050005,0.9264519392410001,10,0.8548398103077245,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,463225.96962050005,0.0,262,1.0
vls_mom_contrarian_v1_frozen,2023-07-18,2023-03-30,67241.96962050004,396474.0,463715.96962050005,0.9274319392410001,10,0.8549931983676773,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,463715.96962050005,0.0,264,1.0
vls_mom_contrarian_v1_frozen,2023-07-19,2023-03-30,67241.96962050004,395363.0,462604.96962050005,0.9252099392410001,10,0.8546449475550116,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,462604.96962050005,0.0,266,1.0
vls_mom_contrarian_v1_frozen,2023-07-20,2023-03-30,67241.96962050004,391150.0,458391.96962050005,0.9167839392410001,10,0.8533090148237779,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,458391.96962050005,0.0,268,1.0
vls_mom_contrarian_v1_frozen,2023-07-21,2023-03-30,67241.96962050004,390558.0,457799.96962050005,0.9155999392410001,10,0.8531193226678427,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,457799.96962050005,0.0,270,1.0
