strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2024-08-26,2024-04-10,46228.94876649998,306538.0,352766.9487665,0.705533897533,10,0.8689532879195567,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,352766.9487665,0.0,240,1.0
vls_mom_contrarian_v1_frozen,2024-08-27,2024-04-10,46228.94876649998,296852.0,343080.9487665,0.6861618975329999,10,0.8652535241822381,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,343080.9487665,0.0,242,1.0
vls_mom_contrarian_v1_frozen,2024-08-28,2024-04-10,46228.94876649998,291216.0,337444.9487665,0.674889897533,10,0.8630029907530523,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,337444.9487665,0.0,244,1.0
vls_mom_contrarian_v1_frozen,2024-08-29,2024-04-10,46228.94876649998,290983.0,337211.9487665,0.674423897533,10,0.8629083312865912,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,337211.9487665,0.0,246,1.0
vls_mom_contrarian_v1_frozen,2024-08-30,2024-04-10,46228.94876649998,306169.0,352397.9487665,0.704795897533,10,0.8688160673797467,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,352397.9487665,0.0,248,1.0
vls_mom_contrarian_v1_frozen,2024-09-02,2024-04-10,46228.94876649998,300444.0,346672.9487665,0.693345897533,10,0.8666496796736302,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,346672.9487665,0.0,250,1.0
vls_mom_contrarian_v1_frozen,2024-09-03,2024-04-10,46228.94876649998,306540.0,352768.9487665,0.705537897533,10,0.8689540308801407,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,352768.9487665,0.0,252,1.0
vls_mom_contrarian_v1_frozen,2024-09-04,2024-04-10,46228.94876649998,302322.0,348550.9487665,0.697101897533,10,0.8673681740643617,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,348550.9487665,0.0,254,1.0
vls_mom_contrarian_v1_frozen,2024-09-05,2024-04-10,46228.94876649998,310260.0,356488.9487665,0.712977897533,10,0.8703215094704663,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,356488.9487665,0.0,256,1.0
vls_mom_contrarian_v1_frozen,2024-09-06,2024-04-10,46228.94876649998,302281.0,348509.9487665,0.697019897533,10,0.8673525707655675,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,348509.9487665,0.0,258,1.0
vls_mom_contrarian_v1_frozen,2024-09-09,2024-04-10,46228.94876649998,300696.0,346924.9487665,0.693849897533,10,0.8667465429313512,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,346924.9487665,0.0,260,1.0
vls_mom_contrarian_v1_frozen,2024-09-10,2024-04-10,46228.94876649998,297140.0,343368.9487665,0.686737897533,10,0.8653665425118655,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,343368.9487665,0.0,262,1.0
vls_mom_contrarian_v1_frozen,2024-09-11,2024-04-10,46228.94876649998,295979.0,342207.9487665,0.684415897533,10,0.8649097750851966,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,342207.9487665,0.0,264,1.0
vls_mom_contrarian_v1_frozen,2024-09-12,2024-04-10,46228.94876649998,296322.0,342550.9487665,0.685101897533,10,0.8650450424003584,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,342550.9487665,0.0,266,1.0
vls_mom_contrarian_v1_frozen,2024-09-13,2024-04-10,46228.94876649998,297293.0,343521.9487665,0.687043897533,10,0.8654265064212159,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,343521.9487665,0.0,268,1.0
vls_mom_contrarian_v1_frozen,2024-09-18,2024-04-10,46228.94876649998,304618.0,350846.9487665,0.7016938975329999,10,0.8682361384956298,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,350846.9487665,0.0,270,1.0
vls_mom_contrarian_v1_frozen,2024-09-19,2024-04-10,46228.94876649998,315370.0,361598.9487665,0.723197897533,10,0.8721540841747524,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,361598.9487665,0.0,272,1.0
vls_mom_contrarian_v1_frozen,2024-09-20,2024-04-10,46228.94876649998,320458.0,366686.9487665,0.733373897533,10,0.8739280224670941,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,366686.9487665,0.0,274,1.0
vls_mom_contrarian_v1_frozen,2024-09-23,2024-04-10,46228.94876649998,319461.0,365689.9487665,0.731379897533,10,0.8735843057146259,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,365689.9487665,0.0,276,1.0
vls_mom_contrarian_v1_frozen,2024-09-24,2024-04-10,46228.94876649998,329934.0,376162.9487665,0.7523258975329999,10,0.8771039281830061,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,376162.9487665,0.0,278,1.0
