strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,pattern_guard_enabled,pattern_strategy_mode,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
production_governed_vol_position_v1_2b_dynamic_score,2026-06-26,000021,深科技,元器件,BUY,53.0,2000,106000.0,79.5,303204.37146500027,rebalance_unlocked,2000.0,53.0,2000.0,53.0,,-37.65813431892473,0.31548196127243366,0.30000000000000004,0.30000000000000004,0.01548196127243362,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-06-26,300285,国瓷材料,陶瓷,BUY,95.0,600,57000.0,42.75,246161.62146500027,rebalance_unlocked,600.0,95.0,600.0,95.0,,-119.3215677666945,0.31548196127243366,0.30000000000000004,0.30000000000000004,0.01548196127243362,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-06-29,002460,赣锋锂业,小金属,SELL,63.0,1900,119700.0,89.775,365771.8464650003,rebalance_unlocked,,,,,,,0.3373647641251664,0.30000000000000004,0.30000000000000004,0.03736476412516637,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-06-29,002466,天齐锂业,小金属,SELL,58.2,2400,139680.0,104.76,505347.0864650003,rebalance_unlocked,,,,,,,0.3373647641251664,0.30000000000000004,0.30000000000000004,0.03736476412516637,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-06-29,002008,大族激光,专用机械,BUY,150.0,900,135000.0,101.25,370245.8364650003,rebalance_unlocked,900.0,150.0,900.0,150.0,,-172.2199469003588,0.3373647641251664,0.30000000000000004,0.30000000000000004,0.03736476412516637,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-06-29,688110,东芯股份,半导体,BUY,186.0,600,111600.0,83.7,258562.13646500028,rebalance_unlocked,600.0,186.0,600.0,186.0,,-204.70705325100369,0.3373647641251664,0.30000000000000004,0.30000000000000004,0.03736476412516637,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-02,301217,铜冠铜箔,元器件,SELL,154.0,500,77000.0,57.75,335504.3864650003,rebalance_unlocked,,,,,,,0.3320339561616678,0.30000000000000004,0.30000000000000004,0.032033956161667765,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-02,688120,华海清科,半导体,BUY,307.86,300,92358.0,69.2685,243077.11796500027,rebalance_unlocked,300.0,307.86,300.0,307.86,,-321.49829746266903,0.3320339561616678,0.30000000000000004,0.30000000000000004,0.032033956161667765,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-10,000021,深科技,元器件,SELL,59.88,2000,119760.0,89.82000000000001,362747.29796500027,rebalance_unlocked,,,,,,,0.3599388940863803,0.30000000000000004,0.30000000000000004,0.05993889408638026,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-10,300285,国瓷材料,陶瓷,SELL,80.5,600,48300.0,36.225,411011.0729650003,rebalance_unlocked,,,,,,,0.3599388940863803,0.30000000000000004,0.30000000000000004,0.05993889408638026,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
