order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
376,2025-06-19,2,2025-06-18,300468,SELL,HOLD_EXPIRY,41.0,41.0418,500,20520.9086,20.9086,15.390681,0.0,0.0,15.390681,20505.52,162410.55,182916.07,500,0,192061.0,171561.0,354471.55,354477.07,True,0.6,c0.00075_s0.001
377,2025-06-19,3,2025-06-18,600415,BUY,TARGET_REBALANCE,19.94,20.8798,800,16703.8071,751.8071,12.527855,0.0,0.0,12.527855,-16716.33,182916.07,166199.74,0,800,171561.0,187513.0,354477.07,353712.74,True,0.6,c0.00075_s0.001
378,2025-06-19,4,2025-06-18,600809,BUY,TARGET_REBALANCE,176.58,180.4544,100,18045.4374,387.4374,13.534078,0.0,0.0,13.534078,-18058.97,166199.74,148140.77,0,100,187513.0,205171.0,353712.74,353311.77,True,0.6,c0.00075_s0.001
379,2025-06-23,1,2025-06-20,300255,SELL,HOLD_EXPIRY,50.39,50.3396,1800,90611.298,90.702,67.958473,0.0,0.0,67.958473,90543.34,148140.77,238684.11,1800,0,184480.0,93778.0,332620.77,332462.11,True,0.6,c0.00075_s0.001
380,2025-06-23,2,2025-06-20,601328,BUY,TARGET_REBALANCE,7.94,8.1247,12900,104808.8441,2382.8441,78.606633,0.0,0.0,78.606633,-104887.45,238684.11,133796.65,0,12900,93778.0,196204.0,332462.11,330000.65,True,0.6,c0.00075_s0.001
381,2025-06-27,1,2025-06-26,002734,SELL,HOLD_EXPIRY,17.96,18.4326,700,12902.8542,330.8542,9.677141,0.0,0.0,9.677141,12893.18,133796.65,146689.83,700,0,214005.0,201433.0,347801.65,348122.83,True,0.6,c0.00075_s0.001
382,2025-06-27,2,2025-06-26,002074,BUY,TARGET_REBALANCE,32.42,32.5567,100,3255.6724,13.6724,2.441754,0.0,0.0,2.441754,-3258.11,146689.83,143431.72,0,100,201433.0,204675.0,348122.83,348106.72,True,0.6,c0.00075_s0.001
383,2025-07-01,1,2025-06-30,300085,SELL,HOLD_EXPIRY,44.89,44.8451,1300,58298.643,58.357,43.723982,0.0,0.0,43.723982,58254.92,143431.72,201686.64,1300,0,199237.0,140880.0,342668.72,342566.64,True,0.6,c0.00075_s0.001
384,2025-07-01,2,2025-06-30,600967,BUY,TARGET_REBALANCE,19.88,19.9773,3100,61929.4976,301.4976,46.447123,0.0,0.0,46.447123,-61975.94,201686.64,139710.69,0,3100,140880.0,202508.0,342566.64,342218.69,True,0.6,c0.00075_s0.001
385,2025-07-03,1,2025-07-02,600415,SELL,HOLD_EXPIRY,18.61,19.4481,800,15558.5059,670.5059,11.668879,0.0,0.0,11.668879,15546.84,139710.69,155257.53,800,0,193897.0,179009.0,333607.69,334266.53,True,0.6,c0.00075_s0.001
386,2025-07-03,2,2025-07-02,600809,SELL,HOLD_EXPIRY,175.6,179.0943,100,17909.4326,349.4326,13.432074,0.0,0.0,13.432074,17896.0,155257.53,173153.53,100,0,179009.0,161449.0,334266.53,334602.53,True,0.6,c0.00075_s0.001
387,2025-07-03,3,2025-07-02,300065,BUY,TARGET_REBALANCE,18.96,18.979,500,9489.48,9.48,7.11711,0.0,0.0,7.11711,-9496.6,173153.53,163656.93,0,500,161449.0,170929.0,334602.53,334585.93,True,0.6,c0.00075_s0.001
388,2025-07-03,4,2025-07-02,600150,BUY,TARGET_REBALANCE,33.03,33.063,800,26450.424,26.424,19.837818,0.0,0.0,19.837818,-26470.26,163656.93,137186.67,0,800,170929.0,197353.0,334585.93,334539.67,True,0.6,c0.00075_s0.001
389,2025-07-07,1,2025-07-04,601328,SELL,HOLD_EXPIRY,8.21,8.3842,12900,108156.2755,2247.2755,81.117207,0.0,0.0,81.117207,108075.16,137186.67,245261.83,12900,0,197191.0,91282.0,334377.67,336543.83,True,0.6,c0.00075_s0.001
390,2025-07-07,2,2025-07-04,603228,BUY,TARGET_REBALANCE,45.8,46.2021,2300,106264.7286,924.7286,79.698546,0.0,0.0,79.698546,-106344.43,245261.83,138917.4,0,2300,91282.0,196622.0,336543.83,335539.4,True,0.6,c0.00075_s0.001
391,2025-07-11,1,2025-07-10,002074,SELL,HOLD_EXPIRY,29.82,29.886,100,2988.5984,6.5984,2.241449,0.0,0.0,2.241449,2986.36,138917.4,141903.76,100,0,207410.0,204428.0,346327.4,346331.76,True,0.6,c0.00075_s0.001
392,2025-07-14,1,2025-07-11,002602,BUY,TARGET_REBALANCE,12.33,12.3926,300,3717.7741,18.7741,2.788331,0.0,0.0,2.788331,-3720.56,141903.76,138183.2,0,300,201487.0,205186.0,343390.76,343369.2,True,0.6,c0.00075_s0.001
393,2025-07-15,1,2025-07-14,600967,SELL,HOLD_EXPIRY,17.99,17.972,3100,55713.231,55.769,41.784923,0.0,0.0,41.784923,55671.45,138183.2,193854.64,3100,0,208832.0,153063.0,347015.2,346917.64,True,0.6,c0.00075_s0.001
394,2025-07-15,2,2025-07-14,600744,BUY,TARGET_REBALANCE,8.7,8.7087,6200,53993.94,53.94,40.495455,0.0,0.0,40.495455,-54034.44,193854.64,139820.21,0,6200,153063.0,207003.0,346917.64,346823.21,True,0.6,c0.00075_s0.001
395,2025-07-17,1,2025-07-16,300065,SELL,HOLD_EXPIRY,17.74,17.7223,500,8861.13,8.87,6.645847,0.0,0.0,6.645847,8854.48,139820.21,148674.69,500,0,204296.0,195426.0,344116.21,344100.69,True,0.6,c0.00075_s0.001
396,2025-07-17,2,2025-07-16,600150,SELL,HOLD_EXPIRY,33.79,33.7562,800,27004.968,27.032,20.253726,0.0,0.0,20.253726,26984.71,148674.69,175659.41,800,0,195426.0,168394.0,344100.69,344053.41,True,0.6,c0.00075_s0.001
397,2025-07-17,3,2025-07-16,300548,BUY,TARGET_REBALANCE,80.01,80.1643,200,16032.8568,30.8568,12.024643,0.0,0.0,12.024643,-16044.88,175659.41,159614.52,0,200,168394.0,184396.0,344053.41,344010.52,True,0.6,c0.00075_s0.001
398,2025-07-21,1,2025-07-18,603228,SELL,HOLD_EXPIRY,53.47,53.8317,2300,123812.9431,831.9431,92.859707,0.0,0.0,92.859707,123720.08,159614.52,283334.61,2300,0,192628.0,69647.0,352242.52,352981.61,True,0.6,c0.00075_s0.001
399,2025-07-21,2,2025-07-18,002126,BUY,TARGET_REBALANCE,28.0,28.0847,3300,92679.3668,279.3668,69.509525,0.0,0.0,69.509525,-92748.88,283334.61,190585.73,0,3300,69647.0,162047.0,352981.61,352632.73,True,0.6,c0.00075_s0.001
400,2025-07-21,3,2025-07-18,300502,BUY,TARGET_REBALANCE,184.83,259.3575,100,25935.7498,7452.7498,19.451812,0.0,0.0,19.451812,-25955.2,190585.73,164630.53,0,100,162047.0,180530.0,352632.73,345160.53,True,0.6,c0.00075_s0.001
401,2025-07-28,1,2025-07-25,002602,SELL,HOLD_EXPIRY,12.16,12.1974,300,3659.2171,11.2171,2.744413,0.0,0.0,2.744413,3656.47,164630.53,168287.0,300,0,181180.0,177532.0,345810.53,345819.0,True,0.6,c0.00075_s0.001
402,2025-07-28,2,2025-07-25,601888,BUY,TARGET_REBALANCE,67.2,67.4797,400,26991.8849,111.8849,20.243914,0.0,0.0,20.243914,-27012.13,168287.0,141274.87,0,400,177532.0,204412.0,345819.0,345686.87,True,0.6,c0.00075_s0.001
403,2025-07-29,1,2025-07-28,600744,SELL,HOLD_EXPIRY,7.17,7.1628,6200,44409.546,44.454,33.307159,0.0,0.0,33.307159,44376.24,141274.87,185651.11,6200,0,203425.0,158971.0,344699.87,344622.11,True,0.6,c0.00075_s0.001
404,2025-07-29,2,2025-07-28,000625,BUY,TARGET_REBALANCE,13.4,13.4709,3300,44453.8294,233.8294,33.340372,0.0,0.0,33.340372,-44487.17,185651.11,141163.94,0,3300,158971.0,203191.0,344622.11,344354.94,True,0.6,c0.00075_s0.001
405,2025-07-31,1,2025-07-30,300548,SELL,HOLD_EXPIRY,93.05,92.9569,200,18591.39,18.61,13.943542,0.0,0.0,13.943542,18577.45,141163.94,159741.39,200,0,203586.0,184976.0,344749.94,344717.39,True,0.6,c0.00075_s0.001
406,2025-07-31,2,2025-07-30,600584,BUY,TARGET_REBALANCE,35.5,35.5602,500,17780.1123,30.1123,13.335084,0.0,0.0,13.335084,-17793.45,159741.39,141947.94,0,500,184976.0,202726.0,344717.39,344673.94,True,0.6,c0.00075_s0.001
407,2025-08-04,1,2025-08-01,002126,SELL,HOLD_EXPIRY,28.5,28.5291,3300,94146.1696,96.1696,70.609627,0.0,0.0,70.609627,94075.56,141947.94,236023.5,3300,0,197135.0,103085.0,339082.94,339108.5,True,0.6,c0.00075_s0.001
408,2025-08-04,2,2025-08-01,300502,SELL,HOLD_EXPIRY,179.64,251.5712,100,25157.1177,7193.1177,18.867838,0.0,0.0,18.867838,25138.25,236023.5,261161.75,100,0,103085.0,85121.0,339108.5,346282.75,True,0.6,c0.00075_s0.001
409,2025-08-04,3,2025-08-01,002317,BUY,TARGET_REBALANCE,21.35,21.5603,1700,36652.576,357.576,27.489432,0.0,0.0,27.489432,-36680.07,261161.75,224481.69,0,1700,85121.0,121416.0,346282.75,345897.69,True,0.6,c0.00075_s0.001
410,2025-08-04,4,2025-08-01,300661,BUY,TARGET_REBALANCE,74.36,74.6004,1100,82060.4685,264.4685,61.545351,0.0,0.0,61.545351,-82122.01,224481.69,142359.67,0,1100,121416.0,203212.0,345897.69,345571.67,True,0.6,c0.00075_s0.001
411,2025-08-11,1,2025-08-08,601888,SELL,HOLD_EXPIRY,65.04,65.1803,400,26072.1018,56.1018,19.554076,0.0,0.0,19.554076,26052.55,142359.67,168412.22,400,0,202374.0,176358.0,344733.67,344770.22,True,0.6,c0.00075_s0.001
412,2025-08-11,2,2025-08-08,600941,BUY,TARGET_REBALANCE,109.77,114.9689,200,22993.7708,1039.7708,17.245328,0.0,0.0,17.245328,-23011.02,168412.22,145401.2,0,200,176358.0,198312.0,344770.22,343713.2,True,0.6,c0.00075_s0.001
413,2025-08-12,1,2025-08-11,000625,SELL,HOLD_EXPIRY,13.05,13.0928,3300,43206.2205,141.2205,32.404665,0.0,0.0,32.404665,43173.82,145401.2,188575.02,3300,0,201304.0,158239.0,346705.2,346814.02,True,0.6,c0.00075_s0.001
414,2025-08-12,2,2025-08-11,300762,BUY,TARGET_REBALANCE,27.2,27.2272,1800,49008.96,48.96,36.75672,0.0,0.0,36.75672,-49045.72,188575.02,139529.3,0,1800,158239.0,207199.0,346814.02,346728.3,True,0.6,c0.00075_s0.001
415,2025-08-14,1,2025-08-13,600584,SELL,HOLD_EXPIRY,35.65,35.6391,500,17819.5626,5.4374,13.364672,0.0,0.0,13.364672,17806.2,139529.3,157335.5,500,0,207024.0,189199.0,346553.3,346534.5,True,0.6,c0.00075_s0.001
416,2025-08-14,2,2025-08-13,600410,BUY,TARGET_REBALANCE,16.12,16.1361,1100,17749.732,17.732,13.312299,0.0,0.0,13.312299,-17763.04,157335.5,139572.46,0,1100,189199.0,206931.0,346534.5,346503.46,True,0.6,c0.00075_s0.001
