名称,SinaApp,,现价,5日移动均线,10日移动均线,20日移动均线,市盈增长比率,公允价值,公允价值上行边际,公允价值不确定性,贝塔(5年),价格动能评分,现金流评分,财务成长稳健度评分,盈利评分,atr_14d,交易量(仅交易日),流通股份,市值(经调整),预期净利润增长率,毛利率,税前利润率,1周价格总回报,年初至今的价格总回报,市盈率(经调整),technical_signal_1d,technical_signal_1w,EV/EBITDA增长率,PEGY比率,每股股息(不包括特别股息及未就拆股调整)
丽珠集团,513,513,42.41,40.89,40.89,40.681,136.38%,55.5262,30.93%,最低,0.270986,2.8667,3.24481,2.3519,3.788908333,1.16,9361191,890717375,33592154024,3.20%,64.21%,25.64%,-2.88%,9.39%,16.14063774,强力买入,强力买入,0.778967512,1.099806684,1.1
中兵红箭,#N/A,519,21.43,21.55,21.925,22.148,0.478069636,16.3823,-0.2355,中性,0.879725,2.89815,2.228115,0.799510417,0.938597917,0.8721,70957300,1392558982,30329934627,1.650104312,0.094305,-0.094635964,-0.01759134,0.507266436,-70.58456854,中性,强力买入,NM-,0.478069636,0
学大教育,#N/A,526,48.17,50.704,51.189,52.624,-4.571832741,64.9743,0.3489,最低,0.923416,1.826704167,2.858145,3.532647917,3.712652083,1.5971,3942732,121861109,5865175176,0.430278341,0.342744,0.090009287,-0.069592113,0.144317641,30.42617529,强力卖出,强力卖出,0.035531493,-4.571832741,-
柳 工,528,528,11.04,11.144,11.168,11.224,0.492873465,13.3598,0.2101,最低,0.663721,2.5661,2.219525,3.152547917,2.733016667,0.2329,43951160,1991213216,21823696847,0.459640056,0.221193,0.057727946,-0.0335097,-0.065331969,15.03481282,卖出,强力买入,0.526426488,0.452794802,0.273
广弘控股,529,529,6.36,6.272,6.251,6.249,-73.66%,6.371,0.17%,最低,0.446735,2.712354167,2.1730875,1.055130435,1.75521875,0.1421,9859349,583790330,3666203272,313.05%,5.19%,6.35%,0.16%,8.56%,41.03281754,强力买入,强力买入,NM-,-0.772821447,0.12
神州信息,555,555,15.08,15.28,14.589,13.8995,2.25%,11.3825,-24.52%,中性,-,3.12565,1.42599,0.98861875,1.402197917,0.7321,67459960,960914973,14653953338,121.37%,14.84%,-5.43%,-3.85%,36.16%,-112.7096393,强力买入,强力买入,NM-,0.022481953,0
古井贡酒,596,596,170.4,169.512,163.582,153.027,342.23%,239.4988,40.55%,中性,-,2.7303,3.511415,3.057495833,4.135516667,6.7536,4766907,528600000,82201812746,9.89%,79.27%,33.20%,-1.65%,3.15%,14.67975047,强力买入,强力买入,0.24603283,1.384660239,4.5
高新发展,#N/A,628,55.54,59.548,58.546,53.5305,-3.687950132,33.3723,-0.3991,中性,0.505154,3.864995833,2.2026875,2.40225,2.540766667,3.3421,18509090,352280000,20298373600,-0.049658982,0.088806,0.022834982,-0.044285951,-0.073823321,120.7839628,中性,强力买入,3.964262282,-3.692408094,0.055
仁和药业,650,650,6.41,6.356,6.341,6.0855,-100.40%,8.159,27.29%,中性,-,2.907754167,4.1571,1.668845652,3.07369375,0.2357,47289250,1384438234,8611205815,4.35%,36.64%,18.83%,-5.90%,10.96%,20.85930544,强力买入,强力买入,NM-,-1.134709546,0.15
长春高新,661,661,113.37,103.286,103.218,103.574,-37.32%,149.3559,31.74%,最低,0.554246,1.954325,3.292385,2.201795833,3.5856625,2.3243,7317219,402918212,41524750928,65.15%,85.71%,19.71%,-1.59%,6.18%,17.13220225,强力买入,强力买入,NM-,-0.39273106,2.6
远兴能源,#N/A,683,6.63,6.458,6.19,5.98,-1.324958652,7.1536,0.079,最低,0.784486,3.550766667,2.8569,2.51713125,3.54549375,0.2536,99664300,3718739060,24878364311,-0.223164874,0.331917,0.207629813,0.073836276,0.270655271,16.2556515,强力买入,强力买入,0.96617435,-1.951853884,0.3
东北证券,686,686,8.66,8.866,8.843,8.6065,0.091120725,10.4839,0.2106,最低,0.689739,2.579879167,3.019916667,2.366689583,2.073261905,0.2407,36847910,2340452915,20478963006,0.15765017,0.553013,0.205388861,-0.032079646,0.119840346,19.55562341,买入,强力买入,NM-,0.090057945,0.1
模塑科技,#N/A,700,9.27,9.692,9.711,9.064,0.70251384,9.1465,-0.0133,中性,0.624447,3.661020833,2.95407,3.0763,3.006497917,0.56,47037890,918015389,8794587426,0.5094556,0.176332,0.094398257,-0.003121748,0.406898788,15.98489509,中性,强力买入,1.428557667,0.599759209,0
美锦能源,#N/A,723,4.93,4.752,4.721,4.663,0.140173205,4.8749,-0.0112,中性,1.089347,2.827629167,1.8367125,0.794402083,1.345333333,0.13,131518700,4403475944,21180719290,-0.205221287,0.036467,-0.054959349,0.010504202,0.066518847,-29.48616617,强力买入,强力买入,NM-,0.140173205,-
振华科技,#N/A,733,50.98,51.54,51.127,50.2755,-0.700621244,56.7208,0.1126,最低,0.079528,1.813945833,3.66323,2.019985417,3.260129167,1.215,15384400,554169431,28212765732,0.335025015,0.442279,0.1884,-0.032497149,0.211982445,37.13624069,强力买入,强力买入,NM-,-0.705964622,0.18
罗 牛 山,735,735,6.31,6.392,6.396,6.365,-3.994139504,5.5522,-0.1201,中性,0.359842,2.3415375,1.6581125,2.440552083,1.444152083,0.1129,19315120,1151513578,7289080948,-0.473686003,0.155067,0.001820535,-0.018604651,-0.046541795,77.31168085,卖出,买入,0.076881165,-3.978538573,0.02
航发控制,#N/A,738,20.94,21.008,20.928,21.0505,-2.261119096,22.9784,0.0973,最低,0.452626,2.407016667,3.27715,2.453613043,2.609514583,0.4543,19183660,1315184001,27737230581,0.543443844,0.250077,0.136273305,-0.008462623,-0.04320821,48.80518401,买入,强力买入,6.397552541,-2.353278533,0.172
普洛药业,739,739,16.06,16.168,16.302,16.2365,-2.02730594,23.464,0.461,最低,0.441826,1.966616667,2.494425,1.82405625,3.223783333,0.3936,12191650,1148413576,18259775858,0.021217957,0.240077,0.101776708,-0.045045045,0.003174179,21.11075547,中性,强力买入,1.212051363,-2.654410332,0.3561
中核科技,777,777,20.13,20.946,21.066,21.1365,20.29146678,21.0287,0.0446,中性,0.591556,2.464833333,2.53385,3.310983333,2.849622917,0.4507,10374550,383417593,7745035378,-0.014525399,0.196673,0.12355585,-0.073819349,0.126902604,35.67477262,强力卖出,中性,0.91204816,9.438941207,0.187
美达股份,#N/A,782,5.92,5.854,5.704,5.313,-1.117599846,4.6622,-0.2125,最低,-0.029455,3.633016667,1.62584,1.9058625,1.215016667,0.2664,23818960,686581509,4078294163,1.210597681,0.016474,-0.037321997,0.029462738,0.302631579,-57.84094028,强力买入,强力买入,NM-,-1.117599846,0
甘肃电投,#N/A,791,6.52,6.514,6.506,6.5755,0.380756565,6.358,-0.0248,最低,0.413352,2.498754167,3.0588125,3.57334375,3.85736875,0.1214,19034830,3243839742,20825451143,0.152530198,0.380233,0.326852692,-0.03021148,0.095388442,11.72848013,强力卖出,中性,0.126618753,0.349193574,0.18
酒鬼酒,#N/A,799,70.9,67.266,63.922,56.487,1.657277259,45.758,-0.3546,中性,1.188512,3.319383333,1.7392475,0.852673913,1.21753125,4.0814,38760210,324928980,22179652174,7.404512215,0.65163,-0.138368924,0.016681561,0.242479741,-221.1838147,强力买入,强力买入,NM-,1.667282094,0.6
创维数字,#N/A,810,12.54,12.58,12.524,12.1225,-1.584134931,15.2774,0.2183,中性,0.441335,2.184116667,2.084275,1.009920833,2.067022917,0.3793,22542700,1141595579,14315608560,1.84691144,0.131474,0.010645929,0.004807692,-0.203929218,114.2257391,强力买入,强力买入,25.36422459,-1.633606658,0.15
*ST慧业,#N/A,816,3.27,3.234,3.214,3.1855,-11.17468056,2.6267,-0.1967,高,-,2.408908333,3.0126575,2.97875,1.595154167,0.0843,41916000,1447013318,4615972484,1.194792878,0.209827,0.022817335,-0.012383901,0.056291391,-66.30634255,强力买入,强力买入,0.080737198,-11.17468056,-
京山轻机,821,821,12.04,12.07,12.129,12.017,14.59672222,16.975,0.4099,最低,0.256259,1.916491667,1.83347,2.55289375,2.465725,0.26,16629530,622874778,7418438605,0.688472606,0.180019,0.055001529,-0.025368249,-0.03755055,25.70268902,中性,买入,0.438641559,10.26624759,0.07
五矿稀土,831,831,59.12,51.384,48.862,45.298,335.63%,33.9391,-42.59%,中性,0.345115,4.547279167,2.1972125,2.152947917,1.761835417,3.1479,90681100,1061220807,61890397464,210.25%,3.44%,5.27%,15.67%,107.91%,-275.523107,强力买入,强力买入,NM-,3.356342035,0
中信国安,839,839,3.07,2.854,2.809,2.7515,0.13%,2.4063,-21.62%,中性,0.384388,3.252895833,1.753405,2.884183333,1.662308333,0.0986,220170800,3919826352,11994668637,282.61%,13.90%,-6.05%,8.51%,-0.65%,-42.33634539,强力买入,强力买入,NM-,0.001278975,-
安凯客车,#N/A,868,5.95,5.906,5.902,5.852,6.648223547,4.9546,-0.1673,中性,0.328424,2.375670833,2.5571825,3.476433333,1.600760417,0.1529,26546600,939514735,5514951494,2.172629801,0.097152,0.003948438,-0.013445378,0.150980392,-1521.715673,强力买入,强力买入,4.626650379,6.648223547,-
厦门港务,#N/A,905,8.75,8.884,8.648,8.52,-15.83352615,6.7515,-0.2284,中性,0.55621,3.398558333,2.70294,2.021472917,2.018075,0.2786,28467330,741809597,6565014933,0.108658113,0.030911,0.017774678,0.009122007,0.244141074,42.15182889,强力买入,强力买入,NM-,78.80361549,0.1
华菱钢铁,#N/A,932,5.91,5.742,5.694,5.7335,-0.460578132,7.8139,0.3222,中性,0.354442,3.419454167,2.1867025,1.184714583,2.425645833,0.2186,170540700,6866571020,40787431858,1.063235472,0.085664,0.035690496,0.033043478,0.454177402,17.89817674,强力买入,强力买入,NM-,-0.483064809,0.1
*ST众泰,#N/A,980,2.83,2.566,2.501,2.413,5.22915199,1.5344,-0.4578,高,1.57781,2.856520833,2.09483,2.609810417,0.570285417,0.1521,289260200,5042547739,12959347689,NM,-0.032484,-1.796699882,0.015810277,0.075313808,-38.35380758,强力买入,强力买入,NM-,5.22915199,-
利仁科技,1259,1259,26.04,26.46,26.925,27.1305,58.93415108,16.4203,-0.3694,中性,-,1.9368875,2.977189474,0.855232353,1.37829375,1.1186,1744200,72688988,1852115414,-3.307904001,0.226879,-0.021561122,-0.065982405,0.187716208,-5471.160393,强力卖出,买入,NM-,59.30019121,0.16
美能能源,#N/A,1299,12.64,12.434,12.424,12.508,2.334548815,11.3432,-0.1026,中性,1.768458,2.926595833,3.39125,2.771688462,2.446916667,0.2921,4132810,237373606,2981412491,0.493631648,0.195887,0.158925083,0.002394254,0.387542601,34.19192651,强力买入,强力买入,31.10507847,1.591285604,0.8
四川黄金,1337,1337,25.9,23.884,23.617,23.629,259.67%,20.3061,-21.60%,最低,0.6477,3.515291667,3.7417475,3.739756818,4.161864583,0.4957,15795400,420000000,10109400000,1.25%,56.61%,44.60%,1.01%,16.45%,41.75389463,强力买入,强力买入,2.380664482,2.240632225,0.25
招商积余,1914,1914,12.4,12.674,12.631,12.7102332337396,0.880140882,17.662,0.4244,最低,0.675503,2.3739125,3.49313,3.874533333,3.286285417,0.3729,11264100,1058920260,13183557237,0.095777913,0.117734,0.0658691,-0.043043812,0.199973151,15.56808748,强力卖出,中性,0.800518672,0.790638521,0.2401
精功科技,2006,2006,17.99,17.898,18.082,17.6205,-286.35%,17.6573,-1.85%,最低,0.138929,2.603979167,2.431935,1.927775,2.7563875,0.515,15889030,519683458,9224381379,178.53%,29.77%,9.50%,-2.90%,8.58%,64.64255326,强力买入,强力买入,1.148466815,-2.990723522,0.15
华兰生物,#N/A,2007,17.18,17.422,17.157,16.968,-1.641060583,20.4009,0.1875,中性,-,2.464516667,3.702725,2.415027083,3.402358333,0.4143,32500190,1827456666,31249508988,0.058508945,0.602223,0.312980613,-0.014976959,0.027772892,27.38025664,买入,强力买入,NM-,-1.766100406,0.2
大族激光,#N/A,2008,36.37,36.938,35.141,33.266,-1.017778921,27.9013,-0.2328,中性,0.900834,3.8780375,2.3652325,2.003645833,2.300885417,1.9086,48473730,1029603408,38568943663,-0.383670913,0.303706,0.073121451,0.04929972,0.52042604,71.42868069,强力买入,强力买入,NM-,-1.042378006,0.35
永新股份,#N/A,2014,11.23,11.41,11.382,11.445,0.966326061,12.3344,0.0983,最低,0.355424,2.880541667,2.8903175,2.613433333,3.995439583,0.1907,4112146,612491866,6921158085,0.085658703,0.225838,0.150446759,-0.025862069,0.085891733,15.00937104,强力卖出,卖出,0.736551663,0.712158505,0.62
海特高新,2023,2023,12.91,12.498,12.286,11.7915,2272.23%,10.5076,-18.61%,最低,0.448699,3.329416667,2.69242,3.3213375,2.309204167,0.5229,41134300,740860235,9290387346,41.08%,30.90%,5.80%,-0.63%,23.55%,158.5837466,强力买入,强力买入,1.117825454,22.72227775,0
华帝股份,2035,2035,6.5,6.562,6.566,6.522,-12.4445104,9.7544,0.5007,最低,0.433971,2.120720833,3.3176325,2.586930435,3.586341667,0.11,12348200,831063736,5368671734,0.058405253,0.396643,0.08230364,-0.028571429,-0.077847585,12.23780665,强力卖出,卖出,0.091441426,3.09087804,0.3
保利联合,#N/A,2037,11.74,11.512,11.686,11.9475,1.128803982,7.8689,-0.3297,中性,0.77025,2.1799375,1.88661,2.89896875,1.892197917,0.2757,11562230,483883566,5448528953,-1.383363116,0.192284,0.009838367,-0.048182587,0.46997389,-76.44952063,中性,强力买入,0.215022078,1.128803982,-
兔 宝 宝,#N/A,2043,10.85,10.714,10.565,10.3545,-2.249949288,16.1687,0.4902,最低,0.832596,2.86985,3.7139475,3.07804375,4.095420833,0.2779,15709580,819121119,8821934451,0.571967895,0.184408,0.090863688,-0.012832264,-0.06433695,13.98629149,强力买入,强力买入,8.521520852,8.363336203,0
紫光国微,#N/A,2049,82.21,82.008,81.807,78.5865,-1.542762817,78.4238,-0.0461,最低,0.256259,2.585045833,3.39788,1.866341667,3.596483333,3.66,36762640,842452138,68718820896,0.566022628,0.545378,0.214489413,-0.003907681,0.271344481,71.14693019,强力买入,强力买入,NM-,-1.552777498,0.21
横店东磁,#N/A,2056,18.54,18.522,18.08,17.1185,0.179222437,26.1155,0.4086,最低,0.293568,3.588995833,3.069445,3.578585417,3.882264583,0.7114,65285560,1601336496,30313299869,0.209235777,0.204295,0.122731237,0.013926085,0.510769563,13.28818247,强力买入,强力买入,0.298181526,0.173809591,0.4522
景兴纸业,#N/A,2067,4.27,4.338,4.353,4.3955,-3.031195248,3.5991,-0.1571,中性,0.456062,2.3225125,2.1369025,1.536310417,1.5292375,0.1021,48877590,1257228448,5380937757,-0.22899524,0.06684,0.005259511,-0.018348624,0.080808081,960.1853969,卖出,买入,NM-,-3.031195248,0
国轩高科,#N/A,2074,40.12,33.33,32.5,31.0085,1.730933637,29.1313,-0.2739,中性,0.923416,3.999083333,1.7777075,3.608145833,2.1605375,1.61,86744850,1791279946,65327979630,0.131928378,0.177685,0.036578612,0.134723086,0.724184332,169.2767564,强力买入,强力买入,0.218208621,1.71550041,0.1
金 螳 螂,#N/A,2081,3.5,3.596,3.593,3.6235,-0.635288285,4.4749,0.2785,中性,0.822287,1.799066667,2.756105,2.038395833,2.538695833,0.0793,37914740,2655323689,9373292622,0.296232989,0.137684,0.0341842,-0.024861878,0.017539574,15.15568515,强力卖出,强力卖出,0.017312413,-0.712902141,0.1
东方海洋,2086,2086,2.79,2.818,2.867,2.865,0.248057687,1.7121,-0.3863,中性,0.29995,2.2878625,1.79539,2.606195833,0.917875,0.0836,51020500,1958946500,5465460735,NM,-0.069691,-0.539873006,-0.024475524,-0.034602076,-30.23719002,强力卖出,中性,NM-,0.248057687,-
生 意 宝,#N/A,2095,21.58,22.022,22.107,21.5745,0.947639392,16.6071,-0.2304,中性,0.061855,2.7035,1.7710625,1.56750625,1.149902083,0.8921,9754770,252720000,5453697600,NM,0.094737,-0.08599605,-0.012808783,0.205354331,-157.4303835,卖出,强力买入,NM-,0.948540243,0.05
恒宝股份,2104,2104,28.83,27.928,28.529,25.2535,-605.60%,14.2747,-50.49%,高,-,3.746566667,3.9428825,2.140486957,2.444897917,2.5171,121626000,708320154,18565071236,35.56%,29.18%,7.14%,-11.75%,290.06%,350.1667108,强力买入,强力买入,7.690082606,-6.096762933,0.0805
三变科技,2112,2112,13.56,13.87,14.019,13.6585,-1.901488301,14.9517,0.1026,最低,0.229749,2.473475,2.5101925,3.3292625,3.113733333,0.55,9054509,294131282,3944300491,1.081630869,0.175494,0.045721107,-0.048261178,0.20382861,38.96289102,卖出,强力买入,0.612244399,-1.951277814,0.07
韵达股份,#N/A,2120,7.79,8.412,8.59,8.4515,1.782197151,12.5091,0.6058,最低,0.339715,1.576066667,3.131655,2.627266667,3.0045125,0.3293,84900210,2891791563,23105414588,-0.165439236,0.088725,0.049403059,-0.072009292,0.094169151,12.93720403,强力卖出,中性,0.627279022,1.318299811,0.2
南极电商,2127,2127,3.7,3.728,3.726,3.681,0.084881067,5.04,0.3622,中性,0.298969,1.829283333,2.4437675,1.878795833,1.5503625,0.0929,40656110,2355952962,8646347370,2.65950697,0.142909,-0.094204485,-0.029100529,-0.158095593,-37.59430922,强力卖出,强力卖出,NM-,0.085152541,0.04
露天煤业,2128,2128,21.08,20.42,20.051,20.231,2163.76%,23.6206,12.05%,最低,0.630338,3.724454167,3.4133225,3.20446875,3.64684375,0.5064,17009100,2241573493,46490234244,0.18%,31.88%,21.37%,2.57%,10.39%,9.256738861,强力买入,强力买入,0.793655733,1.164978815,0.68
沃尔核材,2130,2130,25.98,25.91,25.493,24.5085,164.56%,24.1286,-7.13%,中性,0.515463,4.171270833,2.8386175,3.319775,3.8638875,1,128035100,1246333562,32977986050,43.83%,31.06%,15.84%,3.20%,5.42%,33.21544678,强力买入,强力买入,1.407649369,1.604817175,0.1366
利欧股份,#N/A,2131,5.79,5.208,4.998,4.4775,0.148152991,3.565,-0.3843,中性,0.162002,4.323225,2.58363,2.71005,2.527545833,0.3836,999842400,6493542660,34156034391,0.042710875,0.091662,,0.089026915,0.717197525,95.66249099,强力买入,强力买入,3.380063391,0.147800945,0.03
石基信息,2153,2153,11.03,11.156,11.028,10.666,202.26%,8.032,-27.18%,中性,-,2.8436,2.4842875,1.799663043,1.71585625,0.4679,33369000,2729193841,30157591943,93.46%,34.81%,-4.16%,-1.78%,54.94%,-189.0176949,强力买入,强力买入,NM-,2.02497573,0.01
常铝股份,#N/A,2160,4.24,4.478,4.504,4.514,2.12484331,4.9148,0.1592,中性,-,2.445704167,2.0481275,3.626664583,2.091935417,0.1407,16657500,1032781167,4544237134,0.047831267,0.115785,0.016319815,-0.030837004,0.182795699,61.68050109,强力卖出,买入,0.148078384,2.12484331,-
海南发展,#N/A,2163,9.66,9.886,9.941,9.922,0.022418672,11.8273,0.2244,中性,0.641629,2.137416667,1.25198,1.154764583,0.887360417,0.2386,20548620,844957867,8297486253,3.219976929,0.060882,-0.112741616,-0.013065327,0.05026738,-38.26130735,强力卖出,买入,NM-,0.022418672,-
东方锆业,#N/A,2167,14.2,13.456,13.522,13.154,0.151741227,8.8308,-0.3781,中性,0.232695,3.888833333,3.5304425,3.280222917,2.2909,0.6979,114799600,774673300,10644011142,-0.541784731,0.144948,0.195856659,-0.009372747,0.871934605,41.55239429,强力买入,强力买入,1.579155334,0.151741227,-
智光电气,#N/A,2169,6.65,6.768,6.759,6.66,-3.548120801,5.9234,-0.1093,中性,0.43888,2.30015,1.7037325,1.763435417,0.960191667,0.1414,14035100,769831401,5142473758,-0.198753409,0.137433,-0.099348293,-0.030478955,0.09950621,-38.86974944,卖出,强力买入,0.865654058,-2.859618527,0.08
怡 亚 通,2183,2183,4.66,4.77,4.742,4.663,-4.432825117,4.7218,0.0133,中性,0.569464,2.193791667,2.092805,1.734808333,1.723185417,0.1093,48283570,2597009091,12128032454,0.123205437,0.043634,0.001037644,-0.033126294,0.042385089,735.7815041,中性,强力买入,NM-,-4.466832018,0.01
华天科技,2185,2185,11.9,11.578,11.232,10.6965,102.55%,10.5196,-11.60%,最低,0.491899,3.052033333,2.2455,2.290266667,2.0664375,0.4571,197250800,3229160776,38233263587,-96.59%,11.85%,4.50%,3.86%,2.62%,-328.9319862,强力买入,强力买入,NM-,1.017261263,0.058
成飞集成,#N/A,2190,50.01,52.18,46.762,41.7575,0.190806237,33.8975,-0.3222,中性,0.867943,4.090804167,2.023955,1.53105625,1.409997917,3.7029,73909210,358729343,18610878314,-1.778913539,0.083364,0.00225362,-0.033351966,1.682523268,-1421.28524,强力买入,强力买入,6.291802892,0.190806237,0
二三四五,#N/A,2195,8.88,7.396,6.854,6.357,-20.59535132,4.0649,-0.5422,高,0.717231,4.683520833,2.17149,1.235229167,1.4390375,0.4421,1622663000,5670554696,48483242650,NM,0.234845,-0.120356352,0.333853354,1.153652393,204.678061,强力买入,强力买入,NM-,-20.59535132,0
大连重工,#N/A,2204,6.35,6.494,6.54,6.5055,0.757053967,7.7888,0.2266,中性,-,2.5535625,2.321465,3.30431087,2.40574375,0.15,37232820,1912056432,12160678907,0.144404285,0.172526,0.04267856,-0.043609023,0.287733296,25.54201297,强力卖出,强力买入,0.346644749,0.737704371,0.05
拓日新能,2218,2218,3.69,3.716,3.719,3.695,0.173011162,3.3869,-0.0821,中性,-,1.613183333,2.309495,1.115014583,1.52829375,0.095,27854800,1408300149,5140295543,0.643506269,0.191667,-0.016282138,-0.034391534,-0.078126379,-63.59746461,中性,中性,NM-,0.173125676,0.01
鱼跃医疗,#N/A,2223,37.96,37.382,36.804,36.1285,-2.916547747,40.1011,0.0564,最低,0.287187,3.156958333,4.026425,2.5417875,3.65048125,0.7279,10613930,998204219,37372765959,-0.060198604,0.50005,0.256483591,-0.005841742,0.037306538,26.72813301,强力买入,强力买入,4.459975679,-7.528246066,0.8
大华股份,#N/A,2236,19.4,19.076,18.699,17.6345,-0.350804298,23.3915,0.2057,最低,0.593519,3.163741667,3.562495,2.708502083,3.448070833,0.5636,101683800,3256370453,63238714197,-0.031224073,0.388718,0.123991616,0.035733333,0.249357065,20.74993368,强力买入,强力买入,NM-,-0.391729895,0
恒邦股份,2237,2237,13.35,12.552,12.435,12.2755,196.22%,11.0266,-17.40%,中性,0.562101,3.126104167,1.5453525,2.044485417,2.096560417,0.3643,25356970,1148080932,14465819743,18.93%,2.17%,0.85%,0.00%,26.30%,38.3090555,强力买入,强力买入,NM-,1.811720949,0.141
奥特佳,2239,2239,2.99,3.038,3.054,3.0005,1.382892886,3.5,0.1706,中性,0.616593,2.2037875,2.69055,3.607183333,2.234604167,0.0764,87067030,2725757378,8177272134,1.204129222,0.120241,0.019110772,-0.022801303,-0.015333559,51.206952,卖出,强力买入,0.181710102,1.380160225,0.0031
川润股份,#N/A,2272,17.3,19.386,18.673,16.1135,-4.233099437,10.8005,-0.3757,中性,0.0162,4.011658333,1.678105,1.56418125,0.970314583,1.7521,109131500,484877300,8475655204,0.263487289,0.172636,-0.044586132,-0.100360268,0.774619289,-93.06304314,买入,强力买入,0.672064657,-4.233099437,0
华昌化工,#N/A,2274,6.71,6.812,6.814,6.818,-0.348132491,9.6686,0.4409,最低,1.067746,1.756041667,2.9451625,1.824104167,2.831145833,0.0957,9717820,952364646,6409414067,0.292002409,0.100986,0.050705181,-0.016081871,-0.097042814,22.49575884,强力卖出,强力卖出,NM-,-0.376127597,0.3
万马股份,#N/A,2276,15.56,16.002,16.032,15.7375,-2.089504524,16.4979,0.0603,中性,0.08051,3.135941667,2.0570025,2.3741125,2.375722917,0.5414,44237670,1011075446,15924438274,0.025895956,0.114881,0.022988348,-0.030172414,0.86828058,47.32607091,卖出,强力买入,3.269878115,-2.123649852,0.05
Guangdong Yowant Technology Group Co Ltd,#N/A,2291,6.53,6.652,6.733,6.674,-2.729251086,9.5645,0.4647,中性,0.389297,1.323079167,1.7400775,1.800122917,0.70629375,0.2021,34465000,935545353,5996845712,0.885144943,0.007649,-0.259041773,-0.060117302,0.015847861,-6.295671477,强力卖出,中性,NM-,-2.729251086,-
