order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
302,2025-03-04,1,2025-03-03,000938,SELL,HOLD_EXPIRY,28.67,28.7934,1000,28793.3778,123.3778,21.595033,0.0,0.0,21.595033,28771.78,261704.75,290476.54,1000,0,158724.0,130054.0,420428.75,420530.54,True,0.4,c0.00075_s0.001
303,2025-03-04,2,2025-03-03,688525,BUY,TARGET_REBALANCE,69.23,69.3408,500,34670.3858,55.3857,26.002789,0.0,0.0,26.002789,-34696.39,290476.54,255780.15,0,500,130054.0,164669.0,420530.54,420449.15,True,0.4,c0.00075_s0.001
304,2025-03-06,1,2025-03-05,300718,SELL,HOLD_EXPIRY,107.3,108.115,100,10811.4977,81.4977,8.108623,0.0,0.0,8.108623,10803.39,255780.15,266583.54,100,0,176644.0,165914.0,432424.15,432497.54,True,0.4,c0.00075_s0.001
305,2025-03-06,2,2025-03-05,603501,SELL,HOLD_EXPIRY,146.61,147.3836,300,44215.0707,232.0707,33.161303,0.0,0.0,33.161303,44181.91,266583.54,310765.45,300,0,165914.0,121931.0,432497.54,432696.45,True,0.4,c0.00075_s0.001
306,2025-03-06,3,2025-03-05,300458,BUY,TARGET_REBALANCE,63.04,99.3946,200,19878.9191,7270.9191,14.909189,0.0,0.0,14.909189,-19893.83,310765.45,290871.62,0,200,121931.0,134539.0,432696.45,425410.62,True,0.4,c0.00075_s0.001
307,2025-03-06,4,2025-03-05,300476,BUY,TARGET_REBALANCE,58.4,59.0745,500,29537.2577,337.2577,22.152943,0.0,0.0,22.152943,-29559.41,290871.62,261312.21,0,500,134539.0,163739.0,425410.62,425051.21,True,0.4,c0.00075_s0.001
308,2025-03-07,1,2025-03-06,002747,SELL,HOLD_EXPIRY,24.73,24.7053,1800,44469.486,44.514,33.352114,0.0,0.0,33.352114,44436.13,261312.21,305748.34,1800,0,163274.0,118760.0,424586.21,424508.34,True,0.4,c0.00075_s0.001
309,2025-03-07,2,2025-03-06,600498,SELL,HOLD_EXPIRY,25.9,26.1066,1600,41770.5077,330.5077,31.327881,0.0,0.0,31.327881,41739.18,305748.34,347487.52,1600,0,118760.0,77320.0,424508.34,424807.52,True,0.4,c0.00075_s0.001
310,2025-03-07,3,2025-03-06,002155,BUY,TARGET_REBALANCE,20.81,27.6933,2300,63694.5109,15831.5109,47.770883,0.0,0.0,47.770883,-63742.28,347487.52,283745.24,0,2300,77320.0,125183.0,424807.52,408928.24,True,0.4,c0.00075_s0.001
311,2025-03-07,4,2025-03-06,688521,BUY,TARGET_REBALANCE,94.86,94.9549,200,18990.972,18.972,14.243229,0.0,0.0,14.243229,-19005.22,283745.24,264740.02,0,200,125183.0,144155.0,408928.24,408895.02,True,0.4,c0.00075_s0.001
312,2025-03-18,1,2025-03-17,688525,SELL,HOLD_EXPIRY,79.41,79.3781,500,39689.0712,15.9288,29.766803,0.0,0.0,29.766803,39659.3,264740.02,304399.33,500,0,171423.0,131718.0,436163.02,436117.33,True,0.4,c0.00075_s0.001
313,2025-03-18,2,2025-03-17,601899,BUY,TARGET_REBALANCE,17.4,17.8076,1500,26711.3847,611.3847,20.033539,0.0,0.0,20.033539,-26731.42,304399.33,277667.91,0,1500,131718.0,157818.0,436117.33,435485.91,True,0.4,c0.00075_s0.001
314,2025-03-20,1,2025-03-19,300458,SELL,HOLD_EXPIRY,58.5,92.0522,200,18410.4311,6710.4311,13.807823,0.0,0.0,13.807823,18396.62,277667.91,296064.53,200,0,157207.0,145507.0,434874.91,441571.53,True,0.4,c0.00075_s0.001
315,2025-03-20,2,2025-03-19,300476,SELL,HOLD_EXPIRY,85.68,86.4964,400,34598.5668,326.5668,25.948925,0.0,0.0,25.948925,34572.62,296064.53,330637.15,500,100,145507.0,111235.0,441571.53,441872.15,True,0.4,c0.00075_s0.001
316,2025-03-20,3,2025-03-19,000333,BUY,TARGET_REBALANCE,76.4,80.6757,500,40337.8475,2137.8475,30.253386,0.0,0.0,30.253386,-40368.1,330637.15,290269.05,0,500,111235.0,149435.0,441872.15,439704.05,True,0.4,c0.00075_s0.001
317,2025-03-21,1,2025-03-20,002155,SELL,HOLD_EXPIRY,24.3,32.2731,2300,74228.1176,18338.1176,55.671088,0.0,0.0,55.671088,74172.45,290269.05,364441.5,2300,0,148033.0,92143.0,438302.05,456584.5,True,0.4,c0.00075_s0.001
318,2025-03-21,2,2025-03-20,688521,SELL,HOLD_EXPIRY,96.79,96.6932,200,19338.642,19.358,14.503982,0.0,0.0,14.503982,19324.14,364441.5,383765.64,200,0,92143.0,72785.0,456584.5,456550.64,True,0.4,c0.00075_s0.001
319,2025-03-21,3,2025-03-20,300100,BUY,TARGET_REBALANCE,66.3,93.2308,400,37292.3351,10772.3351,27.969251,0.0,0.0,27.969251,-37320.3,383765.64,346445.33,0,400,72785.0,99305.0,456550.64,445750.33,True,0.4,c0.00075_s0.001
320,2025-03-21,4,2025-03-20,300476,BUY,TARGET_REBALANCE,84.0,84.9702,300,25491.0556,291.0556,19.118292,0.0,0.0,19.118292,-25510.17,346445.33,320935.16,100,400,99305.0,124505.0,445750.33,445440.16,True,0.4,c0.00075_s0.001
321,2025-03-21,5,2025-03-20,600797,BUY,TARGET_REBALANCE,13.5,13.5135,2700,36486.45,36.45,27.364838,0.0,0.0,27.364838,-36513.81,320935.16,284421.34,0,2700,124505.0,160955.0,445440.16,445376.34,True,0.4,c0.00075_s0.001
322,2025-03-24,1,2025-03-21,300476,SELL,HOLD_EXPIRY,85.95,86.7689,400,34707.5777,327.5777,26.030683,0.0,0.0,26.030683,34681.55,284421.34,319102.89,400,0,162966.0,128586.0,447387.34,447688.89,True,0.4,c0.00075_s0.001
