symbol,name,industry,closed_trades,wins,net_pnl,avg_net_return,win_rate,positive_profit_share
688041,海光信息,半导体,1,1,3124.6831999999936,0.08674699651449914,1.0,0.00434370067455647
000099,中信海直,空运,1,1,2963.402084999999,0.08148265903185446,1.0,0.004119499741796727
000538,云南白药,中成药,1,1,2949.878002499996,0.057212617911354326,1.0,0.004100699574702021
300342,天银机电,家用电器,1,1,2880.0569999999993,0.12797978137220048,1.0,0.004003639643744078
002281,光迅科技,通信设备,2,1,2809.650482500002,-0.009625711889893418,0.5,0.0039057657736640936
605117,德业股份,电气设备,1,1,2595.784022500001,0.1543960756877324,1.0,0.003608464630761987
300045,华力创通,IT设备,1,1,2475.317000000002,0.08289464518937752,1.0,0.0034410003941011133
300442,润泽科技,软件服务,2,1,2376.844284999999,-0.03813132122366182,0.5,0.003304110997258925
601328,交通银行,银行,1,1,2267.115659999998,0.03247888278343146,1.0,0.00315157447693883
300418,昆仑万维,互联网,1,1,2255.472000000002,0.0722907692307693,1.0,0.0031353883324374324
301308,江波龙,半导体,1,1,2118.0107499999954,0.07679795315276099,1.0,0.0029442999928737906
603686,福龙马,环境保护,1,1,2077.3664999999964,0.03147524999999995,1.0,0.002887799399104209
300459,汤姆猫,互联网,1,1,2017.4955000000018,0.06731492109038743,1.0,0.002804571216776366
600900,长江电力,水力发电,3,2,1774.003712499987,0.009412560864931606,0.6666666666666666,0.002466087161300669
601318,中国平安,保险,1,1,1654.131700000003,0.045722841578268926,1.0,0.002299450063000073
000063,中兴通讯,通信设备,3,2,1638.5498099999932,0.010853527886666126,0.6666666666666666,0.0022777892859638894
600733,北汽蓝谷,汽车整车,3,3,1557.2842500000058,0.09928455730464746,1.0,0.0021648199878954786
300337,银邦股份,铝,1,1,1543.572640000005,0.05669596671348581,1.0,0.0021457591341083626
688271,联影医疗,医疗保健,1,1,1537.7646750000035,0.018457998805928057,1.0,0.0021376853359427414
603220,中贝通信,通信设备,1,1,1478.6984974999978,0.046165485262589616,1.0,0.0020555759576063237
002550,千红制药,生物制药,1,1,1473.2324999999994,0.039731189320388334,1.0,0.002047977537059925
300364,中文在线,出版业,1,1,1416.3239999999996,0.030108928571428564,1.0,0.0019688676004628335
000895,双汇发展,食品,1,1,1293.488415000008,0.022124800644096738,1.0,0.0017981107655222538
000100,TCL科技,元器件,1,1,1282.8517500000137,0.005391379310344886,1.0,0.0017833244700874056
300496,中科创达,软件服务,1,1,1208.5464749999992,0.0386436234078304,1.0,0.0016800308391872658
603893,瑞芯微,半导体,1,1,1190.3088424999996,0.07255242335362443,1.0,0.001654678247733335
600030,中信证券,证券,1,1,1160.959919999997,0.033768467713787,1.0,0.0016138795726994093
002126,银轮股份,汽车配件,1,1,1098.3,0.01634375,1.0,0.001526774442562811
600050,中国联通,电信运营,1,1,1020.4897275000004,0.013259119553117052,1.0,0.0014186084265181537
300661,圣邦股份,半导体,1,1,1013.4275000000002,0.027257329209252293,1.0,0.0014087910465176397
002415,海康威视,IT设备,1,1,971.6790474999987,0.04239949799779461,1.0,0.0013507554730918454
002460,赣锋锂业,小金属,1,1,955.3675,0.03265655443513929,1.0,0.0013280803808204738
002317,众生药业,中成药,1,1,917.6719999999998,0.053727868852459004,1.0,0.0012756789185609575
601658,邮储银行,银行,1,1,907.4740424999926,0.0173898704412802,1.0,0.0012615024814514677
600111,北方稀土,小金属,1,1,883.044449999999,0.03991118062448132,1.0,0.001227542290728337
000001,平安银行,银行,1,1,867.2475700000014,0.02535663323782239,1.0,0.0012055826506880676
002340,格林美,小金属,1,1,855.5715000000001,0.04480238849300608,1.0,0.0011893514522308371
002681,奋达科技,元器件,1,1,671.7920000000021,0.03180833333333343,1.0,0.0009338749488465439
601985,中国核电,新型电力,2,1,653.7870450000146,-0.017071249991198214,0.5,0.0009088458082351678
002384,东山精密,元器件,2,1,614.5889099999989,0.030884866982434526,0.5,0.0008543554952841064
300319,麦捷科技,元器件,1,1,575.2814800000012,0.03833533334754942,1.0,0.0007997132486057642
002600,领益智造,元器件,1,1,561.702750000002,0.01798772696704781,1.0,0.0007808371146474106
002155,湖南黄金,黄金,3,1,532.1449324999976,-0.018484608491975908,0.3333333333333333,0.0007397480494221147
600611,大众交通,公共交通,1,1,530.645489999996,0.016048070223189864,1.0,0.0007376636367051021
601225,陕西煤业,煤炭开采,1,1,524.1551874999938,0.005426312385410789,1.0,0.0007286413040259571
002602,世纪华通,互联网,1,1,471.24250000000023,0.038437398042414375,1.0,0.0006550860468445834
300963,中洲特材,小金属,1,1,422.87092499999983,0.035759000827020736,1.0,0.0005878435043183966
688036,传音控股,通信设备,1,1,375.0979300000001,0.04779657101353247,1.0,0.0005214330628992211
600487,亨通光电,通信设备,1,1,318.48374999999953,0.01819387317909166,1.0,0.000442732267933682
300718,长盛轴承,机械基件,1,1,315.7995875000003,0.030207308446865994,1.0,0.0004390009461594088
600150,中国船舶,船舶,1,1,283.9539999999992,0.021492128368150107,1.0,0.00039473159433987
003816,中国广核,新型电力,1,1,279.24874500000226,0.013743104178857636,1.0,0.00038819070106869074
601872,招商轮船,水运,1,1,253.39800000000005,0.03653373702422146,1.0,0.0003522549305258411
600019,宝钢股份,普钢,1,1,239.53856250000257,0.004228749321434764,1.0,0.00033298857801442093
600570,恒生电子,软件服务,1,1,228.29265000000072,0.008948610274887608,1.0,0.0003173553523126086
600795,国电电力,火力发电,1,1,219.67119000000605,0.0028154288561759804,1.0,0.0003053704440129005
300059,东方财富,证券,1,1,153.76020749999782,0.006039961562861428,1.0,0.00021374593015947496
300035,中科电气,电气设备,1,1,111.5446199999998,0.0018672846496776546,1.0,0.0001550609806258584
600392,盛和资源,小金属,1,1,3.186819999999134,0.00016558280959027156,1.0,4.430078602428021e-06
688521,芯原股份,半导体,3,2,-60.041499999999814,0.021178432093691395,0.6666666666666666,0.0
002222,福晶科技,元器件,1,0,-63.872999999998655,-0.0009595727420226948,0.0,0.0
300766,每日互动,互联网,1,0,-86.55675000000119,-0.007373434704830155,0.0,0.0
000766,通化金马,化学制药,1,0,-106.92499999999875,-0.010696778711484469,0.0,0.0
300709,精研科技,元器件,1,0,-200.33076000000068,-0.03031126080325379,0.0,0.0
002987,京北方,软件服务,1,0,-226.7324999999991,-0.020136101243339175,0.0,0.0
601816,京沪高铁,铁路,1,0,-229.65858,-0.0015,0.0,0.0
300065,海兰信,船舶,1,0,-370.7742499999986,-0.018520192307692238,0.0,0.0
600839,四川长虹,家用电器,1,0,-388.8135900000001,-0.016512978033580317,0.0,0.0
002149,西部材料,小金属,1,0,-490.8050000000005,-0.048556094182825534,0.0,0.0
300394,天孚通信,通信设备,1,0,-535.4577500000001,-0.02446129511192326,0.0,0.0
000021,深科技,元器件,1,0,-696.2414499999992,-0.08453122685606741,0.0,0.0
000831,中国稀土,小金属,1,0,-842.8060000000013,-0.03570001694340907,0.0,0.0
601099,太平洋,证券,1,0,-1006.8355000000009,-0.04784202898550729,0.0,0.0
001896,豫能控股,火力发电,1,0,-1031.1329999999818,-0.00860367298578184,0.0,0.0
600171,上海贝岭,半导体,2,0,-1125.389230000003,-0.035758674183311516,0.0,0.0
000568,泸州老窖,白酒,1,0,-1167.6280149999975,-0.029887880008006705,0.0,0.0
600036,招商银行,银行,1,0,-1189.9424550000049,-0.016292642817739424,0.0,0.0
600415,小商品城,商品城,1,0,-1227.8962499999986,-0.04206564748201434,0.0,0.0
002786,银宝山新,专用机械,1,0,-1291.9567500000003,-0.08105632411067196,0.0,0.0
002371,北方华创,半导体,1,0,-1347.1790599999977,-0.02362753260674731,0.0,0.0
000858,五粮液,白酒,2,0,-1368.0568649999993,-0.04539456723352504,0.0,0.0
002410,广联达,软件服务,1,0,-1404.6613500000005,-0.09043602281726235,0.0,0.0
603667,五洲新春,机械基件,1,0,-1448.1575,-0.1641343647285504,0.0,0.0
600066,宇通客车,汽车整车,1,0,-1590.12411,-0.04851814894824525,0.0,0.0
000426,兴业银锡,铅锌,2,1,-1624.3974999999996,-0.027183662925127985,0.5,0.0
603986,兆易创新,半导体,1,0,-1701.229545000001,-0.03340587402598986,0.0,0.0
600926,杭州银行,银行,1,0,-1732.26762,-0.04445973140409962,0.0,0.0
601137,博威合金,小金属,1,0,-1796.2468549999967,-0.07015452006803573,0.0,0.0
600986,浙文互联,互联网,1,0,-1837.1587499999994,-0.051511530912659455,0.0,0.0
300433,蓝思科技,元器件,2,1,-1843.5682500000003,0.018885953896379953,0.5,0.0
002050,三花智控,家用电器,1,0,-1929.2770249999967,-0.05307585359660376,0.0,0.0
