signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2023-03-14,2023-03-30,attack,tiered_liquidity_then_bs_v2,0.3071897354537044,5
2023-03-14,2023-03-30,balanced,baseline_full_dynamic_factor_industry_cap2,0.07197862308340092,5
2023-03-14,2023-03-30,defensive,baseline_full_liquidity_detail,0.07197862308340092,5
2023-03-14,2023-03-30,fallback,baseline_full_score,0.30718973545370437,5
2023-03-15,2023-03-31,attack,tiered_liquidity_then_bs_v2,-0.0699320103823298,5
2023-03-15,2023-03-31,balanced,baseline_full_dynamic_factor_industry_cap2,0.15928123783759035,5
2023-03-15,2023-03-31,defensive,baseline_full_liquidity_detail,0.15928123783759035,5
2023-03-15,2023-03-31,fallback,baseline_full_score,-0.009014591451889256,5
2023-03-16,2023-04-03,attack,tiered_liquidity_then_bs_v2,0.24162288894153944,5
2023-03-16,2023-04-03,balanced,baseline_full_dynamic_factor_industry_cap2,-0.03228463459730731,5
2023-03-16,2023-04-03,defensive,baseline_full_liquidity_detail,-0.03228463459730731,5
2023-03-16,2023-04-03,fallback,baseline_full_score,0.07984984312151756,5
2023-03-17,2023-04-04,attack,tiered_liquidity_then_bs_v2,0.06347523292594458,5
2023-03-17,2023-04-04,balanced,baseline_full_dynamic_factor_industry_cap2,0.17103608442461277,5
2023-03-17,2023-04-04,defensive,baseline_full_liquidity_detail,0.17103608442461277,5
2023-03-17,2023-04-04,fallback,baseline_full_score,0.13836139107799433,5
2023-03-20,2023-04-06,attack,tiered_liquidity_then_bs_v2,-0.005260842413706772,5
2023-03-20,2023-04-06,balanced,baseline_full_dynamic_factor_industry_cap2,0.08120512755389497,5
2023-03-20,2023-04-06,defensive,baseline_full_liquidity_detail,0.08120512755389497,5
2023-03-20,2023-04-06,fallback,baseline_full_score,-0.0006973259456757239,5
2023-03-21,2023-04-07,attack,tiered_liquidity_then_bs_v2,0.47030716321920496,5
2023-03-21,2023-04-07,balanced,baseline_full_dynamic_factor_industry_cap2,0.11039216039814259,5
2023-03-21,2023-04-07,defensive,baseline_full_liquidity_detail,0.11039216039814259,5
2023-03-21,2023-04-07,fallback,baseline_full_score,0.02706674458009855,5
2023-03-22,2023-04-10,attack,tiered_liquidity_then_bs_v2,0.19612954692374884,5
2023-03-22,2023-04-10,balanced,baseline_full_dynamic_factor_industry_cap2,0.07990021973372007,5
2023-03-22,2023-04-10,defensive,baseline_full_liquidity_detail,0.07990021973372007,5
2023-03-22,2023-04-10,fallback,baseline_full_score,0.10528034662394524,5
2023-03-23,2023-04-11,attack,tiered_liquidity_then_bs_v2,-0.06224330267160271,5
2023-03-23,2023-04-11,balanced,baseline_full_dynamic_factor_industry_cap2,0.02837143719534696,5
2023-03-23,2023-04-11,defensive,baseline_full_liquidity_detail,0.02837143719534696,5
2023-03-23,2023-04-11,fallback,baseline_full_score,0.012769989207149201,5
2023-03-24,2023-04-12,attack,tiered_liquidity_then_bs_v2,0.05895981989783512,5
2023-03-24,2023-04-12,balanced,baseline_full_dynamic_factor_industry_cap2,0.05316200080437459,5
2023-03-24,2023-04-12,defensive,baseline_full_liquidity_detail,0.05316200080437459,5
2023-03-24,2023-04-12,fallback,baseline_full_score,-0.02999156301090846,5
2023-03-27,2023-04-13,attack,tiered_liquidity_then_bs_v2,0.046740623150444166,5
