strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-29,300398,飞凯材料,BUY,64.26,0,200,200,200,0.0,0.027999999999999994,0.027999999999999994,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
baseline_full_score,基础综合评分策略,2026-06-29,000711,ST京蓝,BUY,4.32,0,16200,16200,16200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-29,003019,宸展光电,BUY,32.81,0,2100,2100,2100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-29,300561,*ST汇科,BUY,13.9,0,5000,5000,5000,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-29,603007,*ST花王,BUY,5.68,0,12300,12300,12300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-29,688336,三生国健,BUY,49.75,0,1400,1400,1400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-29,000021,深科技,BUY,58.86,0,500,500,500,0.0,0.0628205128205128,0.0628205128205128,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-29,300373,扬杰科技,BUY,149.95,0,200,200,200,0.0,0.0628205128205128,0.0628205128205128,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-29,688110,东芯股份,BUY,193.3,0,100,100,100,0.0,0.0628205128205128,0.0628205128205128,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-29,000021,深科技,BUY,58.86,0,500,500,500,0.0,0.0628205128205128,0.0628205128205128,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-29,300373,扬杰科技,BUY,149.95,0,200,200,200,0.0,0.0628205128205128,0.0628205128205128,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-29,688110,东芯股份,BUY,193.3,0,100,100,100,0.0,0.0628205128205128,0.0628205128205128,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-29,000011,深物业A,BUY,6.58,0,10600,10600,10600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-29,000029,深深房Ａ,BUY,22.06,0,3100,3100,3100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-29,002617,露笑科技,BUY,10.12,0,6900,6900,6900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-29,300688,创业黑马,BUY,27.49,0,2500,2500,2500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-29,301235,华康洁净,BUY,73.63,0,900,900,900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-29,000011,深物业A,BUY,6.58,0,10600,10600,10600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-29,000029,深深房Ａ,BUY,22.06,0,3100,3100,3100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-29,000032,深桑达Ａ,BUY,24.08,0,2900,2900,2900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-29,000065,北方国际,BUY,10.01,0,6900,6900,6900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-29,000070,特发信息,BUY,20.37,0,3400,3400,3400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-29,002119,康强电子,BUY,36.29,0,4800,4800,4800,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-29,300323,华灿光电,BUY,19.17,0,9100,9100,9100,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-29,000021,深科技,BUY,58.86,0,1100,1100,1100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-29,300373,扬杰科技,BUY,149.95,0,400,400,400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-29,688012,中微公司,BUY,456.69,0,100,100,100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-29,688110,东芯股份,BUY,193.3,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
