order_id,fill_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,shares_requested,shares_filled,shares_unfilled,execution_price,notional,commission,stamp_tax,slippage,total_cost,cash_before,cash_delta,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,tradable,limit_blocked,suspended,risk_state,target_exposure,strategy_label,cost_scenario
446,446,2025-09-29,3,2025-09-26,000977,BUY,TARGET_REBALANCE,600,600,0,72.0799,43247.94,32.435955,0.0,0.0,32.435955,400037.15,-43280.38,356756.78,0,600,61000.0,104224.0,461037.15,460980.78,True,False,False,True,0.4,B2_base,c0.00075_s0.0
447,447,2025-09-29,4,2025-09-26,603501,BUY,TARGET_REBALANCE,400,400,0,151.2699,60507.96,45.38097,0.0,0.0,45.38097,356756.78,-60553.34,296203.44,0,400,104224.0,164464.0,460980.78,460667.44,True,False,False,True,0.4,B2_base,c0.00075_s0.0
448,448,2025-10-15,1,2025-10-14,300620,SELL,HOLD_EXPIRY,100,100,0,100.0971,10009.71,7.507282,0.0,0.0,7.507282,296203.44,10002.2,306205.64,100,0,150066.0,140064.0,446269.44,446269.64,True,False,False,True,0.4,B2_base,c0.00075_s0.0
449,449,2025-10-15,2,2025-10-14,688347,BUY,TARGET_REBALANCE,300,300,0,120.53,36159.0,27.11925,0.0,0.0,27.11925,306205.64,-36186.12,270019.52,0,300,140064.0,176223.0,446269.64,446242.52,True,False,False,True,0.4,B2_base,c0.00075_s0.0
450,450,2025-10-16,1,2025-10-15,002938,SELL,HOLD_EXPIRY,400,400,0,49.4442,19777.68,14.83326,0.0,0.0,14.83326,270019.52,19762.85,289782.37,400,0,178314.0,158722.0,448333.52,448504.37,True,False,False,True,0.4,B2_base,c0.00075_s0.0
451,451,2025-10-16,2,2025-10-15,600392,BUY,TARGET_REBALANCE,800,800,0,25.2906,20232.48,15.17436,0.0,0.0,15.17436,289782.37,-20247.65,269534.71,0,800,158722.0,178906.0,448504.37,448440.71,True,False,False,True,0.4,B2_base,c0.00075_s0.0
452,452,2025-10-17,1,2025-10-16,688008,SELL,HOLD_EXPIRY,200,200,0,143.3587,28671.74,21.503805,0.0,0.0,21.503805,269534.71,28650.24,298184.95,200,0,177726.0,149096.0,447260.71,447280.95,True,False,False,True,0.4,B2_base,c0.00075_s0.0
453,453,2025-10-17,2,2025-10-16,600036,BUY,TARGET_REBALANCE,600,600,0,42.9621,25777.26,19.332945,0.0,0.0,19.332945,298184.95,-25796.59,272388.35,0,600,149096.0,174224.0,447280.95,446612.35,True,False,False,True,0.4,B2_base,c0.00075_s0.0
454,454,2025-10-21,1,2025-10-20,000977,SELL,HOLD_EXPIRY,600,600,0,65.2061,39123.66,29.342745,0.0,0.0,29.342745,272388.35,39094.32,311482.67,600,0,169482.0,130380.0,441870.35,441862.67,True,False,False,True,0.4,B2_base,c0.00075_s0.0
455,455,2025-10-21,2,2025-10-20,603501,SELL,HOLD_EXPIRY,400,400,0,128.268,51307.2,38.4804,0.0,0.0,38.4804,311482.67,51268.72,362751.39,400,0,130380.0,79300.0,441862.67,442051.39,True,False,False,True,0.4,B2_base,c0.00075_s0.0
456,456,2025-10-21,3,2025-10-20,000426,BUY,TARGET_REBALANCE,800,800,0,31.16,24928.0,18.696,0.0,0.0,18.696,362751.39,-24946.7,337804.7,0,800,79300.0,104228.0,442051.39,442032.7,True,False,False,True,0.4,B2_base,c0.00075_s0.0
457,457,2025-10-21,4,2025-10-20,601288,BUY,TARGET_REBALANCE,8800,8800,0,8.0262,70630.56,52.97292,0.0,0.0,52.97292,337804.7,-70683.53,267121.16,0,8800,104228.0,172428.0,442032.7,439549.16,True,False,False,True,0.4,B2_base,c0.00075_s0.0
458,458,2025-10-29,1,2025-10-28,688347,SELL,HOLD_EXPIRY,300,300,0,132.11,39633.0,29.72475,0.0,0.0,29.72475,267121.16,39603.28,306724.44,300,0,179687.0,140054.0,446808.16,446778.44,True,False,False,True,0.4,B2_base,c0.00075_s0.0
459,459,2025-10-29,2,2025-10-28,300476,BUY,TARGET_REBALANCE,100,100,0,345.2776,34527.76,25.89582,0.0,0.0,25.89582,306724.44,-34553.66,272170.78,0,100,140054.0,174360.0,446778.44,446530.78,True,False,False,True,0.4,B2_base,c0.00075_s0.0
460,460,2025-10-30,1,2025-10-29,600392,SELL,HOLD_EXPIRY,800,800,0,23.6366,18909.28,14.18196,0.0,0.0,14.18196,272170.78,18895.1,291065.88,800,0,172745.0,153881.0,444915.78,444946.88,True,False,False,True,0.4,B2_base,c0.00075_s0.0
461,461,2025-10-31,1,2025-10-30,600036,SELL,HOLD_EXPIRY,600,600,0,42.3261,25395.66,19.046745,0.0,0.0,19.046745,291065.88,25376.61,316442.49,600,0,153565.0,128809.0,444630.88,445251.49,True,False,False,True,0.4,B2_base,c0.00075_s0.0
462,462,2025-11-03,1,2025-10-31,002466,BUY,TARGET_REBALANCE,400,400,0,54.41,21764.0,16.323,0.0,0.0,16.323,316442.49,-21780.32,294662.17,0,400,122974.0,144738.0,439416.49,439400.17,True,False,False,True,0.4,B2_base,c0.00075_s0.0
463,463,2025-11-03,2,2025-10-31,002709,BUY,TARGET_REBALANCE,500,500,0,40.9522,20476.1,15.357075,0.0,0.0,15.357075,294662.17,-20491.46,274170.71,0,500,144738.0,165078.0,439400.17,439248.71,True,False,False,True,0.4,B2_base,c0.00075_s0.0
464,464,2025-11-04,1,2025-11-03,000426,SELL,HOLD_EXPIRY,800,800,0,29.43,23544.0,17.658,0.0,0.0,17.658,274170.71,23526.34,297697.06,800,0,165706.0,142162.0,439876.71,439859.06,True,False,False,True,0.4,B2_base,c0.00075_s0.0
465,465,2025-11-04,2,2025-11-03,601288,SELL,HOLD_EXPIRY,8800,8800,0,8.2955,73000.4,54.7503,0.0,0.0,54.7503,297697.06,72945.65,370642.7,8800,0,142162.0,71674.0,439859.06,442316.7,True,False,False,True,0.4,B2_base,c0.00075_s0.0
466,466,2025-11-04,3,2025-11-03,002812,BUY,TARGET_REBALANCE,1100,1100,0,48.5,53350.0,40.0125,0.0,0.0,40.0125,370642.7,-53390.01,317252.69,0,1100,71674.0,125024.0,442316.7,442276.69,True,False,False,True,0.4,B2_base,c0.00075_s0.0
467,467,2025-11-04,4,2025-11-03,603686,BUY,TARGET_REBALANCE,1500,1500,0,30.0,45000.0,33.75,0.0,0.0,33.75,317252.69,-45033.75,272218.94,0,1500,125024.0,170024.0,442276.69,442242.94,True,False,False,True,0.4,B2_base,c0.00075_s0.0
468,468,2025-11-12,1,2025-11-11,300476,SELL,HOLD_EXPIRY,100,100,0,284.9703,28497.03,21.372773,0.0,0.0,21.372773,272218.94,28475.66,300694.6,100,0,184061.0,155747.0,456279.94,456441.6,True,False,False,True,0.4,B2_base,c0.00075_s0.0
469,469,2025-11-12,2,2025-11-11,002407,BUY,TARGET_REBALANCE,800,800,0,32.0738,25659.04,19.24428,0.0,0.0,19.24428,300694.6,-25678.28,275016.32,0,800,155747.0,181275.0,456441.6,456291.32,True,False,False,True,0.4,B2_base,c0.00075_s0.0
470,470,2025-11-17,1,2025-11-14,002466,SELL,HOLD_EXPIRY,400,400,0,58.29,23316.0,17.487,0.0,0.0,17.487,275016.32,23298.51,298314.83,400,0,192198.0,168882.0,467214.32,467196.83,True,False,False,True,0.4,B2_base,c0.00075_s0.0
471,471,2025-11-17,2,2025-11-14,002709,SELL,HOLD_EXPIRY,500,500,0,47.687,23843.5,17.882625,0.0,0.0,17.882625,298314.83,23825.62,322140.45,500,0,168882.0,145197.0,467196.83,467337.45,True,False,False,True,0.4,B2_base,c0.00075_s0.0
472,472,2025-11-17,3,2025-11-14,000833,BUY,TARGET_REBALANCE,1100,1100,0,24.3673,26804.03,20.103022,0.0,0.0,20.103022,322140.45,-26824.13,295316.31,0,1100,145197.0,171795.0,467337.45,467111.31,True,False,False,True,0.4,B2_base,c0.00075_s0.0
473,473,2025-11-18,1,2025-11-17,002812,SELL,HOLD_EXPIRY,200,200,0,62.0,12400.0,9.3,0.0,0.0,9.3,295316.31,12390.7,307707.01,1100,900,172801.0,160401.0,468117.31,468108.01,True,False,False,True,0.4,B2_base,c0.00075_s0.0
474,474,2025-11-18,2,2025-11-17,603686,SELL,HOLD_EXPIRY,1500,1500,0,30.99,46485.0,34.86375,0.0,0.0,34.86375,307707.01,46450.14,354157.15,1500,0,160401.0,113916.0,468108.01,468073.15,True,False,False,True,0.4,B2_base,c0.00075_s0.0
475,475,2025-11-18,3,2025-11-17,300475,BUY,TARGET_REBALANCE,100,100,0,168.96,16896.0,12.672,0.0,0.0,12.672,354157.15,-16908.67,337248.48,0,100,113916.0,130812.0,468073.15,468060.48,True,False,False,True,0.4,B2_base,c0.00075_s0.0
476,476,2025-11-18,4,2025-11-17,688525,BUY,TARGET_REBALANCE,200,200,0,133.0798,26615.96,19.96197,0.0,0.0,19.96197,337248.48,-26635.92,310612.55,0,200,130812.0,157412.0,468060.48,468024.55,True,False,False,True,0.4,B2_base,c0.00075_s0.0
477,477,2025-11-19,1,2025-11-18,002812,BUY,TARGET_REBALANCE,600,600,0,59.34,35604.0,26.703,0.0,0.0,26.703,310612.55,-35630.7,274981.85,900,1500,146724.0,182328.0,457336.55,457309.85,True,False,False,True,0.4,B2_base,c0.00075_s0.0
478,478,2025-11-20,1,2025-11-19,002812,SELL,HOLD_EXPIRY,100,100,0,62.05,6205.0,4.65375,0.0,0.0,4.65375,274981.85,6200.35,281182.2,1500,1400,188497.0,182292.0,463478.85,463474.2,True,False,False,True,0.4,B2_base,c0.00075_s0.0
479,479,2025-11-21,1,2025-11-20,002812,SELL,HOLD_EXPIRY,1400,1400,0,58.8,82320.0,61.74,0.0,0.0,61.74,281182.2,82258.26,363440.46,1400,0,166039.0,83719.0,447221.2,447159.46,True,False,False,True,0.4,B2_base,c0.00075_s0.0
480,480,2025-11-21,2,2025-11-20,002240,BUY,TARGET_REBALANCE,2500,2500,0,36.63,91575.0,68.68125,0.0,0.0,68.68125,363440.46,-91643.68,271796.78,0,2500,83719.0,175294.0,447159.46,447090.78,True,False,False,True,0.4,B2_base,c0.00075_s0.0
481,481,2025-11-26,1,2025-11-25,002407,SELL,HOLD_EXPIRY,800,800,0,33.6719,26937.52,20.20314,0.0,0.0,20.20314,271796.78,26917.32,298714.09,800,0,169380.0,142580.0,441176.78,441294.09,True,False,False,True,0.4,B2_base,c0.00075_s0.0
482,482,2025-11-26,2,2025-11-25,300620,BUY,TARGET_REBALANCE,200,200,0,141.2889,28257.78,21.193335,0.0,0.0,21.193335,298714.09,-28278.97,270435.12,0,200,142580.0,170816.0,441294.09,441251.12,True,False,False,True,0.4,B2_base,c0.00075_s0.0
483,483,2025-12-01,1,2025-11-28,000833,SELL,HOLD_EXPIRY,1100,1100,0,20.0642,22070.62,16.552965,0.0,0.0,16.552965,270435.12,22054.07,292489.19,1100,0,178671.0,156770.0,449106.12,449259.19,True,False,False,True,0.4,B2_base,c0.00075_s0.0
484,484,2025-12-01,2,2025-11-28,300058,BUY,TARGET_REBALANCE,2100,2100,0,10.51,22071.0,16.55325,0.0,0.0,16.55325,292489.19,-22087.55,270401.63,0,2100,156770.0,178841.0,449259.19,449242.63,True,False,False,True,0.4,B2_base,c0.00075_s0.0
485,485,2025-12-02,1,2025-12-01,300475,SELL,HOLD_EXPIRY,100,100,0,133.01,13301.0,9.97575,0.0,0.0,9.97575,270401.63,13291.02,283692.66,100,0,170978.0,157677.0,441379.63,441369.66,True,False,False,True,0.4,B2_base,c0.00075_s0.0
486,486,2025-12-02,2,2025-12-01,688525,SELL,HOLD_EXPIRY,200,200,0,115.069,23013.8,17.26035,0.0,0.0,17.26035,283692.66,22996.54,306689.2,200,0,157677.0,134677.0,441369.66,441366.2,True,False,False,True,0.4,B2_base,c0.00075_s0.0
487,487,2025-12-02,3,2025-12-01,000988,BUY,TARGET_REBALANCE,200,200,0,73.5222,14704.44,11.02833,0.0,0.0,11.02833,306689.2,-14715.47,291973.73,0,200,134677.0,149357.0,441366.2,441330.73,True,False,False,True,0.4,B2_base,c0.00075_s0.0
488,488,2025-12-02,4,2025-12-01,002241,BUY,TARGET_REBALANCE,600,600,0,30.8472,18508.32,13.88124,0.0,0.0,13.88124,291973.73,-18522.2,273451.53,0,600,149357.0,167735.0,441330.73,441186.53,True,False,False,True,0.4,B2_base,c0.00075_s0.0
489,489,2025-12-05,1,2025-12-04,002240,SELL,HOLD_EXPIRY,2500,2500,0,30.04,75100.0,56.325,0.0,0.0,56.325,273451.53,75043.68,348495.2,2500,0,154394.0,79294.0,427845.53,427789.2,True,False,False,True,0.4,B2_base,c0.00075_s0.0
490,490,2025-12-05,2,2025-12-04,000426,BUY,TARGET_REBALANCE,2600,2600,0,34.03,88478.0,66.3585,0.0,0.0,66.3585,348495.2,-88544.36,259950.84,0,2600,79294.0,167772.0,427789.2,427722.84,True,False,False,True,0.4,B2_base,c0.00075_s0.0
491,491,2025-12-10,1,2025-12-09,300620,SELL,HOLD_EXPIRY,200,200,0,167.2489,33449.78,25.087335,0.0,0.0,25.087335,259950.84,33424.69,293375.54,200,0,178732.0,145308.0,438682.84,438683.54,True,False,False,True,0.4,B2_base,c0.00075_s0.0
492,492,2025-12-15,1,2025-12-12,300058,SELL,HOLD_EXPIRY,2100,2100,0,8.7,18270.0,13.7025,0.0,0.0,13.7025,293375.54,18256.3,311631.84,2100,0,140118.0,121848.0,433493.54,433479.84,True,False,False,True,0.4,B2_base,c0.00075_s0.0
493,493,2025-12-16,1,2025-12-15,000988,SELL,HOLD_EXPIRY,200,200,0,74.9746,14994.92,11.24619,0.0,0.0,11.24619,311631.84,14983.67,326615.51,200,0,121782.0,106812.0,433413.84,433427.51,True,False,False,True,0.4,B2_base,c0.00075_s0.0
494,494,2025-12-16,2,2025-12-15,002241,SELL,HOLD_EXPIRY,600,600,0,28.8531,17311.86,12.983895,0.0,0.0,12.983895,326615.51,17298.88,343914.39,600,0,106812.0,89622.0,433427.51,433536.39,True,False,False,True,0.4,B2_base,c0.00075_s0.0
495,495,2025-12-16,3,2025-12-15,300395,BUY,TARGET_REBALANCE,200,200,0,92.91,18582.0,13.9365,0.0,0.0,13.9365,343914.39,-18595.94,325318.45,0,200,89622.0,108204.0,433536.39,433522.45,True,False,False,True,0.4,B2_base,c0.00075_s0.0
496,496,2025-12-16,4,2025-12-15,600118,BUY,TARGET_REBALANCE,400,400,0,53.5,21400.0,16.05,0.0,0.0,16.05,325318.45,-21416.05,303902.4,0,400,108204.0,129604.0,433522.45,433506.4,True,False,False,True,0.4,B2_base,c0.00075_s0.0
497,497,2025-12-16,5,2025-12-15,600879,BUY,TARGET_REBALANCE,1300,1300,0,16.51,21463.0,16.09725,0.0,0.0,16.09725,303902.4,-21479.1,282423.3,0,1300,129604.0,151067.0,433506.4,433490.3,True,False,False,True,0.4,B2_base,c0.00075_s0.0
498,498,2025-12-17,1,2025-12-16,000657,BUY,TARGET_REBALANCE,800,800,0,26.17,20936.0,15.702,0.0,0.0,15.702,282423.3,-20951.7,261471.6,0,800,149118.0,170054.0,431541.3,431525.6,True,False,False,True,0.4,B2_base,c0.00075_s0.0
499,499,2025-12-19,1,2025-12-18,000426,SELL,HOLD_EXPIRY,2600,2600,0,34.17,88842.0,66.6315,0.0,0.0,66.6315,261471.6,88775.37,350246.97,2600,0,174794.0,85952.0,436265.6,436198.97,True,False,False,True,0.4,B2_base,c0.00075_s0.0
500,500,2025-12-19,2,2025-12-18,301205,BUY,TARGET_REBALANCE,400,400,0,180.01,72004.0,54.003,0.0,0.0,54.003,350246.97,-72058.0,278188.96,0,400,85952.0,157956.0,436198.97,436144.96,True,False,False,True,0.4,B2_base,c0.00075_s0.0
501,501,2025-12-30,1,2025-12-29,300395,SELL,HOLD_EXPIRY,200,200,0,106.28,21256.0,15.942,0.0,0.0,15.942,278188.96,21240.06,299429.02,200,0,170178.0,148922.0,448366.96,448351.02,True,False,False,True,0.4,B2_base,c0.00075_s0.0
502,502,2025-12-30,2,2025-12-29,600118,SELL,HOLD_EXPIRY,400,400,0,85.4,34160.0,25.62,0.0,0.0,25.62,299429.02,34134.38,333563.4,400,0,148922.0,114762.0,448351.02,448325.4,True,False,False,True,0.4,B2_base,c0.00075_s0.0
503,503,2025-12-30,3,2025-12-29,600879,SELL,HOLD_EXPIRY,1300,1300,0,18.86,24518.0,18.3885,0.0,0.0,18.3885,333563.4,24499.61,358063.01,1300,0,114762.0,90244.0,448325.4,448307.01,True,False,False,True,0.4,B2_base,c0.00075_s0.0
504,504,2025-12-30,4,2025-12-29,000559,BUY,TARGET_REBALANCE,2400,2400,0,14.0344,33682.56,25.26192,0.0,0.0,25.26192,358063.01,-33707.82,324355.19,0,2400,90244.0,123556.0,448307.01,447911.19,True,False,False,True,0.4,B2_base,c0.00075_s0.0
505,505,2025-12-30,5,2025-12-29,002759,BUY,TARGET_REBALANCE,400,400,0,47.0,18800.0,14.1,0.0,0.0,14.1,324355.19,-18814.1,305541.09,0,400,123556.0,142356.0,447911.19,447897.09,True,False,False,True,0.4,B2_base,c0.00075_s0.0
506,506,2025-12-30,6,2025-12-29,600362,BUY,TARGET_REBALANCE,700,700,0,46.85,32795.0,24.59625,0.0,0.0,24.59625,305541.09,-32819.6,272721.5,0,700,142356.0,175151.0,447897.09,447872.5,True,False,False,True,0.4,B2_base,c0.00075_s0.0
507,507,2025-12-31,1,2025-12-30,000657,SELL,HOLD_EXPIRY,800,800,0,28.06,22448.0,16.836,0.0,0.0,16.836,272721.5,22431.16,295152.66,800,0,183939.0,161491.0,456660.5,456643.66,True,False,False,True,0.4,B2_base,c0.00075_s0.0
